w,vector_semantico
happened,"['happen', 'occur', 'fall_out', 'pass_off', 'encounter', 'take_place', 'hap', 'befall', 'bechance', 'come_about', 'chance', 'bump', 'find', 'materialise', 'materialize', 'pass', 'go_on']",no especificó
decided,"['determine', 'decided', ""make_up_one's_mind"", 'distinct', 'adjudicate', 'settle', 'decide', 'resolve']",no especificó
While,"['spell', 'patch', 'while', 'piece']",no especificó
staring,"['double-dyed', 'consummate', 'staring', 'perfect', 'everlasting', 'stare', 'arrant', 'stark', 'unadulterated', 'complete', 'utter', 'gaze', 'star', 'thoroughgoing', 'pure', 'gross', 'sodding', 'agaze', 'asterisk']",no especificó
nice,"['dainty', 'decent', 'squeamish', 'gracious', 'nice', 'Nice', 'courteous', 'overnice', 'skillful', 'prissy']",no especificó
comfortably,"['comfortably', 'well']",no especificó
somewhere,"['somewhere', 'someplace']",no especificó
three,"['3', 'ternary', 'three', 'leash', 'tierce', 'iii', 'terzetto', 'ternion', 'tercet', 'III', 'triplet', 'trinity', 'trey', 'trine', 'triad', 'troika', 'trio', 'threesome', 'deuce-ace']",no especificó
J'ai,[],no especificó
wrong,"['wrongly', 'incorrectly', 'wrong', 'damage', 'wrongfulness', 'legal_injury', 'amiss', 'haywire', 'faulty', 'awry', 'unseasonable', 'ill-timed', 'incorrect', 'improper', 'untimely']",no especificó
metal-tasting,[],no especificó
breathing,"['eupneic', 'emit', 'pass_off', 'breathe', 'rest', 'suspire', 'eupnoeic', 'ventilation', 'respiration', 'breathing', 'external_respiration', 'take_a_breath', ""catch_one's_breath"", 'respire', 'take_a_breather']",no especificó
human,"['homo', 'man', 'human_being', 'human']",no especificó
sipping,['sip'],no especificó
bath,"['bathing_tub', 'bathe', 'Bath', 'bathtub', 'bath', 'bathroom', 'tub']",no especificó
wager,"['wager', 'bet', 'stakes', 'stake', 'play']",no especificó
reinforce,"['reinforce', 'reenforce', 'reward']",no especificó
stomach,"['tolerate', 'stick_out', 'brook', 'belly', 'tum', 'endure', 'stand', 'support', 'abide', 'bear', 'abdomen', 'venter', 'suffer', 'put_up', 'digest', 'stomach', 'breadbasket', 'tummy']",no especificó
eye,"['middle', 'optic', 'oculus', 'center', 'eyeball', 'centre', 'heart', 'eye']",no especificó
too,"['too', 'also', 'likewise', 'excessively', 'besides', 'to_a_fault', 'as_well', 'overly']",no especificó
everything,[],no especificó
while,"['spell', 'patch', 'while', 'piece']",no especificó
looked,"['reckon', 'face', 'attend', 'await', 'wait', 'front', 'expect', 'bet', 'depend', 'take_care', 'calculate', 'count', 'see', 'appear', 'search', 'seem', 'look']",no especificó
scald,"['whip', 'scald', 'blister']",no especificó
