w,vector_uso
happened,"[14, 3, 0, 0, 3, 0, 0, 0, 0, 0, 17, 1, 55, 0, 0, 12, 0]",no especificó
decided,"[1, 10, 0, 5, 0, 4, 6, 1]",no especificó
While,"[1, 1, 77, 11]",no especificó
staring,"[0, 0, 6, 9, 2, 1, 0, 0, 0, 22, 2, 2, 3, 1, 12, 3, 0, 0, 0]",no especificó
nice,"[1, 4, 0, 0, 11, 0, 1, 0, 1, 0]",no especificó
comfortably,"[4, 82]",no especificó
somewhere,"[5, 1]",no especificó
three,"[15, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",no especificó
J'ai,[],no especificó
wrong,"[0, 0, 19, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",no especificó
metal-tasting,[],no especificó
breathing,"[0, 0, 0, 2, 16, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0]",no especificó
human,"[0, 173, 0, 49]",no especificó
sipping,[0],no especificó
bath,"[0, 0, 0, 0, 4, 3, 1]",no especificó
wager,"[0, 4, 0, 2, 23]",no especificó
reinforce,"[0, 0, 1]",no especificó
stomach,"[0, 0, 0, 8, 0, 0, 19, 13, 0, 6, 2, 0, 3, 0, 0, 5, 0, 0]",no especificó
eye,"[15, 0, 0, 23, 0, 0, 20, 11]",no especificó
too,"[118, 121, 2, 1, 3, 0, 0, 0]",no especificó
everything,[],no especificó
while,"[1, 1, 77, 11]",no especificó
looked,"[0, 62, 4, 0, 10, 41, 15, 4, 5, 0, 0, 7, 102, 3, 7, 26, 59]",no especificó
scald,"[1, 0, 1]",no especificó
fell,"[20, 9, 0, 0, 0, 2, 0, 1, 20, 0, 0, 0, 0, 6, 1, 3, 1, 13, 1, 84, 2, 12, 4, 1, 0, 0, 0, 0, 5, 0, 3, 0, 0, 47]",no especificó
swimming,"[1, 4, 0, 13, 0, 0]",no especificó
we,[],no especificó
With,[],no especificó
stick,"[0, 0, 1, 0, 0, 3, 23, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 1, 16, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 123, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",no especificó
moment,"[45, 40, 0, 0, 6, 5, 13, 3, 24, 0]",no especificó
apartment,"[6, 10]",no especificó
waiter,"[0, 1]",no especificó
After,"[3, 0, 89, 0, 0, 33]",no especificó
equal,"[0, 0, 0, 722, 12, 3, 9, 0, 2, 0, 11]",no especificó
tricks,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 1, 0, 13, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",no especificó
Tuborg,[],no especificó
soon,"[0, 3, 20, 2]",no especificó
You,[],no especificó
kind,"[18, 0, 39, 2, 57, 10]",no especificó
rain,"[0, 1, 1, 0, 5]",no especificó
frame,"[2, 0, 1, 0, 22, 0, 0, 0, 0, 51, 0, 0, 0, 3, 1, 0, 9, 0, 1, 39, 1, 0, 0, 5, 6, 0, 0, 4, 0, 0, 0, 0, 0, 13]",no especificó
think,"[12, 31, 37, 0, 0, 0, 0, 0, 12, 10, 5, 2, 0, 65, 14, 0, 0, 15, 0]",no especificó
