w,taza
happened,6.176470588235294,no especificó
decided,1.6875,no especificó
While,22.5,no especificó
staring,3.3157894736842106,no especificó
nice,0.9,no especificó
comfortably,43.0,no especificó
somewhere,3.0,no especificó
three,3.736842105263158,no especificó
J'ai,0.001,no especificó
wrong,1.6,no especificó
metal-tasting,0.001,no especificó
breathing,1.6666666666666667,no especificó
human,27.75,no especificó
sipping,0.01,no especificó
bath,1.1428571428571428,no especificó
wager,2.9,no especificó
reinforce,0.3333333333333333,no especificó
stomach,1.5555555555555556,no especificó
eye,8.625,no especificó
too,30.625,no especificó
everything,0.001,no especificó
while,7.5,no especificó
looked,20.294117647058822,no especificó
scald,0.6666666666666666,no especificó
fell,3.4558823529411766,no especificó
swimming,1.5,no especificó
we,0.0001,no especificó
With,0.001,no especificó
stick,4.463414634146342,no especificó
moment,13.6,no especificó
apartment,8.0,no especificó
waiter,0.25,no especificó
After,10.416666666666666,no especificó
equal,69.0,no especificó
tricks,1.2,no especificó
Tuborg,0.001,no especificó
soon,6.25,no especificó
You,0.0003333333333333333,no especificó
kind,21.0,no especificó
rain,1.4,no especificó
frame,4.647058823529412,no especificó
think,10.68421052631579,no especificó
deeper,2.0384615384615383,no especificó
aside,68.75,no especificó
liked,27.875,no especificó
wheeled,3.125,no especificó
noblesse,0.5,no especificó
use,1.8115942028985508,no especificó
time,7.148148148148148,no especificó
funny,0.7857142857142857,no especificó
sitting,3.9285714285714284,no especificó
A40-AjK,0.001,no especificó
Now,7.1923076923076925,no especificó
mussels,0.01,no especificó
showered,0.005,no especificó
Once,7.571428571428571,no especificó
brightly,2.6666666666666665,no especificó
him,0.001,no especificó
and,1.4285714285714285e-05,no especificó
away,47.285714285714285,no especificó
ask,8.208333333333334,no especificó
tight,3.5,no especificó
line,4.382352941176471,no especificó
lot,3.76,no especificó
oblige,3.5,no especificó
breathed,1.6363636363636365,no especificó
chassis,6.785714285714286,no especificó
type,10.5,no especificó
feed,12.4,no especificó
innocently,0.01,no especificó
Suddenly,11.285714285714286,no especificó
limp,1.0,no especificó
remove,13.9375,no especificó
slept,3.8,no especificó
immediately,15.7,no especificó
drink,0.6842105263157895,no especificó
bread,0.07936507936507936,no especificó
smoke,1.4210526315789473,no especificó
break,3.78,no especificó
robe,0.01,no especificó
laugh,0.75,no especificó
Somehow,1.0,no especificó
gotten,20.085714285714285,no especificó
Anyway,1.5,no especificó
sea,16.0,no especificó
cognac,0.0033333333333333335,no especificó
together,10.0,no especificó
used,8.333333333333334,no especificó
plane,2.4166666666666665,no especificó
thought,3.766666666666667,no especificó
rotten,0.1111111111111111,no especificó
assuaged,0.26666666666666666,no especificó
What's,0.001,no especificó
an,0.002,no especificó
ordered,13.076923076923077,no especificó
brush,1.1818181818181819,no especificó
hoped,6.428571428571429,no especificó
filter,0.2,no especificó
took,9.015151515151516,no especificó
sentence,24.25,no especificó
forty,0.8,no especificó
dark,2.287878787878788,no especificó
act,23.6,no especificó
Handsome,5.357142857142857,no especificó
steamed,0.2857142857142857,no especificó
seen,9.727272727272727,no especificó
Sunday,1.8333333333333333,no especificó
isn't,0.001,no especificó
cool,0.8,no especificó
embrace,1.4166666666666667,no especificó
sky,5.25,no especificó
ham,1.0,no especificó
could,0.00016666666666666666,no especificó
value,4.1875,no especificó
Thanks,1.6666666666666667,no especificó
smelled,9.4,no especificó
tactful,0.01,no especificó
beautiful,8.0,no especificó
posture,5.0,no especificó
gently,3.75,no especificó
grotesque,1.2,no especificó
because,0.0003333333333333333,no especificó
smiling,0.8333333333333334,no especificó
But,51.4,no especificó
wine,0.16666666666666666,no especificó
amount,17.7,no especificó
said,2.277310924369748,no especificó
last,4.666666666666667,no especificó
Perhaps,7.333333333333333,no especificó
long,3.027777777777778,no especificó
snorted,0.01,no especificó
today,53.0,no especificó
come,19.68,no especificó
putains,0.001,no especificó
Triomphe,0.001,no especificó
through,19.625,no especificó
positive,1.1333333333333333,no especificó
mine,9.0,no especificó
do,8.433333333333334,no especificó
down,0.8388278388278387,no especificó
others,0.001,no especificó
bench,1.0,no especificó
fantastic,3.0,no especificó
squeezed,1.8333333333333333,no especificó
from,0.0003333333333333333,no especificó
wouldn't,0.001,no especificó
--,0.00014285714285714287,no especificó
bullet,2.4285714285714284,no especificó
years,25.0,no especificó
topcoat,0.16666666666666666,no especificó
felt,3.6769230769230767,no especificó
empty,1.8888888888888888,no especificó
concentrated,4.470588235294118,no especificó
Orly,0.01,no especificó
aqua-lung,0.01,no especificó
as,34.91818181818182,no especificó
busy,0.8,no especificó
hot,1.625,no especificó
played,10.8,no especificó
meaning,10.0,no especificó
young,3.4761904761904763,no especificó
(,0.0005,no especificó
each,16.2,no especificó
couldn't,0.0003333333333333333,no especificó
Maybe,3.6666666666666665,no especificó
Her,0.0003333333333333333,no especificó
observed,8.173913043478262,no especificó
undressed,0.5,no especificó
spring,5.6521739130434785,no especificó
grinned,2.0,no especificó
left,6.621212121212121,no especificó
anesthetic,0.01,no especificó
Tropic,0.005,no especificó
'',2.7027027027027027e-05,no especificó
night's,0.001,no especificó
going,6.068181818181818,no especificó
wonder,6.0,no especificó
Remy,0.001,no especificó
nymphomaniac,0.01,no especificó
hard-boiled,0.01,no especificó
non,301.0,no especificó
already,27.0,no especificó
stranger,7.5,no especificó
chuckle,0.01,no especificó
ravenous,0.3,no especificó
if,0.0002,no especificó
hips,0.3333333333333333,no especificó
tired,2.3448275862068964,no especificó
philosophical,0.5,no especificó
earlier,17.5,no especificó
saw,9.770491803278688,no especificó
acceptance,0.625,no especificó
breakfast,3.0,no especificó
coffee,0.48148148148148145,no especificó
sort,11.076923076923077,no especificó
faim,0.001,no especificó
cork,0.01,no especificó
soldier,3.0,no especificó
them,0.0003333333333333333,no especificó
had,2.1240740740740742,no especificó
before,12.833333333333334,no especificó
drawn,8.717391304347826,no especificó
snowing,2.1666666666666665,no especificó
about,14.235294117647058,no especificó
life,10.5,no especificó
how,0.0005,no especificó
Panther,0.7,no especificó
women,2.0,no especificó
name,10.695652173913043,no especificó
Um,0.001,no especificó
round,2.5285714285714285,no especificó
``,2.7027027027027027e-05,no especificó
Life,5.25,no especificó
frozen,1.6842105263157894,no especificó
red,1.4,no especificó
He,381.75,no especificó
dazzled,0.01,no especificó
Sometime,12.857142857142858,no especificó
sober,1.25,no especificó
put,7.794117647058823,no especificó
was,1.0551282051282052,no especificó
