w,taza
"('Between', 'meetings')",0.3333333333333333,"Annual Report of Year Ending June 30, 1961"
"('meetings', 'he')",0.125,"Annual Report of Year Ending June 30, 1961"
"('he', 'helps')",0.4,"Annual Report of Year Ending June 30, 1961"
"('helps', 'the')",0.3333333333333333,"Annual Report of Year Ending June 30, 1961"
"('the', 'president')",0.2222222222222222,"Annual Report of Year Ending June 30, 1961"
"('president', 'keep')",0.2222222222222222,"Annual Report of Year Ending June 30, 1961"
"('keep', 'track')",0.14285714285714285,"Annual Report of Year Ending June 30, 1961"
"('track', 'of')",0.0,"Annual Report of Year Ending June 30, 1961"
"('of', 'delegated')",0.0,"Annual Report of Year Ending June 30, 1961"
"('delegated', 'matters')",0.3333333333333333,"Annual Report of Year Ending June 30, 1961"
"('matters', '.')",0.0,"Annual Report of Year Ending June 30, 1961"
"('.', 'Since')",0.0,"Annual Report of Year Ending June 30, 1961"
"('Since', 'these')",0.125,"Annual Report of Year Ending June 30, 1961"
"('these', 'duties')",0.42857142857142855,"Annual Report of Year Ending June 30, 1961"
"('duties', 'fit')",0.2857142857142857,"Annual Report of Year Ending June 30, 1961"
"('fit', 'neatly')",0.125,"Annual Report of Year Ending June 30, 1961"
"('neatly', 'with')",0.1111111111111111,"Annual Report of Year Ending June 30, 1961"
"('with', 'those')",0.2857142857142857,"Annual Report of Year Ending June 30, 1961"
"('those', 'of')",0.16666666666666666,"Annual Report of Year Ending June 30, 1961"
"('of', 'the')",0.0,"Annual Report of Year Ending June 30, 1961"
"('the', 'proposed')",0.125,"Annual Report of Year Ending June 30, 1961"
"('proposed', 'presidential')",0.45454545454545453,"Annual Report of Year Ending June 30, 1961"
"('presidential', 'aide')",0.4,"Annual Report of Year Ending June 30, 1961"
"('aide', ',')",0.0,"Annual Report of Year Ending June 30, 1961"
"(',', 'one')",0.0,"Annual Report of Year Ending June 30, 1961"
"('one', 'person')",0.5,"Annual Report of Year Ending June 30, 1961"
"('person', ',')",0.0,"Annual Report of Year Ending June 30, 1961"
"(',', 'with')",0.0,"Annual Report of Year Ending June 30, 1961"
"('with', 'adequate')",0.1111111111111111,"Annual Report of Year Ending June 30, 1961"
"('adequate', 'staff')",0.25,"Annual Report of Year Ending June 30, 1961"
"('staff', 'assistance')",0.375,"Annual Report of Year Ending June 30, 1961"
"('assistance', ',')",0.0,"Annual Report of Year Ending June 30, 1961"
"(',', 'could')",0.0,"Annual Report of Year Ending June 30, 1961"
"('could', 'fill')",0.14285714285714285,"Annual Report of Year Ending June 30, 1961"
"('fill', 'both')",0.0,"Annual Report of Year Ending June 30, 1961"
"('both', 'jobs')",0.3333333333333333,"Annual Report of Year Ending June 30, 1961"
"('jobs', '.')",0.0,"Annual Report of Year Ending June 30, 1961"
"('Since', 'faculty')",0.09090909090909091,"Annual Report of Year Ending June 30, 1961"
"('faculty', 'see')",0.0,"Annual Report of Year Ending June 30, 1961"
"('see', 'themselves')",0.2857142857142857,"Annual Report of Year Ending June 30, 1961"
"('themselves', 'as')",0.125,"Annual Report of Year Ending June 30, 1961"
"('as', 'self-employed')",0.09090909090909091,"Annual Report of Year Ending June 30, 1961"
"('self-employed', 'professionals')",0.42857142857142855,"Annual Report of Year Ending June 30, 1961"
"('professionals', 'rather')",0.25,"Annual Report of Year Ending June 30, 1961"
"('rather', 'than')",0.5,"Annual Report of Year Ending June 30, 1961"
"('than', 'as')",0.2,"Annual Report of Year Ending June 30, 1961"
"('as', 'employees')",0.125,"Annual Report of Year Ending June 30, 1961"
"('employees', ',')",0.0,"Annual Report of Year Ending June 30, 1961"
"(',', 'enthusiasm')",0.0,"Annual Report of Year Ending June 30, 1961"
"('enthusiasm', 'in')",0.2222222222222222,"Annual Report of Year Ending June 30, 1961"
"('in', 'a')",0.0,"Annual Report of Year Ending June 30, 1961"
"('a', 'common')",0.0,"Annual Report of Year Ending June 30, 1961"
"('common', 'enterprise')",0.1,"Annual Report of Year Ending June 30, 1961"
"('enterprise', 'is')",0.2857142857142857,"Annual Report of Year Ending June 30, 1961"
