w,taza
"('Confrontation', 'It')",0.1111111111111111,Letters to the Editor
"('It', 'seems')",0.0,Letters to the Editor
"('seems', 'to')",0.0,Letters to the Editor
"('to', 'me')",0.0,Letters to the Editor
"('me', 'that')",0.0,Letters to the Editor
"('that', 'N.C.')",0.0,Letters to the Editor
"('N.C.', ',')",0.0,Letters to the Editor
"(',', 'in')",0.0,Letters to the Editor
"('in', 'his')",0.25,Letters to the Editor
"('his', 'editorial')",0.1,Letters to the Editor
"('editorial', '``')",0.0,Letters to the Editor
"('``', 'Confrontation')",0.0,Letters to the Editor
"('Confrontation', ""''"")",0.0,Letters to the Editor
"(""''"", '(')",0.0,Letters to the Editor
"('(', 'SR')",0.0,Letters to the Editor
"('SR', ',')",0.0,Letters to the Editor
"(',', 'Mar.')",0.0,Letters to the Editor
"('Mar.', '25')",0.0,Letters to the Editor
"('25', ')')",0.0,Letters to the Editor
"(')', ',')",0.0,Letters to the Editor
"(',', 'has')",0.0,Letters to the Editor
"('has', 'hit')",0.2,Letters to the Editor
"('hit', 'upon')",0.0,Letters to the Editor
"('upon', 'the')",0.0,Letters to the Editor
"('the', 'real')",0.16666666666666666,Letters to the Editor
"('real', 'problem')",0.375,Letters to the Editor
"('problem', 'that')",0.0,Letters to the Editor
"('that', 'bothers')",0.25,Letters to the Editor
"('bothers', 'all')",0.0,Letters to the Editor
"('all', 'of')",0.0,Letters to the Editor
"('of', 'us')",0.0,Letters to the Editor
"('us', 'in')",0.0,Letters to the Editor
"('in', 'a')",0.0,Letters to the Editor
"('a', 'complex')",0.0,Letters to the Editor
"('complex', 'world')",0.2,Letters to the Editor
"('world', ':')",0.0,Letters to the Editor
"(':', 'how')",0.0,Letters to the Editor
"('how', 'do')",0.25,Letters to the Editor
"('do', 'we')",0.0,Letters to the Editor
"('we', 'retain')",0.14285714285714285,Letters to the Editor
"('retain', 'our')",0.125,Letters to the Editor
"('our', 'personal')",0.2222222222222222,Letters to the Editor
"('personal', 'relationship')",0.7272727272727273,Letters to the Editor
"('relationship', 'with')",0.25,Letters to the Editor
"('with', 'those')",0.2857142857142857,Letters to the Editor
"('those', 'who')",0.3333333333333333,Letters to the Editor
"('who', 'suffer')",0.0,Letters to the Editor
"('suffer', '?')",0.0,Letters to the Editor
"('?', '?')",1.0,Letters to the Editor
"('?', 'This')",0.0,Letters to the Editor
"('This', 'affects')",0.1111111111111111,Letters to the Editor
"('affects', 'us')",0.14285714285714285,Letters to the Editor
"('us', 'all')",0.0,Letters to the Editor
"('all', 'intimately')",0.25,Letters to the Editor
"('intimately', ',')",0.0,Letters to the Editor
"(',', 'and')",0.0,Letters to the Editor
