w,taza
"('Into', 'Washington')",0.3,People. Art & Education
"('Washington', 'on')",0.2222222222222222,People. Art & Education
"('on', 'President-elect')",0.08333333333333333,People. Art & Education
"('President-elect', 'John')",0.07142857142857142,People. Art & Education
"('John', 'F.')",0.0,People. Art & Education
"('F.', ""Kennedy's"")",0.0,People. Art & Education
"(""Kennedy's"", 'Convair')",0.07692307692307693,People. Art & Education
"('Convair', ',')",0.0,People. Art & Education
"(',', 'the')",0.0,People. Art & Education
"('the', 'Caroline')",0.1,People. Art & Education
"('Caroline', ',')",0.0,People. Art & Education
"(',', 'winged')",0.0,People. Art & Education
"('winged', 'Actor-Crooner')",0.15384615384615385,People. Art & Education
"('Actor-Crooner', 'Frank')",0.16666666666666666,People. Art & Education
"('Frank', 'Sinatra')",0.375,People. Art & Education
"('Sinatra', 'and')",0.2857142857142857,People. Art & Education
"('and', 'his')",0.0,People. Art & Education
"('his', 'close')",0.14285714285714285,People. Art & Education
"('close', 'Hollywood')",0.2222222222222222,People. Art & Education
"('Hollywood', 'pal')",0.125,People. Art & Education
"('pal', ',')",0.0,People. Art & Education
"(',', 'Cinemactor')",0.0,People. Art & Education
"('Cinemactor', 'Peter')",0.2727272727272727,People. Art & Education
"('Peter', 'Lawford')",0.1,People. Art & Education
"('Lawford', ',')",0.0,People. Art & Education
"(',', 'Jack')",0.0,People. Art & Education
"('Jack', ""Kennedy's"")",0.0,People. Art & Education
"(""Kennedy's"", 'brother-in-law')",0.11764705882352941,People. Art & Education
"('brother-in-law', '.')",0.0,People. Art & Education
"('.', 'Also')",0.0,People. Art & Education
"('Also', 'included')",0.1,People. Art & Education
"('included', 'in')",0.2857142857142857,People. Art & Education
"('in', 'the')",0.0,People. Art & Education
"('the', 'entourage')",0.2222222222222222,People. Art & Education
"('entourage', ':')",0.0,People. Art & Education
"(':', 'a')",0.0,People. Art & Education
"('a', 'dog')",0.0,People. Art & Education
"('dog', 'in')",0.0,People. Art & Education
"('in', 'a')",0.0,People. Art & Education
"('a', 'black')",0.2,People. Art & Education
"('black', 'sweater')",0.1,People. Art & Education
"('sweater', ',')",0.0,People. Art & Education
"(',', 'Frankie')",0.0,People. Art & Education
"('Frankie', 'and')",0.25,People. Art & Education
"('and', 'Peter')",0.0,People. Art & Education
"('Peter', 'had')",0.0,People. Art & Education
"('had', 'an')",0.25,People. Art & Education
"('an', 'urgent')",0.14285714285714285,People. Art & Education
