w,taza
"('A', 'gyro-stabilized')",0.0,Principles of Inertial Navigation
"('gyro-stabilized', 'platform')",0.29411764705882354,Principles of Inertial Navigation
"('platform', 'system')",0.18181818181818182,Principles of Inertial Navigation
"('system', ',')",0.0,Principles of Inertial Navigation
"(',', 'using')",0.0,Principles of Inertial Navigation
"('using', 'restrained')",0.3,Principles of Inertial Navigation
"('restrained', 'gyros')",0.18181818181818182,Principles of Inertial Navigation
"('gyros', ',')",0.0,Principles of Inertial Navigation
"(',', 'is')",0.0,Principles of Inertial Navigation
"('is', 'well')",0.0,Principles of Inertial Navigation
"('well', 'suited')",0.125,Principles of Inertial Navigation
"('suited', 'for')",0.0,Principles of Inertial Navigation
"('for', 'automatic')",0.1111111111111111,Principles of Inertial Navigation
"('automatic', 'leveling')",0.08333333333333333,Principles of Inertial Navigation
"('leveling', 'because')",0.09090909090909091,Principles of Inertial Navigation
"('because', 'of')",0.0,Principles of Inertial Navigation
"('of', 'the')",0.0,Principles of Inertial Navigation
"('the', 'characteristics')",0.375,Principles of Inertial Navigation
"('characteristics', 'of')",0.0,Principles of Inertial Navigation
"('the', 'gyro-platform-servo')",0.13333333333333333,Principles of Inertial Navigation
"('gyro-platform-servo', 'combination')",0.2222222222222222,Principles of Inertial Navigation
"('combination', '.')",0.0,Principles of Inertial Navigation
"('.', 'The')",0.0,Principles of Inertial Navigation
"('The', 'restrained')",0.1,Principles of Inertial Navigation
"('restrained', 'gyro-stabilized')",0.4666666666666667,Principles of Inertial Navigation
"('platform', 'with')",0.09090909090909091,Principles of Inertial Navigation
"('with', 'reasonable')",0.0,Principles of Inertial Navigation
"('reasonable', 'response')",0.5555555555555556,Principles of Inertial Navigation
"('response', 'characteristics')",0.2727272727272727,Principles of Inertial Navigation
"('characteristics', 'operates')",0.5,Principles of Inertial Navigation
"('operates', 'with')",0.1,Principles of Inertial Navigation
"('with', 'an')",0.0,Principles of Inertial Navigation
"('an', 'approximate')",0.1,Principles of Inertial Navigation
"('approximate', 'equation')",0.4166666666666667,Principles of Inertial Navigation
"('equation', 'of')",0.1111111111111111,Principles of Inertial Navigation
"('of', 'motion')",0.16666666666666666,Principles of Inertial Navigation
"('motion', ',')",0.0,Principles of Inertial Navigation
"(',', 'neglecting')",0.0,Principles of Inertial Navigation
"('neglecting', 'transient')",0.4,Principles of Inertial Navigation
"('transient', 'effects')",0.3333333333333333,Principles of Inertial Navigation
"('effects', ',')",0.0,Principles of Inertial Navigation
"(',', 'as')",0.0,Principles of Inertial Navigation
"('as', 'follows')",0.16666666666666666,Principles of Inertial Navigation
"('follows', ':')",0.0,Principles of Inertial Navigation
"(':', 'Af')",0.0,Principles of Inertial Navigation
"('Af', 'where')",0.0,Principles of Inertial Navigation
"('where', 'U')",0.0,Principles of Inertial Navigation
"('U', 'is')",0.0,Principles of Inertial Navigation
"('is', 'a')",0.0,Principles of Inertial Navigation
"('a', 'torque')",0.0,Principles of Inertial Navigation
"('torque', 'applied')",0.09090909090909091,Principles of Inertial Navigation
"('applied', 'about')",0.1,Principles of Inertial Navigation
"('about', 'the')",0.14285714285714285,Principles of Inertial Navigation
"('the', 'output')",0.16666666666666666,Principles of Inertial Navigation
"('output', 'axis')",0.0,Principles of Inertial Navigation
"('axis', 'of')",0.0,Principles of Inertial Navigation
"('the', 'controlling')",0.1,Principles of Inertial Navigation
"('controlling', 'gyro')",0.3333333333333333,Principles of Inertial Navigation
"('gyro', '.')",0.0,Principles of Inertial Navigation
"('The', 'platform')",0.0,Principles of Inertial Navigation
"('platform', 'angle')",0.18181818181818182,Principles of Inertial Navigation
"('angle', '**yf')",0.0,Principles of Inertial Navigation
"('**yf', 'is')",0.0,Principles of Inertial Navigation
"('is', 'the')",0.0,Principles of Inertial Navigation
"('the', 'angle')",0.14285714285714285,Principles of Inertial Navigation
"('angle', 'about')",0.1111111111111111,Principles of Inertial Navigation
"('about', 'which')",0.0,Principles of Inertial Navigation
"('which', 'the')",0.16666666666666666,Principles of Inertial Navigation
"('the', 'gyro')",0.0,Principles of Inertial Navigation
"('gyro', 'is')",0.0,Principles of Inertial Navigation
"('is', 'controlling')",0.1111111111111111,Principles of Inertial Navigation
"('controlling', '.')",0.0,Principles of Inertial Navigation
"('.', 'This')",0.0,Principles of Inertial Navigation
"('This', 'is')",0.5,Principles of Inertial Navigation
"('is', 'normally')",0.0,Principles of Inertial Navigation
"('normally', 'termed')",0.2,Principles of Inertial Navigation
"('termed', 'the')",0.3333333333333333,Principles of Inertial Navigation
"('gyro', 'input')",0.0,Principles of Inertial Navigation
"('input', 'axis')",0.125,Principles of Inertial Navigation
"('axis', ',')",0.0,Principles of Inertial Navigation
"(',', '90-degrees')",0.0,Principles of Inertial Navigation
"('90-degrees', 'away')",0.0,Principles of Inertial Navigation
"('away', 'from')",0.0,Principles of Inertial Navigation
"('from', 'the')",0.0,Principles of Inertial Navigation
"('gyro', 'output')",0.14285714285714285,Principles of Inertial Navigation
"('output', 'or')",0.2,Principles of Inertial Navigation
"('or', '**yj')",0.0,Principles of Inertial Navigation
"('**yj', 'axis')",0.0,Principles of Inertial Navigation
"('axis', '.')",0.0,Principles of Inertial Navigation
