w,taza
"('About', 'halfway')",0.0,The Murders
"('halfway', 'back')",0.1111111111111111,The Murders
"('back', 'Pops')",0.0,The Murders
"('Pops', 'groped')",0.25,The Murders
"('groped', 'against')",0.09090909090909091,The Murders
"('against', 'a')",0.16666666666666666,The Murders
"('a', 'wall')",0.3333333333333333,The Murders
"('wall', 'and')",0.2,The Murders
"('and', 'stopped')",0.125,The Murders
"('stopped', ',')",0.0,The Murders
"(',', 'pulled')",0.0,The Murders
"('pulled', 'away')",0.0,The Murders
"('away', 'two')",0.2,The Murders
"('two', 'loosely')",0.14285714285714285,The Murders
"('loosely', 'nailed')",0.2222222222222222,The Murders
"('nailed', 'wide')",0.42857142857142855,The Murders
"('wide', 'boards')",0.1111111111111111,The Murders
"('boards', 'at')",0.14285714285714285,The Murders
"('at', 'one')",0.0,The Murders
"('one', 'end')",0.5,The Murders
"('end', ',')",0.0,The Murders
"(',', 'and')",0.0,The Murders
"('and', 'went')",0.16666666666666666,The Murders
"('went', 'through')",0.1111111111111111,The Murders
"('through', '.')",0.0,The Murders
"('.', '``')",0.0,The Murders
"('``', ""C'mon"")",0.0,The Murders
"(""C'mon"", ""''"")",0.2,The Murders
"(""''"", ',')",0.0,The Murders
"(',', 'he')",0.0,The Murders
"('he', 'whispered')",0.25,The Murders
"('whispered', ';')",0.0,The Murders
"(';', ';')",1.0,The Murders
"(';', '``')",0.0,The Murders
"('``', 'floor')",0.0,The Murders
"('floor', ""level's"")",0.125,The Murders
"(""level's"", 'about')",0.0,The Murders
"('about', 'three')",0.125,The Murders
"('three', 'feet')",0.4,The Murders
"('feet', 'down')",0.0,The Murders
"('down', ',')",0.0,The Murders
"(',', 'so')",0.0,The Murders
"('so', ""don't"")",0.16666666666666666,The Murders
"(""don't"", 'fall')",0.0,The Murders
"('fall', ""''"")",0.0,The Murders
"(""''"", '.')",0.0,The Murders
"('.', 'I')",0.0,The Murders
"('I', 'went')",0.0,The Murders
"('through', 'and')",0.0,The Murders
"('and', 'down')",0.4,The Murders
"(',', 'into')",0.0,The Murders
"('into', 'pitch')",0.2857142857142857,The Murders
"('pitch', 'darkness')",0.0,The Murders
"('darkness', '.')",0.0,The Murders
"('.', 'He')",0.0,The Murders
"('He', 'said')",0.0,The Murders
"('said', ',')",0.0,The Murders
"(',', '``')",0.0,The Murders
"('``', 'Jist')",0.0,The Murders
"('Jist', 'stay')",0.3333333333333333,The Murders
"('stay', 'still')",0.3333333333333333,The Murders
"('still', '.')",0.0,The Murders
"('.', ""I'll"")",0.0,The Murders
"(""I'll"", 'pull')",0.2,The Murders
"('pull', 'the')",0.0,The Murders
"('the', 'boards')",0.0,The Murders
"('boards', 'back')",0.25,The Murders
"('back', 'and')",0.16666666666666666,The Murders
"('and', 'then')",0.16666666666666666,The Murders
"('then', 'get')",0.4,The Murders
"('get', 'us')",0.0,The Murders
"('us', 'a')",0.0,The Murders
"('a', 'light')",0.0,The Murders
"('light', '.')",0.0,The Murders
"('.', 'Jist')",0.0,The Murders
"('stay', 'where')",0.0,The Murders
"('where', 'you')",0.0,The Murders
"('you', 'are')",0.0,The Murders
"('are', ""''"")",0.0,The Murders
"('I', 'jist')",0.0,The Murders
"('jist', 'stayed')",0.25,The Murders
"('stayed', 'where')",0.1111111111111111,The Murders
"('where', 'I')",0.0,The Murders
"('I', 'was')",0.0,The Murders
"('was', 'while')",0.14285714285714285,The Murders
"('while', 'he')",0.4,The Murders
"('he', 'fumbled')",0.125,The Murders
"('fumbled', 'around')",0.18181818181818182,The Murders
"('around', 'and')",0.5,The Murders
"('then', 'walked')",0.1111111111111111,The Murders
"('walked', 'away')",0.2857142857142857,The Murders
"('away', '.')",0.0,The Murders
"('.', 'A')",0.0,The Murders
"('A', 'moment')",0.0,The Murders
"('moment', 'later')",0.25,The Murders
"('later', 'he')",0.16666666666666666,The Murders
"('he', 'struck')",0.0,The Murders
"('struck', 'a')",0.0,The Murders
"('a', 'match')",0.2,The Murders
"('match', 'and')",0.14285714285714285,The Murders
"('and', 'lighted')",0.1111111111111111,The Murders
"('lighted', 'a')",0.0,The Murders
"('a', 'candle')",0.16666666666666666,The Murders
"('candle', ',')",0.0,The Murders
"('and', 'I')",0.0,The Murders
"('I', 'could')",0.0,The Murders
"('could', 'see')",0.0,The Murders
"('see', '.')",0.0,The Murders
"('.', 'It')",0.0,The Murders
"('It', 'was')",0.0,The Murders
"('was', 'a')",0.3333333333333333,The Murders
"('a', 'big')",0.0,The Murders
"('big', 'room')",0.0,The Murders
"('room', ',')",0.0,The Murders
"(',', 'empty')",0.0,The Murders
"('empty', 'except')",0.42857142857142855,The Murders
"('except', 'for')",0.0,The Murders
"('for', 'a')",0.0,The Murders
"('a', 'few')",0.0,The Murders
"('few', 'things')",0.0,The Murders
"('things', 'of')",0.0,The Murders
"('of', ""Pops's"")",0.16666666666666666,The Murders
"(""Pops's"", 'at')",0.0,The Murders
"('at', 'the')",0.25,The Murders
"('the', 'far')",0.0,The Murders
"('far', 'end')",0.0,The Murders
"('end', '--')",0.0,The Murders
"('--', 'a')",0.0,The Murders
"('a', 'wooden')",0.0,The Murders
"('wooden', 'crate')",0.1111111111111111,The Murders
"('crate', 'on')",0.0,The Murders
"('on', 'which')",0.0,The Murders
"('which', 'stood')",0.0,The Murders
"('stood', 'the')",0.16666666666666666,The Murders
"('the', 'candle')",0.125,The Murders
"(',', 'a')",0.0,The Murders
"('a', 'spread')",0.16666666666666666,The Murders
"('spread', 'out')",0.0,The Murders
"('out', 'blanket')",0.1111111111111111,The Murders
"('blanket', ',')",0.0,The Murders
"('and', 'an')",0.6666666666666666,The Murders
"('an', 'unrolled')",0.125,The Murders
"('unrolled', 'bindle')",0.4444444444444444,The Murders
"('bindle', '.')",0.0,The Murders
"('I', 'looked')",0.0,The Murders
"('looked', 'back')",0.125,The Murders
"('back', 'over')",0.0,The Murders
"('over', 'my')",0.0,The Murders
"('my', 'shoulder')",0.0,The Murders
"('shoulder', 'while')",0.3,The Murders
"('while', 'I')",0.0,The Murders
"('went', 'to')",0.2,The Murders
"('to', 'join')",0.2,The Murders
"('join', 'him')",0.16666666666666666,The Murders
"('him', ';')",0.0,The Murders
"(';', ""he'd"")",0.0,The Murders
"(""he'd"", 'hung')",0.14285714285714285,The Murders
"('hung', 'another')",0.2222222222222222,The Murders
"('another', 'half')",0.2222222222222222,The Murders
"('half', 'of')",0.2,The Murders
"('of', 'a')",0.0,The Murders
"('a', 'blanket')",0.14285714285714285,The Murders
"('blanket', 'over')",0.1,The Murders
"('over', 'the')",0.16666666666666666,The Murders
"('the', 'boarded')",0.125,The Murders
"('boarded', 'window')",0.2222222222222222,The Murders
"('window', 'so')",0.16666666666666666,The Murders
"('so', 'no')",0.3333333333333333,The Murders
"('no', 'light')",0.0,The Murders
"('light', 'would')",0.1111111111111111,The Murders
"('would', 'show')",0.2857142857142857,The Murders
"('show', 'through')",0.25,The Murders
"('I', 'took')",0.0,The Murders
"('took', 'the')",0.2,The Murders
"('the', 'pint')",0.16666666666666666,The Murders
"('pint', 'bottle')",0.125,The Murders
"('bottle', 'from')",0.125,The Murders
"('from', 'my')",0.2,The Murders
"('my', 'pocket')",0.0,The Murders
"('pocket', 'and')",0.0,The Murders
"('and', 'handed')",0.6,The Murders
"('handed', 'it')",0.0,The Murders
"('it', 'over')",0.0,The Murders
"('over', 'as')",0.0,The Murders
"('as', 'I')",0.0,The Murders
"('I', 'sat')",0.0,The Murders
"('sat', 'down')",0.0,The Murders
"('down', 'beside')",0.125,The Murders
"('beside', 'him')",0.14285714285714285,The Murders
"('him', 'on')",0.0,The Murders
"('on', 'the')",0.0,The Murders
"('the', 'spread')",0.125,The Murders
"('spread', 'blanket')",0.18181818181818182,The Murders
"('blanket', '.')",0.0,The Murders
"('``', 'You')",0.0,The Murders
"('You', 'first')",0.0,The Murders
"('first', ""''"")",0.0,The Murders
"(',', 'I')",0.0,The Murders
"('I', 'said')",0.0,The Murders
"('said', '.')",0.0,The Murders
"('He', 'drank')",0.0,The Murders
"('drank', 'and')",0.6,The Murders
"('it', 'back')",0.0,The Murders
"('back', '.')",0.0,The Murders
"('``', 'Nice')",0.0,The Murders
"('Nice', 'place')",0.2857142857142857,The Murders
"('place', ""''"")",0.0,The Murders
"('I', 'told')",0.0,The Murders
"('told', 'him')",0.0,The Murders
"('him', '.')",0.0,The Murders
"('``', 'Listen')",0.0,The Murders
"('Listen', ',')",0.0,The Murders
"('I', 'got')",0.0,The Murders
"('got', 'a')",0.0,The Murders
"('a', 'buddy')",0.0,The Murders
"('buddy', 'I')",0.0,The Murders
"('I', 'travel')",0.0,The Murders
"('travel', 'with')",0.1111111111111111,The Murders
"('with', ',')",0.0,The Murders
"(',', 'real')",0.0,The Murders
"('real', 'nice')",0.14285714285714285,The Murders
"('nice', 'guy')",0.0,The Murders
"('guy', 'named')",0.0,The Murders
"('named', 'Larry')",0.125,The Murders
"('Larry', '.')",0.0,The Murders
"('I', 'know')",0.0,The Murders
"('know', 'where')",0.14285714285714285,The Murders
"('where', 'he')",0.5,The Murders
"('he', 'is')",0.0,The Murders
"('is', ',')",0.0,The Murders
"(',', 'right')",0.0,The Murders
"('right', 'near')",0.125,The Murders
"('near', 'here')",0.4,The Murders
"('here', '.')",0.0,The Murders
"('.', 'Could')",0.0,The Murders
"('Could', 'he')",0.0,The Murders
"('he', 'join')",0.0,The Murders
"('join', 'the')",0.0,The Murders
"('the', 'party')",0.14285714285714285,The Murders
"('party', 'and')",0.14285714285714285,The Murders
"('and', 'sleep')",0.0,The Murders
"('sleep', 'here')",0.16666666666666666,The Murders
"('here', 'tonight')",0.125,The Murders
"('tonight', 'too')",0.3333333333333333,The Murders
"('too', '?')",0.0,The Murders
"('?', '?')",1.0,The Murders
"('?', ""We'll"")",0.0,The Murders
"(""We'll"", 'both')",0.0,The Murders
"('both', 'be')",0.2,The Murders
"('be', 'blowing')",0.125,The Murders
"('blowing', 'town')",0.375,The Murders
"('town', 'tomorrow')",0.5,The Murders
"('tomorrow', 'so')",0.16666666666666666,The Murders
"('so', 'we')",0.0,The Murders
"('we', ""won't"")",0.16666666666666666,The Murders
"(""won't"", 'be')",0.0,The Murders
