w,taza
"('Was', 'it')",0.0,The Sheep's in the Meadow
"('it', 'love')",0.0,The Sheep's in the Meadow
"('love', '?')",0.0,The Sheep's in the Meadow
"('?', '?')",1.0,The Sheep's in the Meadow
"('?', 'I')",0.0,The Sheep's in the Meadow
"('I', 'had')",0.0,The Sheep's in the Meadow
"('had', 'no')",0.0,The Sheep's in the Meadow
"('no', 'doubt')",0.16666666666666666,The Sheep's in the Meadow
"('doubt', 'that')",0.14285714285714285,The Sheep's in the Meadow
"('that', 'it')",0.25,The Sheep's in the Meadow
"('it', 'was')",0.0,The Sheep's in the Meadow
"('was', '.')",0.0,The Sheep's in the Meadow
"('.', 'During')",0.0,The Sheep's in the Meadow
"('During', 'the')",0.0,The Sheep's in the Meadow
"('the', 'rest')",0.4,The Sheep's in the Meadow
"('rest', 'of')",0.0,The Sheep's in the Meadow
"('of', 'the')",0.0,The Sheep's in the Meadow
"('the', 'summer')",0.14285714285714285,The Sheep's in the Meadow
"('summer', 'my')",0.16666666666666666,The Sheep's in the Meadow
"('my', 'scholarly')",0.1111111111111111,The Sheep's in the Meadow
"('scholarly', 'mania')",0.09090909090909091,The Sheep's in the Meadow
"('mania', 'for')",0.0,The Sheep's in the Meadow
"('for', 'making')",0.0,The Sheep's in the Meadow
"('making', 'plaster')",0.08333333333333333,The Sheep's in the Meadow
"('plaster', 'casts')",0.375,The Sheep's in the Meadow
"('casts', 'and')",0.16666666666666666,The Sheep's in the Meadow
"('and', 'spatter')",0.125,The Sheep's in the Meadow
"('spatter', 'prints')",0.5,The Sheep's in the Meadow
"('prints', 'of')",0.0,The Sheep's in the Meadow
"('of', 'Catskill')",0.0,The Sheep's in the Meadow
"('Catskill', 'flowers')",0.16666666666666666,The Sheep's in the Meadow
"('flowers', 'and')",0.0,The Sheep's in the Meadow
"('and', 'leaves')",0.14285714285714285,The Sheep's in the Meadow
"('leaves', 'was')",0.3333333333333333,The Sheep's in the Meadow
"('was', 'all')",0.25,The Sheep's in the Meadow
"('all', 'but')",0.0,The Sheep's in the Meadow
"('but', 'surpassed')",0.1111111111111111,The Sheep's in the Meadow
"('surpassed', 'by')",0.0,The Sheep's in the Meadow
"('by', 'the')",0.0,The Sheep's in the Meadow
"('the', 'constantly')",0.1,The Sheep's in the Meadow
"('constantly', 'renewed')",0.08333333333333333,The Sheep's in the Meadow
"('renewed', 'impressions')",0.3,The Sheep's in the Meadow
"('impressions', 'of')",0.1111111111111111,The Sheep's in the Meadow
"('of', 'Jessica')",0.0,The Sheep's in the Meadow
"('Jessica', 'that')",0.125,The Sheep's in the Meadow
"('that', 'my')",0.0,The Sheep's in the Meadow
"('my', 'mind')",0.2,The Sheep's in the Meadow
"('mind', 'served')",0.125,The Sheep's in the Meadow
"('served', 'up')",0.0,The Sheep's in the Meadow
"('up', 'to')",0.0,The Sheep's in the Meadow
"('to', 'me')",0.0,The Sheep's in the Meadow
"('me', 'for')",0.0,The Sheep's in the Meadow
"('for', 'contemplation')",0.08333333333333333,The Sheep's in the Meadow
"('contemplation', 'and')",0.18181818181818182,The Sheep's in the Meadow
"('and', 'delight')",0.1111111111111111,The Sheep's in the Meadow
"('delight', '.')",0.0,The Sheep's in the Meadow
"('.', 'Nothing')",0.0,The Sheep's in the Meadow
"('Nothing', 'in')",0.2857142857142857,The Sheep's in the Meadow
"('in', 'all')",0.0,The Sheep's in the Meadow
"('all', 'the')",0.0,The Sheep's in the Meadow
"('the', 'preceding')",0.1,The Sheep's in the Meadow
"('preceding', 'years')",0.18181818181818182,The Sheep's in the Meadow
"('years', 'had')",0.14285714285714285,The Sheep's in the Meadow
"('had', 'had')",1.0,The Sheep's in the Meadow
"('had', 'the')",0.2,The Sheep's in the Meadow
"('the', 'power')",0.14285714285714285,The Sheep's in the Meadow
"('power', 'to')",0.16666666666666666,The Sheep's in the Meadow
"('to', 'bring')",0.0,The Sheep's in the Meadow
"('bring', 'me')",0.0,The Sheep's in the Meadow
"('me', 'closer')",0.14285714285714285,The Sheep's in the Meadow
"('closer', 'to')",0.14285714285714285,The Sheep's in the Meadow
"('to', 'a')",0.0,The Sheep's in the Meadow
"('a', 'knowledge')",0.0,The Sheep's in the Meadow
"('knowledge', 'of')",0.1111111111111111,The Sheep's in the Meadow
"('of', 'profound')",0.2857142857142857,The Sheep's in the Meadow
"('profound', 'sorrow')",0.2222222222222222,The Sheep's in the Meadow
"('sorrow', 'than')",0.0,The Sheep's in the Meadow
"('than', 'the')",0.4,The Sheep's in the Meadow
"('the', 'breakup')",0.1111111111111111,The Sheep's in the Meadow
"('breakup', 'of')",0.0,The Sheep's in the Meadow
"('of', 'camp')",0.0,The Sheep's in the Meadow
"('camp', ',')",0.0,The Sheep's in the Meadow
"(',', 'the')",0.0,The Sheep's in the Meadow
"('the', 'packing')",0.0,The Sheep's in the Meadow
"('packing', 'away')",0.1111111111111111,The Sheep's in the Meadow
"('away', 'of')",0.0,The Sheep's in the Meadow
"('of', 'my')",0.0,The Sheep's in the Meadow
