categoria,metafora,metonimia,w,metacategoria,metafora_n,metonimia_n
reportage,804307.8590497638,254.57564380064355,2244,non-fiction,0.02367771961614462,0.5515211687965111
editorial,797847.982604727,256.40300255300195,2241,non-fiction,0.0032612256068218493,0.5845151795269166
reviews,926295.4083615864,234.46358363858295,2342,non-fiction,0.4092203984781171,0.1883863831715331
religion,935931.8321572712,233.24144189144172,2317,non-fiction,0.43967639719107376,0.16631991271672408
skills & hobbies,916884.62774593,232.22511377511276,2370,non-fiction,0.3794775469394902,0.14796952545286945
popular lore,796816.1152101667,263.7263361638353,2258,non-fiction,0.0,0.7167421696712069
belles lettres,861343.6692835388,239.3655889861766,2359,non-fiction,0.20393987909590372,0.276894902273364
miscellaneous,863173.038736266,279.4144463379755,2316,neither,0.20972161668643263,1.0
learned,907069.3580927892,255.3453282828281,2334,non-fiction,0.3484563043850435,0.5654182637328224
general fiction,870179.8901159727,224.0298867798861,2345,fiction,0.23186682959184557,0.0
mistery and detective fiction,914219.7991227966,256.1841630591622,2331,fiction,0.37105533359176013,0.5805639069053434
science fiction,1000556.046812526,255.7852647352645,2369,fiction,0.6439217728715843,0.5733615687973854
adventure and western fiction,835693.3281863902,228.3971750471748,2279,fiction,0.12287175963529284,0.07885389542022292
romance and love story,1113220.902539808,261.2546370296359,2546,fiction,1.0,0.6721142236530211
