w,taza
wooden,1.0, A Cup of the Sun
belied,100.0, A Cup of the Sun
also,0.020491803278688527, A Cup of the Sun
tunneled,100.0, A Cup of the Sun
For,1000.0, A Cup of the Sun
above,0.5, A Cup of the Sun
disliked,2.0, A Cup of the Sun
next,0.057692307692307696, A Cup of the Sun
grasp,0.2647058823529412, A Cup of the Sun
by,0.0411663807890223, A Cup of the Sun
slid,6.0, A Cup of the Sun
swirled,100.0, A Cup of the Sun
biggest,0.1574074074074074, A Cup of the Sun
them,3000.0, A Cup of the Sun
released,0.25, A Cup of the Sun
moving,0.09134615384615384, A Cup of the Sun
pact,0.42857142857142855, A Cup of the Sun
stretched,0.4782608695652174, A Cup of the Sun
That,1000.0, A Cup of the Sun
touch,1.1370967741935485, A Cup of the Sun
tapering,0.21052631578947367, A Cup of the Sun
that's,1000.0, A Cup of the Sun
creaking,7.0, A Cup of the Sun
downcast,0.06077348066298343, A Cup of the Sun
toes,4.0, A Cup of the Sun
smoked,0.8333333333333334, A Cup of the Sun
leg,0.6363636363636364, A Cup of the Sun
whirling,3.2, A Cup of the Sun
as,0.05154907576152044, A Cup of the Sun
always,0.13445378151260504, A Cup of the Sun
fear,0.2682926829268293, A Cup of the Sun
figure,0.11484593837535015, A Cup of the Sun
station,0.038834951456310676, A Cup of the Sun
elders,1.5, A Cup of the Sun
silent,0.07317073170731708, A Cup of the Sun
sure,0.1801801801801802, A Cup of the Sun
pushed,0.17582417582417584, A Cup of the Sun
bill,1.3076923076923077, A Cup of the Sun
other,0.02564102564102564, A Cup of the Sun
guessed,0.112, A Cup of the Sun
mood,0.7, A Cup of the Sun
raise,0.32450331125827814, A Cup of the Sun
against,9000.0, A Cup of the Sun
paste,0.36363636363636365, A Cup of the Sun
ones,0.010291595197255574, A Cup of the Sun
Rossi,1000.0, A Cup of the Sun
shouldn't,1000.0, A Cup of the Sun
straining,0.5333333333333333, A Cup of the Sun
sun,1.3199999999999998, A Cup of the Sun
away,0.021148036253776436, A Cup of the Sun
Dante,100.0, A Cup of the Sun
same,0.0599250936329588, A Cup of the Sun
kiss,6.0, A Cup of the Sun
pulling,0.6097560975609756, A Cup of the Sun
park,0.6470588235294118, A Cup of the Sun
alleyways,1.5, A Cup of the Sun
and,55000.0, A Cup of the Sun
mouths,0.2631578947368421, A Cup of the Sun
son,0.06578947368421052, A Cup of the Sun
questioned,0.14893617021276595, A Cup of the Sun
Sameness,200.0, A Cup of the Sun
cheesecloth,100.0, A Cup of the Sun
property,0.0736842105263158, A Cup of the Sun
Bari,100.0, A Cup of the Sun
happened,0.16190476190476188, A Cup of the Sun
impetuous,6.0, A Cup of the Sun
else,1000.0, A Cup of the Sun
seams,0.19444444444444442, A Cup of the Sun
feasting,0.8571428571428571, A Cup of the Sun
smooth,0.136, A Cup of the Sun
him,27000.0, A Cup of the Sun
stockings,0.15217391304347827, A Cup of the Sun
closer,0.5714285714285714, A Cup of the Sun
tower,1.125, A Cup of the Sun
fortresses,2.0, A Cup of the Sun
portentous,2.6666666666666665, A Cup of the Sun
city's,1000.0, A Cup of the Sun
past,0.012987012987012988, A Cup of the Sun
doesn't,1000.0, A Cup of the Sun
grape,100.0, A Cup of the Sun
The,12000.0, A Cup of the Sun
hold,0.15416238437821173, A Cup of the Sun
surveyed,0.4, A Cup of the Sun
shining,0.5769230769230769, A Cup of the Sun
light,0.6666666666666666, A Cup of the Sun
buttocks,0.09287925696594426, A Cup of the Sun
sensing,0.07865168539325842, A Cup of the Sun
up,0.07643312101910828, A Cup of the Sun
two-story,1000.0, A Cup of the Sun
hedge,9.333333333333334, A Cup of the Sun
glowed,1.0, A Cup of the Sun
brother,0.47368421052631576, A Cup of the Sun
price,0.13043478260869565, A Cup of the Sun
torn,0.5151515151515151, A Cup of the Sun
hatred,0.375, A Cup of the Sun
cards,0.8387096774193549, A Cup of the Sun
might,0.021582733812949638, A Cup of the Sun
local,0.25, A Cup of the Sun
unity,0.007698887938408896, A Cup of the Sun
warmth,0.5714285714285714, A Cup of the Sun
provided,0.15789473684210528, A Cup of the Sun
When,1000.0, A Cup of the Sun
daydreaming,1.2, A Cup of the Sun
life,0.09523809523809523, A Cup of the Sun
looking,0.11413043478260869, A Cup of the Sun
eye,0.11594202898550725, A Cup of the Sun
distance,0.2647058823529412, A Cup of the Sun
meantime,1.25, A Cup of the Sun
