w,taza
contract,0.08633093525179855," The Atlanta Constitution,"
financial,2.0," The Atlanta Constitution,"
found,0.07214428857715431," The Atlanta Constitution,"
leadership,0.12," The Atlanta Constitution,"
also,0.020491803278688527," The Atlanta Constitution,"
next,0.1730769230769231," The Atlanta Constitution,"
strategy,2.0," The Atlanta Constitution,"
above,0.25," The Atlanta Constitution,"
besides,0.024590163934426233," The Atlanta Constitution,"
guess,0.16551724137931034," The Atlanta Constitution,"
democratic,0.8999999999999999," The Atlanta Constitution,"
For,1000.0," The Atlanta Constitution,"
by,0.06174957118353345," The Atlanta Constitution,"
last,0.14285714285714285," The Atlanta Constitution,"
ultimate,0.2," The Atlanta Constitution,"
neighbors,0.6666666666666666," The Atlanta Constitution,"
careful,0.45454545454545453," The Atlanta Constitution,"
Unquestionably,1.4," The Atlanta Constitution,"
them,2000.0," The Atlanta Constitution,"
John,0.07782101167315175," The Atlanta Constitution,"
repulsive,6.0," The Atlanta Constitution,"
real,0.06914893617021277," The Atlanta Constitution,"
members,1.5," The Atlanta Constitution,"
risk,0.38095238095238093," The Atlanta Constitution,"
balanced,0.2222222222222222," The Atlanta Constitution,"
That,1000.0," The Atlanta Constitution,"
carrying,0.11965811965811965," The Atlanta Constitution,"
constitute,0.014141414141414142," The Atlanta Constitution,"
strength,1.517241379310345," The Atlanta Constitution,"
outline,0.9230769230769231," The Atlanta Constitution,"
replacing,0.6875," The Atlanta Constitution,"
A-bombs,100.0," The Atlanta Constitution,"
If,1000.0," The Atlanta Constitution,"
propaganda,1.0," The Atlanta Constitution,"
House,0.07655502392344497," The Atlanta Constitution,"
conservative,2.6666666666666665," The Atlanta Constitution,"
institutions,2.2857142857142856," The Atlanta Constitution,"
Dulles,2.4," The Atlanta Constitution,"
grant,0.31506849315068497," The Atlanta Constitution,"
historic,0.25," The Atlanta Constitution,"
gives,0.04401228249744115," The Atlanta Constitution,"
group,0.1935483870967742," The Atlanta Constitution,"
as,0.0630044259307472," The Atlanta Constitution,"
progress,0.9500000000000001," The Atlanta Constitution,"
fear,0.2682926829268293," The Atlanta Constitution,"
figure,0.11484593837535015," The Atlanta Constitution,"
mentally,100.0," The Atlanta Constitution,"
professor,2.0," The Atlanta Constitution,"
numerous,0.3333333333333333," The Atlanta Constitution,"
seeking,0.14285714285714285," The Atlanta Constitution,"
bills,1.3076923076923077," The Atlanta Constitution,"
judges,0.24615384615384617," The Atlanta Constitution,"
desire,0.041666666666666664," The Atlanta Constitution,"
results,0.09424083769633508," The Atlanta Constitution,"
home,0.07299270072992702," The Atlanta Constitution,"
dictator,3.0," The Atlanta Constitution,"
fate,0.18867924528301888," The Atlanta Constitution,"
countries,0.05921052631578947," The Atlanta Constitution,"
dictatorship,5.5," The Atlanta Constitution,"
go-it-alone,1000.0," The Atlanta Constitution,"
tends,0.10638297872340426," The Atlanta Constitution,"
legislators,0.5," The Atlanta Constitution,"
other,0.05128205128205128," The Atlanta Constitution,"
raise,0.6490066225165563," The Atlanta Constitution,"
another,0.03278688524590164," The Atlanta Constitution,"
drive,0.0813953488372093," The Atlanta Constitution,"
problems,0.06315789473684211," The Atlanta Constitution,"
frankly,0.75," The Atlanta Constitution,"
away,0.007049345417925478," The Atlanta Constitution,"
sort,0.09027777777777778," The Atlanta Constitution,"
same,0.0299625468164794," The Atlanta Constitution,"
doctors,0.5," The Atlanta Constitution,"
considered,0.04896907216494845," The Atlanta Constitution,"
management,0.18181818181818182," The Atlanta Constitution,"
oppressive,3.0," The Atlanta Constitution,"
filled,0.10483870967741936," The Atlanta Constitution,"
amply,0.3," The Atlanta Constitution,"
choice,0.18," The Atlanta Constitution,"
and,61000.0," The Atlanta Constitution,"
level,0.09003215434083602," The Atlanta Constitution,"
Considering,0.048," The Atlanta Constitution,"
performed,0.01829268292682927," The Atlanta Constitution,"
justice,0.4," The Atlanta Constitution,"
balance,0.5625," The Atlanta Constitution,"
proudly,1.0," The Atlanta Constitution,"
Jefferson,1.5," The Atlanta Constitution,"
crisis-to-crisis,1000.0," The Atlanta Constitution,"
legislation,8.0," The Atlanta Constitution,"
him,2000.0," The Atlanta Constitution,"
Parkway,0.18181818181818182," The Atlanta Constitution,"
promptly,0.23076923076923078," The Atlanta Constitution,"
office,0.06643356643356643," The Atlanta Constitution,"
placed,0.06960556844547564," The Atlanta Constitution,"
regularly,0.5," The Atlanta Constitution,"
squarely,0.5454545454545455," The Atlanta Constitution,"
censure,100.0," The Atlanta Constitution,"
freedom,0.42857142857142855," The Atlanta Constitution,"
past,0.012987012987012988," The Atlanta Constitution,"
insured,0.08383233532934131," The Atlanta Constitution,"
The,23000.0," The Atlanta Constitution,"
health,1.2," The Atlanta Constitution,"
officials,0.3333333333333333," The Atlanta Constitution,"
suppressed,1.2727272727272727," The Atlanta Constitution,"
start,0.18404907975460122," The Atlanta Constitution,"
up,0.03821656050955414," The Atlanta Constitution,"
weakened,0.3283582089552239," The Atlanta Constitution,"
Women,0.16666666666666666," The Atlanta Constitution,"
reforms,6.0," The Atlanta Constitution,"
limits,0.3181818181818182," The Atlanta Constitution,"
additional,0.10526315789473684," The Atlanta Constitution,"
better,0.06916426512968299," The Atlanta Constitution,"
price,0.13043478260869565," The Atlanta Constitution,"
authoritarianism,2.75," The Atlanta Constitution,"
administrator,0.5," The Atlanta Constitution,"
state,0.5343511450381679," The Atlanta Constitution,"
Congress,1.9565217391304346," The Atlanta Constitution,"
illustrating,0.21428571428571427," The Atlanta Constitution,"
greater,0.12807881773399016," The Atlanta Constitution,"
