w,taza
Some,0.017578125,"An Act for International Development, A Summary Presentation"
experience,0.00932642487046632,"An Act for International Development, A Summary Presentation"
sovereignty,2.0,"An Act for International Development, A Summary Presentation"
dishonesty,100.0,"An Act for International Development, A Summary Presentation"
completely,0.01639344262295082,"An Act for International Development, A Summary Presentation"
success,0.8,"An Act for International Development, A Summary Presentation"
self-help,1300.0,"An Act for International Development, A Summary Presentation"
insist,0.6666666666666666,"An Act for International Development, A Summary Presentation"
as,0.12028117677688102,"An Act for International Development, A Summary Presentation"
kind,0.14285714285714285,"An Act for International Development, A Summary Presentation"
actions,0.24324324324324326,"An Act for International Development, A Summary Presentation"
expansion,2.0,"An Act for International Development, A Summary Presentation"
little,0.13930348258706468,"An Act for International Development, A Summary Presentation"
design,0.17204301075268819,"An Act for International Development, A Summary Presentation"
at,0.032520325203252036,"An Act for International Development, A Summary Presentation"
Second,0.07191780821917808,"An Act for International Development, A Summary Presentation"
limits,0.3181818181818182,"An Act for International Development, A Summary Presentation"
tough,0.38888888888888884,"An Act for International Development, A Summary Presentation"
In,0.03729796933278077,"An Act for International Development, A Summary Presentation"
consumption,0.20289855072463767,"An Act for International Development, A Summary Presentation"
be,0.6896551724137931,"An Act for International Development, A Summary Presentation"
political,0.26666666666666666,"An Act for International Development, A Summary Presentation"
persuade,0.3,"An Act for International Development, A Summary Presentation"
which,15000.0,"An Act for International Development, A Summary Presentation"
relied,0.26666666666666666,"An Act for International Development, A Summary Presentation"
honest,0.03783783783783784,"An Act for International Development, A Summary Presentation"
periods,0.18309859154929578,"An Act for International Development, A Summary Presentation"
because,1000.0,"An Act for International Development, A Summary Presentation"
),7000.0,"An Act for International Development, A Summary Presentation"
since,1000.0,"An Act for International Development, A Summary Presentation"
leadership,0.12,"An Act for International Development, A Summary Presentation"
cases,0.4304932735426009,"An Act for International Development, A Summary Presentation"
hand,0.1095890410958904,"An Act for International Development, A Summary Presentation"
described,0.12195121951219513,"An Act for International Development, A Summary Presentation"
plants,0.0958904109589041,"An Act for International Development, A Summary Presentation"
spur,12.0,"An Act for International Development, A Summary Presentation"
analysis,0.36363636363636365,"An Act for International Development, A Summary Presentation"
detailed,0.4,"An Act for International Development, A Summary Presentation"
trained,0.17543859649122806,"An Act for International Development, A Summary Presentation"
will,0.3,"An Act for International Development, A Summary Presentation"
advanced,1.173913043478261,"An Act for International Development, A Summary Presentation"
firms,0.047058823529411764,"An Act for International Development, A Summary Presentation"
alter,0.21428571428571427,"An Act for International Development, A Summary Presentation"
but,0.0324254215304799,"An Act for International Development, A Summary Presentation"
construct,0.06766917293233082,"An Act for International Development, A Summary Presentation"
groups,0.1935483870967742,"An Act for International Development, A Summary Presentation"
hope,0.14035087719298245,"An Act for International Development, A Summary Presentation"
external,0.3333333333333333,"An Act for International Development, A Summary Presentation"
come,0.0508130081300813,"An Act for International Development, A Summary Presentation"
ourselves,1000.0,"An Act for International Development, A Summary Presentation"
business,0.14953271028037382,"An Act for International Development, A Summary Presentation"
Dams,100.0,"An Act for International Development, A Summary Presentation"
conditions,1.4615384615384615,"An Act for International Development, A Summary Presentation"
part,0.1512605042016807,"An Act for International Development, A Summary Presentation"
complex,0.5333333333333333,"An Act for International Development, A Summary Presentation"
2,0.05434782608695653,"An Act for International Development, A Summary Presentation"
military,1.4285714285714286,"An Act for International Development, A Summary Presentation"
decade,0.5121951219512195,"An Act for International Development, A Summary Presentation"
adopt,0.2857142857142857,"An Act for International Development, A Summary Presentation"
(,7000.0,"An Act for International Development, A Summary Presentation"
establish,0.11515151515151516,"An Act for International Development, A Summary Presentation"
call,0.2624113475177305,"An Act for International Development, A Summary Presentation"
toward,2000.0,"An Act for International Development, A Summary Presentation"
might,0.021582733812949638,"An Act for International Development, A Summary Presentation"
definition,0.25,"An Act for International Development, A Summary Presentation"
identification,0.5,"An Act for International Development, A Summary Presentation"
point,0.25474254742547425,"An Act for International Development, A Summary Presentation"
peoples,0.07272727272727272,"An Act for International Development, A Summary Presentation"
reduction,1.090909090909091,"An Act for International Development, A Summary Presentation"
use,0.368,"An Act for International Development, A Summary Presentation"
this,5000.0,"An Act for International Development, A Summary Presentation"
made,0.13342053629823414,"An Act for International Development, A Summary Presentation"
lists,0.08737864077669903,"An Act for International Development, A Summary Presentation"
internal,0.09722222222222221,"An Act for International Development, A Summary Presentation"
occur,0.08849557522123894,"An Act for International Development, A Summary Presentation"
enter,0.3278688524590164,"An Act for International Development, A Summary Presentation"
applying,0.08783783783783783,"An Act for International Development, A Summary Presentation"
equitably,100.0,"An Act for International Development, A Summary Presentation"
energies,1.8666666666666667,"An Act for International Development, A Summary Presentation"
remake,100.0,"An Act for International Development, A Summary Presentation"
waste,1.3333333333333333,"An Act for International Development, A Summary Presentation"
performing,0.03954802259887006,"An Act for International Development, A Summary Presentation"
accurate,0.6,"An Act for International Development, A Summary Presentation"
stage,0.08029197080291971,"An Act for International Development, A Summary Presentation"
.,95000.0,"An Act for International Development, A Summary Presentation"
sixties,1.2,"An Act for International Development, A Summary Presentation"
work,0.13442622950819672,"An Act for International Development, A Summary Presentation"
unwarranted,0.9230769230769231,"An Act for International Development, A Summary Presentation"
communications,1.3333333333333333,"An Act for International Development, A Summary Presentation"
perspective,0.1,"An Act for International Development, A Summary Presentation"
systems,0.16666666666666666,"An Act for International Development, A Summary Presentation"
result,0.09424083769633508,"An Act for International Development, A Summary Presentation"
interest,0.2181818181818182,"An Act for International Development, A Summary Presentation"
concentrated,0.2236842105263158,"An Act for International Development, A Summary Presentation"
formulation,0.2777777777777778,"An Act for International Development, A Summary Presentation"
supplier,100.0,"An Act for International Development, A Summary Presentation"
few,0.04225352112676056,"An Act for International Development, A Summary Presentation"
undertake,0.5,"An Act for International Development, A Summary Presentation"
transportation,2.5,"An Act for International Development, A Summary Presentation"
power,0.31979695431472077,"An Act for International Development, A Summary Presentation"
designed,0.45283018867924524,"An Act for International Development, A Summary Presentation"
must,0.5217391304347826,"An Act for International Development, A Summary Presentation"
managerial,100.0,"An Act for International Development, A Summary Presentation"
foreign,0.3076923076923077,"An Act for International Development, A Summary Presentation"
capacity,0.46153846153846156,"An Act for International Development, A Summary Presentation"
investment,2.2222222222222223,"An Act for International Development, A Summary Presentation"
only,0.09202453987730061,"An Act for International Development, A Summary Presentation"
B,1.4736842105263157,"An Act for International Development, A Summary Presentation"
influence,0.056603773584905655,"An Act for International Development, A Summary Presentation"
related,0.5142857142857143,"An Act for International Development, A Summary Presentation"
press,0.4871794871794871,"An Act for International Development, A Summary Presentation"
financial,3.0,"An Act for International Development, A Summary Presentation"
continuation,8.0,"An Act for International Development, A Summary Presentation"
in,0.16991297140489017,"An Act for International Development, A Summary Presentation"
ministries,1.0,"An Act for International Development, A Summary Presentation"
their,13000.0,"An Act for International Development, A Summary Presentation"
if,3000.0,"An Act for International Development, A Summary Presentation"
corruption,10.0,"An Act for International Development, A Summary Presentation"
measures,0.485981308411215,"An Act for International Development, A Summary Presentation"
most,0.13968957871396895,"An Act for International Development, A Summary Presentation"
Aid,0.2,"An Act for International Development, A Summary Presentation"
period,0.18309859154929578,"An Act for International Development, A Summary Presentation"
would,3000.0,"An Act for International Development, A Summary Presentation"
application,0.7272727272727273,"An Act for International Development, A Summary Presentation"
wise,0.8823529411764706,"An Act for International Development, A Summary Presentation"
before,0.15584415584415584,"An Act for International Development, A Summary Presentation"
marginal,0.5714285714285714,"An Act for International Development, A Summary Presentation"
diplomacy,3.5,"An Act for International Development, A Summary Presentation"
networks,1.1666666666666667,"An Act for International Development, A Summary Presentation"
sure,0.0900900900900901,"An Act for International Development, A Summary Presentation"
potential,0.14754098360655737,"An Act for International Development, A Summary Presentation"
To,2000.0,"An Act for International Development, A Summary Presentation"
regimes,0.42105263157894735,"An Act for International Development, A Summary Presentation"
ways,0.06147540983606558,"An Act for International Development, A Summary Presentation"
home,0.07299270072992702,"An Act for International Development, A Summary Presentation"
exports,1.0,"An Act for International Development, A Summary Presentation"
for,23000.0,"An Act for International Development, A Summary Presentation"
posture,0.2,"An Act for International Development, A Summary Presentation"
country,0.5328947368421052,"An Act for International Development, A Summary Presentation"
expenditures,3.5,"An Act for International Development, A Summary Presentation"
worst,0.2,"An Act for International Development, A Summary Presentation"
service,0.2191780821917808,"An Act for International Development, A Summary Presentation"
thrust,0.4375,"An Act for International Development, A Summary Presentation"
both,0.013157894736842105,"An Act for International Development, A Summary Presentation"
proper,0.021505376344086023,"An Act for International Development, A Summary Presentation"
budgeting,3.0,"An Act for International Development, A Summary Presentation"
blunt,2.5,"An Act for International Development, A Summary Presentation"
given,0.09741550695825049,"An Act for International Development, A Summary Presentation"
pro-Western,1000.0,"An Act for International Development, A Summary Presentation"
costs,0.007792207792207791,"An Act for International Development, A Summary Presentation"
extent,0.1111111111111111,"An Act for International Development, A Summary Presentation"
imposed,0.7777777777777777,"An Act for International Development, A Summary Presentation"
recipients,200.0,"An Act for International Development, A Summary Presentation"
those,5000.0,"An Act for International Development, A Summary Presentation"
ones,0.01543739279588336,"An Act for International Development, A Summary Presentation"
United,0.9090909090909091,"An Act for International Development, A Summary Presentation"
manner,0.03870967741935484,"An Act for International Development, A Summary Presentation"
next,0.057692307692307696,"An Act for International Development, A Summary Presentation"
range,0.32950191570881227,"An Act for International Development, A Summary Presentation"
make,0.297029702970297,"An Act for International Development, A Summary Presentation"
consistency,0.0784313725490196,"An Act for International Development, A Summary Presentation"
nonexistent,100.0,"An Act for International Development, A Summary Presentation"
1,0.013686911890504704,"An Act for International Development, A Summary Presentation"
