w,taza
sentimental,100.0,Christian Ethics & the Sit-In
Then,0.009876543209876543,Christian Ethics & the Sit-In
power,0.31979695431472077,Christian Ethics & the Sit-In
like,0.06769230769230769,Christian Ethics & the Sit-In
Nashville,100.0,Christian Ethics & the Sit-In
either,0.13793103448275862,Christian Ethics & the Sit-In
throughout,0.375,Christian Ethics & the Sit-In
new,0.05641025641025641,Christian Ethics & the Sit-In
pre-Civil,1000.0,Christian Ethics & the Sit-In
into,2000.0,Christian Ethics & the Sit-In
most,0.05986696230598669,Christian Ethics & the Sit-In
undue,1.5,Christian Ethics & the Sit-In
remember,0.12643678160919541,Christian Ethics & the Sit-In
opposite,0.48148148148148145,Christian Ethics & the Sit-In
contrary,0.2916666666666667,Christian Ethics & the Sit-In
wise,0.8823529411764706,Christian Ethics & the Sit-In
virtue,0.6,Christian Ethics & the Sit-In
1307,1000.0,Christian Ethics & the Sit-In
documented,2.0,Christian Ethics & the Sit-In
been,0.04455445544554456,Christian Ethics & the Sit-In
march,1.1666666666666665,Christian Ethics & the Sit-In
end,0.1299638989169675,Christian Ethics & the Sit-In
loses,0.625,Christian Ethics & the Sit-In
down,0.1703056768558952,Christian Ethics & the Sit-In
skins,0.75,Christian Ethics & the Sit-In
others,3000.0,Christian Ethics & the Sit-In
question,0.23943661971830985,Christian Ethics & the Sit-In
A,0.008843537414965985,Christian Ethics & the Sit-In
city,0.06818181818181819,Christian Ethics & the Sit-In
'',11000.0,Christian Ethics & the Sit-In
leading,0.056485355648535567,Christian Ethics & the Sit-In
than,6000.0,Christian Ethics & the Sit-In
whose,2000.0,Christian Ethics & the Sit-In
Journal,100.0,Christian Ethics & the Sit-In
pressure,4.146341463414634,Christian Ethics & the Sit-In
legal,0.20689655172413796,Christian Ethics & the Sit-In
objectively,1.0,Christian Ethics & the Sit-In
top,0.3333333333333333,Christian Ethics & the Sit-In
would,13000.0,Christian Ethics & the Sit-In
salutary,0.014925373134328358,Christian Ethics & the Sit-In
And,1000.0,Christian Ethics & the Sit-In
across,0.08108108108108107,Christian Ethics & the Sit-In
physical,0.6428571428571428,Christian Ethics & the Sit-In
as,0.045821400676907056,Christian Ethics & the Sit-In
correct,0.13245033112582782,Christian Ethics & the Sit-In
moral,0.5,Christian Ethics & the Sit-In
conform,0.5,Christian Ethics & the Sit-In
Negroes,0.5555555555555556,Christian Ethics & the Sit-In
mode,0.11392405063291139,Christian Ethics & the Sit-In
good,0.19750889679715303,Christian Ethics & the Sit-In
adherents,100.0,Christian Ethics & the Sit-In
everywhere,0.375,Christian Ethics & the Sit-In
persons,0.15789473684210528,Christian Ethics & the Sit-In
at,0.013008130081300813,Christian Ethics & the Sit-In
One,0.01454234388366125,Christian Ethics & the Sit-In
if,5000.0,Christian Ethics & the Sit-In
their,3000.0,Christian Ethics & the Sit-In
our,2000.0,Christian Ethics & the Sit-In
forms,0.1705150976909414,Christian Ethics & the Sit-In
the,119000.0,Christian Ethics & the Sit-In
sustenance,0.19047619047619047,Christian Ethics & the Sit-In
There,0.043478260869565216,Christian Ethics & the Sit-In
pockets,0.8,Christian Ethics & the Sit-In
supported,0.14522821576763484,Christian Ethics & the Sit-In
which,12000.0,Christian Ethics & the Sit-In
perhaps,0.13636363636363638,Christian Ethics & the Sit-In
taken,0.05569205569205569,Christian Ethics & the Sit-In
Peace,0.7692307692307692,Christian Ethics & the Sit-In
despoiled,0.6538461538461539,Christian Ethics & the Sit-In
(,5000.0,Christian Ethics & the Sit-In
divine,1.4166666666666665,Christian Ethics & the Sit-In
resorted,0.5714285714285714,Christian Ethics & the Sit-In
sure,0.0900900900900901,Christian Ethics & the Sit-In
effectiveness,1.0,Christian Ethics & the Sit-In
lays,0.04128440366972477,Christian Ethics & the Sit-In
sufficiently,0.14285714285714285,Christian Ethics & the Sit-In
vote,0.875,Christian Ethics & the Sit-In
poured,1.6666666666666667,Christian Ethics & the Sit-In
ago,0.05128205128205128,Christian Ethics & the Sit-In
choice,0.18,Christian Ethics & the Sit-In
are,0.07614607614607614,Christian Ethics & the Sit-In
wide,0.3148148148148148,Christian Ethics & the Sit-In
applauded,1.3333333333333333,Christian Ethics & the Sit-In
It,500.0,Christian Ethics & the Sit-In
non-violent,10000.0,Christian Ethics & the Sit-In
exploitation,0.1923076923076923,Christian Ethics & the Sit-In
general,0.627906976744186,Christian Ethics & the Sit-In
concentrated,0.4473684210526316,Christian Ethics & the Sit-In
surround,0.39534883720930236,Christian Ethics & the Sit-In
Nobody,0.5714285714285714,Christian Ethics & the Sit-In
over,0.14583333333333334,Christian Ethics & the Sit-In
America,0.5161290322580645,Christian Ethics & the Sit-In
any,0.13186813186813187,Christian Ethics & the Sit-In
segregation,6.0,Christian Ethics & the Sit-In
recently,0.125,Christian Ethics & the Sit-In
today,0.018867924528301886,Christian Ethics & the Sit-In
marches,0.4259259259259259,Christian Ethics & the Sit-In
