w,taza
quick,0.14893617021276595,"Christopher Davis, First Family."
politeness,3.0,"Christopher Davis, First Family."
useless,0.5,"Christopher Davis, First Family."
tiring,0.8461538461538461,"Christopher Davis, First Family."
mind,0.1797752808988764,"Christopher Davis, First Family."
next,0.057692307692307696,"Christopher Davis, First Family."
by,0.0274442538593482,"Christopher Davis, First Family."
drunk,0.8571428571428571,"Christopher Davis, First Family."
pleasant,0.3333333333333333,"Christopher Davis, First Family."
them,1000.0,"Christopher Davis, First Family."
moving,0.09134615384615384,"Christopher Davis, First Family."
members,0.75,"Christopher Davis, First Family."
That,1000.0,"Christopher Davis, First Family."
stronger,0.5148514851485149,"Christopher Davis, First Family."
touch,0.3790322580645162,"Christopher Davis, First Family."
drove,0.07191780821917808,"Christopher Davis, First Family."
really,0.09195402298850575,"Christopher Davis, First Family."
that's,1000.0,"Christopher Davis, First Family."
exercise,0.09925558312655088,"Christopher Davis, First Family."
loudly,2.0,"Christopher Davis, First Family."
got,0.14935988620199148,"Christopher Davis, First Family."
suits,0.1346153846153846,"Christopher Davis, First Family."
joints,0.9230769230769231,"Christopher Davis, First Family."
parents',1000.0,"Christopher Davis, First Family."
later,0.07614213197969544,"Christopher Davis, First Family."
as,0.09164280135381411,"Christopher Davis, First Family."
polite,0.875,"Christopher Davis, First Family."
progress,0.9500000000000001,"Christopher Davis, First Family."
always,0.20168067226890757,"Christopher Davis, First Family."
seizure,3.3333333333333335,"Christopher Davis, First Family."
churches,0.07407407407407407,"Christopher Davis, First Family."
seeking,0.14285714285714285,"Christopher Davis, First Family."
gracefully,2.0,"Christopher Davis, First Family."
desire,0.041666666666666664,"Christopher Davis, First Family."
home,0.21897810218978103,"Christopher Davis, First Family."
silent,0.07317073170731708,"Christopher Davis, First Family."
times,0.04954954954954954,"Christopher Davis, First Family."
downstairs,0.4166666666666667,"Christopher Davis, First Family."
ear,3.3333333333333335,"Christopher Davis, First Family."
other,0.01282051282051282,"Christopher Davis, First Family."
three-sectioned,1000.0,"Christopher Davis, First Family."
son's,1000.0,"Christopher Davis, First Family."
bright,0.5416666666666666,"Christopher Davis, First Family."
folded,0.27586206896551724,"Christopher Davis, First Family."
another,0.06557377049180328,"Christopher Davis, First Family."
moved,0.29464285714285715,"Christopher Davis, First Family."
informally,100.0,"Christopher Davis, First Family."
away,0.014098690835850957,"Christopher Davis, First Family."
doctors,1.0,"Christopher Davis, First Family."
same,0.1198501872659176,"Christopher Davis, First Family."
Craig,1000.0,"Christopher Davis, First Family."
changed,0.15853658536585366,"Christopher Davis, First Family."
