w,taza
A,0.013265306122448979,Deadlier Than the Male.
dome,4.0,Deadlier Than the Male.
marriage,0.29032258064516125,Deadlier Than the Male.
kept,0.40336134453781514,Deadlier Than the Male.
beginning,0.06303724928366762,Deadlier Than the Male.
cautioned,3.0,Deadlier Than the Male.
left,0.30205949656750575,Deadlier Than the Male.
trial,0.09859154929577466,Deadlier Than the Male.
bet,0.2,Deadlier Than the Male.
Since,1000.0,Deadlier Than the Male.
Hey,1000.0,Deadlier Than the Male.
puttering,3.3333333333333335,Deadlier Than the Male.
moon,1.8333333333333335,Deadlier Than the Male.
illumined,0.10638297872340426,Deadlier Than the Male.
started,0.2040816326530612,Deadlier Than the Male.
Something,1000.0,Deadlier Than the Male.
growth,0.1694915254237288,Deadlier Than the Male.
married,1.090909090909091,Deadlier Than the Male.
vault,1.6666666666666667,Deadlier Than the Male.
with,18000.0,Deadlier Than the Male.
like,0.3046153846153846,Deadlier Than the Male.
lived,0.014375561545372867,Deadlier Than the Male.
who,700.0,Deadlier Than the Male.
clerk,4.0,Deadlier Than the Male.
past,0.012987012987012988,Deadlier Than the Male.
busily,100.0,Deadlier Than the Male.
This,1000.0,Deadlier Than the Male.
beginnings,0.06422018348623854,Deadlier Than the Male.
In,0.012432656444260256,Deadlier Than the Male.
close,0.4889867841409692,Deadlier Than the Male.
chairman,0.1923076923076923,Deadlier Than the Male.
For,1000.0,Deadlier Than the Male.
breathing,0.6,Deadlier Than the Male.
made,0.17789404839764553,Deadlier Than the Male.
white,0.5737704918032787,Deadlier Than the Male.
microscope,1.0,Deadlier Than the Male.
Well,0.08835341365461848,Deadlier Than the Male.
So,0.026143790849673203,Deadlier Than the Male.
hell,0.5142857142857143,Deadlier Than the Male.
trek,1.0,Deadlier Than the Male.
slight,0.0901639344262295,Deadlier Than the Male.
toward,1000.0,Deadlier Than the Male.
I've,1000.0,Deadlier Than the Male.
paper,0.6666666666666666,Deadlier Than the Male.
swivel,100.0,Deadlier Than the Male.
conditioner,4.0,Deadlier Than the Male.
life,0.19047619047619047,Deadlier Than the Male.
slide,2.0,Deadlier Than the Male.
easy,0.1627906976744186,Deadlier Than the Male.
to,49000.0,Deadlier Than the Male.
in,0.17405719021964358,Deadlier Than the Male.
down,1.1921397379912664,Deadlier Than the Male.
Lake,0.5,Deadlier Than the Male.
losing,0.625,Deadlier Than the Male.
sharp,0.6774193548387096,Deadlier Than the Male.
social,0.5333333333333333,Deadlier Than the Male.
chairs,0.2391304347826087,Deadlier Than the Male.
search,0.18947368421052632,Deadlier Than the Male.
forgotten,0.12903225806451613,Deadlier Than the Male.
seven,0.44999999999999996,Deadlier Than the Male.
rockets,10.0,Deadlier Than the Male.
file,0.9090909090909091,Deadlier Than the Male.
When,1000.0,Deadlier Than the Male.
azaleas,100.0,Deadlier Than the Male.
estate,0.1627906976744186,Deadlier Than the Male.
around,0.1553398058252427,Deadlier Than the Male.
Except,0.3333333333333333,Deadlier Than the Male.
gas,0.46808510638297873,Deadlier Than the Male.
finished,0.14150943396226415,Deadlier Than the Male.
plod,3.5,Deadlier Than the Male.
insurance,0.7272727272727273,Deadlier Than the Male.
air,1.4606741573033708,Deadlier Than the Male.
months,0.25,Deadlier Than the Male.
hemmed,100.0,Deadlier Than the Male.
century,0.10416666666666667,Deadlier Than the Male.
Gaylor's,1000.0,Deadlier Than the Male.
tempt,0.38888888888888884,Deadlier Than the Male.
inherited,1.4,Deadlier Than the Male.
gone,0.2764227642276423,Deadlier Than the Male.
tilted,0.7619047619047619,Deadlier Than the Male.
out-of-town,100.0,Deadlier Than the Male.
five,0.24590163934426232,Deadlier Than the Male.
half,0.05405405405405406,Deadlier Than the Male.
overnight,1.0,Deadlier Than the Male.
Nobody,0.5714285714285714,Deadlier Than the Male.
spring,0.1769230769230769,Deadlier Than the Male.
market,0.3125,Deadlier Than the Male.
leather,0.5,Deadlier Than the Male.
dirt,0.9375,Deadlier Than the Male.
match,0.2871287128712871,Deadlier Than the Male.
merging,0.7037037037037037,Deadlier Than the Male.
any,0.03296703296703297,Deadlier Than the Male.
them,2000.0,Deadlier Than the Male.
semitropical,100.0,Deadlier Than the Male.
``,29000.0,Deadlier Than the Male.
desk,0.14285714285714285,Deadlier Than the Male.
marked,0.256198347107438,Deadlier Than the Male.
through,0.22929936305732485,Deadlier Than the Male.
Lindsay,100.0,Deadlier Than the Male.
'',29000.0,Deadlier Than the Male.
familiar,0.36363636363636365,Deadlier Than the Male.
usually,0.25,Deadlier Than the Male.
society,0.7671232876712328,Deadlier Than the Male.
files,2.727272727272727,Deadlier Than the Male.
big,0.5,Deadlier Than the Male.
minutes,0.15853658536585366,Deadlier Than the Male.
Paul,3.0,Deadlier Than the Male.
Pity,3.3333333333333335,Deadlier Than the Male.
distracted,0.5,Deadlier Than the Male.
Revere,0.7333333333333334,Deadlier Than the Male.
rose,0.44303797468354433,Deadlier Than the Male.
janitor,1.0,Deadlier Than the Male.
Married,0.5454545454545455,Deadlier Than the Male.
four,0.3111111111111111,Deadlier Than the Male.
marriages,0.29032258064516125,Deadlier Than the Male.
has,0.025283347863993028,Deadlier Than the Male.
everything,1000.0,Deadlier Than the Male.
specifically,0.16666666666666666,Deadlier Than the Male.
lack,0.06060606060606061,Deadlier Than the Male.
was,0.5650060753341434,Deadlier Than the Male.
tried,0.16788321167883213,Deadlier Than the Male.
job,0.0979020979020979,Deadlier Than the Male.
advice,0.25,Deadlier Than the Male.
years,0.08,Deadlier Than the Male.
for,17000.0,Deadlier Than the Male.
Was,0.018226002430133656,Deadlier Than the Male.
one-,1000.0,Deadlier Than the Male.
cropping,0.08536585365853659,Deadlier Than the Male.
She,2000.0,Deadlier Than the Male.
He,0.0550098231827112,Deadlier Than the Male.
been,0.10396039603960397,Deadlier Than the Male.
contrast,0.1935483870967742,Deadlier Than the Male.
beyond,0.05555555555555555,Deadlier Than the Male.
others,1000.0,Deadlier Than the Male.
room,0.1893491124260355,Deadlier Than the Male.
looked,0.04927536231884058,Deadlier Than the Male.
basketball-playing,1000.0,Deadlier Than the Male.
some,0.10546875,Deadlier Than the Male.
followed,0.033136094674556214,Deadlier Than the Male.
ones,0.010291595197255574,Deadlier Than the Male.
ignoring,0.45454545454545453,Deadlier Than the Male.
and,59000.0,Deadlier Than the Male.
Mississippi,0.8,Deadlier Than the Male.
On,0.00228310502283105,Deadlier Than the Male.
information,0.5,Deadlier Than the Male.
sharing,0.25,Deadlier Than the Male.
I'm,4000.0,Deadlier Than the Male.
gallstone,100.0,Deadlier Than the Male.
businesses,0.14953271028037382,Deadlier Than the Male.
Before,0.025974025974025976,Deadlier Than the Male.
did,0.047524752475247525,Deadlier Than the Male.
