w,taza
like,0.13538461538461538,Dirty Dig Inn
Then,0.009876543209876543,Dirty Dig Inn
seen,0.10280373831775702,Dirty Dig Inn
new,0.11282051282051282,Dirty Dig Inn
Handsome,0.18666666666666668,Dirty Dig Inn
I,1.1291702309666383,Dirty Dig Inn
into,4000.0,Dirty Dig Inn
passed,0.18421052631578946,Dirty Dig Inn
armor,2.0,Dirty Dig Inn
opposite,0.48148148148148145,Dirty Dig Inn
yeah,100.0,Dirty Dig Inn
So,0.026143790849673203,Dirty Dig Inn
wise,1.7647058823529411,Dirty Dig Inn
sipping,100.0,Dirty Dig Inn
Sunday,0.5454545454545455,Dirty Dig Inn
aloud,0.6666666666666666,Dirty Dig Inn
helped,0.11864406779661017,Dirty Dig Inn
been,0.04455445544554456,Dirty Dig Inn
weather,0.32,Dirty Dig Inn
April,2.0,Dirty Dig Inn
Will,0.02,Dirty Dig Inn
grounded,0.09574468085106383,Dirty Dig Inn
night's,1000.0,Dirty Dig Inn
down,1.1921397379912664,Dirty Dig Inn
feel,0.18729096989966554,Dirty Dig Inn
cork,100.0,Dirty Dig Inn
waiting,0.08910891089108912,Dirty Dig Inn
Only,0.01840490797546012,Dirty Dig Inn
returned,0.2252252252252252,Dirty Dig Inn
mist-like,1000.0,Dirty Dig Inn
observed,0.12234042553191488,Dirty Dig Inn
tart,1.125,Dirty Dig Inn
silly,1.7272727272727273,Dirty Dig Inn
others,1000.0,Dirty Dig Inn
silent,0.07317073170731708,Dirty Dig Inn
unhappy,200.0,Dirty Dig Inn
straight,0.18478260869565216,Dirty Dig Inn
cabaret,0.6363636363636364,Dirty Dig Inn
known,0.10714285714285714,Dirty Dig Inn
A,0.008843537414965985,Dirty Dig Inn
bath,0.875,Dirty Dig Inn
ravenous,3.3333333333333335,Dirty Dig Inn
'',37000.0,Dirty Dig Inn
army,1.6,Dirty Dig Inn
ought,1000.0,Dirty Dig Inn
than,4000.0,Dirty Dig Inn
deeper,0.4905660377358491,Dirty Dig Inn
met,0.13989637305699482,Dirty Dig Inn
surprised,0.13043478260869565,Dirty Dig Inn
sober,0.8,Dirty Dig Inn
paid,0.1473684210526316,Dirty Dig Inn
flop,0.12359550561797751,Dirty Dig Inn
top,0.3333333333333333,Dirty Dig Inn
Swallow,0.5599999999999999,Dirty Dig Inn
crocked,0.9565217391304348,Dirty Dig Inn
would,3000.0,Dirty Dig Inn
grinned,0.5,Dirty Dig Inn
Claire,1000.0,Dirty Dig Inn
wet,0.9583333333333334,Dirty Dig Inn
garlic,100.0,Dirty Dig Inn
talked,0.2786885245901639,Dirty Dig Inn
dig,0.6923076923076923,Dirty Dig Inn
And,1000.0,Dirty Dig Inn
walked,0.11764705882352941,Dirty Dig Inn
longer,0.0948905109489051,Dirty Dig Inn
I'd,1000.0,Dirty Dig Inn
as,0.02863837542306691,Dirty Dig Inn
type,0.09523809523809523,Dirty Dig Inn
non,0.0033222591362126247,Dirty Dig Inn
you,5000.0,Dirty Dig Inn
married,0.5454545454545455,Dirty Dig Inn
When,1000.0,Dirty Dig Inn
good,0.5266903914590747,Dirty Dig Inn
de,2.0,Dirty Dig Inn
wager,0.3448275862068966,Dirty Dig Inn
Tour,0.07462686567164178,Dirty Dig Inn
Maybe,0.27272727272727276,Dirty Dig Inn
dignity,1.0,Dirty Dig Inn
umbrella,2.0,Dirty Dig Inn
Toward,1000.0,Dirty Dig Inn
cup,4.0,Dirty Dig Inn
instead,0.12698412698412698,Dirty Dig Inn
bottle,4.0,Dirty Dig Inn
at,0.07154471544715447,Dirty Dig Inn
Farina,100.0,Dirty Dig Inn
took,0.11092436974789915,Dirty Dig Inn
turned,0.06510416666666667,Dirty Dig Inn
much,0.18285714285714286,Dirty Dig Inn
aside,0.014545454545454545,Dirty Dig Inn
if,5000.0,Dirty Dig Inn
our,2000.0,Dirty Dig Inn
understood,0.17341040462427745,Dirty Dig Inn
imagine,0.08737864077669903,Dirty Dig Inn
together,0.1,Dirty Dig Inn
the,80000.0,Dirty Dig Inn
packed,0.17525773195876287,Dirty Dig Inn
Thanks,0.6,Dirty Dig Inn
There,0.08695652173913043,Dirty Dig Inn
chuckle,100.0,Dirty Dig Inn
eggs,0.6,Dirty Dig Inn
reasons,0.12222222222222222,Dirty Dig Inn
which,5000.0,Dirty Dig Inn
smile,0.8,Dirty Dig Inn
vital,0.45454545454545453,Dirty Dig Inn
drained,0.48275862068965514,Dirty Dig Inn
ears,1.6666666666666667,Dirty Dig Inn
(,2000.0,Dirty Dig Inn
women,0.5,Dirty Dig Inn
sentence,0.041237113402061855,Dirty Dig Inn
sun,0.43999999999999995,Dirty Dig Inn
sure,0.0900900900900901,Dirty Dig Inn
thinking,0.18367346938775508,Dirty Dig Inn
slept,0.2631578947368421,Dirty Dig Inn
shocked,0.4722222222222222,Dirty Dig Inn
topcoat,6.0,Dirty Dig Inn
caresses,100.0,Dirty Dig Inn
wisdom,1.3333333333333333,Dirty Dig Inn
magnum,100.0,Dirty Dig Inn
are,0.03263403263403263,Dirty Dig Inn
feed,0.08064516129032258,Dirty Dig Inn
sex,0.5238095238095238,Dirty Dig Inn
happier,0.16666666666666666,Dirty Dig Inn
unuttered,8.0,Dirty Dig Inn
It,800.0,Dirty Dig Inn
fixed,0.10787172011661808,Dirty Dig Inn
fog,0.8666666666666667,Dirty Dig Inn
concentrated,0.2236842105263158,Dirty Dig Inn
remarked,0.1794871794871795,Dirty Dig Inn
among,1000.0,Dirty Dig Inn
sweeter,1.75,Dirty Dig Inn
second,0.07191780821917808,Dirty Dig Inn
young,0.2876712328767123,Dirty Dig Inn
over,0.07291666666666667,Dirty Dig Inn
mirror,1.0,Dirty Dig Inn
