w,taza
here,0.25925925925925924,Encounter with Evil
catchup,1000.0,Encounter with Evil
clock,0.010582010582010581,Encounter with Evil
right,0.4226415094339623,Encounter with Evil
as,0.0630044259307472,Encounter with Evil
kind,0.047619047619047616,Encounter with Evil
really,0.09195402298850575,Encounter with Evil
actions,0.24324324324324326,Encounter with Evil
sucked,1.0555555555555556,Encounter with Evil
curse,6.75,Encounter with Evil
muttered,4.0,Encounter with Evil
little,0.208955223880597,Encounter with Evil
at,0.12357723577235773,Encounter with Evil
mouth,0.5263157894736842,Encounter with Evil
pushed,0.17582417582417584,Encounter with Evil
In,0.016576875259013676,Encounter with Evil
always,0.06722689075630252,Encounter with Evil
sound,0.07165109034267912,Encounter with Evil
be,0.13793103448275862,Encounter with Evil
try,0.35,Encounter with Evil
him,6000.0,Encounter with Evil
don't,7000.0,Encounter with Evil
drove,0.07191780821917808,Encounter with Evil
stays,0.28421052631578947,Encounter with Evil
jacket,1.4285714285714286,Encounter with Evil
Chicago,0.4,Encounter with Evil
because,2000.0,Encounter with Evil
luck,0.1285714285714286,Encounter with Evil
),2000.0,Encounter with Evil
onto,1000.0,Encounter with Evil
driver's,2000.0,Encounter with Evil
hand,0.3287671232876712,Encounter with Evil
angry,0.2777777777777778,Encounter with Evil
girl,0.18965517241379312,Encounter with Evil
detailed,0.4,Encounter with Evil
safe,0.04938271604938271,Encounter with Evil
walk,0.24324324324324326,Encounter with Evil
enable,1.0,Encounter with Evil
will,0.02,Encounter with Evil
lowered,1.222222222222222,Encounter with Evil
but,0.05836575875486382,Encounter with Evil
come,0.0508130081300813,Encounter with Evil
door,1.1578947368421053,Encounter with Evil
everything,1000.0,Encounter with Evil
again,0.16216216216216217,Encounter with Evil
He,0.04453176162409954,Encounter with Evil
finding,0.07268170426065163,Encounter with Evil
zipped,0.31578947368421056,Encounter with Evil
sturdy,0.5833333333333334,Encounter with Evil
opening,0.1590909090909091,Encounter with Evil
calling,0.20422535211267606,Encounter with Evil
distance,0.2647058823529412,Encounter with Evil
sideboard,1.5,Encounter with Evil
narrow,0.6190476190476191,Encounter with Evil
hundred,0.14583333333333334,Encounter with Evil
knows,0.11267605633802817,Encounter with Evil
(,2000.0,Encounter with Evil
solid,0.15384615384615385,Encounter with Evil
call,0.524822695035461,Encounter with Evil
toward,1000.0,Encounter with Evil
yourself,1000.0,Encounter with Evil
lost,0.4262295081967213,Encounter with Evil
sad,0.6666666666666666,Encounter with Evil
trembling,1.1111111111111112,Encounter with Evil
point,0.12737127371273713,Encounter with Evil
use,0.184,Encounter with Evil
this,4000.0,Encounter with Evil
stop,0.2233009708737864,Encounter with Evil
made,0.13342053629823414,Encounter with Evil
gaze,0.21428571428571427,Encounter with Evil
despair,2.0,Encounter with Evil
brains,0.3191489361702127,Encounter with Evil
started,0.1020408163265306,Encounter with Evil
teeth,0.27272727272727276,Encounter with Evil
alive,0.1111111111111111,Encounter with Evil
gets,0.09957325746799431,Encounter with Evil
scratch,1.08,Encounter with Evil
Dammit,1000.0,Encounter with Evil
Where,1000.0,Encounter with Evil
green,0.823529411764706,Encounter with Evil
comes,0.0508130081300813,Encounter with Evil
curled,1.25,Encounter with Evil
spread,1.1076923076923078,Encounter with Evil
instance,0.09333333333333334,Encounter with Evil
heart,0.3018867924528302,Encounter with Evil
slum,1.0,Encounter with Evil
.,145000.0,Encounter with Evil
been,0.07425742574257427,Encounter with Evil
above,0.25,Encounter with Evil
wet,1.9166666666666667,Encounter with Evil
off,0.10970464135021098,Encounter with Evil
work,0.20163934426229507,Encounter with Evil
husband's,1000.0,Encounter with Evil
walking,0.16,Encounter with Evil
attempts,0.171875,Encounter with Evil
never,0.041666666666666664,Encounter with Evil
arms,0.36,Encounter with Evil
frightened,1.6923076923076923,Encounter with Evil
careful,0.45454545454545453,Encounter with Evil
spot,0.15261044176706828,Encounter with Evil
break,0.2645502645502646,Encounter with Evil
put,0.25660377358490566,Encounter with Evil
few,0.014084507042253521,Encounter with Evil
about,0.16391184573002757,Encounter with Evil
appeared,0.056818181818181816,Encounter with Evil
glass,4.666666666666667,Encounter with Evil
hadn't,1000.0,Encounter with Evil
delinquency,100.0,Encounter with Evil
sniggered,100.0,Encounter with Evil
only,0.03680981595092024,Encounter with Evil
dangers,0.14285714285714285,Encounter with Evil
Walk,0.24324324324324326,Encounter with Evil
under,0.07407407407407407,Encounter with Evil
Lauren,6000.0,Encounter with Evil
rash,1.3333333333333333,Encounter with Evil
waved,0.7272727272727273,Encounter with Evil
in,0.09946125155408204,Encounter with Evil
between,0.14457831325301204,Encounter with Evil
their,4000.0,Encounter with Evil
if,3000.0,Encounter with Evil
thumb,0.8571428571428571,Encounter with Evil
Steiner,100.0,Encounter with Evil
would,5000.0,Encounter with Evil
stood,0.7083333333333333,Encounter with Evil
before,0.07792207792207792,Encounter with Evil
watched,0.3167701863354037,Encounter with Evil
tore,0.5357142857142857,Encounter with Evil
profanity,100.0,Encounter with Evil
borrow,100.0,Encounter with Evil
greasy,4.0,Encounter with Evil
closed,0.45614035087719296,Encounter with Evil
bottles,0.6666666666666666,Encounter with Evil
yesterday,0.3333333333333333,Encounter with Evil
says,0.12389380530973451,Encounter with Evil
works,0.08500772797527048,Encounter with Evil
my,4000.0,Encounter with Evil
bridge,1.75,Encounter with Evil
And,4000.0,Encounter with Evil
nose,0.9090909090909091,Encounter with Evil
What,4000.0,Encounter with Evil
home,0.29197080291970806,Encounter with Evil
for,11000.0,Encounter with Evil
fast,0.33999999999999997,Encounter with Evil
grinned,0.5,Encounter with Evil
hell,1.0285714285714287,Encounter with Evil
heard,0.07428571428571429,Encounter with Evil
waited,0.08333333333333333,Encounter with Evil
nasty,0.7777777777777777,Encounter with Evil
outside,0.2696629213483146,Encounter with Evil
am,0.024752475247524754,Encounter with Evil
convey,0.049180327868852465,Encounter with Evil
tourists,100.0,Encounter with Evil
trickling,3.0,Encounter with Evil
those,2000.0,Encounter with Evil
shoe,1.3333333333333333,Encounter with Evil
measured,0.8095238095238095,Encounter with Evil
dark,0.21854304635761587,Encounter with Evil
were,0.07425742574257427,Encounter with Evil
sweep,0.6896551724137931,Encounter with Evil
next,0.1730769230769231,Encounter with Evil
Quebec,100.0,Encounter with Evil
tissue,1.0,Encounter with Evil
make,0.09900990099009901,Encounter with Evil
opened,0.06557377049180328,Encounter with Evil
With,2000.0,Encounter with Evil
Still,0.10326086956521739,Encounter with Evil
'',47000.0,Encounter with Evil
tell,0.09302325581395349,Encounter with Evil
sending,0.11299435028248588,Encounter with Evil
didn't,4000.0,Encounter with Evil
Stupid,2.5999999999999996,Encounter with Evil
attention,0.2173913043478261,Encounter with Evil
have,0.10113339145597211,Encounter with Evil
leave,0.13333333333333333,Encounter with Evil
felt,0.16317991631799164,Encounter with Evil
?,74000.0,Encounter with Evil
person,0.07894736842105264,Encounter with Evil
chairs,0.2391304347826087,Encounter with Evil
Heights,0.1485148514851485,Encounter with Evil
tracing,0.18965517241379312,Encounter with Evil
placed,0.06960556844547564,Encounter with Evil
on,0.05251141552511415,Encounter with Evil
they,3000.0,Encounter with Evil
Impatiently,1.0,Encounter with Evil
kidding,3.0,Encounter with Evil
zipper,5.0,Encounter with Evil
somewhere,0.6666666666666666,Encounter with Evil
booths,3.0,Encounter with Evil
won't,1000.0,Encounter with Evil
latch,200.0,Encounter with Evil
restaurant,4.0,Encounter with Evil
reaching,0.087248322147651,Encounter with Evil
paying,0.17894736842105263,Encounter with Evil
tasted,0.23333333333333334,Encounter with Evil
time,0.04663212435233161,Encounter with Evil
big,0.3333333333333333,Encounter with Evil
it,2200.0,Encounter with Evil
out,0.2949438202247191,Encounter with Evil
coke,0.7,Encounter with Evil
white,1.1475409836065573,Encounter with Evil
Not,0.0033222591362126247,Encounter with Evil
pull,1.4285714285714286,Encounter with Evil
sitter,0.47619047619047616,Encounter with Evil
busy,1.25,Encounter with Evil
Rat-face,1000.0,Encounter with Evil
knew,0.22535211267605634,Encounter with Evil
more,0.021582733812949638,Encounter with Evil
message,0.23529411764705882,Encounter with Evil
two,0.08152173913043478,Encounter with Evil
