w,taza
ignition,1.2,"Fair, Bachelors Get Lonely"
mind,0.1797752808988764,"Fair, Bachelors Get Lonely"
found,0.14428857715430862,"Fair, Bachelors Get Lonely"
For,1000.0,"Fair, Bachelors Get Lonely"
find,0.14962593516209477,"Fair, Bachelors Get Lonely"
grinned,1.0,"Fair, Bachelors Get Lonely"
by,0.0274442538593482,"Fair, Bachelors Get Lonely"
last,0.14285714285714285,"Fair, Bachelors Get Lonely"
them,2000.0,"Fair, Bachelors Get Lonely"
flush,0.19745222929936307,"Fair, Bachelors Get Lonely"
suddenly,0.08860759493670886,"Fair, Bachelors Get Lonely"
moving,0.09134615384615384,"Fair, Bachelors Get Lonely"
That,2000.0,"Fair, Bachelors Get Lonely"
drove,0.14383561643835616,"Fair, Bachelors Get Lonely"
that's,3000.0,"Fair, Bachelors Get Lonely"
really,0.04597701149425287,"Fair, Bachelors Get Lonely"
If,3000.0,"Fair, Bachelors Get Lonely"
selfish,100.0,"Fair, Bachelors Get Lonely"
stalls,0.8636363636363636,"Fair, Bachelors Get Lonely"
got,0.19914651493598862,"Fair, Bachelors Get Lonely"
clothed,2.3333333333333335,"Fair, Bachelors Get Lonely"
leg,0.3181818181818182,"Fair, Bachelors Get Lonely"
later,0.2284263959390863,"Fair, Bachelors Get Lonely"
as,0.02863837542306691,"Fair, Bachelors Get Lonely"
always,0.06722689075630252,"Fair, Bachelors Get Lonely"
figure,0.2296918767507003,"Fair, Bachelors Get Lonely"
show,0.1087866108786611,"Fair, Bachelors Get Lonely"
sidelong,10.0,"Fair, Bachelors Get Lonely"
times,0.09909909909909909,"Fair, Bachelors Get Lonely"
My,3000.0,"Fair, Bachelors Get Lonely"
other,0.01282051282051282,"Fair, Bachelors Get Lonely"
she's,2000.0,"Fair, Bachelors Get Lonely"
meal,0.25,"Fair, Bachelors Get Lonely"
against,3000.0,"Fair, Bachelors Get Lonely"
another,0.06557377049180328,"Fair, Bachelors Get Lonely"
drive,0.1627906976744186,"Fair, Bachelors Get Lonely"
sort,0.09027777777777778,"Fair, Bachelors Get Lonely"
away,0.014098690835850957,"Fair, Bachelors Get Lonely"
filled,0.10483870967741936,"Fair, Bachelors Get Lonely"
park,0.3235294117647059,"Fair, Bachelors Get Lonely"
and,59000.0,"Fair, Bachelors Get Lonely"
couple,2.8205128205128207,"Fair, Bachelors Get Lonely"
plus,0.12820512820512822,"Fair, Bachelors Get Lonely"
faint,0.2923076923076923,"Fair, Bachelors Get Lonely"
undependable,100.0,"Fair, Bachelors Get Lonely"
once-over,100.0,"Fair, Bachelors Get Lonely"
business,0.29906542056074764,"Fair, Bachelors Get Lonely"
else,1000.0,"Fair, Bachelors Get Lonely"
him,19000.0,"Fair, Bachelors Get Lonely"
office,0.46503496503496505,"Fair, Bachelors Get Lonely"
half,0.2702702702702703,"Fair, Bachelors Get Lonely"
sudden,0.1,"Fair, Bachelors Get Lonely"
used,0.12,"Fair, Bachelors Get Lonely"
hunger,2.0,"Fair, Bachelors Get Lonely"
doesn't,1000.0,"Fair, Bachelors Get Lonely"
transposed,0.8333333333333334,"Fair, Bachelors Get Lonely"
The,9000.0,"Fair, Bachelors Get Lonely"
bothering,0.8076923076923077,"Fair, Bachelors Get Lonely"
signal,0.8999999999999999,"Fair, Bachelors Get Lonely"
detective,2.0,"Fair, Bachelors Get Lonely"
up,0.15286624203821655,"Fair, Bachelors Get Lonely"
don't,3000.0,"Fair, Bachelors Get Lonely"
better,0.13832853025936598,"Fair, Bachelors Get Lonely"
showing,0.22580645161290322,"Fair, Bachelors Get Lonely"
might,0.021582733812949638,"Fair, Bachelors Get Lonely"
When,1000.0,"Fair, Bachelors Get Lonely"
looking,0.057065217391304345,"Fair, Bachelors Get Lonely"
eye,0.11594202898550725,"Fair, Bachelors Get Lonely"
exit,0.11811023622047244,"Fair, Bachelors Get Lonely"
third,0.42105263157894735,"Fair, Bachelors Get Lonely"
With,1000.0,"Fair, Bachelors Get Lonely"
there's,1000.0,"Fair, Bachelors Get Lonely"
within,0.031746031746031744,"Fair, Bachelors Get Lonely"
any,0.03296703296703297,"Fair, Bachelors Get Lonely"
units,0.15151515151515152,"Fair, Bachelors Get Lonely"
thoughtfully,0.5,"Fair, Bachelors Get Lonely"
even,0.038338658146964855,"Fair, Bachelors Get Lonely"
work,0.13442622950819672,"Fair, Bachelors Get Lonely"
agency,0.22857142857142856,"Fair, Bachelors Get Lonely"
ten-fifty-five,1000.0,"Fair, Bachelors Get Lonely"
sweater,1.0,"Fair, Bachelors Get Lonely"
!,2000.0,"Fair, Bachelors Get Lonely"
mile,6.8,"Fair, Bachelors Get Lonely"
put,0.25660377358490566,"Fair, Bachelors Get Lonely"
realized,0.07333333333333333,"Fair, Bachelors Get Lonely"
first,0.3574468085106383,"Fair, Bachelors Get Lonely"
wiggle,100.0,"Fair, Bachelors Get Lonely"
written,0.6060606060606061,"Fair, Bachelors Get Lonely"
plates,0.18181818181818182,"Fair, Bachelors Get Lonely"
positively,1.0,"Fair, Bachelors Get Lonely"
monthly,0.5,"Fair, Bachelors Get Lonely"
evening,0.09655172413793103,"Fair, Bachelors Get Lonely"
walked,0.5882352941176471,"Fair, Bachelors Get Lonely"
check,0.4728434504792332,"Fair, Bachelors Get Lonely"
ice,2.444444444444444,"Fair, Bachelors Get Lonely"
house,0.15311004784688995,"Fair, Bachelors Get Lonely"
much,0.045714285714285714,"Fair, Bachelors Get Lonely"
make,0.09900990099009901,"Fair, Bachelors Get Lonely"
magnifies,9.0,"Fair, Bachelors Get Lonely"
dodge,3.0,"Fair, Bachelors Get Lonely"
are,0.04351204351204351,"Fair, Bachelors Get Lonely"
slacks,1.0952380952380953,"Fair, Bachelors Get Lonely"
cracker-box,1000.0,"Fair, Bachelors Get Lonely"
parked,0.6153846153846154,"Fair, Bachelors Get Lonely"
Unit,0.30303030303030304,"Fair, Bachelors Get Lonely"
under,0.037037037037037035,"Fair, Bachelors Get Lonely"
Can,0.15406162464985992,"Fair, Bachelors Get Lonely"
handed,0.05384615384615384,"Fair, Bachelors Get Lonely"
bug,8.4,"Fair, Bachelors Get Lonely"
close,0.32599118942731276,"Fair, Bachelors Get Lonely"
unit,0.15151515151515152,"Fair, Bachelors Get Lonely"
haven't,1000.0,"Fair, Bachelors Get Lonely"
fearful,0.7272727272727273,"Fair, Bachelors Get Lonely"
ever,0.09523809523809523,"Fair, Bachelors Get Lonely"
buzz-buzz-buzz,1000.0,"Fair, Bachelors Get Lonely"
without,1000.0,"Fair, Bachelors Get Lonely"
difference,0.25806451612903225,"Fair, Bachelors Get Lonely"
We,1000.0,"Fair, Bachelors Get Lonely"
out,0.800561797752809,"Fair, Bachelors Get Lonely"
nostrils,100.0,"Fair, Bachelors Get Lonely"
quarry,1.2,"Fair, Bachelors Get Lonely"
saw,0.10234899328859061,"Fair, Bachelors Get Lonely"
tightest-fitting,1000.0,"Fair, Bachelors Get Lonely"
Beautiful,0.0625,"Fair, Bachelors Get Lonely"
may,0.03550295857988166,"Fair, Bachelors Get Lonely"
weary,1.4,"Fair, Bachelors Get Lonely"
giveaway,2.0,"Fair, Bachelors Get Lonely"
?,22000.0,"Fair, Bachelors Get Lonely"
He,0.015717092337917484,"Fair, Bachelors Get Lonely"
rental,0.4444444444444444,"Fair, Bachelors Get Lonely"
By,0.02058319039451115,"Fair, Bachelors Get Lonely"
Whoever,1000.0,"Fair, Bachelors Get Lonely"
manager,1.6666666666666667,"Fair, Bachelors Get Lonely"
Traffic,0.3333333333333333,"Fair, Bachelors Get Lonely"
