w,taza
A,0.004421768707482993,Here Comes Pete Now.
kept,0.20168067226890757,Here Comes Pete Now.
irregularities,100.0,Here Comes Pete Now.
left,0.15102974828375287,Here Comes Pete Now.
pompous,6.0,Here Comes Pete Now.
forced,0.40963855421686746,Here Comes Pete Now.
underneath,300.0,Here Comes Pete Now.
Since,1000.0,Here Comes Pete Now.
signed,0.41935483870967744,Here Comes Pete Now.
desire,0.041666666666666664,Here Comes Pete Now.
having,0.023539668700959023,Here Comes Pete Now.
knuckles,8.0,Here Comes Pete Now.
morning's,1000.0,Here Comes Pete Now.
admit,0.08633093525179855,Here Comes Pete Now.
with,10000.0,Here Comes Pete Now.
vain,2.2,Here Comes Pete Now.
unusual,0.09523809523809523,Here Comes Pete Now.
dapper,18.0,Here Comes Pete Now.
delay,0.2156862745098039,Here Comes Pete Now.
frayed,2.3333333333333335,Here Comes Pete Now.
like,0.13538461538461538,Here Comes Pete Now.
unbroken,0.14285714285714285,Here Comes Pete Now.
lived,0.014375561545372867,Here Comes Pete Now.
Why,0.05,Here Comes Pete Now.
who,100.0,Here Comes Pete Now.
clerk,40.0,Here Comes Pete Now.
past,0.012987012987012988,Here Comes Pete Now.
green-tinted,1000.0,Here Comes Pete Now.
recipient,100.0,Here Comes Pete Now.
This,4000.0,Here Comes Pete Now.
behind,0.47987616099071206,Here Comes Pete Now.
end,0.19494584837545126,Here Comes Pete Now.
darkness,0.3333333333333333,Here Comes Pete Now.
In,0.004144218814753419,Here Comes Pete Now.
jungle,0.5,Here Comes Pete Now.
cheap,1.8333333333333335,Here Comes Pete Now.
For,2000.0,Here Comes Pete Now.
value,0.23880597014925373,Here Comes Pete Now.
functioning,0.034013605442176874,Here Comes Pete Now.
presence,0.20833333333333334,Here Comes Pete Now.
made,0.08894702419882276,Here Comes Pete Now.
concerning,0.19047619047619047,Here Comes Pete Now.
white,1.1475409836065573,Here Comes Pete Now.
Though,0.03571428571428571,Here Comes Pete Now.
connections,0.75,Here Comes Pete Now.
knowledge,0.16666666666666666,Here Comes Pete Now.
toward,1000.0,Here Comes Pete Now.
repair,1.3478260869565217,Here Comes Pete Now.
glow,1.8571428571428572,Here Comes Pete Now.
strata,0.2222222222222222,Here Comes Pete Now.
easy,0.1627906976744186,Here Comes Pete Now.
to,55000.0,Here Comes Pete Now.
in,0.12018234562784914,Here Comes Pete Now.
down,0.3406113537117904,Here Comes Pete Now.
recently,0.25,Here Comes Pete Now.
illuminated,0.25,Here Comes Pete Now.
file,0.9090909090909091,Here Comes Pete Now.
When,6000.0,Here Comes Pete Now.
around,0.07766990291262135,Here Comes Pete Now.
Its,100.0,Here Comes Pete Now.
voluble,1.0,Here Comes Pete Now.
finished,0.14150943396226415,Here Comes Pete Now.
air,0.5842696629213483,Here Comes Pete Now.
express,0.12295081967213116,Here Comes Pete Now.
loose,0.16025641025641024,Here Comes Pete Now.
rug,100.0,Here Comes Pete Now.
ticket,0.20833333333333334,Here Comes Pete Now.
whatever,0.016483516483516484,Here Comes Pete Now.
process,0.09216589861751152,Here Comes Pete Now.
batch,0.35,Here Comes Pete Now.
though,0.017857142857142856,Here Comes Pete Now.
radio,1.5555555555555554,Here Comes Pete Now.
lunch,2.0,Here Comes Pete Now.
spring,0.1769230769230769,Here Comes Pete Now.
Past,0.012987012987012988,Here Comes Pete Now.
:,1000.0,Here Comes Pete Now.
dog-eared,100.0,Here Comes Pete Now.
pumps,0.13636363636363638,Here Comes Pete Now.
any,0.03296703296703297,Here Comes Pete Now.
them,9000.0,Here Comes Pete Now.
tubes,1.1818181818181819,Here Comes Pete Now.
desk,0.2857142857142857,Here Comes Pete Now.
through,0.050955414012738856,Here Comes Pete Now.
registered,0.07777777777777778,Here Comes Pete Now.
hardly,0.07246376811594203,Here Comes Pete Now.
frequent,0.7272727272727273,Here Comes Pete Now.
masts,1.0,Here Comes Pete Now.
shouting,0.5,Here Comes Pete Now.
estimate,0.1686746987951807,Here Comes Pete Now.
bothered,0.8275862068965518,Here Comes Pete Now.
toilet,0.19753086419753085,Here Comes Pete Now.
big,0.16666666666666666,Here Comes Pete Now.
tops,0.38181818181818183,Here Comes Pete Now.
medium,0.19047619047619047,Here Comes Pete Now.
moment,0.14705882352941177,Here Comes Pete Now.
counters,0.8888888888888888,Here Comes Pete Now.
every,0.02040816326530612,Here Comes Pete Now.
importance,0.36363636363636365,Here Comes Pete Now.
except,0.3333333333333333,Here Comes Pete Now.
thirty,0.3333333333333333,Here Comes Pete Now.
registering,0.06896551724137931,Here Comes Pete Now.
four,0.6222222222222222,Here Comes Pete Now.
extended,0.3035714285714286,Here Comes Pete Now.
constantly,0.1,Here Comes Pete Now.
staircase,2.0,Here Comes Pete Now.
was,0.6743620899149453,Here Comes Pete Now.
forms,0.4262877442273535,Here Comes Pete Now.
tried,0.16788321167883213,Here Comes Pete Now.
job,0.1958041958041958,Here Comes Pete Now.
for,15000.0,Here Comes Pete Now.
Was,0.018226002430133656,Here Comes Pete Now.
He,0.028814669286182055,Here Comes Pete Now.
been,0.04455445544554456,Here Comes Pete Now.
beyond,0.1111111111111111,Here Comes Pete Now.
corner,0.5714285714285714,Here Comes Pete Now.
Large,0.10240963855421686,Here Comes Pete Now.
Begging,1.1428571428571428,Here Comes Pete Now.
rear,0.246,Here Comes Pete Now.
room,0.023668639053254437,Here Comes Pete Now.
looked,0.14782608695652175,Here Comes Pete Now.
winches,100.0,Here Comes Pete Now.
cigarette,1.25,Here Comes Pete Now.
solely,0.020242914979757085,Here Comes Pete Now.
cabinet,2.0,Here Comes Pete Now.
some,0.017578125,Here Comes Pete Now.
fronted,0.024539877300613498,Here Comes Pete Now.
separated,0.2345679012345679,Here Comes Pete Now.
authority,1.096774193548387,Here Comes Pete Now.
and,28000.0,Here Comes Pete Now.
pate,100.0,Here Comes Pete Now.
self-appointed,100.0,Here Comes Pete Now.
spineless,100.0,Here Comes Pete Now.
On,0.00228310502283105,Here Comes Pete Now.
waiting,0.08910891089108912,Here Comes Pete Now.
applying,0.2635135135135135,Here Comes Pete Now.
did,0.4752475247524752,Here Comes Pete Now.
all,0.03278688524590164,Here Comes Pete Now.
processed,0.058823529411764705,Here Comes Pete Now.
times,0.09909909909909909,Here Comes Pete Now.
butts,0.13988095238095238,Here Comes Pete Now.
out,0.21067415730337077,Here Comes Pete Now.
too,0.0326530612244898,Here Comes Pete Now.
vulgar,0.3333333333333333,Here Comes Pete Now.
",",116000.0,Here Comes Pete Now.
referring,0.26153846153846155,Here Comes Pete Now.
Such,0.009345794392523364,Here Comes Pete Now.
such,0.018691588785046728,Here Comes Pete Now.
let,0.021582733812949638,Here Comes Pete Now.
Everything,1000.0,Here Comes Pete Now.
consult,1.0,Here Comes Pete Now.
revealing,0.47368421052631576,Here Comes Pete Now.
attention,0.2173913043478261,Here Comes Pete Now.
director's,1000.0,Here Comes Pete Now.
These,1000.0,Here Comes Pete Now.
realization,1.5,Here Comes Pete Now.
bit,0.08800000000000001,Here Comes Pete Now.
address,0.16216216216216214,Here Comes Pete Now.
afford,0.0380952380952381,Here Comes Pete Now.
come,0.0508130081300813,Here Comes Pete Now.
buildings,0.0738255033557047,Here Comes Pete Now.
concealed,0.7,Here Comes Pete Now.
And,1000.0,Here Comes Pete Now.
filtered,5.0,Here Comes Pete Now.
disappointed,1.0,Here Comes Pete Now.
.,113000.0,Here Comes Pete Now.
number,0.06369426751592357,Here Comes Pete Now.
sure,0.1801801801801802,Here Comes Pete Now.
when,6000.0,Here Comes Pete Now.
up,0.01910828025477707,Here Comes Pete Now.
always,0.13445378151260504,Here Comes Pete Now.
instead,0.06349206349206349,Here Comes Pete Now.
itself,2000.0,Here Comes Pete Now.
nor,1000.0,Here Comes Pete Now.
by,0.0411663807890223,Here Comes Pete Now.
glances,1.6666666666666667,Here Comes Pete Now.
),1000.0,Here Comes Pete Now.
still,0.30978260869565216,Here Comes Pete Now.
What,2000.0,Here Comes Pete Now.
