w,taza
Curzon's,3000.0,High Fidelity
performances,0.823529411764706,High Fidelity
somewhat,0.17543859649122806,High Fidelity
able,0.08333333333333333,High Fidelity
notably,0.3333333333333333,High Fidelity
detail,0.14925373134328357,High Fidelity
orchestra,4.0,High Fidelity
cite,0.2909090909090909,High Fidelity
impressive,0.16666666666666666,High Fidelity
seem,0.06818181818181819,High Fidelity
opus,0.29411764705882354,High Fidelity
Too,0.0326530612244898,High Fidelity
strikes,0.22155688622754494,High Fidelity
reflected,1.875,High Fidelity
in,0.12018234562784914,High Fidelity
these,4000.0,High Fidelity
much,0.09142857142857143,High Fidelity
fatigue,1.6,High Fidelity
organization,0.21153846153846154,High Fidelity
end,0.06498194945848375,High Fidelity
whose,2000.0,High Fidelity
edition,1.0,High Fidelity
indistinguishable,0.6,High Fidelity
practices,0.05078125,High Fidelity
natural,0.18181818181818182,High Fidelity
Recordings,0.13333333333333333,High Fidelity
acquire,0.05,High Fidelity
they,6000.0,High Fidelity
set,0.22889305816135086,High Fidelity
calls,0.2624113475177305,High Fidelity
statements,0.3333333333333333,High Fidelity
belongs,0.03125,High Fidelity
Schubert's,2000.0,High Fidelity
sounded,0.041379310344827586,High Fidelity
threshold,0.23076923076923078,High Fidelity
receive,0.017105263157894738,High Fidelity
essentially,0.375,High Fidelity
Philharmonic,1.5,High Fidelity
pure,0.30158730158730157,High Fidelity
small,0.06435643564356436,High Fidelity
sturdy,0.5833333333333334,High Fidelity
sort,0.18055555555555555,High Fidelity
thing,0.03658536585365854,High Fidelity
Brahms,200.0,High Fidelity
sells,0.1,High Fidelity
no,0.0791139240506329,High Fidelity
type,0.09523809523809523,High Fidelity
afraid,0.1,High Fidelity
too,0.0326530612244898,High Fidelity
interpretative,100.0,High Fidelity
outlook,0.5833333333333334,High Fidelity
would-be,100.0,High Fidelity
There,0.021739130434782608,High Fidelity
Ensemble,100.0,High Fidelity
Returning,0.24778761061946902,High Fidelity
four,0.6222222222222222,High Fidelity
performer,100.0,High Fidelity
lyrical,1.0,High Fidelity
times,0.04954954954954954,High Fidelity
home,0.14598540145985403,High Fidelity
monophonic,100.0,High Fidelity
infectious,100.0,High Fidelity
last-mentioned,1000.0,High Fidelity
interesting,0.10714285714285714,High Fidelity
values,0.2207792207792208,High Fidelity
acquired,0.053003533568904596,High Fidelity
concept,0.6666666666666666,High Fidelity
disillusioning,100.0,High Fidelity
losing,0.625,High Fidelity
undertow,100.0,High Fidelity
Records,0.1875,High Fidelity
versions,0.46511627906976744,High Fidelity
defects,0.7777777777777777,High Fidelity
differs,0.8,High Fidelity
Clifford,1000.0,High Fidelity
accustomed,6.0,High Fidelity
Caruso,100.0,High Fidelity
make,0.09900990099009901,High Fidelity
Glazer-Fine,1000.0,High Fidelity
until,1000.0,High Fidelity
full,0.06334841628959276,High Fidelity
version,0.46511627906976744,High Fidelity
Toscanini,100.0,High Fidelity
its,1200.0,High Fidelity
some,0.052734375,High Fidelity
outset,0.047619047619047616,High Fidelity
balance,0.5625,High Fidelity
notes,0.3255813953488372,High Fidelity
as,0.10309815152304087,High Fidelity
valve,100.0,High Fidelity
