w,taza
conscious,0.18181818181818182,Hunter at Large
carry,0.11965811965811965,Hunter at Large
sting,1.8181818181818181,Hunter at Large
corpse,0.3846153846153846,Hunter at Large
grieving,4.5,Hunter at Large
toward,4000.0,Hunter at Large
nobody,0.5714285714285714,Hunter at Large
in,0.12018234562784914,Hunter at Large
much,0.13714285714285715,Hunter at Large
turned,0.06510416666666667,Hunter at Large
chance,0.13138686131386862,Hunter at Large
pressure,0.41463414634146345,Hunter at Large
apparently,0.29411764705882354,Hunter at Large
call,0.524822695035461,Hunter at Large
undulating,0.6666666666666666,Hunter at Large
leave,0.06666666666666667,Hunter at Large
gear,0.9230769230769231,Hunter at Large
they,5000.0,Hunter at Large
decided,0.5925925925925926,Hunter at Large
set,0.22889305816135086,Hunter at Large
day,0.1846153846153846,Hunter at Large
suitcase,5.833333333333334,Hunter at Large
above,0.5,Hunter at Large
pocket,2.4,Hunter at Large
body,1.1785714285714286,Hunter at Large
Before,0.025974025974025976,Hunter at Large
felt,0.3263598326359833,Hunter at Large
through,0.050955414012738856,Hunter at Large
Still,0.20652173913043478,Hunter at Large
thing,0.03658536585365854,Hunter at Large
beam,0.43902439024390244,Hunter at Large
maybe,0.13636363636363638,Hunter at Large
no,0.12658227848101264,Hunter at Large
knelt,100.0,Hunter at Large
post,0.11940298507462686,Hunter at Large
too,0.0653061224489796,Hunter at Large
barely,0.043478260869565216,Hunter at Large
There,0.10869565217391304,Hunter at Large
reached,0.1597222222222222,Hunter at Large
home,0.07299270072992702,Hunter at Large
longer,0.0948905109489051,Hunter at Large
big,0.16666666666666666,Hunter at Large
long,0.11009174311926605,Hunter at Large
hunch,1.2,Hunter at Large
noticeable,100.0,Hunter at Large
spray,2.3333333333333335,Hunter at Large
make,0.04950495049504951,Hunter at Large
burden,0.1948051948051948,Hunter at Large
full,0.06334841628959276,Hunter at Large
crouch,2.25,Hunter at Large
spend,0.16,Hunter at Large
its,100.0,Hunter at Large
hair,0.2962962962962963,Hunter at Large
some,0.052734375,Hunter at Large
balance,0.5625,Hunter at Large
turn,0.08149779735682819,Hunter at Large
weapon,0.34782608695652173,Hunter at Large
as,0.02863837542306691,Hunter at Large
groin,12.0,Hunter at Large
falling,0.11224489795918369,Hunter at Large
cleared,0.4019607843137255,Hunter at Large
heavier,0.16597510373443983,Hunter at Large
ruts,1.0,Hunter at Large
dropping,0.6029411764705883,Hunter at Large
Deep,0.18518518518518517,Hunter at Large
bloody,1.7999999999999998,Hunter at Large
never,0.020833333333333332,Hunter at Large
rhythmic,2.0,Hunter at Large
three,0.2676056338028169,Hunter at Large
slack,1.0434782608695652,Hunter at Large
minute,0.07894736842105264,Hunter at Large
vision,0.3111111111111111,Hunter at Large
handled,0.15384615384615385,Hunter at Large
wobbled,0.75,Hunter at Large
newel,100.0,Hunter at Large
fingers,0.13043478260869565,Hunter at Large
interruption,0.411764705882353,Hunter at Large
agony,0.8333333333333334,Hunter at Large
twisted,0.8813559322033898,Hunter at Large
lowest,0.08571428571428572,Hunter at Large
been,0.029702970297029705,Hunter at Large
trying,0.15827338129496402,Hunter at Large
softly,0.17857142857142858,Hunter at Large
both,0.013157894736842105,Hunter at Large
muffled,1.8571428571428572,Hunter at Large
thought,0.17699115044247787,Hunter at Large
by,0.0274442538593482,Hunter at Large
mind,0.0898876404494382,Hunter at Large
