w,taza
A,0.004421768707482993,Newark Evening News
16-hour,1000.0,Newark Evening News
steel,0.625,Newark Evening News
spark,0.3098591549295775,Newark Evening News
Hodges,3000.0,Newark Evening News
week,0.36363636363636365,Newark Evening News
lined,0.18604651162790697,Newark Evening News
march,0.38888888888888884,Newark Evening News
criticism,2.0,Newark Evening News
Industrial,0.1111111111111111,Newark Evening News
sea,0.0625,Newark Evening News
preserves,0.20338983050847456,Newark Evening News
agriculture,1.3846153846153846,Newark Evening News
year-earlier,1000.0,Newark Evening News
saved,0.29333333333333333,Newark Evening News
having,0.023539668700959023,Newark Evening News
acreage,1.0,Newark Evening News
second,0.07191780821917808,Newark Evening News
effectiveness,2.0,Newark Evening News
4,0.5777777777777777,Newark Evening News
complexity,2.0,Newark Evening News
pro-Trujillo,1000.0,Newark Evening News
with,6000.0,Newark Evening News
sailing,1.8333333333333335,Newark Evening News
Hoffa,100.0,Newark Evening News
conclusions,0.07035175879396985,Newark Evening News
like,0.033846153846153845,Newark Evening News
secession,100.0,Newark Evening News
country,0.23684210526315788,Newark Evening News
who,600.0,Newark Evening News
nations,0.08264462809917356,Newark Evening News
prognostication,1.222222222222222,Newark Evening News
alike,0.020618556701030927,Newark Evening News
organization,0.21153846153846154,Newark Evening News
coalition,1.125,Newark Evening News
factories,0.6666666666666666,Newark Evening News
This,2000.0,Newark Evening News
harboring,0.25,Newark Evening News
In,0.020721094073767096,Newark Evening News
end,0.06498194945848375,Newark Evening News
direction,0.10062893081761007,Newark Evening News
putting,0.06593406593406594,Newark Evening News
towel,0.5,Newark Evening News
Betting,0.12244897959183675,Newark Evening News
thinks,0.09359605911330049,Newark Evening News
troubles,0.42477876106194695,Newark Evening News
presence,0.10416666666666667,Newark Evening News
based,0.06,Newark Evening News
vantage,0.2,Newark Evening News
sanctuary,5.0,Newark Evening News
language,0.2708333333333333,Newark Evening News
made,0.08894702419882276,Newark Evening News
suspicious,1.2857142857142856,Newark Evening News
nest,6.0,Newark Evening News
supports,0.16129032258064516,Newark Evening News
Well,0.04417670682730924,Newark Evening News
Within,0.031746031746031744,Newark Evening News
claim,0.11864406779661017,Newark Evening News
leaders,0.25,Newark Evening News
toward,2000.0,Newark Evening News
life,0.09523809523809523,Newark Evening News
condition,0.22058823529411764,Newark Evening News
sale,1.0,Newark Evening News
war,0.09090909090909091,Newark Evening News
concedes,0.8571428571428571,Newark Evening News
October,0.6666666666666666,Newark Evening News
to,44000.0,Newark Evening News
in,0.18234562784915043,Newark Evening News
down,0.1703056768558952,Newark Evening News
losing,0.625,Newark Evening News
warns,1.0,Newark Evening News
dictatorship,2.75,Newark Evening News
countries,0.05921052631578947,Newark Evening News
surpluses,2.0,Newark Evening News
achieves,0.2,Newark Evening News
fearful,0.7272727272727273,Newark Evening News
shouldn't,1000.0,Newark Evening News
Juan,1000.0,Newark Evening News
United,0.9090909090909091,Newark Evening News
Whether,1000.0,Newark Evening News
estate,0.1627906976744186,Newark Evening News
around,0.019417475728155338,Newark Evening News
conserving,0.25925925925925924,Newark Evening News
becomes,0.017241379310344827,Newark Evening News
months,0.25,Newark Evening News
finally,0.08108108108108107,Newark Evening News
November,0.5,Newark Evening News
improved,0.08450704225352113,Newark Evening News
25,0.5,Newark Evening News
