w,taza
found,0.14428857715430862,Northern Liberals and Southern Bourbons
Little,0.06965174129353234,Northern Liberals and Southern Bourbons
also,0.020491803278688527,Northern Liberals and Southern Bourbons
view,0.24752475247524755,Northern Liberals and Southern Bourbons
individual,0.09090909090909091,Northern Liberals and Southern Bourbons
intense,0.5,Northern Liberals and Southern Bourbons
subjected,0.0967741935483871,Northern Liberals and Southern Bourbons
leadership,0.12,Northern Liberals and Southern Bourbons
For,1000.0,Northern Liberals and Southern Bourbons
tradition,0.125,Northern Liberals and Southern Bourbons
find,0.07481296758104738,Northern Liberals and Southern Bourbons
democratic,0.3,Northern Liberals and Southern Bourbons
by,0.06174957118353345,Northern Liberals and Southern Bourbons
control,0.13999999999999999,Northern Liberals and Southern Bourbons
situation,0.24096385542168672,Northern Liberals and Southern Bourbons
sincerely,1.0,Northern Liberals and Southern Bourbons
them,9000.0,Northern Liberals and Southern Bourbons
stars,0.5263157894736842,Northern Liberals and Southern Bourbons
moving,0.09134615384615384,Northern Liberals and Southern Bourbons
reunion,100.0,Northern Liberals and Southern Bourbons
reaping,0.36363636363636365,Northern Liberals and Southern Bourbons
abused,0.9375,Northern Liberals and Southern Bourbons
really,0.04597701149425287,Northern Liberals and Southern Bourbons
directed,0.07848837209302326,Northern Liberals and Southern Bourbons
If,2000.0,Northern Liberals and Southern Bourbons
conservative,2.6666666666666665,Northern Liberals and Southern Bourbons
Had,0.023539668700959023,Northern Liberals and Southern Bourbons
as,0.10882582660765426,Northern Liberals and Southern Bourbons
progress,0.9500000000000001,Northern Liberals and Southern Bourbons
Court,1.3571428571428572,Northern Liberals and Southern Bourbons
Prior,0.2857142857142857,Northern Liberals and Southern Bourbons
show,0.1087866108786611,Northern Liberals and Southern Bourbons
ardent,0.5,Northern Liberals and Southern Bourbons
psychological,0.1111111111111111,Northern Liberals and Southern Bourbons
hardly,0.036231884057971016,Northern Liberals and Southern Bourbons
home,0.07299270072992702,Northern Liberals and Southern Bourbons
