w,taza
like,0.033846153846153845,People. Art & Education
Then,0.009876543209876543,People. Art & Education
1946,1000.0,People. Art & Education
experienced,0.011305241521068859,People. Art & Education
bellboys,100.0,People. Art & Education
new,0.22564102564102564,People. Art & Education
Wall,0.2962962962962963,People. Art & Education
recruit,0.40909090909090906,People. Art & Education
I,0.12232677502138581,People. Art & Education
Illustrated,0.21428571428571427,People. Art & Education
into,3000.0,People. Art & Education
report,0.11382113821138211,People. Art & Education
Chicago,2.4,People. Art & Education
most,0.07982261640798226,People. Art & Education
held,0.11463664278403274,People. Art & Education
someone,0.07894736842105264,People. Art & Education
Students,0.3529411764705882,People. Art & Education
ability,0.029411764705882353,People. Art & Education
staff,1.0,People. Art & Education
England,0.5,People. Art & Education
haggling,7.0,People. Art & Education
Year,0.0547945205479452,People. Art & Education
worth,0.2222222222222222,People. Art & Education
Frank,0.5142857142857143,People. Art & Education
Barnes,1000.0,People. Art & Education
plaintiffs,100.0,People. Art & Education
boom,1.25,People. Art & Education
Matisses,100.0,People. Art & Education
been,0.13366336633663367,People. Art & Education
outside,0.1348314606741573,People. Art & Education
gold,2.0,People. Art & Education
connotes,1.5,People. Art & Education
grandiose,3.0,People. Art & Education
down,0.1703056768558952,People. Art & Education
speeding,0.37735849056603776,People. Art & Education
skins,0.75,People. Art & Education
Philadelphia,1.0,People. Art & Education
boxes,0.27999999999999997,People. Art & Education
Senate,2.857142857142857,People. Art & Education
waiting,0.08910891089108912,People. Art & Education
student,1.0588235294117647,People. Art & Education
High,0.47058823529411764,People. Art & Education
feel,0.046822742474916385,People. Art & Education
Fabian,2.0,People. Art & Education
rejected,1.7272727272727273,People. Art & Education
continent,0.42857142857142855,People. Art & Education
Tooling,1.5,People. Art & Education
K.,1000.0,People. Art & Education
biggest,0.3148148148148148,People. Art & Education
known,0.10714285714285714,People. Art & Education
A,0.01768707482993197,People. Art & Education
announced,0.9473684210526315,People. Art & Education
city,0.13636363636363638,People. Art & Education
State,0.15267175572519084,People. Art & Education
mammoth,0.6666666666666666,People. Art & Education
statesmen,100.0,People. Art & Education
Inaugural,0.041176470588235294,People. Art & Education
warless,1000.0,People. Art & Education
'',24000.0,People. Art & Education
himself,5000.0,People. Art & Education
window,0.15384615384615385,People. Art & Education
22,0.6666666666666666,People. Art & Education
socks,13.0,People. Art & Education
than,1000.0,People. Art & Education
rein,0.35714285714285715,People. Art & Education
whose,2000.0,People. Art & Education
medicine,0.47058823529411764,People. Art & Education
Valedictorian,100.0,People. Art & Education
Journal,100.0,People. Art & Education
met,0.13989637305699482,People. Art & Education
staged,0.45783132530120485,People. Art & Education
pressure,0.41463414634146345,People. Art & Education
Prize,0.3013698630136986,People. Art & Education
delight,0.34210526315789475,People. Art & Education
officers,0.5,People. Art & Education
top,1.3333333333333333,People. Art & Education
paid,0.1473684210526316,People. Art & Education
Cinemactor,1000.0,People. Art & Education
students,0.3529411764705882,People. Art & Education
would,3000.0,People. Art & Education
A.,3000.0,People. Art & Education
entering,0.3472222222222222,People. Art & Education
Paul,3.0,People. Art & Education
walked,0.11764705882352941,People. Art & Education
Richard,2000.0,People. Art & Education
studied,0.0880503144654088,People. Art & Education
as,0.07445977609997396,People. Art & Education
investigators,2.0,People. Art & Education
rejection,0.3333333333333333,People. Art & Education
Sydney,0.5,People. Art & Education
they,2000.0,People. Art & Education
E.,1000.0,People. Art & Education
housed,0.040540540540540536,People. Art & Education
you,3000.0,People. Art & Education
members,0.75,People. Art & Education
university,0.7142857142857143,People. Art & Education
Standard,0.11428571428571428,People. Art & Education
When,1000.0,People. Art & Education
gala,4.0,People. Art & Education
good,0.13167259786476868,People. Art & Education
George,0.8181818181818181,People. Art & Education
November,0.5,People. Art & Education
basis,0.3137254901960784,People. Art & Education
Geneticist,2.0,People. Art & Education
at,0.07154471544715447,People. Art & Education
doubt,0.14583333333333334,People. Art & Education
saying,0.06589147286821706,People. Art & Education
took,0.2218487394957983,People. Art & Education
ladies',1000.0,People. Art & Education
much,0.09142857142857143,People. Art & Education
One,0.01454234388366125,People. Art & Education
spots,0.16666666666666666,People. Art & Education
their,4000.0,People. Art & Education
our,1000.0,People. Art & Education
undergraduate,2.0,People. Art & Education
Zealand,3.0,People. Art & Education
if,2000.0,People. Art & Education
Russia,0.6363636363636364,People. Art & Education
together,0.2,People. Art & Education
the,81000.0,People. Art & Education
"2,100",1000.0,People. Art & Education
clothing,1.2352941176470589,People. Art & Education
John,0.07782101167315175,People. Art & Education
experiment,0.25,People. Art & Education
Peter,4.666666666666667,People. Art & Education
parlor,1.5,People. Art & Education
There,0.021739130434782608,People. Art & Education
nearly,0.021929824561403508,People. Art & Education
plants,0.0958904109589041,People. Art & Education
respective,0.049180327868852465,People. Art & Education
which,2000.0,People. Art & Education
1960,1000.0,People. Art & Education
Adlai,2000.0,People. Art & Education
era,5.0,People. Art & Education
Modern,0.15942028985507248,People. Art & Education
(,8000.0,People. Art & Education
Games,0.04891304347826087,People. Art & Education
Last,0.42857142857142855,People. Art & Education
B,0.7368421052631579,People. Art & Education
Nixon,5.0,People. Art & Education
Atlanta's,2000.0,People. Art & Education
discriminate,0.6666666666666666,People. Art & Education
University,0.5714285714285714,People. Art & Education
dealers,0.4166666666666667,People. Art & Education
Out,0.042134831460674156,People. Art & Education
shown,0.1038961038961039,People. Art & Education
David,0.7058823529411765,People. Art & Education
arrested,0.08743169398907104,People. Art & Education
Bootle's,1000.0,People. Art & Education
ago,0.10256410256410256,People. Art & Education
Stone's,1000.0,People. Art & Education
are,0.021756021756021756,People. Art & Education
prizes,0.391304347826087,People. Art & Education
confident,0.17857142857142858,People. Art & Education
administrator,0.5,People. Art & Education
suggestions,0.7272727272727273,People. Art & Education
genes,0.375,People. Art & Education
It,200.0,People. Art & Education
Soviet,0.6666666666666666,People. Art & Education
shared,0.2558139534883721,People. Art & Education
division,0.16216216216216214,People. Art & Education
Basel,3.0,People. Art & Education
Even,0.038338658146964855,People. Art & Education
general,0.20930232558139536,People. Art & Education
Said,0.03136531365313653,People. Art & Education
interest,0.2181818181818182,People. Art & Education
asking,0.06666666666666667,People. Art & Education
capital's,1000.0,People. Art & Education
submitted,0.08585858585858586,People. Art & Education
over,0.109375,People. Art & Education
any,0.03296703296703297,People. Art & Education
stewards,100.0,People. Art & Education
segregation,3.0,People. Art & Education
Ernst,2.0,People. Art & Education
before,0.025974025974025976,People. Art & Education
scarcely,0.036231884057971016,People. Art & Education
regularly,0.5,People. Art & Education
cab,0.5,People. Art & Education
didn't,1000.0,People. Art & Education
every,0.02040816326530612,People. Art & Education
weeds,0.75,People. Art & Education
opening,0.1590909090909091,People. Art & Education
records,0.375,People. Art & Education
off,0.05485232067510549,People. Art & Education
help,0.14285714285714285,People. Art & Education
:,12000.0,People. Art & Education
racing,0.30434782608695654,People. Art & Education
pondered,6.0,People. Art & Education
