w,taza
either,0.034482758620689655,Principles of Inertial Navigation
adaptable,100.0,Principles of Inertial Navigation
Z-gyro,1000.0,Principles of Inertial Navigation
maintains,0.1971830985915493,Principles of Inertial Navigation
seen,0.20560747663551404,Principles of Inertial Navigation
into,1000.0,Principles of Inertial Navigation
small,0.19306930693069307,Principles of Inertial Navigation
surveying,2.8000000000000003,Principles of Inertial Navigation
most,0.03991130820399113,Principles of Inertial Navigation
perpendicular,6.0,Principles of Inertial Navigation
switching,0.25,Principles of Inertial Navigation
unleveled,1000.0,Principles of Inertial Navigation
reduce,0.673076923076923,Principles of Inertial Navigation
adjusted,0.16923076923076924,Principles of Inertial Navigation
been,0.014851485148514853,Principles of Inertial Navigation
useful,0.5,Principles of Inertial Navigation
currents,0.5333333333333333,Principles of Inertial Navigation
7-5,1000.0,Principles of Inertial Navigation
A,0.022108843537414966,Principles of Inertial Navigation
known,0.10714285714285714,Principles of Inertial Navigation
7-2,3000.0,Principles of Inertial Navigation
than,1000.0,Principles of Inertial Navigation
locate,0.075,Principles of Inertial Navigation
error,1.8461538461538463,Principles of Inertial Navigation
vehicle,200.0,Principles of Inertial Navigation
initially,2.0,Principles of Inertial Navigation
desirable,0.8571428571428571,Principles of Inertial Navigation
accomplish,0.273972602739726,Principles of Inertial Navigation
greatest,0.15053763440860216,Principles of Inertial Navigation
as,0.0630044259307472,Principles of Inertial Navigation
correct,0.5298013245033113,Principles of Inertial Navigation
serious,0.11042944785276074,Principles of Inertial Navigation
solutions,0.08108108108108107,Principles of Inertial Navigation
deviations,0.45454545454545453,Principles of Inertial Navigation
type,0.09523809523809523,Principles of Inertial Navigation
pointing,0.18181818181818182,Principles of Inertial Navigation
decreases,0.7096774193548386,Principles of Inertial Navigation
dependent,0.30303030303030304,Principles of Inertial Navigation
When,5000.0,Principles of Inertial Navigation
equipment,0.14814814814814814,Principles of Inertial Navigation
factors,1.0434782608695652,Principles of Inertial Navigation
characteristics,0.6666666666666666,Principles of Inertial Navigation
**yj,1000.0,Principles of Inertial Navigation
information,0.25,Principles of Inertial Navigation
navigators,100.0,Principles of Inertial Navigation
at,0.05203252032520325,Principles of Inertial Navigation
optical,2.5,Principles of Inertial Navigation
Y,5.0,Principles of Inertial Navigation
biases,100.0,Principles of Inertial Navigation
turned,0.1953125,Principles of Inertial Navigation
One,0.04362703165098375,Principles of Inertial Navigation
obtained,0.03333333333333333,Principles of Inertial Navigation
if,5000.0,Principles of Inertial Navigation
their,3000.0,Principles of Inertial Navigation
the,214000.0,Principles of Inertial Navigation
deviation,0.9090909090909091,Principles of Inertial Navigation
There,0.021739130434782608,Principles of Inertial Navigation
nearly,0.021929824561403508,Principles of Inertial Navigation
which,6000.0,Principles of Inertial Navigation
using,0.25806451612903225,Principles of Inertial Navigation
(,5000.0,Principles of Inertial Navigation
presence,0.10416666666666667,Principles of Inertial Navigation
depends,0.16,Principles of Inertial Navigation
shown,0.3116883116883117,Principles of Inertial Navigation
reflected,1.875,Principles of Inertial Navigation
gyro-stabilized,6000.0,Principles of Inertial Navigation
choice,0.18,Principles of Inertial Navigation
indication,0.22727272727272727,Principles of Inertial Navigation
are,0.11965811965811965,Principles of Inertial Navigation
Thus,0.06792452830188679,Principles of Inertial Navigation
satisfactory,0.4444444444444444,Principles of Inertial Navigation
It,300.0,Principles of Inertial Navigation
fixed,0.10787172011661808,Principles of Inertial Navigation
slightly,0.16129032258064516,Principles of Inertial Navigation
mirror,4.0,Principles of Inertial Navigation
stability,6.0,Principles of Inertial Navigation
any,0.06593406593406594,Principles of Inertial Navigation
north,0.8372093023255813,Principles of Inertial Navigation
supplying,0.22448979591836737,Principles of Inertial Navigation
before,0.025974025974025976,Principles of Inertial Navigation
direction,1.3081761006289307,Principles of Inertial Navigation
mechanical,0.6666666666666666,Principles of Inertial Navigation
section,0.14492753623188406,Principles of Inertial Navigation
off,0.21940928270042195,Principles of Inertial Navigation
:,3000.0,Principles of Inertial Navigation
east-west,3000.0,Principles of Inertial Navigation
errors,0.6153846153846154,Principles of Inertial Navigation
readily,0.5,Principles of Inertial Navigation
more,0.021582733812949638,Principles of Inertial Navigation
airframe,100.0,Principles of Inertial Navigation
Z,14.0,Principles of Inertial Navigation
