w,taza
A,0.053061224489795916,Proton magnetic resonance study
2.26,1000.0,Proton magnetic resonance study
contaminated,5.0,Proton magnetic resonance study
total,0.08294930875576037,Proton magnetic resonance study
excellent,0.36363636363636365,Proton magnetic resonance study
Since,1000.0,Proton magnetic resonance study
experiment,0.25,Proton magnetic resonance study
container,200.0,Proton magnetic resonance study
Plane,0.20689655172413796,Proton magnetic resonance study
second,0.14383561643835616,Proton magnetic resonance study
having,0.023539668700959023,Proton magnetic resonance study
domains,0.06091370558375634,Proton magnetic resonance study
taken,0.11138411138411138,Proton magnetic resonance study
4,0.28888888888888886,Proton magnetic resonance study
greater,0.12807881773399016,Proton magnetic resonance study
with,22000.0,Proton magnetic resonance study
doubt,0.14583333333333334,Proton magnetic resonance study
decreasing,0.2857142857142857,Proton magnetic resonance study
OOH,100.0,Proton magnetic resonance study
moments,0.07352941176470588,Proton magnetic resonance study
stacked,2.3333333333333335,Proton magnetic resonance study
unlikely,0.8,Proton magnetic resonance study
Spectra,400.0,Proton magnetic resonance study
negative,1.0,Proton magnetic resonance study
preparation,0.41935483870967744,Proton magnetic resonance study
1000,0.4444444444444444,Proton magnetic resonance study
employing,0.0875,Proton magnetic resonance study
density,6.0,Proton magnetic resonance study
view,0.08250825082508251,Proton magnetic resonance study
Aj,3000.0,Proton magnetic resonance study
This,5000.0,Proton magnetic resonance study
atoms,4.0,Proton magnetic resonance study
end,0.06498194945848375,Proton magnetic resonance study
close,0.16299559471365638,Proton magnetic resonance study
analysis,1.8181818181818181,Proton magnetic resonance study
For,2000.0,Proton magnetic resonance study
value,0.9552238805970149,Proton magnetic resonance study
presence,0.20833333333333334,Proton magnetic resonance study
made,0.08894702419882276,Proton magnetic resonance study
Douglass,54.0,Proton magnetic resonance study
closer,0.8571428571428571,Proton magnetic resonance study
10.8%,1000.0,Proton magnetic resonance study
range,0.4942528735632184,Proton magnetic resonance study
measured,0.8095238095238095,Proton magnetic resonance study
Subsequently,0.048,Proton magnetic resonance study
Jones,0.7142857142857143,Proton magnetic resonance study
Theoretical,100.0,Proton magnetic resonance study
to,53000.0,Proton magnetic resonance study
in,0.15748031496062992,Proton magnetic resonance study
down,0.1703056768558952,Proton magnetic resonance study
300,1.5,Proton magnetic resonance study
low,0.16363636363636364,Proton magnetic resonance study
340-degrees-C,1000.0,Proton magnetic resonance study
randomization,100.0,Proton magnetic resonance study
gas,0.46808510638297873,Proton magnetic resonance study
becomes,0.017241379310344827,Proton magnetic resonance study
cylindrical,100.0,Proton magnetic resonance study
111,2000.0,Proton magnetic resonance study
finally,0.08108108108108107,Proton magnetic resonance study
sample,2.7096774193548385,Proton magnetic resonance study
centrifugation,100.0,Proton magnetic resonance study
loss,0.43564356435643564,Proton magnetic resonance study
sheets,1.1538461538461537,Proton magnetic resonance study
though,0.017857142857142856,Proton magnetic resonance study
formula,0.12903225806451613,Proton magnetic resonance study
maintained,0.46153846153846156,Proton magnetic resonance study
interactions,100.0,Proton magnetic resonance study
Nuclear,0.08333333333333333,Proton magnetic resonance study
lines,0.45637583892617445,Proton magnetic resonance study
bridged-T,100.0,Proton magnetic resonance study
:,3000.0,Proton magnetic resonance study
sources,0.2857142857142857,Proton magnetic resonance study
2.44,1000.0,Proton magnetic resonance study
angles,0.32,Proton magnetic resonance study
any,0.049450549450549455,Proton magnetic resonance study
ordered,0.22941176470588237,Proton magnetic resonance study
``,6000.0,Proton magnetic resonance study
frequency,1.25,Proton magnetic resonance study
dispersion,0.75,Proton magnetic resonance study
'',6000.0,Proton magnetic resonance study
hardly,0.036231884057971016,Proton magnetic resonance study
usually,0.25,Proton magnetic resonance study
signal,0.3,Proton magnetic resonance study
nearby,0.25,Proton magnetic resonance study
crystal,24.0,Proton magnetic resonance study
low-temperature,1000.0,Proton magnetic resonance study
non-hydrogen-bonded,1000.0,Proton magnetic resonance study
