w,taza
found,0.07214428857715431,Radio Emission of the Moon and Planet
also,0.0819672131147541,Radio Emission of the Moon and Planet
follows,0.033136094674556214,Radio Emission of the Moon and Planet
Table,0.3902439024390244,Radio Emission of the Moon and Planet
For,1000.0,Radio Emission of the Moon and Planet
cases,0.14349775784753363,Radio Emission of the Moon and Planet
by,0.10291595197255575,Radio Emission of the Moon and Planet
waves,3.5454545454545454,Radio Emission of the Moon and Planet
phases,0.07407407407407407,Radio Emission of the Moon and Planet
layer,0.14814814814814814,Radio Emission of the Moon and Planet
Radio,1.5555555555555554,Radio Emission of the Moon and Planet
really,0.04597701149425287,Radio Emission of the Moon and Planet
high-resolution,100.0,Radio Emission of the Moon and Planet
assumed,0.43902439024390244,Radio Emission of the Moon and Planet
3.75,1000.0,Radio Emission of the Moon and Planet
variation,8.0,Radio Emission of the Moon and Planet
measurements,3.111111111111111,Radio Emission of the Moon and Planet
Noskova,1000.0,Radio Emission of the Moon and Planet
C,0.34328358208955223,Radio Emission of the Moon and Planet
as,0.06873210101536058,Radio Emission of the Moon and Planet
lengths,0.96,Radio Emission of the Moon and Planet
figure,0.11484593837535015,Radio Emission of the Moon and Planet
moon,40.333333333333336,Radio Emission of the Moon and Planet
planet,1.875,Radio Emission of the Moon and Planet
results,0.18848167539267016,Radio Emission of the Moon and Planet
Other,0.01282051282051282,Radio Emission of the Moon and Planet
times,0.04954954954954954,Radio Emission of the Moon and Planet
depth,1.25,Radio Emission of the Moon and Planet
9',1000.0,Radio Emission of the Moon and Planet
bright,0.5416666666666666,Radio Emission of the Moon and Planet
indicate,0.09,Radio Emission of the Moon and Planet
sun,0.43999999999999995,Radio Emission of the Moon and Planet
resultant,0.3255813953488372,Radio Emission of the Moon and Planet
Q,100.0,Radio Emission of the Moon and Planet
84-foot,1000.0,Radio Emission of the Moon and Planet
same,0.0898876404494382,Radio Emission of the Moon and Planet
measure,0.2429906542056075,Radio Emission of the Moon and Planet
length,0.6,Radio Emission of the Moon and Planet
Salomonovich,1000.0,Radio Emission of the Moon and Planet
and,66000.0,Radio Emission of the Moon and Planet
Recent,0.13043478260869565,Radio Emission of the Moon and Planet
level,0.09003215434083602,Radio Emission of the Moon and Planet
probable,0.1,Radio Emission of the Moon and Planet
becoming,0.036544850498338874,Radio Emission of the Moon and Planet
600-degrees,1000.0,Radio Emission of the Moon and Planet
Roberts,1.2857142857142856,Radio Emission of the Moon and Planet
Imbrium,1000.0,Radio Emission of the Moon and Planet
1956,3000.0,Radio Emission of the Moon and Planet
Of,1000.0,Radio Emission of the Moon and Planet
central,0.22580645161290322,Radio Emission of the Moon and Planet
Moon,3.666666666666667,Radio Emission of the Moon and Planet
twice,0.16666666666666666,Radio Emission of the Moon and Planet
shown,0.2077922077922078,Radio Emission of the Moon and Planet
subsurface,100.0,Radio Emission of the Moon and Planet
observers,1.6666666666666667,Radio Emission of the Moon and Planet
described,0.12195121951219513,Radio Emission of the Moon and Planet
fashion,0.03870967741935484,Radio Emission of the Moon and Planet
observing,0.1301775147928994,Radio Emission of the Moon and Planet
constant-temperature,1000.0,Radio Emission of the Moon and Planet
half-intensity,200.0,Radio Emission of the Moon and Planet
used,0.24,Radio Emission of the Moon and Planet
degrees,0.07291666666666667,Radio Emission of the Moon and Planet
The,27000.0,Radio Emission of the Moon and Planet
3-cm,2000.0,Radio Emission of the Moon and Planet
reflectors,6.0,Radio Emission of the Moon and Planet
consistent,0.7058823529411764,Radio Emission of the Moon and Planet
significant,0.07142857142857142,Radio Emission of the Moon and Planet
visible,1.3333333333333333,Radio Emission of the Moon and Planet
surround,0.39534883720930236,Radio Emission of the Moon and Planet
up,0.03821656050955414,Radio Emission of the Moon and Planet
limits,0.6363636363636364,Radio Emission of the Moon and Planet
additional,0.10526315789473684,Radio Emission of the Moon and Planet
local,0.25,Radio Emission of the Moon and Planet
might,0.021582733812949638,Radio Emission of the Moon and Planet
10,0.14285714285714285,Radio Emission of the Moon and Planet
comprehensive,0.75,Radio Emission of the Moon and Planet
probe,0.8333333333333334,Radio Emission of the Moon and Planet
When,1000.0,Radio Emission of the Moon and Planet
pointing,0.09090909090909091,Radio Emission of the Moon and Planet
greater,0.12807881773399016,Radio Emission of the Moon and Planet
intensity,3.375,Radio Emission of the Moon and Planet
1959,2000.0,Radio Emission of the Moon and Planet
4.3,3000.0,Radio Emission of the Moon and Planet
shape,0.11029411764705882,Radio Emission of the Moon and Planet
Radhakrishnan,100.0,Radio Emission of the Moon and Planet
any,0.016483516483516484,Radio Emission of the Moon and Planet
origin,0.7547169811320755,Radio Emission of the Moon and Planet
most,0.03991130820399113,Radio Emission of the Moon and Planet
higher,0.10666666666666667,Radio Emission of the Moon and Planet
Nicholson,1000.0,Radio Emission of the Moon and Planet
even,0.038338658146964855,Radio Emission of the Moon and Planet
disagreement,2.0,Radio Emission of the Moon and Planet
series,0.75,Radio Emission of the Moon and Planet
several,0.049180327868852465,Radio Emission of the Moon and Planet
Sloanaker,5000.0,Radio Emission of the Moon and Planet
type,0.09523809523809523,Radio Emission of the Moon and Planet
features,0.03501945525291829,Radio Emission of the Moon and Planet
few,0.028169014084507043,Radio Emission of the Moon and Planet
constant,0.8,Radio Emission of the Moon and Planet
3,0.5352112676056338,Radio Emission of the Moon and Planet
