w,taza
symbol,0.4,Reviews
exerts,0.36363636363636365,Reviews
like,0.06769230769230769,Reviews
Reports,0.11382113821138211,Reviews
either,0.034482758620689655,Reviews
comes,0.0508130081300813,Reviews
throughout,0.375,Reviews
new,0.22564102564102564,Reviews
into,1000.0,Reviews
Dexedrine,100.0,Reviews
"3,000",1000.0,Reviews
toward,1000.0,Reviews
most,0.07982261640798226,Reviews
undue,1.5,Reviews
becoming,0.036544850498338874,Reviews
Food,0.7142857142857143,Reviews
England,0.5,Reviews
So,0.05228758169934641,Reviews
downright,1.0,Reviews
controls,0.13999999999999999,Reviews
inner,0.17142857142857143,Reviews
bloodstream,100.0,Reviews
premiums,100.0,Reviews
weather,0.32,Reviews
spinach,100.0,Reviews
end,0.06498194945848375,Reviews
down,0.3406113537117904,Reviews
winning,0.3076923076923077,Reviews
chocolate,0.6666666666666666,Reviews
messages,0.23529411764705882,Reviews
banish,0.6923076923076923,Reviews
mealie-meal,1000.0,Reviews
meat,0.5517241379310345,Reviews
others,2000.0,Reviews
yellowish,0.6,Reviews
A,0.013265306122448979,Reviews
regarded,0.046052631578947366,Reviews
hen,2.0,Reviews
nearer,0.05714285714285714,Reviews
body's,2000.0,Reviews
encephalitis,100.0,Reviews
Saturated,0.35714285714285715,Reviews
'',16000.0,Reviews
mostly,0.2608695652173913,Reviews
childhood,0.18181818181818182,Reviews
army,0.8,Reviews
weight,2.0869565217391304,Reviews
than,5000.0,Reviews
eaters,100.0,Reviews
bile,200.0,Reviews
kills,0.2111801242236025,Reviews
one-fifth,1.3333333333333333,Reviews
stumbled,0.2,Reviews
Chevrolet,1000.0,Reviews
cornerstone,0.2,Reviews
fully,0.15625,Reviews
chief,0.1044776119402985,Reviews
Eventually,0.08,Reviews
would,2000.0,Reviews
A.,1000.0,Reviews
none,0.058823529411764705,Reviews
weight-height,1000.0,Reviews
And,4000.0,Reviews
longer,0.0948905109489051,Reviews
consume,0.024691358024691357,Reviews
symptomatic,2.0,Reviews
studied,0.0880503144654088,Reviews
physical,0.21428571428571427,Reviews
as,0.07445977609997396,Reviews
birch-paneled,1000.0,Reviews
overburden,100.0,Reviews
concocted,2.3333333333333335,Reviews
inconspicuously,100.0,Reviews
they,5000.0,Reviews
E.,1000.0,Reviews
categories,0.04615384615384615,Reviews
measured,0.40476190476190477,Reviews
Pursuing,0.6666666666666666,Reviews
When,1000.0,Reviews
average,0.12765957446808512,Reviews
cream,0.75,Reviews
Maybe,0.13636363636363638,Reviews
breast,0.1923076923076923,Reviews
York's,1000.0,Reviews
intima,100.0,Reviews
Metropolitan,1.0,Reviews
at,0.03902439024390244,Reviews
reports,0.11382113821138211,Reviews
desire,0.041666666666666664,Reviews
took,0.05546218487394958,Reviews
much,0.32,Reviews
Quota,100.0,Reviews
sprue,100.0,Reviews
their,1000.0,Reviews
if,2000.0,Reviews
aside,0.014545454545454545,Reviews
forms,0.0852575488454707,Reviews
the,131000.0,Reviews
gluttons,200.0,Reviews
plays,0.1388888888888889,Reviews
experiment,0.25,Reviews
John,0.07782101167315175,Reviews
muscular,0.5454545454545455,Reviews
2%,1000.0,Reviews
nearly,0.043859649122807015,Reviews
eggs,2.4,Reviews
which,9000.0,Reviews
reasons,0.12222222222222222,Reviews
perhaps,0.13636363636363638,Reviews
one-tenth,100.0,Reviews
Vitamins,100.0,Reviews
provokes,0.48837209302325585,Reviews
contain,0.08695652173913043,Reviews
virtually,0.017738359201773836,Reviews
(,13000.0,Reviews
pay,0.14583333333333334,Reviews
narcotizes,100.0,Reviews
divine,0.7083333333333333,Reviews
Capetown,1000.0,Reviews
spans,0.42857142857142855,Reviews
depends,0.08,Reviews
University,0.2857142857142857,Reviews
Out,0.042134831460674156,Reviews
disease,1.0,Reviews
belly,0.4,Reviews
saturation,0.7142857142857143,Reviews
scurvy,0.3333333333333333,Reviews
solace,0.46153846153846156,Reviews
neatly,0.3333333333333333,Reviews
are,0.08702408702408702,Reviews
cocktail,1.0,Reviews
eat,3.75,Reviews
Cholesterol,100.0,Reviews
role,0.05454545454545455,Reviews
It,200.0,Reviews
Rockefeller,100.0,Reviews
occurs,0.08849557522123894,Reviews
Co.,1000.0,Reviews
Even,0.038338658146964855,Reviews
diseases,0.6,Reviews
interest,0.4363636363636364,Reviews
habits,0.08823529411764705,Reviews
luxury,3.0,Reviews
Stay,0.25263157894736843,Reviews
sense,0.16091954022988506,Reviews
over,0.07291666666666667,Reviews
panaceas,100.0,Reviews
skinfolds,1000.0,Reviews
arteries,200.0,Reviews
any,0.016483516483516484,Reviews
alcohol,3.75,Reviews
she's,1000.0,Reviews
brain,0.10638297872340426,Reviews
formation,0.7777777777777777,Reviews
previous,0.03816793893129771,Reviews
indescribable,2.0,Reviews
mechanical,0.6666666666666666,Reviews
every,0.04081632653061224,Reviews
off,0.16455696202531647,Reviews
example,0.1411764705882353,Reviews
hypothalamus,0.05555555555555555,Reviews
assume,0.19642857142857142,Reviews
:,11000.0,Reviews
pituitary,2.0,Reviews
