w,taza
A,0.01768707482993197,Rhode Island Legislative Council. Research Report Number 1
Automobile,0.07142857142857142,Rhode Island Legislative Council. Research Report Number 1
experience,0.00932642487046632,Rhode Island Legislative Council. Research Report Number 1
variously,1.5,Rhode Island Legislative Council. Research Report Number 1
replacement,1.5294117647058822,Rhode Island Legislative Council. Research Report Number 1
total,0.16589861751152074,Rhode Island Legislative Council. Research Report Number 1
left,0.07551487414187644,Rhode Island Legislative Council. Research Report Number 1
'30s,1000.0,Rhode Island Legislative Council. Research Report Number 1
confined,0.8648648648648649,Rhode Island Legislative Council. Research Report Number 1
closely,0.09090909090909091,Rhode Island Legislative Council. Research Report Number 1
effectiveness,1.0,Rhode Island Legislative Council. Research Report Number 1
4,0.28888888888888886,Rhode Island Legislative Council. Research Report Number 1
growth,0.3389830508474576,Rhode Island Legislative Council. Research Report Number 1
procedure,0.2,Rhode Island Legislative Council. Research Report Number 1
with,14000.0,Rhode Island Legislative Council. Research Report Number 1
steadily,0.25,Rhode Island Legislative Council. Research Report Number 1
Works,0.08500772797527048,Rhode Island Legislative Council. Research Report Number 1
dates,0.08928571428571429,Rhode Island Legislative Council. Research Report Number 1
refinements,1.4,Rhode Island Legislative Council. Research Report Number 1
well-administered,1000.0,Rhode Island Legislative Council. Research Report Number 1
driver,1.2857142857142856,Rhode Island Legislative Council. Research Report Number 1
immediately,0.06369426751592357,Rhode Island Legislative Council. Research Report Number 1
uniformly,100.0,Rhode Island Legislative Council. Research Report Number 1
who,100.0,Rhode Island Legislative Council. Research Report Number 1
past,0.025974025974025976,Rhode Island Legislative Council. Research Report Number 1
similarly,0.6666666666666666,Rhode Island Legislative Council. Research Report Number 1
survey,0.13414634146341464,Rhode Island Legislative Council. Research Report Number 1
tires,1.1875,Rhode Island Legislative Council. Research Report Number 1
"22,000",1000.0,Rhode Island Legislative Council. Research Report Number 1
This,4000.0,Rhode Island Legislative Council. Research Report Number 1
behind,0.09597523219814241,Rhode Island Legislative Council. Research Report Number 1
In,0.02486531288852051,Rhode Island Legislative Council. Research Report Number 1
economical,2.4,Rhode Island Legislative Council. Research Report Number 1
purchase,1.3043478260869565,Rhode Island Legislative Council. Research Report Number 1
made,0.35578809679529105,Rhode Island Legislative Council. Research Report Number 1
signify,0.1,Rhode Island Legislative Council. Research Report Number 1
concerning,0.7619047619047619,Rhode Island Legislative Council. Research Report Number 1
Meaningful,0.5,Rhode Island Legislative Council. Research Report Number 1
unduly,0.5,Rhode Island Legislative Council. Research Report Number 1
replace,0.75,Rhode Island Legislative Council. Research Report Number 1
accomplish,0.136986301369863,Rhode Island Legislative Council. Research Report Number 1
So,0.026143790849673203,Rhode Island Legislative Council. Research Report Number 1
repair,2.6956521739130435,Rhode Island Legislative Council. Research Report Number 1
flexible,2.6666666666666665,Rhode Island Legislative Council. Research Report Number 1
antiquated,2.5,Rhode Island Legislative Council. Research Report Number 1
war,0.09090909090909091,Rhode Island Legislative Council. Research Report Number 1
called,0.1984732824427481,Rhode Island Legislative Council. Research Report Number 1
Twenty-six,100.0,Rhode Island Legislative Council. Research Report Number 1
to,55000.0,Rhode Island Legislative Council. Research Report Number 1
in,0.19477828429341068,Rhode Island Legislative Council. Research Report Number 1
recently,0.25,Rhode Island Legislative Council. Research Report Number 1
headquarter,100.0,Rhode Island Legislative Council. Research Report Number 1
Registry,2.0,Rhode Island Legislative Council. Research Report Number 1
payment,300.0,Rhode Island Legislative Council. Research Report Number 1
operating,0.10191082802547771,Rhode Island Legislative Council. Research Report Number 1
Whether,1000.0,Rhode Island Legislative Council. Research Report Number 1
Vehicle,200.0,Rhode Island Legislative Council. Research Report Number 1
assistance,0.07692307692307693,Rhode Island Legislative Council. Research Report Number 1
annually,7.0,Rhode Island Legislative Council. Research Report Number 1
Forty-seven,3.0,Rhode Island Legislative Council. Research Report Number 1
Providence,0.8571428571428571,Rhode Island Legislative Council. Research Report Number 1
central,0.9032258064516129,Rhode Island Legislative Council. Research Report Number 1
insurance,0.7272727272727273,Rhode Island Legislative Council. Research Report Number 1
loose,0.16025641025641024,Rhode Island Legislative Council. Research Report Number 1
switched,0.234375,Rhode Island Legislative Council. Research Report Number 1
employee,100.0,Rhode Island Legislative Council. Research Report Number 1
complete,0.11249999999999999,Rhode Island Legislative Council. Research Report Number 1
Based,0.06,Rhode Island Legislative Council. Research Report Number 1
Motor,0.16666666666666666,Rhode Island Legislative Council. Research Report Number 1
Police,0.10416666666666667,Rhode Island Legislative Council. Research Report Number 1
periods,0.18309859154929578,Rhode Island Legislative Council. Research Report Number 1
:,6000.0,Rhode Island Legislative Council. Research Report Number 1
newly-created,1000.0,Rhode Island Legislative Council. Research Report Number 1
any,0.016483516483516484,Rhode Island Legislative Council. Research Report Number 1
them,2000.0,Rhode Island Legislative Council. Research Report Number 1
``,4000.0,Rhode Island Legislative Council. Research Report Number 1
help,0.14285714285714285,Rhode Island Legislative Council. Research Report Number 1
through,0.025477707006369428,Rhode Island Legislative Council. Research Report Number 1
registered,0.07777777777777778,Rhode Island Legislative Council. Research Report Number 1
'',3000.0,Rhode Island Legislative Council. Research Report Number 1
estimate,0.1686746987951807,Rhode Island Legislative Council. Research Report Number 1
determining,0.0948905109489051,Rhode Island Legislative Council. Research Report Number 1
Few,0.014084507042253521,Rhode Island Legislative Council. Research Report Number 1
increased,0.20689655172413793,Rhode Island Legislative Council. Research Report Number 1
Probably,0.1951219512195122,Rhode Island Legislative Council. Research Report Number 1
report,0.22764227642276422,Rhode Island Legislative Council. Research Report Number 1
responsibility,2.857142857142857,Rhode Island Legislative Council. Research Report Number 1
every,0.02040816326530612,Rhode Island Legislative Council. Research Report Number 1
except,0.3333333333333333,Rhode Island Legislative Council. Research Report Number 1
privately-owned,1000.0,Rhode Island Legislative Council. Research Report Number 1
States,0.07633587786259542,Rhode Island Legislative Council. Research Report Number 1
has,0.22755013077593725,Rhode Island Legislative Council. Research Report Number 1
lack,0.06060606060606061,Rhode Island Legislative Council. Research Report Number 1
charge,0.32075471698113206,Rhode Island Legislative Council. Research Report Number 1
was,0.2733900364520049,Rhode Island Legislative Council. Research Report Number 1
attempt,0.171875,Rhode Island Legislative Council. Research Report Number 1
Unit,0.30303030303030304,Rhode Island Legislative Council. Research Report Number 1
develop,0.1144278606965174,Rhode Island Legislative Council. Research Report Number 1
lend,0.2,Rhode Island Legislative Council. Research Report Number 1
title,0.55,Rhode Island Legislative Council. Research Report Number 1
years,0.28,Rhode Island Legislative Council. Research Report Number 1
governing,0.6376811594202899,Rhode Island Legislative Council. Research Report Number 1
for,36000.0,Rhode Island Legislative Council. Research Report Number 1
expenses,0.625,Rhode Island Legislative Council. Research Report Number 1
$50,1000.0,Rhode Island Legislative Council. Research Report Number 1
been,0.13366336633663367,Rhode Island Legislative Council. Research Report Number 1
regulations,1.090909090909091,Rhode Island Legislative Council. Research Report Number 1
important,0.1,Rhode Island Legislative Council. Research Report Number 1
beyond,0.1111111111111111,Rhode Island Legislative Council. Research Report Number 1
financed,100.0,Rhode Island Legislative Council. Research Report Number 1
latter,0.1111111111111111,Rhode Island Legislative Council. Research Report Number 1
389,1000.0,Rhode Island Legislative Council. Research Report Number 1
public,0.04580152671755725,Rhode Island Legislative Council. Research Report Number 1
laws,0.26666666666666666,Rhode Island Legislative Council. Research Report Number 1
subsistence,200.0,Rhode Island Legislative Council. Research Report Number 1
solely,0.020242914979757085,Rhode Island Legislative Council. Research Report Number 1
fleet,0.7692307692307692,Rhode Island Legislative Council. Research Report Number 1
include,0.15789473684210528,Rhode Island Legislative Council. Research Report Number 1
activities,0.13333333333333333,Rhode Island Legislative Council. Research Report Number 1
need,0.3252032520325203,Rhode Island Legislative Council. Research Report Number 1
advent,0.2692307692307692,Rhode Island Legislative Council. Research Report Number 1
and,63000.0,Rhode Island Legislative Council. Research Report Number 1
"16,000",1000.0,Rhode Island Legislative Council. Research Report Number 1
B,1.4736842105263157,Rhode Island Legislative Council. Research Report Number 1
duties,0.5714285714285714,Rhode Island Legislative Council. Research Report Number 1
