w,taza
like,0.2369230769230769,Riding the Dark Train Out
Then,0.019753086419753086,Riding the Dark Train Out
seen,0.10280373831775702,Riding the Dark Train Out
Hmm,1000.0,Riding the Dark Train Out
clanking,100.0,Riding the Dark Train Out
screwed,0.15196078431372548,Riding the Dark Train Out
I,0.11291702309666382,Riding the Dark Train Out
into,11000.0,Riding the Dark Train Out
small,0.06435643564356436,Riding the Dark Train Out
chair,0.2391304347826087,Riding the Dark Train Out
chick,3.5,Riding the Dark Train Out
toward,4000.0,Riding the Dark Train Out
Road,0.04,Riding the Dark Train Out
undue,1.5,Riding the Dark Train Out
yanked,100.0,Riding the Dark Train Out
split,0.26136363636363635,Riding the Dark Train Out
held,0.22927328556806548,Riding the Dark Train Out
started,0.2040816326530612,Riding the Dark Train Out
belligerence,4.0,Riding the Dark Train Out
So,0.026143790849673203,Riding the Dark Train Out
woulda,1000.0,Riding the Dark Train Out
floor,0.36585365853658536,Riding the Dark Train Out
been,0.13366336633663367,Riding the Dark Train Out
stuff,0.6666666666666666,Riding the Dark Train Out
outside,0.1348314606741573,Riding the Dark Train Out
packet,1.75,Riding the Dark Train Out
end,0.06498194945848375,Riding the Dark Train Out
down,1.532751091703057,Riding the Dark Train Out
Philadelphia,0.6666666666666666,Riding the Dark Train Out
wieners',1000.0,Riding the Dark Train Out
clash,0.9285714285714286,Riding the Dark Train Out
trim,0.5625,Riding the Dark Train Out
meal,0.25,Riding the Dark Train Out
meat,0.27586206896551724,Riding the Dark Train Out
others,1000.0,Riding the Dark Train Out
Where,1000.0,Riding the Dark Train Out
straight,0.18478260869565216,Riding the Dark Train Out
accused,0.6666666666666666,Riding the Dark Train Out
A,0.022108843537414966,Riding the Dark Train Out
interrupted,0.5,Riding the Dark Train Out
pocket,2.4,Riding the Dark Train Out
grade,0.05014749262536873,Riding the Dark Train Out
'',58000.0,Riding the Dark Train Out
sweetly,0.5,Riding the Dark Train Out
himself,5000.0,Riding the Dark Train Out
uh,2000.0,Riding the Dark Train Out
brazier,100.0,Riding the Dark Train Out
than,2000.0,Riding the Dark Train Out
elbows,1.5,Riding the Dark Train Out
cleared,0.20098039215686275,Riding the Dark Train Out
audible,100.0,Riding the Dark Train Out
deeper,0.24528301886792456,Riding the Dark Train Out
opened,0.06557377049180328,Riding the Dark Train Out
fault,0.9473684210526316,Riding the Dark Train Out
top,0.3333333333333333,Riding the Dark Train Out
would,2000.0,Riding the Dark Train Out
grinned,1.0,Riding the Dark Train Out
greatest,0.15053763440860216,Riding the Dark Train Out
none,0.058823529411764705,Riding the Dark Train Out
And,3000.0,Riding the Dark Train Out
walked,0.11764705882352941,Riding the Dark Train Out
longer,0.0948905109489051,Riding the Dark Train Out
across,0.08108108108108107,Riding the Dark Train Out
I'd,1000.0,Riding the Dark Train Out
as,0.040093725592293676,Riding the Dark Train Out
book,0.3424657534246575,Riding the Dark Train Out
deep,0.18518518518518517,Riding the Dark Train Out
Dad,7.0,Riding the Dark Train Out
they,6000.0,Riding the Dark Train Out
you,13000.0,Riding the Dark Train Out
voice,0.26666666666666666,Riding the Dark Train Out
kids,1.5714285714285714,Riding the Dark Train Out
married,0.5454545454545455,Riding the Dark Train Out
When,1000.0,Riding the Dark Train Out
Maybe,0.13636363636363638,Riding the Dark Train Out
legs,1.5483870967741935,Riding the Dark Train Out
How,1000.0,Riding the Dark Train Out
plunge,1.3636363636363638,Riding the Dark Train Out
bottle,1.3333333333333333,Riding the Dark Train Out
at,0.0910569105691057,Riding the Dark Train Out
door,0.3157894736842105,Riding the Dark Train Out
bits,0.07317073170731708,Riding the Dark Train Out
crossing,1.3214285714285714,Riding the Dark Train Out
took,0.16638655462184873,Riding the Dark Train Out
tugging,0.17073170731707318,Riding the Dark Train Out
much,0.09142857142857143,Riding the Dark Train Out
turned,0.06510416666666667,Riding the Dark Train Out
laughed,0.3,Riding the Dark Train Out
their,1000.0,Riding the Dark Train Out
tasted,0.23333333333333334,Riding the Dark Train Out
the,127000.0,Riding the Dark Train Out
rattling,0.2268041237113402,Riding the Dark Train Out
There,0.043478260869565216,Riding the Dark Train Out
standing,0.6428571428571428,Riding the Dark Train Out
remainder,0.09174311926605504,Riding the Dark Train Out
Kroger's,1000.0,Riding the Dark Train Out
trilled,0.42857142857142855,Riding the Dark Train Out
drained,0.24137931034482757,Riding the Dark Train Out
step,0.5833333333333334,Riding the Dark Train Out
thick,0.7777777777777777,Riding the Dark Train Out
character,0.13953488372093023,Riding the Dark Train Out
sun,0.43999999999999995,Riding the Dark Train Out
sure,0.0900900900900901,Riding the Dark Train Out
convent,1.0,Riding the Dark Train Out
Out,0.08426966292134831,Riding the Dark Train Out
respectable,0.07692307692307693,Riding the Dark Train Out
shocked,0.9444444444444444,Riding the Dark Train Out
Village,0.75,Riding the Dark Train Out
belly,0.4,Riding the Dark Train Out
Come,0.1016260162601626,Riding the Dark Train Out
blade,1.2,Riding the Dark Train Out
return,0.21904761904761905,Riding the Dark Train Out
neatly,0.3333333333333333,Riding the Dark Train Out
rolled,0.4025974025974026,Riding the Dark Train Out
potato,1.6,Riding the Dark Train Out
are,0.010878010878010878,Riding the Dark Train Out
wide,0.9444444444444445,Riding the Dark Train Out
wrestle,10.0,Riding the Dark Train Out
eat,1.5,Riding the Dark Train Out
It,300.0,Riding the Dark Train Out
self-served,1000.0,Riding the Dark Train Out
gonna,8000.0,Riding the Dark Train Out
dinner,0.4,Riding the Dark Train Out
slightly,0.16129032258064516,Riding the Dark Train Out
reply,0.10810810810810811,Riding the Dark Train Out
Zingggg-O,1000.0,Riding the Dark Train Out
Vivaldi,100.0,Riding the Dark Train Out
over,0.14583333333333334,Riding the Dark Train Out
vernacular,0.375,Riding the Dark Train Out
Ah-ah,1000.0,Riding the Dark Train Out
defiantly,3.0,Riding the Dark Train Out
before,0.07792207792207792,Riding the Dark Train Out
scream,0.48780487804878053,Riding the Dark Train Out
pig,2.25,Riding the Dark Train Out
answering,0.044117647058823525,Riding the Dark Train Out
didn't,6000.0,Riding the Dark Train Out
every,0.02040816326530612,Riding the Dark Train Out
opening,0.1590909090909091,Riding the Dark Train Out
records,0.1875,Riding the Dark Train Out
off,0.16455696202531647,Riding the Dark Train Out
help,0.14285714285714285,Riding the Dark Train Out
:,2000.0,Riding the Dark Train Out
heard,0.14857142857142858,Riding the Dark Train Out
You,2000.0,Riding the Dark Train Out
more,0.06474820143884892,Riding the Dark Train Out
Feathertop,1200.0,Riding the Dark Train Out
He,0.07596594629993451,Riding the Dark Train Out
surprisingly,0.6,Riding the Dark Train Out
got,0.09957325746799431,Riding the Dark Train Out
other,0.02564102564102564,Riding the Dark Train Out
besides,0.024590163934426233,Riding the Dark Train Out
indecent,6.0,Riding the Dark Train Out
be,0.059113300492610835,Riding the Dark Train Out
inquired,0.27027027027027023,Riding the Dark Train Out
remembered,0.12643678160919541,Riding the Dark Train Out
circle,0.2469135802469136,Riding the Dark Train Out
nodded,1.0,Riding the Dark Train Out
askin',1000.0,Riding the Dark Train Out
again,0.21621621621621623,Riding the Dark Train Out
taste,0.611111111111111,Riding the Dark Train Out
few,0.014084507042253521,Riding the Dark Train Out
its,200.0,Riding the Dark Train Out
gathered,0.5588235294117647,Riding the Dark Train Out
liked,0.017937219730941704,Riding the Dark Train Out
motioning,0.5454545454545455,Riding the Dark Train Out
pure,0.30158730158730157,Riding the Dark Train Out
threw,0.07637906647807638,Riding the Dark Train Out
offal,100.0,Riding the Dark Train Out
lonelier,0.1935483870967742,Riding the Dark Train Out
diddle,0.782608695652174,Riding the Dark Train Out
connoisseur,100.0,Riding the Dark Train Out
