w,taza
guru,2.0,Stranger in a Strange Land.
inevitability,2.0,Stranger in a Strange Land.
mind,0.1797752808988764,Stranger in a Strange Land.
individual,0.09090909090909091,Stranger in a Strange Land.
bishops,200.0,Stranger in a Strange Land.
For,1000.0,Stranger in a Strange Land.
next,0.057692307692307696,Stranger in a Strange Land.
gripes,2.571428571428571,Stranger in a Strange Land.
by,0.06174957118353345,Stranger in a Strange Land.
last,0.07142857142857142,Stranger in a Strange Land.
heaved,100.0,Stranger in a Strange Land.
them,6000.0,Stranger in a Strange Land.
Before,0.025974025974025976,Stranger in a Strange Land.
stars,0.5263157894736842,Stranger in a Strange Land.
real,0.06914893617021277,Stranger in a Strange Land.
That,1000.0,Stranger in a Strange Land.
touch,0.7580645161290324,Stranger in a Strange Land.
scheduled,0.3333333333333333,Stranger in a Strange Land.
chipper,2.0,Stranger in a Strange Land.
forced,0.20481927710843373,Stranger in a Strange Land.
AD,1.2857142857142856,Stranger in a Strange Land.
If,1000.0,Stranger in a Strange Land.
got,0.09957325746799431,Stranger in a Strange Land.
Yes,0.4,Stranger in a Strange Land.
later,0.07614213197969544,Stranger in a Strange Land.
human,0.018018018018018018,Stranger in a Strange Land.
as,0.07445977609997396,Stranger in a Strange Land.
always,0.06722689075630252,Stranger in a Strange Land.
show,0.1087866108786611,Stranger in a Strange Land.
planet,0.375,Stranger in a Strange Land.
home,0.07299270072992702,Stranger in a Strange Land.
news,0.27450980392156865,Stranger in a Strange Land.
downstairs,0.4166666666666667,Stranger in a Strange Land.
England,0.5,Stranger in a Strange Land.
My,1000.0,Stranger in a Strange Land.
other,0.038461538461538464,Stranger in a Strange Land.
Stinky,11.0,Stranger in a Strange Land.
generations,0.42857142857142855,Stranger in a Strange Land.
another,0.06557377049180328,Stranger in a Strange Land.
shouldn't,1000.0,Stranger in a Strange Land.
spoke,0.16,Stranger in a Strange Land.
CD,2.5999999999999996,Stranger in a Strange Land.
away,0.007049345417925478,Stranger in a Strange Land.
pronounced,0.10638297872340426,Stranger in a Strange Land.
grokking,4000.0,Stranger in a Strange Land.
Short's,1000.0,Stranger in a Strange Land.
same,0.0299625468164794,Stranger in a Strange Land.
gotten,0.049786628733997154,Stranger in a Strange Land.
Where,2000.0,Stranger in a Strange Land.
grown,0.06306306306306306,Stranger in a Strange Land.
totality,0.24137931034482757,Stranger in a Strange Land.
punctuation,2.0,Stranger in a Strange Land.
and,64000.0,Stranger in a Strange Land.
beauty,1.090909090909091,Stranger in a Strange Land.
knotty,0.9444444444444444,Stranger in a Strange Land.
extremely,0.23809523809523808,Stranger in a Strange Land.
quicker,0.1627906976744186,Stranger in a Strange Land.
girls,0.37931034482758624,Stranger in a Strange Land.
Daily,0.5384615384615384,Stranger in a Strange Land.
happened,0.32380952380952377,Stranger in a Strange Land.
Of,1000.0,Stranger in a Strange Land.
else,1000.0,Stranger in a Strange Land.
Ben,100.0,Stranger in a Strange Land.
Earth,0.1864406779661017,Stranger in a Strange Land.
Their,1000.0,Stranger in a Strange Land.
him,14000.0,Stranger in a Strange Land.
Come,0.0508130081300813,Stranger in a Strange Land.
salted,1.3333333333333333,Stranger in a Strange Land.
helped,0.23728813559322035,Stranger in a Strange Land.
proclaimed,0.5555555555555556,Stranger in a Strange Land.
half,0.10810810810810811,Stranger in a Strange Land.
closer,1.7142857142857142,Stranger in a Strange Land.
Guardian,100.0,Stranger in a Strange Land.
rejected,0.8636363636363636,Stranger in a Strange Land.
The,9000.0,Stranger in a Strange Land.
understanding,0.0966183574879227,Stranger in a Strange Land.
hold,0.07708119218910586,Stranger in a Strange Land.
light,0.6666666666666666,Stranger in a Strange Land.
start,0.09202453987730061,Stranger in a Strange Land.
up,0.15286624203821655,Stranger in a Strange Land.
it'll,1000.0,Stranger in a Strange Land.
brother,2.8421052631578947,Stranger in a Strange Land.
don't,1000.0,Stranger in a Strange Land.
America,0.25806451612903225,Stranger in a Strange Land.
pool,0.1346153846153846,Stranger in a Strange Land.
remained,0.1,Stranger in a Strange Land.
ripple,1.5,Stranger in a Strange Land.
Digby,7000.0,Stranger in a Strange Land.
growing-waiting,1000.0,Stranger in a Strange Land.
life,0.19047619047619047,Stranger in a Strange Land.
looking,0.057065217391304345,Stranger in a Strange Land.
Tabernacle,1.25,Stranger in a Strange Land.
meantime,1.25,Stranger in a Strange Land.
Mahmoud,2000.0,Stranger in a Strange Land.
tasted,0.23333333333333334,Stranger in a Strange Land.
consisting,0.3846153846153846,Stranger in a Strange Land.
disappearance,1.0,Stranger in a Strange Land.
there's,4000.0,Stranger in a Strange Land.
shape,0.11029411764705882,Stranger in a Strange Land.
seemed,0.034090909090909095,Stranger in a Strange Land.
spaces,0.05925925925925926,Stranger in a Strange Land.
Palermo,1.0,Stranger in a Strange Land.
most,0.03991130820399113,Stranger in a Strange Land.
necessity,0.13157894736842105,Stranger in a Strange Land.
Ardent,0.5,Stranger in a Strange Land.
Sicily,2.0,Stranger in a Strange Land.
President,0.3448275862068966,Stranger in a Strange Land.
stupid,5.199999999999999,Stranger in a Strange Land.
nestling,0.6785714285714286,Stranger in a Strange Land.
Technician,100.0,Stranger in a Strange Land.
Indian,1.3333333333333333,Stranger in a Strange Land.
sands,1.5,Stranger in a Strange Land.
work,0.13442622950819672,Stranger in a Strange Land.
powers,0.1065989847715736,Stranger in a Strange Land.
clinches,0.8333333333333334,Stranger in a Strange Land.
D,0.5625,Stranger in a Strange Land.
few,0.028169014084507043,Stranger in a Strange Land.
Warm,0.2,Stranger in a Strange Land.
Bishop,400.0,Stranger in a Strange Land.
known,0.21428571428571427,Stranger in a Strange Land.
discovered,0.14487632508833923,Stranger in a Strange Land.
reviewed,2.25,Stranger in a Strange Land.
angel,1.0769230769230769,Stranger in a Strange Land.
!,20000.0,Stranger in a Strange Land.
threes-fulfilled,1000.0,Stranger in a Strange Land.
disappointed,1.0,Stranger in a Strange Land.
bed,0.1712962962962963,Stranger in a Strange Land.
Miracle,0.5,Stranger in a Strange Land.
first,0.3574468085106383,Stranger in a Strange Land.
professional,0.18181818181818182,Stranger in a Strange Land.
voice,0.13333333333333333,Stranger in a Strange Land.
Hi,100.0,Stranger in a Strange Land.
spring,0.1769230769230769,Stranger in a Strange Land.
Anyhow,0.6666666666666666,Stranger in a Strange Land.
doing,0.047524752475247525,Stranger in a Strange Land.
having,0.023539668700959023,Stranger in a Strange Land.
am,0.04950495049504951,Stranger in a Strange Land.
check,0.2364217252396166,Stranger in a Strange Land.
look,0.12133891213389121,Stranger in a Strange Land.
miss,0.18181818181818182,Stranger in a Strange Land.
Larry,1000.0,Stranger in a Strange Land.
much,0.09142857142857143,Stranger in a Strange Land.
loose,0.16025641025641024,Stranger in a Strange Land.
make,0.09900990099009901,Stranger in a Strange Land.
are,0.06526806526806526,Stranger in a Strange Land.
estimate,0.1686746987951807,Stranger in a Strange Land.
fleeting,0.8666666666666667,Stranger in a Strange Land.
goodness,0.043478260869565216,Stranger in a Strange Land.
edition,0.5,Stranger in a Strange Land.
dismissed,0.09473684210526316,Stranger in a Strange Land.
clear-headed,1000.0,Stranger in a Strange Land.
spend,0.16,Stranger in a Strange Land.
I've,2000.0,Stranger in a Strange Land.
sigh,1.5,Stranger in a Strange Land.
warm,0.6,Stranger in a Strange Land.
National,0.054945054945054944,Stranger in a Strange Land.
ever,0.19047619047619047,Stranger in a Strange Land.
considerate,1.0,Stranger in a Strange Land.
because,1000.0,Stranger in a Strange Land.
straighten,4.5,Stranger in a Strange Land.
promotion,1.75,Stranger in a Strange Land.
without,4000.0,Stranger in a Strange Land.
darling,0.6875,Stranger in a Strange Land.
hand-woven,1000.0,Stranger in a Strange Land.
We,1000.0,Stranger in a Strange Land.
out,0.08426966292134831,Stranger in a Strange Land.
saw,0.10234899328859061,Stranger in a Strange Land.
nymphs,100.0,Stranger in a Strange Land.
normal,0.1111111111111111,Stranger in a Strange Land.
among,1000.0,Stranger in a Strange Land.
weary,1.4,Stranger in a Strange Land.
?,32000.0,Stranger in a Strange Land.
speeded,0.3529411764705882,Stranger in a Strange Land.
congregation,0.6666666666666666,Stranger in a Strange Land.
He,0.02619515389652914,Stranger in a Strange Land.
barometric,2.0,Stranger in a Strange Land.
A,0.026530612244897958,Stranger in a Strange Land.
personae,0.0759493670886076,Stranger in a Strange Land.
uneasy,0.8,Stranger in a Strange Land.
learning,0.10839160839160839,Stranger in a Strange Land.
breathing,1.2,Stranger in a Strange Land.
naked,0.27272727272727276,Stranger in a Strange Land.
understand,0.07792207792207792,Stranger in a Strange Land.
the,76000.0,Stranger in a Strange Land.
uncurled,2.0,Stranger in a Strange Land.
assistant,0.11363636363636363,Stranger in a Strange Land.
equator,1.0,Stranger in a Strange Land.
millennia,2.0,Stranger in a Strange Land.
Self's,1000.0,Stranger in a Strange Land.
Then,0.009876543209876543,Stranger in a Strange Land.
cold,0.6190476190476191,Stranger in a Strange Land.
ship,0.14814814814814814,Stranger in a Strange Land.
ways,0.06147540983606558,Stranger in a Strange Land.
Boone,2.0,Stranger in a Strange Land.
like,0.13538461538461538,Stranger in a Strange Land.
rock-steady,3.0,Stranger in a Strange Land.
worried,0.15384615384615385,Stranger in a Strange Land.
been,0.14851485148514854,Stranger in a Strange Land.
indicted,100.0,Stranger in a Strange Land.
deduced,4.0,Stranger in a Strange Land.
which,5000.0,Stranger in a Strange Land.
weakness,0.8,Stranger in a Strange Land.
ill-starred,1.25,Stranger in a Strange Land.
Anne,0.10714285714285714,Stranger in a Strange Land.
limited,0.17142857142857143,Stranger in a Strange Land.
yourself,1000.0,Stranger in a Strange Land.
sentence,0.041237113402061855,Stranger in a Strange Land.
made,0.13342053629823414,Stranger in a Strange Land.
This,2000.0,Stranger in a Strange Land.
conditions,0.20879120879120877,Stranger in a Strange Land.
we,4000.0,Stranger in a Strange Land.
toward,2000.0,Stranger in a Strange Land.
opened,0.06557377049180328,Stranger in a Strange Land.
after,0.096,Stranger in a Strange Land.
Douglas,4.0,Stranger in a Strange Land.
come,0.0508130081300813,Stranger in a Strange Land.
right,0.31698113207547174,Stranger in a Strange Land.
Do,0.05928853754940711,Stranger in a Strange Land.
Even,0.038338658146964855,Stranger in a Strange Land.
still,0.30978260869565216,Stranger in a Strange Land.
darkness,0.16666666666666666,Stranger in a Strange Land.
colder,0.38095238095238093,Stranger in a Strange Land.
punk,1.4,Stranger in a Strange Land.
get,0.049786628733997154,Stranger in a Strange Land.
more,0.12949640287769784,Stranger in a Strange Land.
at,0.03902439024390244,Stranger in a Strange Land.
went,0.3252496433666191,Stranger in a Strange Land.
candidate,0.4444444444444444,Stranger in a Strange Land.
Joseph,0.25,Stranger in a Strange Land.
started,0.1020408163265306,Stranger in a Strange Land.
turned,0.13020833333333334,Stranger in a Strange Land.
louse,4.0,Stranger in a Strange Land.
worse,0.1717171717171717,Stranger in a Strange Land.
parents,0.45454545454545453,Stranger in a Strange Land.
kissing,1.8571428571428572,Stranger in a Strange Land.
serviettes,100.0,Stranger in a Strange Land.
Okay,0.896551724137931,Stranger in a Strange Land.
teaches,1.0,Stranger in a Strange Land.
waiting,0.08910891089108912,Stranger in a Strange Land.
triumphantly,1.0,Stranger in a Strange Land.
ethereal,4.0,Stranger in a Strange Land.
be,0.19704433497536947,Stranger in a Strange Land.
almost,0.05321507760532151,Stranger in a Strange Land.
translated,0.25531914893617025,Stranger in a Strange Land.
posture,0.2,Stranger in a Strange Land.
with-but-after,1000.0,Stranger in a Strange Land.
between,0.07228915662650602,Stranger in a Strange Land.
company,0.4888888888888889,Stranger in a Strange Land.
Second,0.07191780821917808,Stranger in a Strange Land.
neither,0.1,Stranger in a Strange Land.
down,1.1921397379912664,Stranger in a Strange Land.
studied,0.0880503144654088,Stranger in a Strange Land.
while,0.08888888888888889,Stranger in a Strange Land.
Manchester,1.0,Stranger in a Strange Land.
wailing,2.1666666666666665,Stranger in a Strange Land.
let,0.021582733812949638,Stranger in a Strange Land.
ran,0.1936685288640596,Stranger in a Strange Land.
until,4000.0,Stranger in a Strange Land.
Hell,0.5142857142857143,Stranger in a Strange Land.
Science,0.15789473684210528,Stranger in a Strange Land.
snack,2.0,Stranger in a Strange Land.
horizon,0.3333333333333333,Stranger in a Strange Land.
l'Osservatore,1000.0,Stranger in a Strange Land.
know,0.3380281690140845,Stranger in a Strange Land.
spot-promoted,1000.0,Stranger in a Strange Land.
Man,0.060109289617486336,Stranger in a Strange Land.
hour,0.25,Stranger in a Strange Land.
party,0.10344827586206898,Stranger in a Strange Land.
Antares,1.0,Stranger in a Strange Land.
entirely,0.01664145234493192,Stranger in a Strange Land.
Muslim,3.0,Stranger in a Strange Land.
reported,0.10638297872340426,Stranger in a Strange Land.
brush,0.8461538461538461,Stranger in a Strange Land.
we'll,1000.0,Stranger in a Strange Land.
free,0.9411764705882353,Stranger in a Strange Land.
Heaven,1.75,Stranger in a Strange Land.
too,0.1306122448979592,Stranger in a Strange Land.
four,0.3111111111111111,Stranger in a Strange Land.
jewel,2.0,Stranger in a Strange Land.
seeing,0.10948905109489052,Stranger in a Strange Land.
period,0.18309859154929578,Stranger in a Strange Land.
Are,0.010878010878010878,Stranger in a Strange Land.
ancient,0.25,Stranger in a Strange Land.
Food,0.35714285714285715,Stranger in a Strange Land.
struggling,0.35714285714285715,Stranger in a Strange Land.
crime,1.5,Stranger in a Strange Land.
but,0.04539559014267186,Stranger in a Strange Land.
answered,0.06896551724137931,Stranger in a Strange Land.
hesitated,1.6,Stranger in a Strange Land.
called,0.1984732824427481,Stranger in a Strange Land.
face,0.18461538461538463,Stranger in a Strange Land.
Mr.,0.040540540540540536,Stranger in a Strange Land.
patience,1.0,Stranger in a Strange Land.
on,0.02968036529680365,Stranger in a Strange Land.
Everest,3.0,Stranger in a Strange Land.
It,300.0,Stranger in a Strange Land.
grokked,4000.0,Stranger in a Strange Land.
friendly,0.375,Stranger in a Strange Land.
list,0.08737864077669903,Stranger in a Strange Land.
age,0.06547619047619048,Stranger in a Strange Land.
Mars,3.375,Stranger in a Strange Land.
for,20000.0,Stranger in a Strange Land.
asked,0.06091370558375634,Stranger in a Strange Land.
calm,0.38095238095238093,Stranger in a Strange Land.
Kiss,6.0,Stranger in a Strange Land.
ignored,0.43333333333333335,Stranger in a Strange Land.
usually,0.25,Stranger in a Strange Land.
their,7000.0,Stranger in a Strange Land.
word,0.6666666666666666,Stranger in a Strange Land.
barefoot,3.0,Stranger in a Strange Land.
you're,1000.0,Stranger in a Strange Land.
seen,0.20560747663551404,Stranger in a Strange Land.
a,0.1282312925170068,Stranger in a Strange Land.
ahead,0.08333333333333333,Stranger in a Strange Land.
together,0.1,Stranger in a Strange Land.
approaching,0.20289855072463767,Stranger in a Strange Land.
trip,0.8076923076923077,Stranger in a Strange Land.
outside,0.1348314606741573,Stranger in a Strange Land.
three,0.2676056338028169,Stranger in a Strange Land.
could,2000.0,Stranger in a Strange Land.
cusp,2.0,Stranger in a Strange Land.
actions,0.24324324324324326,Stranger in a Strange Land.
identical,0.06976744186046512,Stranger in a Strange Land.
ABC,7.0,Stranger in a Strange Land.
finished,0.14150943396226415,Stranger in a Strange Land.
arrive,0.02857142857142857,Stranger in a Strange Land.
here,0.037037037037037035,Stranger in a Strange Land.
able,0.08333333333333333,Stranger in a Strange Land.
off,0.05485232067510549,Stranger in a Strange Land.
of,27000.0,Stranger in a Strange Land.
said,0.15682656826568264,Stranger in a Strange Land.
But,0.0324254215304799,Stranger in a Strange Land.
Dawn,0.7599999999999999,Stranger in a Strange Land.
stood,0.35416666666666663,Stranger in a Strange Land.
wings,0.7142857142857143,Stranger in a Strange Land.
she,3000.0,Stranger in a Strange Land.
bothered,0.8275862068965518,Stranger in a Strange Land.
As,0.011455350169226764,Stranger in a Strange Land.
Hills,0.7272727272727273,Stranger in a Strange Land.
Thou,1.111111111111111,Stranger in a Strange Land.
square,0.3488372093023256,Stranger in a Strange Land.
student,0.3529411764705882,Stranger in a Strange Land.
miracle,0.5,Stranger in a Strange Land.
no,0.06329113924050632,Stranger in a Strange Land.
do,0.17786561264822134,Stranger in a Strange Land.
BCD,1000.0,Stranger in a Strange Land.
self,0.2222222222222222,Stranger in a Strange Land.
parlor,1.5,Stranger in a Strange Land.
Sunday,0.5454545454545455,Stranger in a Strange Land.
rolling,0.42105263157894735,Stranger in a Strange Land.
than,3000.0,Stranger in a Strange Land.
poet,0.2,Stranger in a Strange Land.
fool,1.391304347826087,Stranger in a Strange Land.
worship,1.2,Stranger in a Strange Land.
or,7.0,Stranger in a Strange Land.
how,1000.0,Stranger in a Strange Land.
Beverly,1000.0,Stranger in a Strange Land.
came,0.04106776180698152,Stranger in a Strange Land.
room,0.047337278106508875,Stranger in a Strange Land.
had,0.6591107236268526,Stranger in a Strange Land.
think,0.09359605911330049,Stranger in a Strange Land.
grok,4.0,Stranger in a Strange Land.
brothers,0.9473684210526315,Stranger in a Strange Land.
simply,0.0077619663648124185,Stranger in a Strange Land.
tears,0.5609756097560976,Stranger in a Strange Land.
to,51000.0,Stranger in a Strange Land.
knew,0.22535211267605634,Stranger in a Strange Land.
gave,0.04279749478079332,Stranger in a Strange Land.
earlier,0.02857142857142857,Stranger in a Strange Land.
Tibetan,1.0,Stranger in a Strange Land.
duck,4.666666666666667,Stranger in a Strange Land.
heart,0.3018867924528302,Stranger in a Strange Land.
match,0.2871287128712871,Stranger in a Strange Land.
tiny,0.7,Stranger in a Strange Land.
submit,0.08585858585858586,Stranger in a Strange Land.
Now,0.27807486631016043,Stranger in a Strange Land.
listened,0.07142857142857142,Stranger in a Strange Land.
blue,0.20888888888888887,Stranger in a Strange Land.
angelic,2.571428571428571,Stranger in a Strange Land.
Fine,0.5769230769230769,Stranger in a Strange Land.
many,0.0425531914893617,Stranger in a Strange Land.
On,0.00684931506849315,Stranger in a Strange Land.
felt,0.3263598326359833,Stranger in a Strange Land.
little,0.13930348258706468,Stranger in a Strange Land.
Jubal's,3000.0,Stranger in a Strange Land.
immediate,0.20833333333333334,Stranger in a Strange Land.
underwater,2.5,Stranger in a Strange Land.
delighted,0.8,Stranger in a Strange Land.
take,0.1763265306122449,Stranger in a Strange Land.
India,1.0,Stranger in a Strange Land.
meditations,1.0,Stranger in a Strange Land.
answer,0.046875,Stranger in a Strange Land.
request,0.30434782608695654,Stranger in a Strange Land.
midnight,0.14285714285714285,Stranger in a Strange Land.
they,5000.0,Stranger in a Strange Land.
United,0.45454545454545453,Stranger in a Strange Land.
left,0.15102974828375287,Stranger in a Strange Land.
cast,0.2916666666666667,Stranger in a Strange Land.
sooner,0.09836065573770493,Stranger in a Strange Land.
me,300.0,Stranger in a Strange Land.
asleep,0.21621621621621623,Stranger in a Strange Land.
halo,1.0526315789473684,Stranger in a Strange Land.
stepped,0.4444444444444444,Stranger in a Strange Land.
Record,0.1875,Stranger in a Strange Land.
suspicion,1.4,Stranger in a Strange Land.
time,0.4196891191709845,Stranger in a Strange Land.
field,0.2631578947368421,Stranger in a Strange Land.
then,0.03950617283950617,Stranger in a Strange Land.
troubled,0.38095238095238093,Stranger in a Strange Land.
shall,1000.0,Stranger in a Strange Land.
Mike,40.0,Stranger in a Strange Land.
fine,1.1538461538461537,Stranger in a Strange Land.
militant,1.3333333333333333,Stranger in a Strange Land.
legal,0.10344827586206898,Stranger in a Strange Land.
Taught,0.375,Stranger in a Strange Land.
Martians,0.75,Stranger in a Strange Land.
Presently,0.1724137931034483,Stranger in a Strange Land.
defend,0.19672131147540986,Stranger in a Strange Land.
Happy,0.3333333333333333,Stranger in a Strange Land.
differently,0.375,Stranger in a Strange Land.
AB,5.5,Stranger in a Strange Land.
Her,1000.0,Stranger in a Strange Land.
crystal,8.0,Stranger in a Strange Land.
future,0.08333333333333333,Stranger in a Strange Land.
spent,0.30952380952380953,Stranger in a Strange Land.
oxygen,0.5,Stranger in a Strange Land.
alone,0.0510948905109489,Stranger in a Strange Land.
table,0.3902439024390244,Stranger in a Strange Land.
just,0.033126293995859216,Stranger in a Strange Land.
Miss,0.18181818181818182,Stranger in a Strange Land.
purses,1.25,Stranger in a Strange Land.
Times,0.04954954954954954,Stranger in a Strange Land.
plan,0.24242424242424243,Stranger in a Strange Land.
following,0.03825136612021858,Stranger in a Strange Land.
over,0.14583333333333334,Stranger in a Strange Land.
Oh,10.5,Stranger in a Strange Land.
arms,0.36,Stranger in a Strange Land.
words,1.1338582677165354,Stranger in a Strange Land.
attraction,0.8999999999999999,Stranger in a Strange Land.
go,0.09266409266409267,Stranger in a Strange Land.
flowers,2.2857142857142856,Stranger in a Strange Land.
idea,0.056603773584905655,Stranger in a Strange Land.
subject,0.0901639344262295,Stranger in a Strange Land.
floods,5.666666666666666,Stranger in a Strange Land.
assume,0.19642857142857142,Stranger in a Strange Land.
now,0.48663101604278075,Stranger in a Strange Land.
have,0.2528334786399303,Stranger in a Strange Land.
yoga,1.0,Stranger in a Strange Land.
male,3.5,Stranger in a Strange Land.
lights,0.45454545454545453,Stranger in a Strange Land.
her,4000.0,Stranger in a Strange Land.
lay,0.06938775510204082,Stranger in a Strange Land.
I'm,4000.0,Stranger in a Strange Land.
God,0.6060606060606061,Stranger in a Strange Land.
each,0.1851851851851852,Stranger in a Strange Land.
quiet,0.18666666666666668,Stranger in a Strange Land.
kissed,4.0,Stranger in a Strange Land.
events,0.06451612903225806,Stranger in a Strange Land.
all,0.13114754098360656,Stranger in a Strange Land.
announced,1.4210526315789473,Stranger in a Strange Land.
strong,0.12871287128712872,Stranger in a Strange Land.
comfortable,0.391304347826087,Stranger in a Strange Land.
elevation,0.8571428571428571,Stranger in a Strange Land.
whom,1000.0,Stranger in a Strange Land.
First,0.11914893617021277,Stranger in a Strange Land.
my,5000.0,Stranger in a Strange Land.
he'll,1000.0,Stranger in a Strange Land.
promoted,0.34285714285714286,Stranger in a Strange Land.
Otherwise,0.375,Stranger in a Strange Land.
nests,6.0,Stranger in a Strange Land.
didn't,2000.0,Stranger in a Strange Land.
secret,0.5333333333333333,Stranger in a Strange Land.
jumping,0.3484848484848485,Stranger in a Strange Land.
beautiful,0.0625,Stranger in a Strange Land.
saved,0.29333333333333333,Stranger in a Strange Land.
denunciations,2.0,Stranger in a Strange Land.
question,0.11971830985915492,Stranger in a Strange Land.
examined,0.07027027027027027,Stranger in a Strange Land.
ago,0.05128205128205128,Stranger in a Strange Land.
Universe,0.053691275167785234,Stranger in a Strange Land.
corporate,1.0,Stranger in a Strange Land.
workers,1.25,Stranger in a Strange Land.
deep,0.37037037037037035,Stranger in a Strange Land.
bother,0.4754098360655738,Stranger in a Strange Land.
grow,0.22140221402214022,Stranger in a Strange Land.
chain,0.4482758620689655,Stranger in a Strange Land.
lavishly,0.75,Stranger in a Strange Land.
helpful,0.3333333333333333,Stranger in a Strange Land.
preliminary,1.0,Stranger in a Strange Land.
certain,0.03529411764705882,Stranger in a Strange Land.
quickening,0.7083333333333333,Stranger in a Strange Land.
Short,0.29508196721311475,Stranger in a Strange Land.
Repeating,0.9473684210526315,Stranger in a Strange Land.
date,0.08928571428571429,Stranger in a Strange Land.
shifting,0.3103448275862069,Stranger in a Strange Land.
through,0.10191082802547771,Stranger in a Strange Land.
breathlessly,1.0,Stranger in a Strange Land.
colossal,3.0,Stranger in a Strange Land.
