w,taza
somewhat,0.3508771929824561,The Christian Science Monitor
weeks,0.24242424242424243,The Christian Science Monitor
rumored,100.0,The Christian Science Monitor
members',1000.0,The Christian Science Monitor
carry,0.11965811965811965,The Christian Science Monitor
dealing,0.17488789237668162,The Christian Science Monitor
described,0.12195121951219513,The Christian Science Monitor
perhaps,0.13636363636363638,The Christian Science Monitor
toward,2000.0,The Christian Science Monitor
rapid,0.5,The Christian Science Monitor
much,0.13714285714285715,The Christian Science Monitor
in,0.22378781599668462,The Christian Science Monitor
these,3000.0,The Christian Science Monitor
popularity,0.3333333333333333,The Christian Science Monitor
maintenance,0.3333333333333333,The Christian Science Monitor
Lao,400.0,The Christian Science Monitor
organization,0.21153846153846154,The Christian Science Monitor
chain,0.4482758620689655,The Christian Science Monitor
Investigation,0.5,The Christian Science Monitor
sheet,0.3846153846153846,The Christian Science Monitor
Very,0.0375,The Christian Science Monitor
they,2000.0,The Christian Science Monitor
Advisory,100.0,The Christian Science Monitor
States',1000.0,The Christian Science Monitor
set,0.22889305816135086,The Christian Science Monitor
de,2.0,The Christian Science Monitor
statements,0.3333333333333333,The Christian Science Monitor
ban,5.0,The Christian Science Monitor
disapprove,2.0,The Christian Science Monitor
general,0.4186046511627907,The Christian Science Monitor
appreciation,0.24137931034482757,The Christian Science Monitor
assailed,0.5384615384615384,The Christian Science Monitor
threshold,0.23076923076923078,The Christian Science Monitor
table,0.3902439024390244,The Christian Science Monitor
felt,0.1087866108786611,The Christian Science Monitor
Nixon,15.0,The Christian Science Monitor
through,0.07643312101910828,The Christian Science Monitor
diplomatic,1.3333333333333333,The Christian Science Monitor
no,0.11075949367088607,The Christian Science Monitor
globe,0.04477611940298508,The Christian Science Monitor
increase,0.31578947368421056,The Christian Science Monitor
too,0.0653061224489796,The Christian Science Monitor
hardly,0.036231884057971016,The Christian Science Monitor
plans,0.24242424242424243,The Christian Science Monitor
There,0.08695652173913043,The Christian Science Monitor
eventually,0.08,The Christian Science Monitor
four,0.3111111111111111,The Christian Science Monitor
naval,100.0,The Christian Science Monitor
capital,0.15,The Christian Science Monitor
Health,0.4,The Christian Science Monitor
correspondent,7.0,The Christian Science Monitor
base,0.1413427561837456,The Christian Science Monitor
formula,0.12903225806451613,The Christian Science Monitor
long,0.2201834862385321,The Christian Science Monitor
noticeable,200.0,The Christian Science Monitor
coping,0.611111111111111,The Christian Science Monitor
rekindling,100.0,The Christian Science Monitor
make,0.04950495049504951,The Christian Science Monitor
ally,0.5,The Christian Science Monitor
system,0.16666666666666666,The Christian Science Monitor
acceptable,0.4444444444444444,The Christian Science Monitor
prepared,0.09722222222222221,The Christian Science Monitor
its,1000.0,The Christian Science Monitor
Dean,1.25,The Christian Science Monitor
some,0.052734375,The Christian Science Monitor
consultation,0.19047619047619047,The Christian Science Monitor
balance,0.5625,The Christian Science Monitor
debate,0.3,The Christian Science Monitor
as,0.09737047643842749,The Christian Science Monitor
explosion,0.5555555555555556,The Christian Science Monitor
gesture,0.27272727272727276,The Christian Science Monitor
never,0.08333333333333333,The Christian Science Monitor
exposed,0.2972972972972973,The Christian Science Monitor
disturbing,0.4,The Christian Science Monitor
three,0.5352112676056338,The Christian Science Monitor
disclosed,0.46153846153846156,The Christian Science Monitor
powers,0.1065989847715736,The Christian Science Monitor
spark,0.3098591549295775,The Christian Science Monitor
northernmost,100.0,The Christian Science Monitor
Secretary,7.199999999999999,The Christian Science Monitor
underdeveloped,1.0,The Christian Science Monitor
tenor,1.5,The Christian Science Monitor
conflict,0.23404255319148937,The Christian Science Monitor
statement,0.3333333333333333,The Christian Science Monitor
been,0.23762376237623764,The Christian Science Monitor
both,0.013157894736842105,The Christian Science Monitor
gradually,0.42857142857142855,The Christian Science Monitor
Prince,200.0,The Christian Science Monitor
by,0.1097770154373928,The Christian Science Monitor
showing,0.22580645161290322,The Christian Science Monitor
displayed,0.3,The Christian Science Monitor
D,0.5625,The Christian Science Monitor
senator,100.0,The Christian Science Monitor
must,0.05217391304347826,The Christian Science Monitor
mind,0.0898876404494382,The Christian Science Monitor
freeze,0.5789473684210527,The Christian Science Monitor
Latin,0.5,The Christian Science Monitor
spirit,0.06766917293233082,The Christian Science Monitor
emotionally,1.0,The Christian Science Monitor
track,0.1764705882352941,The Christian Science Monitor
group,0.1935483870967742,The Christian Science Monitor
and,44000.0,The Christian Science Monitor
Harvard,100.0,The Christian Science Monitor
climate,0.5,The Christian Science Monitor
control,0.13999999999999999,The Christian Science Monitor
monumental,0.42857142857142855,The Christian Science Monitor
nevertheless,0.04615384615384615,The Christian Science Monitor
annual,0.5714285714285714,The Christian Science Monitor
25,0.5,The Christian Science Monitor
give,0.0880245649948823,The Christian Science Monitor
assist,0.12307692307692308,The Christian Science Monitor
disappointment,1.5,The Christian Science Monitor
Vice-President,1000.0,The Christian Science Monitor
:,2000.0,The Christian Science Monitor
free,0.47058823529411764,The Christian Science Monitor
fleet,0.7692307692307692,The Christian Science Monitor
relinquish,0.38888888888888884,The Christian Science Monitor
achieve,0.2,The Christian Science Monitor
concentrate,0.36585365853658536,The Christian Science Monitor
timely,100.0,The Christian Science Monitor
President,2.413793103448276,The Christian Science Monitor
those,2000.0,The Christian Science Monitor
kind,0.047619047619047616,The Christian Science Monitor
officials,0.3333333333333333,The Christian Science Monitor
March,0.38888888888888884,The Christian Science Monitor
problems,0.12631578947368421,The Christian Science Monitor
favor,0.4,The Christian Science Monitor
setting,0.09832635983263599,The Christian Science Monitor
pro-Western,2000.0,The Christian Science Monitor
Phouma,2000.0,The Christian Science Monitor
another's,1000.0,The Christian Science Monitor
Aid,0.1,The Christian Science Monitor
recommends,0.3076923076923077,The Christian Science Monitor
removal,100.0,The Christian Science Monitor
difficulties,0.1111111111111111,The Christian Science Monitor
his,4000.0,The Christian Science Monitor
arms,0.72,The Christian Science Monitor
continue,0.20454545454545453,The Christian Science Monitor
daily,0.5384615384615384,The Christian Science Monitor
70,1.3333333333333333,The Christian Science Monitor
Exploratory,100.0,The Christian Science Monitor
haltingly,100.0,The Christian Science Monitor
test,0.15315315315315314,The Christian Science Monitor
nations,0.1652892561983471,The Christian Science Monitor
from,7000.0,The Christian Science Monitor
Its,100.0,The Christian Science Monitor
sailing,1.8333333333333335,The Christian Science Monitor
compelled,100.0,The Christian Science Monitor
past,0.025974025974025976,The Christian Science Monitor
country,0.05921052631578947,The Christian Science Monitor
communities,0.3846153846153846,The Christian Science Monitor
tentative,0.8333333333333334,The Christian Science Monitor
conventional,0.5882352941176471,The Christian Science Monitor
out,0.16853932584269662,The Christian Science Monitor
avoided,1.8888888888888888,The Christian Science Monitor
is,0.20792079207920794,The Christian Science Monitor
others,1000.0,The Christian Science Monitor
who,200.0,The Christian Science Monitor
tension,0.6666666666666666,The Christian Science Monitor
franker,3.0,The Christian Science Monitor
critics,0.3333333333333333,The Christian Science Monitor
today,0.018867924528301886,The Christian Science Monitor
persons,0.07894736842105264,The Christian Science Monitor
danger,0.2857142857142857,The Christian Science Monitor
method,0.18181818181818182,The Christian Science Monitor
states,0.15267175572519084,The Christian Science Monitor
erupts,0.9090909090909091,The Christian Science Monitor
urgency,100.0,The Christian Science Monitor
Norway,4.0,The Christian Science Monitor
On,0.00228310502283105,The Christian Science Monitor
negative,1.0,The Christian Science Monitor
His,2000.0,The Christian Science Monitor
),4000.0,The Christian Science Monitor
early,0.059829059829059825,The Christian Science Monitor
How,1000.0,The Christian Science Monitor
achievement,1.0,The Christian Science Monitor
Communists,9.0,The Christian Science Monitor
attempt,0.34375,The Christian Science Monitor
arrests,0.21999999999999997,The Christian Science Monitor
outcome,0.10416666666666667,The Christian Science Monitor
information,0.25,The Christian Science Monitor
arises,0.4594594594594595,The Christian Science Monitor
submarines,3.4,The Christian Science Monitor
politics,0.3125,The Christian Science Monitor
huge,0.4444444444444444,The Christian Science Monitor
impression,0.12765957446808512,The Christian Science Monitor
cars,0.15714285714285714,The Christian Science Monitor
laid,0.08,The Christian Science Monitor
diplomat,100.0,The Christian Science Monitor
eliminating,1.0625,The Christian Science Monitor
certain,0.03529411764705882,The Christian Science Monitor
within,0.031746031746031744,The Christian Science Monitor
Cooperation,0.25,The Christian Science Monitor
build-up,1000.0,The Christian Science Monitor
years,0.04,The Christian Science Monitor
Conflict,0.23404255319148937,The Christian Science Monitor
alliance's,1000.0,The Christian Science Monitor
pleads,100.0,The Christian Science Monitor
core,0.24210526315789477,The Christian Science Monitor
conference,6.0,The Christian Science Monitor
conspicuous,1.5,The Christian Science Monitor
heart,0.3018867924528302,The Christian Science Monitor
delinquency,100.0,The Christian Science Monitor
being,0.05161290322580645,The Christian Science Monitor
if,4000.0,The Christian Science Monitor
only,0.03680981595092024,The Christian Science Monitor
changes,0.36585365853658536,The Christian Science Monitor
need,0.13008130081300814,The Christian Science Monitor
advance,0.5057471264367817,The Christian Science Monitor
Federal,0.5,The Christian Science Monitor
an,1100.0,The Christian Science Monitor
around,0.019417475728155338,The Christian Science Monitor
trusting,0.14942528735632182,The Christian Science Monitor
Ministers,0.42105263157894735,The Christian Science Monitor
taking,0.05775577557755776,The Christian Science Monitor
mood,0.35,The Christian Science Monitor
useless,0.5,The Christian Science Monitor
local,0.25,The Christian Science Monitor
have,0.22755013077593725,The Christian Science Monitor
Portugal,2.0,The Christian Science Monitor
regard,0.08152173913043478,The Christian Science Monitor
five,0.24590163934426232,The Christian Science Monitor
accredited,0.5714285714285714,The Christian Science Monitor
National,0.054945054945054944,The Christian Science Monitor
Communist,14.0,The Christian Science Monitor
development,0.1875,The Christian Science Monitor
nationalism,100.0,The Christian Science Monitor
leadership,0.36,The Christian Science Monitor
Thursday,1.0,The Christian Science Monitor
possibility,0.1764705882352941,The Christian Science Monitor
specific,0.07142857142857142,The Christian Science Monitor
Offenses,2.5,The Christian Science Monitor
reforms,6.0,The Christian Science Monitor
policies,1.090909090909091,The Christian Science Monitor
remove,0.07174887892376682,The Christian Science Monitor
could,1000.0,The Christian Science Monitor
Nam,2000.0,The Christian Science Monitor
be,0.23645320197044334,The Christian Science Monitor
but,0.02594033722438392,The Christian Science Monitor
Viet,2000.0,The Christian Science Monitor
votes,0.875,The Christian Science Monitor
administration,8.68421052631579,The Christian Science Monitor
supported,0.14522821576763484,The Christian Science Monitor
events,0.06451612903225806,The Christian Science Monitor
detailed,0.4,The Christian Science Monitor
neutralist,100.0,The Christian Science Monitor
despite,1.2,The Christian Science Monitor
Technology,1.0,The Christian Science Monitor
moving,0.09134615384615384,The Christian Science Monitor
alliance,6.0,The Christian Science Monitor
effect,0.12820512820512822,The Christian Science Monitor
Committee,1.2857142857142856,The Christian Science Monitor
himself,1000.0,The Christian Science Monitor
determination,0.16666666666666666,The Christian Science Monitor
And,1000.0,The Christian Science Monitor
larceny,2.5,The Christian Science Monitor
rate,0.049723756906077346,The Christian Science Monitor
Bureau,0.3,The Christian Science Monitor
idea,0.056603773584905655,The Christian Science Monitor
feels,0.046822742474916385,The Christian Science Monitor
genuine,0.0958904109589041,The Christian Science Monitor
mainly,0.5555555555555556,The Christian Science Monitor
detach,100.0,The Christian Science Monitor
field,0.2631578947368421,The Christian Science Monitor
didn't,1000.0,The Christian Science Monitor
even,0.11501597444089458,The Christian Science Monitor
confrontations,0.5555555555555556,The Christian Science Monitor
colonialist,100.0,The Christian Science Monitor
Washington,1.4666666666666668,The Christian Science Monitor
whole,0.031180400890868598,The Christian Science Monitor
oppose,0.5454545454545455,The Christian Science Monitor
assisted,0.14285714285714285,The Christian Science Monitor
now,0.20855614973262032,The Christian Science Monitor
inconclusive,100.0,The Christian Science Monitor
show,0.1087866108786611,The Christian Science Monitor
part,0.1512605042016807,The Christian Science Monitor
coordinating,7.0,The Christian Science Monitor
neighbors,0.6666666666666666,The Christian Science Monitor
It,300.0,The Christian Science Monitor
forces,0.30952380952380953,The Christian Science Monitor
``,13000.0,The Christian Science Monitor
time,0.18652849740932645,The Christian Science Monitor
issued,0.2978723404255319,The Christian Science Monitor
will,0.14,The Christian Science Monitor
first,0.4765957446808511,The Christian Science Monitor
docile,1.0,The Christian Science Monitor
walk,0.24324324324324326,The Christian Science Monitor
delegation,0.7272727272727273,The Christian Science Monitor
vagueness,100.0,The Christian Science Monitor
determined,0.09090909090909091,The Christian Science Monitor
service,0.2191780821917808,The Christian Science Monitor
ever,0.047619047619047616,The Christian Science Monitor
Among,1000.0,The Christian Science Monitor
different,0.12,The Christian Science Monitor
chairman,0.3846153846153846,The Christian Science Monitor
limited,0.34285714285714286,The Christian Science Monitor
blunders,1.1111111111111112,The Christian Science Monitor
further,0.36363636363636365,The Christian Science Monitor
coalition,1.125,The Christian Science Monitor
suited,0.13559322033898305,The Christian Science Monitor
complication,5.0,The Christian Science Monitor
made,0.17789404839764553,The Christian Science Monitor
march,0.38888888888888884,The Christian Science Monitor
ideas,0.056603773584905655,The Christian Science Monitor
inspection,1.0,The Christian Science Monitor
specified,0.3103448275862069,The Christian Science Monitor
Some,0.017578125,The Christian Science Monitor
United,6.363636363636363,The Christian Science Monitor
1948,1000.0,The Christian Science Monitor
faster,0.33999999999999997,The Christian Science Monitor
certainly,0.1044776119402985,The Christian Science Monitor
extraordinary,0.5,The Christian Science Monitor
provide,0.15789473684210528,The Christian Science Monitor
after,0.096,The Christian Science Monitor
Morton,0.3,The Christian Science Monitor
solemnly,0.3333333333333333,The Christian Science Monitor
groups,0.1935483870967742,The Christian Science Monitor
trend,0.10687022900763359,The Christian Science Monitor
Mr.,0.16216216216216214,The Christian Science Monitor
individual,0.09090909090909091,The Christian Science Monitor
court,1.3571428571428572,The Christian Science Monitor
had,0.18831734960767219,The Christian Science Monitor
federal,1.0,The Christian Science Monitor
down,0.1703056768558952,The Christian Science Monitor
