w,taza
sealed,0.13953488372093023,The Fairbrothers
downright,1.0,The Fairbrothers
!,36000.0,The Fairbrothers
envelope,200.0,The Fairbrothers
Mare,300.0,The Fairbrothers
Surely,0.1044776119402985,The Fairbrothers
preacher,2.0,The Fairbrothers
birth,0.023809523809523808,The Fairbrothers
perhaps,0.13636363636363638,The Fairbrothers
Zion,24.0,The Fairbrothers
acknowledge,0.04516129032258065,The Fairbrothers
seem,0.06818181818181819,The Fairbrothers
trimmed,0.44999999999999996,The Fairbrothers
nurse,0.5652173913043479,The Fairbrothers
in,0.11603812681309572,The Fairbrothers
these,2000.0,The Fairbrothers
turned,0.06510416666666667,The Fairbrothers
much,0.18285714285714286,The Fairbrothers
midwife,100.0,The Fairbrothers
reverent,100.0,The Fairbrothers
call,0.7872340425531914,The Fairbrothers
swell,0.1935483870967742,The Fairbrothers
melting,0.33999999999999997,The Fairbrothers
Flotilla,100.0,The Fairbrothers
whose,1000.0,The Fairbrothers
leave,0.06666666666666667,The Fairbrothers
watching,0.111731843575419,The Fairbrothers
children,0.29545454545454547,The Fairbrothers
they,4000.0,The Fairbrothers
pictures,0.4541832669322709,The Fairbrothers
day,0.5538461538461538,The Fairbrothers
weather,0.64,The Fairbrothers
tears,0.5609756097560976,The Fairbrothers
stormy,100.0,The Fairbrothers
Reaching,0.087248322147651,The Fairbrothers
trippin',1000.0,The Fairbrothers
He'd,2000.0,The Fairbrothers
Indeed,0.00816326530612245,The Fairbrothers
felt,0.05439330543933055,The Fairbrothers
nerves,0.12371134020618556,The Fairbrothers
through,0.025477707006369428,The Fairbrothers
thing,0.10975609756097561,The Fairbrothers
small,0.12871287128712872,The Fairbrothers
easygoing,0.22727272727272727,The Fairbrothers
no,0.0791139240506329,The Fairbrothers
too,0.16326530612244897,The Fairbrothers
fault,0.31578947368421056,The Fairbrothers
hardly,0.036231884057971016,The Fairbrothers
Returning,0.24778761061946902,The Fairbrothers
There,0.06521739130434782,The Fairbrothers
times,0.04954954954954954,The Fairbrothers
stayed,0.5217391304347826,The Fairbrothers
She's,1000.0,The Fairbrothers
home,0.07299270072992702,The Fairbrothers
stall,0.7619047619047619,The Fairbrothers
necessity,0.13157894736842105,The Fairbrothers
Though,0.017857142857142856,The Fairbrothers
promise,0.15,The Fairbrothers
rules,0.15873015873015872,The Fairbrothers
pearl,0.42857142857142855,The Fairbrothers
lip,0.5333333333333333,The Fairbrothers
big,0.16666666666666666,The Fairbrothers
loved,0.12796208530805686,The Fairbrothers
long,0.11009174311926605,The Fairbrothers
it'll,1000.0,The Fairbrothers
Kezziah,1000.0,The Fairbrothers
burden,0.1948051948051948,The Fairbrothers
somehow,1.0,The Fairbrothers
care,0.06840390879478828,The Fairbrothers
full,0.06334841628959276,The Fairbrothers
its,200.0,The Fairbrothers
Rhyme,0.75,The Fairbrothers
Fairbrothers,2000.0,The Fairbrothers
some,0.03515625,The Fairbrothers
don't,3000.0,The Fairbrothers
turn,0.08149779735682819,The Fairbrothers
See,0.10280373831775702,The Fairbrothers
as,0.05727675084613382,The Fairbrothers
dropping,0.6029411764705883,The Fairbrothers
Jen,6000.0,The Fairbrothers
never,0.041666666666666664,The Fairbrothers
sons,0.13157894736842105,The Fairbrothers
hop,100.0,The Fairbrothers
minute,0.07894736842105264,The Fairbrothers
Robards',1000.0,The Fairbrothers
pyre,100.0,The Fairbrothers
gather,0.5806451612903225,The Fairbrothers
laughed,0.3,The Fairbrothers
please,0.4,The Fairbrothers
admirer,0.6363636363636364,The Fairbrothers
Kizzie,5000.0,The Fairbrothers
distressed,0.8125,The Fairbrothers
teeth,0.27272727272727276,The Fairbrothers
thanks,0.6,The Fairbrothers
gets,0.09957325746799431,The Fairbrothers
riding,0.38235294117647056,The Fairbrothers
conflict,0.23404255319148937,The Fairbrothers
hot,0.15384615384615385,The Fairbrothers
fussing,0.2631578947368421,The Fairbrothers
been,0.08910891089108912,The Fairbrothers
favorite,1.3333333333333333,The Fairbrothers
both,0.013157894736842105,The Fairbrothers
fit,0.1137440758293839,The Fairbrothers
mash,1.8888888888888888,The Fairbrothers
disliked,2.0,The Fairbrothers
devil,2.7272727272727275,The Fairbrothers
thought,0.08849557522123894,The Fairbrothers
showing,0.11290322580645161,The Fairbrothers
attentive,1.0,The Fairbrothers
by,0.00686106346483705,The Fairbrothers
round,0.3954802259887006,The Fairbrothers
must,0.05217391304347826,The Fairbrothers
good,0.19750889679715303,The Fairbrothers
Swift,9.0,The Fairbrothers
fool,1.391304347826087,The Fairbrothers
tell,0.27906976744186046,The Fairbrothers
plain-out,1000.0,The Fairbrothers
and,46000.0,The Fairbrothers
your,4000.0,The Fairbrothers
walking,0.16,The Fairbrothers
