w,taza
explosives,0.25,The Ikon
here,0.2222222222222222,The Ikon
rough,2.3000000000000003,The Ikon
radiance,2.6666666666666665,The Ikon
post,0.11940298507462686,The Ikon
overcome,0.875,The Ikon
crawling,2.6666666666666665,The Ikon
flesh,0.31578947368421056,The Ikon
Americans,0.07692307692307693,The Ikon
leg,0.3181818181818182,The Ikon
right,0.21132075471698114,The Ikon
as,0.05154907576152044,The Ikon
really,0.04597701149425287,The Ikon
came,0.08213552361396304,The Ikon
fire,0.12374581939799331,The Ikon
steered,0.07633587786259542,The Ikon
peered,100.0,The Ikon
little,0.208955223880597,The Ikon
foot,0.9523809523809523,The Ikon
pen,0.3333333333333333,The Ikon
at,0.12357723577235773,The Ikon
slit,11.0,The Ikon
fixed,0.10787172011661808,The Ikon
laughed,0.3,The Ikon
English,0.10666666666666667,The Ikon
Big,0.16666666666666666,The Ikon
knowledge,0.3333333333333333,The Ikon
In,0.004144218814753419,The Ikon
motion,0.11392405063291139,The Ikon
always,0.13445378151260504,The Ikon
sound,0.14330218068535824,The Ikon
quick,0.14893617021276595,The Ikon
be,0.15763546798029557,The Ikon
try,0.175,The Ikon
him,12000.0,The Ikon
don't,1000.0,The Ikon
which,11000.0,The Ikon
whir,3.5,The Ikon
honest,0.03783783783783784,The Ikon
because,1000.0,The Ikon
warped,7.0,The Ikon
went,0.08131241084165478,The Ikon
speak,0.11290322580645161,The Ikon
Off,0.05485232067510549,The Ikon
hand,0.3287671232876712,The Ikon
angry,0.2777777777777778,The Ikon
hulk,1.4,The Ikon
size,0.16666666666666666,The Ikon
supports,0.16129032258064516,The Ikon
walk,0.24324324324324326,The Ikon
safe,0.04938271604938271,The Ikon
overheat,100.0,The Ikon
Give,0.04401228249744115,The Ikon
notice,0.16666666666666666,The Ikon
waves,1.1818181818181819,The Ikon
fear-filled,1000.0,The Ikon
glowed,1.0,The Ikon
advanced,0.391304347826087,The Ikon
lacked,0.15384615384615385,The Ikon
hut,7.0,The Ikon
will,0.04,The Ikon
but,0.04539559014267186,The Ikon
come,0.1016260162601626,The Ikon
trip,0.8076923076923077,The Ikon
interested,0.0958904109589041,The Ikon
wild,0.7692307692307692,The Ikon
hung,0.3333333333333333,The Ikon
door,0.10526315789473684,The Ikon
again,0.10810810810810811,The Ikon
He,0.03143418467583497,The Ikon
part,0.6050420168067228,The Ikon
coils,0.9375,The Ikon
opening,0.1590909090909091,The Ikon
cover,0.5066225165562913,The Ikon
distance,0.2647058823529412,The Ikon
wandered,0.4074074074074074,The Ikon
tripod,100.0,The Ikon
hundred,0.14583333333333334,The Ikon
solid,0.15384615384615385,The Ikon
blackness,0.2608695652173913,The Ikon
clip,0.09615384615384615,The Ikon
child's,1000.0,The Ikon
yourself,1000.0,The Ikon
lost,0.4262295081967213,The Ikon
might,0.043165467625899276,The Ikon
point,0.25474254742547425,The Ikon
exclaimed,1.1428571428571428,The Ikon
Figures,0.11484593837535015,The Ikon
countryside,100.0,The Ikon
malevolencies,3.0,The Ikon
ache,0.34615384615384615,The Ikon
this,4000.0,The Ikon
gaze,0.21428571428571427,The Ikon
occur,0.08849557522123894,The Ikon
ivory,1.0,The Ikon
pilgrimage,100.0,The Ikon
ringing,0.3709677419354839,The Ikon
Automatic,1.25,The Ikon
ridge,1.3333333333333333,The Ikon
together,0.1,The Ikon
children's,1000.0,The Ikon
walked,0.23529411764705882,The Ikon
west,0.3,The Ikon
Where,1000.0,The Ikon
reflected,1.875,The Ikon
good,0.06583629893238434,The Ikon
Pierre,10.0,The Ikon
near-strangers,1000.0,The Ikon
tension,0.6666666666666666,The Ikon
.,127000.0,The Ikon
been,0.04455445544554456,The Ikon
amidst,1000.0,The Ikon
above,0.25,The Ikon
off,0.27426160337552746,The Ikon
write,0.6956521739130435,The Ikon
Brittany,200.0,The Ikon
release,0.24468085106382975,The Ikon
vague,0.875,The Ikon
immobility,1.5,The Ikon
spot,0.15261044176706828,The Ikon
granted,0.10344827586206898,The Ikon
tread,0.23809523809523808,The Ikon
anybody,1000.0,The Ikon
about,0.21074380165289258,The Ikon
concertina,100.0,The Ikon
hadn't,2000.0,The Ikon
must,0.02608695652173913,The Ikon
fact,0.013513513513513514,The Ikon
itself,2000.0,The Ikon
briefing,0.2,The Ikon
only,0.05521472392638037,The Ikon
