w,taza
A,0.008843537414965985,The Invisible Aborigine
kept,0.20168067226890757,The Invisible Aborigine
left,0.07551487414187644,The Invisible Aborigine
worms,3.0,The Invisible Aborigine
beckoned,1.0,The Invisible Aborigine
hills,0.7272727272727273,The Invisible Aborigine
confined,0.43243243243243246,The Invisible Aborigine
container,100.0,The Invisible Aborigine
well-equipped,1000.0,The Invisible Aborigine
burning,0.29032258064516125,The Invisible Aborigine
leaf,1.7999999999999998,The Invisible Aborigine
second,0.21575342465753425,The Invisible Aborigine
closest,0.3387096774193548,The Invisible Aborigine
started,0.2040816326530612,The Invisible Aborigine
night,0.06024096385542168,The Invisible Aborigine
softened,0.48387096774193544,The Invisible Aborigine
highest,0.1111111111111111,The Invisible Aborigine
Occasionally,7.0,The Invisible Aborigine
with,12000.0,The Invisible Aborigine
moments,0.07352941176470588,The Invisible Aborigine
surprising,0.13636363636363638,The Invisible Aborigine
like,0.2369230769230769,The Invisible Aborigine
country,0.05921052631578947,The Invisible Aborigine
fence,0.2647058823529412,The Invisible Aborigine
lived,0.014375561545372867,The Invisible Aborigine
dignity,1.0,The Invisible Aborigine
who,500.0,The Invisible Aborigine
roughly,0.01937984496124031,The Invisible Aborigine
grazer,1000.0,The Invisible Aborigine
sniffing,3.0,The Invisible Aborigine
pet,1.4444444444444444,The Invisible Aborigine
behind,0.09597523219814241,The Invisible Aborigine
In,0.012432656444260256,The Invisible Aborigine
close,0.16299559471365638,The Invisible Aborigine
direction,0.3018867924528302,The Invisible Aborigine
pinched,0.7291666666666666,The Invisible Aborigine
For,1000.0,The Invisible Aborigine
sixty,1.0,The Invisible Aborigine
language,0.2708333333333333,The Invisible Aborigine
made,0.08894702419882276,The Invisible Aborigine
white,1.1475409836065573,The Invisible Aborigine
rock,0.9032258064516129,The Invisible Aborigine
squatted,100.0,The Invisible Aborigine
knowledge,0.3333333333333333,The Invisible Aborigine
body,0.9821428571428572,The Invisible Aborigine
range,0.16475095785440613,The Invisible Aborigine
toward,2000.0,The Invisible Aborigine
life,0.2857142857142857,The Invisible Aborigine
impossible,0.4666666666666667,The Invisible Aborigine
fly,0.48387096774193544,The Invisible Aborigine
guessed,0.112,The Invisible Aborigine
grease,0.5714285714285714,The Invisible Aborigine
to,35000.0,The Invisible Aborigine
in,0.07874015748031496,The Invisible Aborigine
down,1.0218340611353713,The Invisible Aborigine
low,0.16363636363636364,The Invisible Aborigine
woven-root,1000.0,The Invisible Aborigine
They'll,1000.0,The Invisible Aborigine
road,0.16,The Invisible Aborigine
concentration,1.6666666666666667,The Invisible Aborigine
around,0.038834951456310676,The Invisible Aborigine
Its,100.0,The Invisible Aborigine
impulse,1.2999999999999998,The Invisible Aborigine
air,0.5842696629213483,The Invisible Aborigine
misperceives,100.0,The Invisible Aborigine
cities,0.06818181818181819,The Invisible Aborigine
loose,0.16025641025641024,The Invisible Aborigine
finally,0.08108108108108107,The Invisible Aborigine
dangling,0.3333333333333333,The Invisible Aborigine
hideous,2.5,The Invisible Aborigine
tire,1.1875,The Invisible Aborigine
six,1.0,The Invisible Aborigine
flatland,1000.0,The Invisible Aborigine
loss,0.10891089108910891,The Invisible Aborigine
ten-by-ten-mile,1000.0,The Invisible Aborigine
capering,100.0,The Invisible Aborigine
though,0.017857142857142856,The Invisible Aborigine
five,0.24590163934426232,The Invisible Aborigine
half,0.05405405405405406,The Invisible Aborigine
insect,2.0,The Invisible Aborigine
Damned,1.1363636363636365,The Invisible Aborigine
:,4000.0,The Invisible Aborigine
lordly,1.8333333333333335,The Invisible Aborigine
Land,0.2689075630252101,The Invisible Aborigine
dirt,1.875,The Invisible Aborigine
dry,2.0,The Invisible Aborigine
any,0.049450549450549455,The Invisible Aborigine
them,13000.0,The Invisible Aborigine
Australian,700.0,The Invisible Aborigine
centuries,0.10416666666666667,The Invisible Aborigine
``,13000.0,The Invisible Aborigine
comes,0.1016260162601626,The Invisible Aborigine
consistency,0.0784313725490196,The Invisible Aborigine
'',13000.0,The Invisible Aborigine
held,0.11463664278403274,The Invisible Aborigine
familiar,0.36363636363636365,The Invisible Aborigine
shouting,0.5,The Invisible Aborigine
falters,4.0,The Invisible Aborigine
rain,4.285714285714286,The Invisible Aborigine
outback,0.75,The Invisible Aborigine
bothered,0.8275862068965518,The Invisible Aborigine
big,0.3333333333333333,The Invisible Aborigine
minutes,0.07926829268292683,The Invisible Aborigine
tree-clumps,2000.0,The Invisible Aborigine
