w,taza
A,0.01768707482993197,The Judges of the Secret Court
watched,0.10559006211180125,The Judges of the Secret Court
repeatedly,0.5,The Judges of the Secret Court
left,0.07551487414187644,The Judges of the Secret Court
forced,0.20481927710843373,The Judges of the Secret Court
winding,0.6315789473684211,The Judges of the Secret Court
violence,0.3333333333333333,The Judges of the Secret Court
opened,0.13114754098360656,The Judges of the Secret Court
Since,1000.0,The Judges of the Secret Court
smashed,1.434782608695652,The Judges of the Secret Court
night,0.12048192771084336,The Judges of the Secret Court
arm,1.2903225806451613,The Judges of the Secret Court
with,8000.0,The Judges of the Secret Court
moments,0.07352941176470588,The Judges of the Secret Court
bleeding,0.1875,The Judges of the Secret Court
worries,0.10227272727272727,The Judges of the Secret Court
death,0.1255813953488372,The Judges of the Secret Court
like,0.27076923076923076,The Judges of the Secret Court
lived,0.014375561545372867,The Judges of the Secret Court
who,500.0,The Judges of the Secret Court
clerk,4.0,The Judges of the Secret Court
This,2000.0,The Judges of the Secret Court
behind,0.09597523219814241,The Judges of the Secret Court
In,0.020721094073767096,The Judges of the Secret Court
darkness,0.5,The Judges of the Secret Court
close,0.16299559471365638,The Judges of the Secret Court
end,0.06498194945848375,The Judges of the Secret Court
For,1000.0,The Judges of the Secret Court
idiotic,1.7142857142857142,The Judges of the Secret Court
weep,0.3333333333333333,The Judges of the Secret Court
bother,0.4754098360655738,The Judges of the Secret Court
Overreach,0.25,The Judges of the Secret Court
made,0.22236756049705692,The Judges of the Secret Court
declaimed,100.0,The Judges of the Secret Court
elder,0.4166666666666667,The Judges of the Secret Court
Well,0.08835341365461848,The Judges of the Secret Court
So,0.026143790849673203,The Judges of the Secret Court
wasn't,1000.0,The Judges of the Secret Court
body,0.19642857142857142,The Judges of the Secret Court
fired,0.0993150684931507,The Judges of the Secret Court
glow,1.8571428571428572,The Judges of the Secret Court
City,0.13636363636363638,The Judges of the Secret Court
called,0.1984732824427481,The Judges of the Secret Court
easy,0.1627906976744186,The Judges of the Secret Court
practised,0.045714285714285714,The Judges of the Secret Court
to,43000.0,The Judges of the Secret Court
in,0.08702859510982179,The Judges of the Secret Court
down,0.6812227074235808,The Judges of the Secret Court
Frederick,3.0,The Judges of the Secret Court
happy,0.16666666666666666,The Judges of the Secret Court
synchronize,100.0,The Judges of the Secret Court
strained,0.3898305084745763,The Judges of the Secret Court
spurred,2.0,The Judges of the Secret Court
Pay,0.14583333333333334,The Judges of the Secret Court
When,2000.0,The Judges of the Secret Court
broken,0.2164179104477612,The Judges of the Secret Court
gas,0.46808510638297873,The Judges of the Secret Court
impulse,1.2999999999999998,The Judges of the Secret Court
notice,0.16666666666666666,The Judges of the Secret Court
air,0.5842696629213483,The Judges of the Secret Court
involuntary,3.0,The Judges of the Secret Court
finally,0.08108108108108107,The Judges of the Secret Court
pistol,1.3333333333333333,The Judges of the Secret Court
Aunt,3.0,The Judges of the Secret Court
though,0.07142857142857142,The Judges of the Secret Court
horse,1.0588235294117647,The Judges of the Secret Court
gone,0.0921409214092141,The Judges of the Secret Court
half,0.05405405405405406,The Judges of the Secret Court
guests,3.5,The Judges of the Secret Court
Nobody,0.5714285714285714,The Judges of the Secret Court
Clara,1000.0,The Judges of the Secret Court
whispered,0.5,The Judges of the Secret Court
:,2000.0,The Judges of the Secret Court
deliver,0.040280210157618214,The Judges of the Secret Court
pumps,0.13636363636363638,The Judges of the Secret Court
Verdi,200.0,The Judges of the Secret Court
holding,0.06179196704428424,The Judges of the Secret Court
wings,2.142857142857143,The Judges of the Secret Court
carpeted,100.0,The Judges of the Secret Court
