w,taza
Sandalphon,3000.0,The Lovers
Then,0.02962962962962963,The Lovers
Lingo,3.5,The Lovers
new,0.05641025641025641,The Lovers
join,0.5172413793103449,The Lovers
I,0.22583404619332764,The Lovers
into,4000.0,The Lovers
vessel,4.5,The Lovers
interstellar,100.0,The Lovers
study,0.07303370786516854,The Lovers
Earthmen's,1000.0,The Lovers
journey's,1000.0,The Lovers
crash,2.7142857142857144,The Lovers
grammatical,100.0,The Lovers
unattached,100.0,The Lovers
wrongly,0.15789473684210528,The Lovers
So,0.05228758169934641,The Lovers
hurl,0.5454545454545455,The Lovers
crowd,0.25925925925925924,The Lovers
Ozagenians,1000.0,The Lovers
Icelandic-speaking,100.0,The Lovers
been,0.07425742574257427,The Lovers
outside,0.1348314606741573,The Lovers
end,0.06498194945848375,The Lovers
nose,0.45454545454545453,The Lovers
succeeded,0.23333333333333334,The Lovers
Line,0.22818791946308722,The Lovers
self,0.4444444444444444,The Lovers
Many,0.010638297872340425,The Lovers
Icelandic,100.0,The Lovers
operated,0.04220779220779221,The Lovers
others,1000.0,The Lovers
silent,0.07317073170731708,The Lovers
drive,0.2441860465116279,The Lovers
occur,0.08849557522123894,The Lovers
known,0.10714285714285714,The Lovers
A,0.008843537414965985,The Lovers
predict,0.4473684210526316,The Lovers
frowning,0.8333333333333334,The Lovers
lessons,0.25641025641025644,The Lovers
unthaw,3.0,The Lovers
'',29000.0,The Lovers
himself,4000.0,The Lovers
reported,0.10638297872340426,The Lovers
than,1000.0,The Lovers
whose,2000.0,The Lovers
marry,3.0,The Lovers
unfrozen,0.6451612903225806,The Lovers
navel,100.0,The Lovers
aboard,0.5714285714285714,The Lovers
students,0.3529411764705882,The Lovers
chief,0.1044776119402985,The Lovers
Hebrew,1.0,The Lovers
would,34000.0,The Lovers
Besides,0.024590163934426233,The Lovers
Minor,0.20202020202020202,The Lovers
living,0.04024767801857585,The Lovers
Swahili,100.0,The Lovers
And,9000.0,The Lovers
longer,0.3795620437956204,The Lovers
across,0.08108108108108107,The Lovers
necklaces,1.0,The Lovers
hemisphere,1.3333333333333333,The Lovers
as,0.03436605050768029,The Lovers
Sahara,100.0,The Lovers
they,6000.0,The Lovers
Yarrow,400.0,The Lovers
choking,0.29508196721311475,The Lovers
you,9000.0,The Lovers
keeping,0.24545454545454543,The Lovers
married,1.6363636363636365,The Lovers
members,1.5,The Lovers
voice,0.4,The Lovers
good,0.06583629893238434,The Lovers
equipment,0.07407407407407407,The Lovers
Earthmen,100.0,The Lovers
frauds,16.0,The Lovers
How,3000.0,The Lovers
drives,0.0813953488372093,The Lovers
at,0.04552845528455285,The Lovers
born,0.05735294117647059,The Lovers
much,0.13714285714285715,The Lovers
turned,0.13020833333333334,The Lovers
inflected,0.6666666666666666,The Lovers
if,3000.0,The Lovers
our,2000.0,The Lovers
their,6000.0,The Lovers
gender,0.1951219512195122,The Lovers
the,137000.0,The Lovers
ward,4.4,The Lovers
contained,0.09090909090909091,The Lovers
doubted,0.07142857142857142,The Lovers
adjectives,1.0,The Lovers
mai'teipa,1000.0,The Lovers
There,0.06521739130434782,The Lovers
which,6000.0,The Lovers
beloved,0.19047619047619047,The Lovers
using,0.12903225806451613,The Lovers
check,0.2364217252396166,The Lovers
Gabriel's,1000.0,The Lovers
died,0.43076923076923074,The Lovers
Siddo,7000.0,The Lovers
(,3000.0,The Lovers
women,0.16666666666666666,The Lovers
unrealistically,100.0,The Lovers
animate,2.0,The Lovers
sure,0.0900900900900901,The Lovers
thinking,0.09183673469387754,The Lovers
island,0.2,The Lovers
wisdom,0.6666666666666666,The Lovers
ago,0.10256410256410256,The Lovers
return,0.21904761904761905,The Lovers
are,0.03263403263403263,The Lovers
Thus,0.033962264150943396,The Lovers
eat,0.75,The Lovers
It,200.0,The Lovers
Neither,0.1,The Lovers
suspicion,1.4,The Lovers
Said,0.0940959409594096,The Lovers
among,2000.0,The Lovers
second,0.07191780821917808,The Lovers
America,1.032258064516129,The Lovers
Mary,6.25,The Lovers
over,0.036458333333333336,The Lovers
any,0.03296703296703297,The Lovers
lopsidedly,100.0,The Lovers
passengers,0.6666666666666666,The Lovers
before,0.025974025974025976,The Lovers
somewhere,0.3333333333333333,The Lovers
exists,0.006587615283267457,The Lovers
grew,0.055350553505535055,The Lovers
tense,4.5,The Lovers
records,0.375,The Lovers
swift,9.0,The Lovers
whipped,1.5,The Lovers
off,0.05485232067510549,The Lovers
scriptural,1.0,The Lovers
:,3000.0,The Lovers
pardon,0.4166666666666667,The Lovers
pardons,0.4166666666666667,The Lovers
You,2000.0,The Lovers
linguist,300.0,The Lovers
more,0.043165467625899276,The Lovers
horrified,1.6,The Lovers
Bazaar,0.2,The Lovers
Asia,1.0,The Lovers
He,0.023575638506876228,The Lovers
Is,0.014851485148514853,The Lovers
responsible,0.6666666666666666,The Lovers
R.'s,1000.0,The Lovers
other,0.07692307692307693,The Lovers
above,0.5,The Lovers
be,0.43349753694581283,The Lovers
frozen,0.59375,The Lovers
way,0.22413793103448276,The Lovers
tenses,1.5,The Lovers
again,0.16216216216216217,The Lovers
months,0.25,The Lovers
few,0.028169014084507043,The Lovers
Urielites,1000.0,The Lovers
its,300.0,The Lovers
Federation,100.0,The Lovers
one-gee,2000.0,The Lovers
notified,6.0,The Lovers
instructing,0.625,The Lovers
slowly,0.11904761904761904,The Lovers
caused,0.007692307692307693,The Lovers
Forerunner,12.0,The Lovers
cover,0.16887417218543047,The Lovers
because,7000.0,The Lovers
choose,0.06666666666666667,The Lovers
endure,0.08626198083067092,The Lovers
We,3000.0,The Lovers
