w,taza
A,0.008843537414965985,The Moon and the Thorn.
watched,0.10559006211180125,The Moon and the Thorn.
planets,0.375,The Moon and the Thorn.
kept,0.20168067226890757,The Moon and the Thorn.
beginning,0.06303724928366762,The Moon and the Thorn.
there's,1000.0,The Moon and the Thorn.
left,0.15102974828375287,The Moon and the Thorn.
Henrietta,20000.0,The Moon and the Thorn.
sat,0.5714285714285714,The Moon and the Thorn.
extraordinary,0.5,The Moon and the Thorn.
clear,0.3364485981308411,The Moon and the Thorn.
observed,0.12234042553191488,The Moon and the Thorn.
balanced,0.2222222222222222,The Moon and the Thorn.
bun,0.2857142857142857,The Moon and the Thorn.
sea,0.125,The Moon and the Thorn.
garden,0.25,The Moon and the Thorn.
sin,0.38235294117647056,The Moon and the Thorn.
leaf,1.7999999999999998,The Moon and the Thorn.
having,0.023539668700959023,The Moon and the Thorn.
started,0.1020408163265306,The Moon and the Thorn.
night,0.18072289156626503,The Moon and the Thorn.
avoided,1.8888888888888888,The Moon and the Thorn.
arm,0.9677419354838709,The Moon and the Thorn.
with,30000.0,The Moon and the Thorn.
silenced,0.0625,The Moon and the Thorn.
ceased,0.11392405063291139,The Moon and the Thorn.
tyranny,2.75,The Moon and the Thorn.
curiosity,0.5,The Moon and the Thorn.
claws,5.0,The Moon and the Thorn.
Dorothy,1000.0,The Moon and the Thorn.
like,0.27076923076923076,The Moon and the Thorn.
patiently,0.25,The Moon and the Thorn.
nettled,3.571428571428571,The Moon and the Thorn.
Summer's,1000.0,The Moon and the Thorn.
lived,0.014375561545372867,The Moon and the Thorn.
fat,0.8571428571428571,The Moon and the Thorn.
who,400.0,The Moon and the Thorn.
circle,0.2469135802469136,The Moon and the Thorn.
past,0.025974025974025976,The Moon and the Thorn.
scent,0.42857142857142855,The Moon and the Thorn.
drama,0.16,The Moon and the Thorn.
thorns,100.0,The Moon and the Thorn.
obeyed,0.5,The Moon and the Thorn.
defense,3.142857142857143,The Moon and the Thorn.
behind,0.19195046439628483,The Moon and the Thorn.
In,0.004144218814753419,The Moon and the Thorn.
end,0.06498194945848375,The Moon and the Thorn.
close,0.16299559471365638,The Moon and the Thorn.
danced,0.3,The Moon and the Thorn.
letters,0.2,The Moon and the Thorn.
For,1000.0,The Moon and the Thorn.
malevolence,4.0,The Moon and the Thorn.
aged,0.45283018867924524,The Moon and the Thorn.
engine,0.3076923076923077,The Moon and the Thorn.
unfavorable,100.0,The Moon and the Thorn.
piously,100.0,The Moon and the Thorn.
white,1.1475409836065573,The Moon and the Thorn.
Well,0.04417670682730924,The Moon and the Thorn.
wilderness,0.3,The Moon and the Thorn.
knowledge,0.16666666666666666,The Moon and the Thorn.
toward,2000.0,The Moon and the Thorn.
I've,1000.0,The Moon and the Thorn.
impossible,0.4666666666666667,The Moon and the Thorn.
supplicating,100.0,The Moon and the Thorn.
guessed,0.112,The Moon and the Thorn.
easy,0.1627906976744186,The Moon and the Thorn.
to,45000.0,The Moon and the Thorn.
in,0.10360547036883547,The Moon and the Thorn.
God,0.24242424242424243,The Moon and the Thorn.
barefoot,6.0,The Moon and the Thorn.
supper,0.5,The Moon and the Thorn.
down,0.5109170305676857,The Moon and the Thorn.
grave,0.3529411764705882,The Moon and the Thorn.
rest,0.45614035087719296,The Moon and the Thorn.
shriveled,6.5,The Moon and the Thorn.
They'll,1000.0,The Moon and the Thorn.
forgotten,0.12903225806451613,The Moon and the Thorn.
mindless,3.0,The Moon and the Thorn.
buds,1.0,The Moon and the Thorn.
gay,2.2857142857142856,The Moon and the Thorn.
around,0.05825242718446602,The Moon and the Thorn.
interruption,0.411764705882353,The Moon and the Thorn.
examining,0.07027027027027027,The Moon and the Thorn.
impulse,1.2999999999999998,The Moon and the Thorn.
air,0.8764044943820225,The Moon and the Thorn.
ear,1.6666666666666667,The Moon and the Thorn.
sill,1.0,The Moon and the Thorn.
nobleman,0.3333333333333333,The Moon and the Thorn.
possessive,100.0,The Moon and the Thorn.
cottage,2.0,The Moon and the Thorn.
whatever,0.016483516483516484,The Moon and the Thorn.
teas,100.0,The Moon and the Thorn.
gone,0.2764227642276423,The Moon and the Thorn.
yielded,0.18518518518518517,The Moon and the Thorn.
half,0.16216216216216217,The Moon and the Thorn.
summers,0.10526315789473684,The Moon and the Thorn.
porridge,100.0,The Moon and the Thorn.
crossing,1.3214285714285714,The Moon and the Thorn.
them,3000.0,The Moon and the Thorn.
comes,0.0508130081300813,The Moon and the Thorn.
``,41000.0,The Moon and the Thorn.
femme,1000.0,The Moon and the Thorn.
swearing,0.9130434782608695,The Moon and the Thorn.
through,0.10191082802547771,The Moon and the Thorn.
vulnerable,100.0,The Moon and the Thorn.
'',41000.0,The Moon and the Thorn.
held,0.05731832139201637,The Moon and the Thorn.
estimate,0.1686746987951807,The Moon and the Thorn.
soberly,3.0,The Moon and the Thorn.
rain,0.7142857142857143,The Moon and the Thorn.
nearby,0.25,The Moon and the Thorn.
scudding,0.7272727272727273,The Moon and the Thorn.
big,0.16666666666666666,The Moon and the Thorn.
After,0.048,The Moon and the Thorn.
Probably,0.1951219512195122,The Moon and the Thorn.
heavily,0.08620689655172414,The Moon and the Thorn.
bowed,1.8181818181818181,The Moon and the Thorn.
moment,0.14705882352941177,The Moon and the Thorn.
dared,0.6666666666666666,The Moon and the Thorn.
placid,0.07377049180327869,The Moon and the Thorn.
balls,1.1176470588235294,The Moon and the Thorn.
Outside,0.1348314606741573,The Moon and the Thorn.
thirty,0.6666666666666666,The Moon and the Thorn.
rustle,1.0,The Moon and the Thorn.
safe,0.14814814814814814,The Moon and the Thorn.
haranguing,100.0,The Moon and the Thorn.
gold,2.0,The Moon and the Thorn.
was,0.583232077764277,The Moon and the Thorn.
sighing,1.0,The Moon and the Thorn.
You've,1000.0,The Moon and the Thorn.
Can't,1000.0,The Moon and the Thorn.
years,0.12,The Moon and the Thorn.
for,12000.0,The Moon and the Thorn.
move,0.10280373831775702,The Moon and the Thorn.
sense,0.16091954022988506,The Moon and the Thorn.
dryin',2000.0,The Moon and the Thorn.
She,15000.0,The Moon and the Thorn.
He,0.03143418467583497,The Moon and the Thorn.
been,0.19306930693069307,The Moon and the Thorn.
daisies,100.0,The Moon and the Thorn.
beyond,0.1111111111111111,The Moon and the Thorn.
print,0.5,The Moon and the Thorn.
others,1000.0,The Moon and the Thorn.
hypocrisy,100.0,The Moon and the Thorn.
room,0.047337278106508875,The Moon and the Thorn.
laws,0.26666666666666666,The Moon and the Thorn.
Not,0.006644518272425249,The Moon and the Thorn.
looked,0.19710144927536233,The Moon and the Thorn.
flair,0.5,The Moon and the Thorn.
gabble,5.333333333333333,The Moon and the Thorn.
lessons,0.12820512820512822,The Moon and the Thorn.
some,0.017578125,The Moon and the Thorn.
ones,0.005145797598627787,The Moon and the Thorn.
need,0.06504065040650407,The Moon and the Thorn.
and,91000.0,The Moon and the Thorn.
tireless,100.0,The Moon and the Thorn.
On,0.0045662100456621,The Moon and the Thorn.
I'm,1000.0,The Moon and the Thorn.
Before,0.025974025974025976,The Moon and the Thorn.
waiting,0.17821782178217824,The Moon and the Thorn.
link,1.0476190476190477,The Moon and the Thorn.
sweet,4.833333333333333,The Moon and the Thorn.
did,0.09504950495049505,The Moon and the Thorn.
all,0.08196721311475409,The Moon and the Thorn.
bird,4.75,The Moon and the Thorn.
pretty,0.35555555555555557,The Moon and the Thorn.
sounded,0.041379310344827586,The Moon and the Thorn.
times,0.04954954954954954,The Moon and the Thorn.
f'r,1000.0,The Moon and the Thorn.
stay,0.25263157894736843,The Moon and the Thorn.
out,0.5056179775280899,The Moon and the Thorn.
too,0.0653061224489796,The Moon and the Thorn.
wild,1.5384615384615383,The Moon and the Thorn.
gleefully,100.0,The Moon and the Thorn.
owned,0.006557377049180328,The Moon and the Thorn.
",",169000.0,The Moon and the Thorn.
ingenious,1.5,The Moon and the Thorn.
let,0.021582733812949638,The Moon and the Thorn.
caught,0.09890109890109891,The Moon and the Thorn.
Everything,1000.0,The Moon and the Thorn.
clattered,100.0,The Moon and the Thorn.
Feeling,0.1337386018237082,The Moon and the Thorn.
bit,0.08800000000000001,The Moon and the Thorn.
come,0.3048780487804878,The Moon and the Thorn.
pleased,0.2222222222222222,The Moon and the Thorn.
thrusting,0.5,The Moon and the Thorn.
.,118000.0,The Moon and the Thorn.
captain,0.55,The Moon and the Thorn.
takin',1000.0,The Moon and the Thorn.
baby,0.3023255813953489,The Moon and the Thorn.
nice,0.5555555555555556,The Moon and the Thorn.
when,4000.0,The Moon and the Thorn.
wife,0.058823529411764705,The Moon and the Thorn.
up,0.07643312101910828,The Moon and the Thorn.
next,0.057692307692307696,The Moon and the Thorn.
always,0.33613445378151263,The Moon and the Thorn.
bedstraw,100.0,The Moon and the Thorn.
does,0.05742574257425742,The Moon and the Thorn.
drab-haired,1000.0,The Moon and the Thorn.
bloom,1.8571428571428572,The Moon and the Thorn.
laugh,0.4444444444444444,The Moon and the Thorn.
Thank,100.0,The Moon and the Thorn.
reasons,0.12222222222222222,The Moon and the Thorn.
by,0.0274442538593482,The Moon and the Thorn.
lively,0.375,The Moon and the Thorn.
aspects,0.0625,The Moon and the Thorn.
still,0.30978260869565216,The Moon and the Thorn.
mine,0.1111111111111111,The Moon and the Thorn.
reflective,4.5,The Moon and the Thorn.
),2000.0,The Moon and the Thorn.
less,0.11764705882352941,The Moon and the Thorn.
blame,0.5,The Moon and the Thorn.
earth,0.12429378531073447,The Moon and the Thorn.
as,0.02863837542306691,The Moon and the Thorn.
sprawled,100.0,The Moon and the Thorn.
size,0.16666666666666666,The Moon and the Thorn.
regarded,0.046052631578947366,The Moon and the Thorn.
walking,0.16,The Moon and the Thorn.
Impossible,0.4666666666666667,The Moon and the Thorn.
went,0.16262482168330955,The Moon and the Thorn.
dryly,3.0,The Moon and the Thorn.
morality,1.3333333333333333,The Moon and the Thorn.
light,0.3333333333333333,The Moon and the Thorn.
I,0.0658682634730539,The Moon and the Thorn.
honeysuckle,100.0,The Moon and the Thorn.
stood,1.0625,The Moon and the Thorn.
dawn,0.7599999999999999,The Moon and the Thorn.
vague,0.875,The Moon and the Thorn.
shuffling,0.06896551724137931,The Moon and the Thorn.
eyes,0.12949640287769784,The Moon and the Thorn.
more,0.1079136690647482,The Moon and the Thorn.
fallen,0.10824742268041238,The Moon and the Thorn.
most,0.03991130820399113,The Moon and the Thorn.
artless,100.0,The Moon and the Thorn.
understood,0.08670520231213873,The Moon and the Thorn.
subdued,0.6363636363636364,The Moon and the Thorn.
into,1000.0,The Moon and the Thorn.
my,3000.0,The Moon and the Thorn.
gathering,0.6451612903225806,The Moon and the Thorn.
an,400.0,The Moon and the Thorn.
remember,0.3793103448275862,The Moon and the Thorn.
growing,0.06645569620253165,The Moon and the Thorn.
beat,0.2636363636363636,The Moon and the Thorn.
scanty,0.6,The Moon and the Thorn.
acknowledgments,0.375,The Moon and the Thorn.
--,5000.0,The Moon and the Thorn.
downstairs,0.4166666666666667,The Moon and the Thorn.
actions,0.4864864864864865,The Moon and the Thorn.
leaving,0.05543710021321961,The Moon and the Thorn.
dam',1000.0,The Moon and the Thorn.
gave,0.08559498956158663,The Moon and the Thorn.
taking,0.05775577557755776,The Moon and the Thorn.
cheerfully,1.0,The Moon and the Thorn.
graveyard,200.0,The Moon and the Thorn.
hope,0.14035087719298245,The Moon and the Thorn.
yesterday,0.16666666666666666,The Moon and the Thorn.
limp,1.0,The Moon and the Thorn.
Go,0.09266409266409267,The Moon and the Thorn.
look,0.060669456066945605,The Moon and the Thorn.
days,0.059829059829059825,The Moon and the Thorn.
wall,0.5925925925925926,The Moon and the Thorn.
once,0.1320754716981132,The Moon and the Thorn.
Island,0.2,The Moon and the Thorn.
lay,0.13877551020408163,The Moon and the Thorn.
about,0.3044077134986226,The Moon and the Thorn.
profound,0.1509433962264151,The Moon and the Thorn.
Delia,1000.0,The Moon and the Thorn.
Tredding,1000.0,The Moon and the Thorn.
hoping,0.15555555555555556,The Moon and the Thorn.
window,0.15384615384615385,The Moon and the Thorn.
Cotter's,1000.0,The Moon and the Thorn.
kind,0.09523809523809523,The Moon and the Thorn.
black,0.4767441860465116,The Moon and the Thorn.
last,0.07142857142857142,The Moon and the Thorn.
leave,0.06666666666666667,The Moon and the Thorn.
cruelty,2.3333333333333335,The Moon and the Thorn.
pink,0.8888888888888888,The Moon and the Thorn.
answered,0.034482758620689655,The Moon and the Thorn.
tiny,1.4,The Moon and the Thorn.
forepaws,100.0,The Moon and the Thorn.
sea-damp,1000.0,The Moon and the Thorn.
swelling,0.27272727272727276,The Moon and the Thorn.
way,0.22413793103448276,The Moon and the Thorn.
drink,0.7307692307692307,The Moon and the Thorn.
School,0.14102564102564102,The Moon and the Thorn.
old,0.9750000000000001,The Moon and the Thorn.
play,0.1388888888888889,The Moon and the Thorn.
corruption,3.3333333333333335,The Moon and the Thorn.
pilgrim,3.0,The Moon and the Thorn.
apron,100.0,The Moon and the Thorn.
condemned,1.75,The Moon and the Thorn.
it,1700.0,The Moon and the Thorn.
Now,0.06951871657754011,The Moon and the Thorn.
Ran,0.0968342644320298,The Moon and the Thorn.
How,1000.0,The Moon and the Thorn.
easier,0.20481927710843373,The Moon and the Thorn.
wet,0.9583333333333334,The Moon and the Thorn.
No,0.03164556962025316,The Moon and the Thorn.
doubtfully,100.0,The Moon and the Thorn.
grass,2.2222222222222223,The Moon and the Thorn.
buffeted,4.5,The Moon and the Thorn.
You'll,1000.0,The Moon and the Thorn.
slow,0.27586206896551724,The Moon and the Thorn.
tissues,3.0,The Moon and the Thorn.
grown,0.06306306306306306,The Moon and the Thorn.
plan,0.12121212121212122,The Moon and the Thorn.
duty,0.5714285714285714,The Moon and the Thorn.
away,0.04934541792547835,The Moon and the Thorn.
decidedly,1.2,The Moon and the Thorn.
inside,0.16176470588235295,The Moon and the Thorn.
blossoms,1.5714285714285714,The Moon and the Thorn.
true,0.2909090909090909,The Moon and the Thorn.
graveyards,100.0,The Moon and the Thorn.
fetes,2.5,The Moon and the Thorn.
day's,2000.0,The Moon and the Thorn.
prayerful,100.0,The Moon and the Thorn.
their,8000.0,The Moon and the Thorn.
is,0.014851485148514853,The Moon and the Thorn.
remembered,0.25287356321839083,The Moon and the Thorn.
straightened,4.5,The Moon and the Thorn.
indeed,0.00816326530612245,The Moon and the Thorn.
month,0.25,The Moon and the Thorn.
at,0.06504065040650407,The Moon and the Thorn.
announcing,3.5,The Moon and the Thorn.
inhabitants,100.0,The Moon and the Thorn.
sounds,0.14012738853503184,The Moon and the Thorn.
told,0.16744186046511628,The Moon and the Thorn.
pointer,100.0,The Moon and the Thorn.
walked,0.11764705882352941,The Moon and the Thorn.
circumspect,100.0,The Moon and the Thorn.
Rummaging,100.0,The Moon and the Thorn.
sleeping,0.3846153846153846,The Moon and the Thorn.
supervising,2.25,The Moon and the Thorn.
were,0.10396039603960397,The Moon and the Thorn.
being,0.017204301075268817,The Moon and the Thorn.
text,100.0,The Moon and the Thorn.
Blackwell,3000.0,The Moon and the Thorn.
tame,4.666666666666667,The Moon and the Thorn.
say,0.18584070796460178,The Moon and the Thorn.
field,0.5263157894736842,The Moon and the Thorn.
pin,0.46153846153846156,The Moon and the Thorn.
much,0.13714285714285715,The Moon and the Thorn.
heaven,1.75,The Moon and the Thorn.
Craddock,1000.0,The Moon and the Thorn.
Great,0.13736263736263735,The Moon and the Thorn.
fell,0.14468085106382977,The Moon and the Thorn.
hospitality,100.0,The Moon and the Thorn.
watching,0.111731843575419,The Moon and the Thorn.
myself,1000.0,The Moon and the Thorn.
blue,0.41777777777777775,The Moon and the Thorn.
sang,0.42424242424242425,The Moon and the Thorn.
ground,0.16877637130801687,The Moon and the Thorn.
