w,taza
Do,0.05928853754940711,The Planet with No Nightmare
shook,0.4,The Planet with No Nightmare
!,2000.0,The Planet with No Nightmare
seem,0.034090909090909095,The Planet with No Nightmare
foul,2.8666666666666667,The Planet with No Nightmare
contact,0.3137254901960784,The Planet with No Nightmare
fast,0.33999999999999997,The Planet with No Nightmare
ancient,0.25,The Planet with No Nightmare
interjected,100.0,The Planet with No Nightmare
in,0.07459593866556154,The Planet with No Nightmare
much,0.13714285714285715,The Planet with No Nightmare
trace,0.23076923076923078,The Planet with No Nightmare
these,4000.0,The Planet with No Nightmare
infinite,0.2708333333333333,The Planet with No Nightmare
spaceship,2.0,The Planet with No Nightmare
fatigue,1.6,The Planet with No Nightmare
Take,0.11755102040816326,The Planet with No Nightmare
secrecy,0.3333333333333333,The Planet with No Nightmare
end,0.06498194945848375,The Planet with No Nightmare
leave,0.13333333333333333,The Planet with No Nightmare
blastdown,1000.0,The Planet with No Nightmare
they,10000.0,The Planet with No Nightmare
Galaxy,100.0,The Planet with No Nightmare
aren't,1000.0,The Planet with No Nightmare
set,0.22889305816135086,The Planet with No Nightmare
day,0.1846153846153846,The Planet with No Nightmare
above,0.25,The Planet with No Nightmare
harm,0.2692307692307692,The Planet with No Nightmare
body,0.19642857142857142,The Planet with No Nightmare
generations,0.42857142857142855,The Planet with No Nightmare
galvanic,1.25,The Planet with No Nightmare
felt,0.05439330543933055,The Planet with No Nightmare
through,0.050955414012738856,The Planet with No Nightmare
small,0.12871287128712872,The Planet with No Nightmare
Still,0.10326086956521739,The Planet with No Nightmare
thing,0.07317073170731708,The Planet with No Nightmare
radioactive,1.0,The Planet with No Nightmare
Ringing,0.3709677419354839,The Planet with No Nightmare
no,0.12658227848101264,The Planet with No Nightmare
maybe,0.4090909090909091,The Planet with No Nightmare
too,0.0326530612244898,The Planet with No Nightmare
explanations,0.10526315789473684,The Planet with No Nightmare
scanned,0.5454545454545455,The Planet with No Nightmare
species,1.6666666666666667,The Planet with No Nightmare
There,0.08695652173913043,The Planet with No Nightmare
soundly,0.02112676056338028,The Planet with No Nightmare
decaying,100.0,The Planet with No Nightmare
Gone,0.0921409214092141,The Planet with No Nightmare
cracking,0.25,The Planet with No Nightmare
longer,0.1897810218978102,The Planet with No Nightmare
blown,3.2666666666666666,The Planet with No Nightmare
somebody,0.07894736842105264,The Planet with No Nightmare
flipped,0.47500000000000003,The Planet with No Nightmare
beast,0.6428571428571428,The Planet with No Nightmare
big,0.5,The Planet with No Nightmare
long,0.2201834862385321,The Planet with No Nightmare
whipping,1.875,The Planet with No Nightmare
ExPe,1000.0,The Planet with No Nightmare
black,1.4302325581395348,The Planet with No Nightmare
there's,1000.0,The Planet with No Nightmare
lug,0.5,The Planet with No Nightmare
comfort,0.625,The Planet with No Nightmare
pattern,0.10596026490066225,The Planet with No Nightmare
make,0.09900990099009901,The Planet with No Nightmare
until,1000.0,The Planet with No Nightmare
full,0.06334841628959276,The Planet with No Nightmare
its,200.0,The Planet with No Nightmare
some,0.087890625,The Planet with No Nightmare
don't,6000.0,The Planet with No Nightmare
as,0.022910700338453528,The Planet with No Nightmare
chills,1.0833333333333333,The Planet with No Nightmare
