w,taza
sterling,0.75,The Providence Journal
A,0.008843537414965985,The Providence Journal
beginning,0.06303724928366762,The Providence Journal
vibrant,100.0,The Providence Journal
there's,1000.0,The Providence Journal
week,0.12121212121212122,The Providence Journal
Lauderdale,1000.0,The Providence Journal
greatly,0.14285714285714285,The Providence Journal
shells,0.2207792207792208,The Providence Journal
costumes,1.3333333333333333,The Providence Journal
excellent,0.7272727272727273,The Providence Journal
Fiorello,4000.0,The Providence Journal
garbage,1.6666666666666667,The Providence Journal
opened,0.06557377049180328,The Providence Journal
Since,1000.0,The Providence Journal
chap,1.2999999999999998,The Providence Journal
violence,0.3333333333333333,The Providence Journal
North,0.27906976744186046,The Providence Journal
productions,0.15384615384615385,The Providence Journal
fairly,0.14102564102564102,The Providence Journal
proficient,0.05333333333333334,The Providence Journal
Bock,100.0,The Providence Journal
Joe,1000.0,The Providence Journal
charming,0.4230769230769231,The Providence Journal
10-year-old,1000.0,The Providence Journal
second,0.21575342465753425,The Providence Journal
amusing,1.3333333333333333,The Providence Journal
started,0.1020408163265306,The Providence Journal
night,0.3012048192771084,The Providence Journal
Hutton,100.0,The Providence Journal
highest,0.1111111111111111,The Providence Journal
fiery,1.5,The Providence Journal
Lawless,2.5,The Providence Journal
with,18000.0,The Providence Journal
whom,1000.0,The Providence Journal
flawless,100.0,The Providence Journal
Yvette,1000.0,The Providence Journal
like,0.033846153846153845,The Providence Journal
written,0.30303030303030304,The Providence Journal
spirit,0.06766917293233082,The Providence Journal
rapists,100.0,The Providence Journal
who,1200.0,The Providence Journal
David,0.47058823529411764,The Providence Journal
Morgan,0.2857142857142857,The Providence Journal
view,0.08250825082508251,The Providence Journal
settings,0.30303030303030304,The Providence Journal
author,0.3076923076923077,The Providence Journal
This,5000.0,The Providence Journal
playing,0.1003584229390681,The Providence Journal
end,0.06498194945848375,The Providence Journal
Hollywood,0.2,The Providence Journal
In,0.008288437629506838,The Providence Journal
close,0.16299559471365638,The Providence Journal
direction,0.3018867924528302,The Providence Journal
company,0.4888888888888889,The Providence Journal
For,4000.0,The Providence Journal
promoted,0.34285714285714286,The Providence Journal
nightclub,0.45454545454545453,The Providence Journal
troubles,0.21238938053097348,The Providence Journal
Gary,1.0,The Providence Journal
north,0.27906976744186046,The Providence Journal
senior,0.375,The Providence Journal
made,0.17789404839764553,The Providence Journal
Amy,4000.0,The Providence Journal
carries,0.11965811965811965,The Providence Journal
performing,0.03954802259887006,The Providence Journal
So,0.026143790849673203,The Providence Journal
wasn't,1000.0,The Providence Journal
memories,0.4166666666666667,The Providence Journal
unstilted,100.0,The Providence Journal
body,0.19642857142857142,The Providence Journal
portrayal,2.5,The Providence Journal
life,0.19047619047619047,The Providence Journal
war,0.09090909090909091,The Providence Journal
perfect,0.31578947368421056,The Providence Journal
called,0.3969465648854962,The Providence Journal
minimum,0.13636363636363638,The Providence Journal
sharp,1.3548387096774193,The Providence Journal
in,0.15333609614587648,The Providence Journal
to,37000.0,The Providence Journal
Politics,0.3125,The Providence Journal
recently,0.125,The Providence Journal
Brazilian,1.0,The Providence Journal
down,0.1703056768558952,The Providence Journal
comedy,12.0,The Providence Journal
boards,0.22891566265060243,The Providence Journal
Side,0.043209876543209874,The Providence Journal
happy,0.16666666666666666,The Providence Journal
forgotten,0.12903225806451613,The Providence Journal
Performed,0.01829268292682927,The Providence Journal
around,0.019417475728155338,The Providence Journal
interruption,0.411764705882353,The Providence Journal
West,0.3,The Providence Journal
managed,0.0958904109589041,The Providence Journal
makes,0.09900990099009901,The Providence Journal
finished,0.14150943396226415,The Providence Journal
becomes,0.017241379310344827,The Providence Journal
opener,100.0,The Providence Journal
turns,0.08149779735682819,The Providence Journal
acting,0.0851063829787234,The Providence Journal
complete,0.11249999999999999,The Providence Journal
entertain,0.391304347826087,The Providence Journal
Gennaro,1000.0,The Providence Journal
actor,2.8,The Providence Journal
Aunt,3.0,The Providence Journal
Osborne,200.0,The Providence Journal
spectacle,0.3333333333333333,The Providence Journal
break,0.2645502645502646,The Providence Journal
Carroll,100.0,The Providence Journal
horse,0.5294117647058824,The Providence Journal
lines,0.22818791946308722,The Providence Journal
playwright,2.0,The Providence Journal
talent,0.3076923076923077,The Providence Journal
produced,0.04142011834319527,The Providence Journal
