w,taza
shook,0.4,The Shadow Catcher
!,32000.0,The Shadow Catcher
riders,0.6666666666666666,The Shadow Catcher
began,0.12,The Shadow Catcher
seem,0.06818181818181819,The Shadow Catcher
barrel,0.42857142857142855,The Shadow Catcher
methods,0.36363636363636365,The Shadow Catcher
toward,1000.0,The Shadow Catcher
rapid,0.5,The Shadow Catcher
fast,0.33999999999999997,The Shadow Catcher
survivors,100.0,The Shadow Catcher
in,0.12847078325735597,The Shadow Catcher
turned,0.06510416666666667,The Shadow Catcher
sigh,1.5,The Shadow Catcher
looming,1.75,The Shadow Catcher
broke,0.2058823529411765,The Shadow Catcher
end,0.06498194945848375,The Shadow Catcher
finally,0.08108108108108107,The Shadow Catcher
indistinguishable,0.6,The Shadow Catcher
children,0.29545454545454547,The Shadow Catcher
they,10000.0,The Shadow Catcher
set,0.11444652908067543,The Shadow Catcher
day,0.1846153846153846,The Shadow Catcher
Canadian's,1000.0,The Shadow Catcher
dark,0.6556291390728476,The Shadow Catcher
above,0.25,The Shadow Catcher
gunfire,100.0,The Shadow Catcher
body,0.19642857142857142,The Shadow Catcher
sounded,0.08275862068965517,The Shadow Catcher
Before,0.025974025974025976,The Shadow Catcher
new-spilled,1000.0,The Shadow Catcher
They'll,2000.0,The Shadow Catcher
Old,0.43333333333333335,The Shadow Catcher
through,0.050955414012738856,The Shadow Catcher
thing,0.07317073170731708,The Shadow Catcher
Still,0.10326086956521739,The Shadow Catcher
small,0.12871287128712872,The Shadow Catcher
raid,5.0,The Shadow Catcher
scalp,100.0,The Shadow Catcher
flung,7.0,The Shadow Catcher
no,0.04746835443037974,The Shadow Catcher
explanations,0.10526315789473684,The Shadow Catcher
post,0.11940298507462686,The Shadow Catcher
Attack,0.3064516129032258,The Shadow Catcher
There,0.021739130434782608,The Shadow Catcher
four,0.3111111111111111,The Shadow Catcher
reached,0.23958333333333331,The Shadow Catcher
Aricaras,500.0,The Shadow Catcher
big,0.16666666666666666,The Shadow Catcher
long,0.7706422018348623,The Shadow Catcher
whipping,1.875,The Shadow Catcher
black,1.4302325581395348,The Shadow Catcher
there's,1000.0,The Shadow Catcher
survival,1.25,The Shadow Catcher
hunting,0.12121212121212122,The Shadow Catcher
mouth,0.2631578947368421,The Shadow Catcher
someone,0.07894736842105264,The Shadow Catcher
spray,2.3333333333333335,The Shadow Catcher
talkin',1000.0,The Shadow Catcher
savage,0.5106382978723405,The Shadow Catcher
make,0.1485148514851485,The Shadow Catcher
filling,0.13445378151260504,The Shadow Catcher
care,0.06840390879478828,The Shadow Catcher
valley,0.9090909090909091,The Shadow Catcher
until,2000.0,The Shadow Catcher
prepared,0.09722222222222221,The Shadow Catcher
its,100.0,The Shadow Catcher
hair,0.5925925925925926,The Shadow Catcher
don't,3000.0,The Shadow Catcher
overrun,2.6666666666666665,The Shadow Catcher
trading,0.16981132075471697,The Shadow Catcher
calmly,1.0,The Shadow Catcher
shoot,0.2158273381294964,The Shadow Catcher
as,0.06873210101536058,The Shadow Catcher
some,0.017578125,The Shadow Catcher
bright,0.5416666666666666,The Shadow Catcher
dawn,1.5199999999999998,The Shadow Catcher
bucking,0.42105263157894735,The Shadow Catcher
never,0.020833333333333332,The Shadow Catcher
bare,0.2717391304347826,The Shadow Catcher
bloody,1.7999999999999998,The Shadow Catcher
hurried,0.44999999999999996,The Shadow Catcher
dammit,1000.0,The Shadow Catcher
walls,0.5925925925925926,The Shadow Catcher
village,0.75,The Shadow Catcher
Oso's,2000.0,The Shadow Catcher
My,1000.0,The Shadow Catcher
Every,0.02040816326530612,The Shadow Catcher
he'll,2000.0,The Shadow Catcher
ring,0.3611111111111111,The Shadow Catcher
riding,0.38235294117647056,The Shadow Catcher
jerked,3.0,The Shadow Catcher
Although,1000.0,The Shadow Catcher
Manuel,3000.0,The Shadow Catcher
terrible,1.0526315789473684,The Shadow Catcher
shrilling,0.625,The Shadow Catcher
been,0.029702970297029705,The Shadow Catcher
twisted,0.4406779661016949,The Shadow Catcher
trying,0.15827338129496402,The Shadow Catcher
thought,0.17699115044247787,The Shadow Catcher
devil,2.7272727272727275,The Shadow Catcher
by,0.0274442538593482,The Shadow Catcher
waste,1.3333333333333333,The Shadow Catcher
round,0.1977401129943503,The Shadow Catcher
jagged,7.0,The Shadow Catcher
filled,0.31451612903225806,The Shadow Catcher
tell,0.09302325581395349,The Shadow Catcher
herd,0.6,The Shadow Catcher
relied,0.26666666666666666,The Shadow Catcher
and,49000.0,The Shadow Catcher
Knife,0.375,The Shadow Catcher
band,0.15,The Shadow Catcher
corded,100.0,The Shadow Catcher
your,3000.0,The Shadow Catcher
men,0.22499999999999998,The Shadow Catcher
slashing,3.0,The Shadow Catcher
clergyman,200.0,The Shadow Catcher
turns,0.08149779735682819,The Shadow Catcher
charge,1.2830188679245282,The Shadow Catcher
Well,0.04417670682730924,The Shadow Catcher
way,0.05603448275862069,The Shadow Catcher
tore,0.5357142857142857,The Shadow Catcher
frantically,1.3333333333333333,The Shadow Catcher
Trouble,0.21238938053097348,The Shadow Catcher
we'd,1000.0,The Shadow Catcher
try,0.175,The Shadow Catcher
More,0.021582733812949638,The Shadow Catcher
Wildly,0.25,The Shadow Catcher
song,0.3225806451612903,The Shadow Catcher
bullet,0.411764705882353,The Shadow Catcher
blankets,0.5454545454545455,The Shadow Catcher
his,26000.0,The Shadow Catcher
warriors,600.0,The Shadow Catcher
What,3000.0,The Shadow Catcher
arms,0.36,The Shadow Catcher
pitiful,0.6086956521739131,The Shadow Catcher
swift,9.0,The Shadow Catcher
voyageurs,1000.0,The Shadow Catcher
from,10000.0,The Shadow Catcher
hear,0.07947019867549668,The Shadow Catcher
across,0.08108108108108107,The Shadow Catcher
past,0.012987012987012988,The Shadow Catcher
best,0.0712166172106825,The Shadow Catcher
country,0.11842105263157894,The Shadow Catcher
sounds,0.07006369426751592,The Shadow Catcher
Coyotes,4.0,The Shadow Catcher
out,0.12640449438202248,The Shadow Catcher
is,0.029702970297029705,The Shadow Catcher
others,3000.0,The Shadow Catcher
who,300.0,The Shadow Catcher
letter,0.45454545454545453,The Shadow Catcher
spine-chilling,2000.0,The Shadow Catcher
powder,200.0,The Shadow Catcher
His,4000.0,The Shadow Catcher
nor,1000.0,The Shadow Catcher
lance,2.3333333333333335,The Shadow Catcher
it's,1000.0,The Shadow Catcher
burst,0.4473684210526316,The Shadow Catcher
delayed,0.27999999999999997,The Shadow Catcher
night,0.06024096385542168,The Shadow Catcher
attempt,0.171875,The Shadow Catcher
mile,3.4,The Shadow Catcher
cruelly,1.0,The Shadow Catcher
streaks,0.10526315789473684,The Shadow Catcher
defenses,3.142857142857143,The Shadow Catcher
That's,3000.0,The Shadow Catcher
wounded,1.28,The Shadow Catcher
feet,1.25,The Shadow Catcher
goin',4000.0,The Shadow Catcher
onto,1000.0,The Shadow Catcher
rise,0.46808510638297873,The Shadow Catcher
grew,0.055350553505535055,The Shadow Catcher
saw,0.5117449664429531,The Shadow Catcher
Knife's,3000.0,The Shadow Catcher
brandishing,1.0,The Shadow Catcher
looking,0.057065217391304345,The Shadow Catcher
our,9000.0,The Shadow Catcher
being,0.017204301075268817,The Shadow Catcher
water,0.12087912087912087,The Shadow Catcher
dug,0.7567567567567568,The Shadow Catcher
friends,0.7692307692307692,The Shadow Catcher
if,1000.0,The Shadow Catcher
waited,0.08333333333333333,The Shadow Catcher
only,0.09202453987730061,The Shadow Catcher
sake,0.1111111111111111,The Shadow Catcher
an,500.0,The Shadow Catcher
blood,0.48,The Shadow Catcher
gracefully,2.0,The Shadow Catcher
badly,0.625,The Shadow Catcher
have,0.10113339145597211,The Shadow Catcher
defense,6.285714285714286,The Shadow Catcher
thoughtfully,0.5,The Shadow Catcher
meals,0.25,The Shadow Catcher
ponies,500.0,The Shadow Catcher
