w,taza
Child's,1000.0,The Sheep's in the Meadow
power,0.2131979695431472,The Sheep's in the Meadow
Then,0.009876543209876543,The Sheep's in the Meadow
like,0.13538461538461538,The Sheep's in the Meadow
interim,1.0,The Sheep's in the Meadow
catalogued,100.0,The Sheep's in the Meadow
new,0.11282051282051282,The Sheep's in the Meadow
join,0.5172413793103449,The Sheep's in the Meadow
kissing,1.8571428571428572,The Sheep's in the Meadow
surgeon,200.0,The Sheep's in the Meadow
I,0.649272882805817,The Sheep's in the Meadow
into,10000.0,The Sheep's in the Meadow
dash,1.0454545454545454,The Sheep's in the Meadow
passed,0.18421052631578946,The Sheep's in the Meadow
most,0.07982261640798226,The Sheep's in the Meadow
remember,0.12643678160919541,The Sheep's in the Meadow
dollar,0.5833333333333334,The Sheep's in the Meadow
held,0.05731832139201637,The Sheep's in the Meadow
platoons,100.0,The Sheep's in the Meadow
stands,0.5370370370370371,The Sheep's in the Meadow
dull,1.647058823529412,The Sheep's in the Meadow
crowd,1.037037037037037,The Sheep's in the Meadow
surpassed,1.2307692307692308,The Sheep's in the Meadow
caps,0.6086956521739131,The Sheep's in the Meadow
been,0.08910891089108912,The Sheep's in the Meadow
braids,100.0,The Sheep's in the Meadow
scenes,0.14606741573033707,The Sheep's in the Meadow
night's,1000.0,The Sheep's in the Meadow
down,0.1703056768558952,The Sheep's in the Meadow
renewed,2.0,The Sheep's in the Meadow
returned,0.4504504504504504,The Sheep's in the Meadow
discussed,1.0,The Sheep's in the Meadow
self,0.4444444444444444,The Sheep's in the Meadow
plaster,11.0,The Sheep's in the Meadow
rattle,3.0,The Sheep's in the Meadow
cruelly,1.0,The Sheep's in the Meadow
others,2000.0,The Sheep's in the Meadow
Where,2000.0,The Sheep's in the Meadow
silent,0.07317073170731708,The Sheep's in the Meadow
epaulets,100.0,The Sheep's in the Meadow
uniforms,0.16666666666666666,The Sheep's in the Meadow
knowledge,0.16666666666666666,The Sheep's in the Meadow
definite,0.16666666666666666,The Sheep's in the Meadow
city,0.13636363636363638,The Sheep's in the Meadow
woeful,1.5,The Sheep's in the Meadow
sensations,0.47058823529411764,The Sheep's in the Meadow
lessons,0.12820512820512822,The Sheep's in the Meadow
'',4000.0,The Sheep's in the Meadow
noisemakers,100.0,The Sheep's in the Meadow
himself,1000.0,The Sheep's in the Meadow
serenaded,100.0,The Sheep's in the Meadow
window,0.15384615384615385,The Sheep's in the Meadow
than,3000.0,The Sheep's in the Meadow
whose,1000.0,The Sheep's in the Meadow
bearing,0.0677710843373494,The Sheep's in the Meadow
dared,0.6666666666666666,The Sheep's in the Meadow
delight,0.34210526315789475,The Sheep's in the Meadow
beginning,0.06303724928366762,The Sheep's in the Meadow
tossing,1.0434782608695652,The Sheep's in the Meadow
abrupt,0.23529411764705882,The Sheep's in the Meadow
prints,0.5,The Sheep's in the Meadow
celebrants,100.0,The Sheep's in the Meadow
bleats,100.0,The Sheep's in the Meadow
served,0.06382978723404256,The Sheep's in the Meadow
signpost,100.0,The Sheep's in the Meadow
would,14000.0,The Sheep's in the Meadow
longer,0.0948905109489051,The Sheep's in the Meadow
across,0.08108108108108107,The Sheep's in the Meadow
superior,0.7692307692307692,The Sheep's in the Meadow
flowers,1.1428571428571428,The Sheep's in the Meadow
as,0.0630044259307472,The Sheep's in the Meadow
packing,0.20212765957446807,The Sheep's in the Meadow
book,0.3424657534246575,The Sheep's in the Meadow
Astor,200.0,The Sheep's in the Meadow
fool,1.391304347826087,The Sheep's in the Meadow
uneasy,0.8,The Sheep's in the Meadow
merrymaking,100.0,The Sheep's in the Meadow
jerky,3.25,The Sheep's in the Meadow
optimism,0.3333333333333333,The Sheep's in the Meadow
borough,100.0,The Sheep's in the Meadow
they,2000.0,The Sheep's in the Meadow
you,1000.0,The Sheep's in the Meadow
unavailable,1.0,The Sheep's in the Meadow
members,0.75,The Sheep's in the Meadow
When,1000.0,The Sheep's in the Meadow
blasted,0.6388888888888888,The Sheep's in the Meadow
How,2000.0,The Sheep's in the Meadow
blooded,0.5714285714285714,The Sheep's in the Meadow
doubt,0.14583333333333334,The Sheep's in the Meadow
at,0.04552845528455285,The Sheep's in the Meadow
saying,0.06589147286821706,The Sheep's in the Meadow
took,0.16638655462184873,The Sheep's in the Meadow
crossing,1.3214285714285714,The Sheep's in the Meadow
turned,0.13020833333333334,The Sheep's in the Meadow
door,0.21052631578947367,The Sheep's in the Meadow
unconcerned,100.0,The Sheep's in the Meadow
much,0.045714285714285714,The Sheep's in the Meadow
their,8000.0,The Sheep's in the Meadow
our,7000.0,The Sheep's in the Meadow
if,3000.0,The Sheep's in the Meadow
unwanted,2.0,The Sheep's in the Meadow
the,95000.0,The Sheep's in the Meadow
planning,0.1509433962264151,The Sheep's in the Meadow
distant,0.4,The Sheep's in the Meadow
There,0.021739130434782608,The Sheep's in the Meadow
nearly,0.08771929824561403,The Sheep's in the Meadow
ragged,1.814814814814815,The Sheep's in the Meadow
which,5000.0,The Sheep's in the Meadow
standing,0.3214285714285714,The Sheep's in the Meadow
moist,0.75,The Sheep's in the Meadow
meanwhile,1.25,The Sheep's in the Meadow
ears,3.3333333333333335,The Sheep's in the Meadow
(,1000.0,The Sheep's in the Meadow
7:25,1000.0,The Sheep's in the Meadow
thick,1.5555555555555554,The Sheep's in the Meadow
step,0.5833333333333334,The Sheep's in the Meadow
stitches,4.0,The Sheep's in the Meadow
existence,0.03305785123966942,The Sheep's in the Meadow
foreign,0.15384615384615385,The Sheep's in the Meadow
wearing,0.673469387755102,The Sheep's in the Meadow
hostess,100.0,The Sheep's in the Meadow
interplay,1.0,The Sheep's in the Meadow
return,0.21904761904761905,The Sheep's in the Meadow
serving,0.07560137457044674,The Sheep's in the Meadow
sailors,11.0,The Sheep's in the Meadow
wide,0.3148148148148148,The Sheep's in the Meadow
Toffenetti's,1000.0,The Sheep's in the Meadow
regulations,0.5454545454545455,The Sheep's in the Meadow
cheered,2.142857142857143,The Sheep's in the Meadow
It,500.0,The Sheep's in the Meadow
envelope,100.0,The Sheep's in the Meadow
grand,0.6056338028169014,The Sheep's in the Meadow
September,100.0,The Sheep's in the Meadow
among,3000.0,The Sheep's in the Meadow
sense,0.16091954022988506,The Sheep's in the Meadow
young,0.14383561643835616,The Sheep's in the Meadow
over,0.109375,The Sheep's in the Meadow
bugle,100.0,The Sheep's in the Meadow
courage,1.0,The Sheep's in the Meadow
whiskey,0.6666666666666666,The Sheep's in the Meadow
passengers,0.6666666666666666,The Sheep's in the Meadow
dispatching,0.0759493670886076,The Sheep's in the Meadow
finally,0.24324324324324323,The Sheep's in the Meadow
