w,taza
A,0.004421768707482993,The Ship Who Sang
experience,0.00932642487046632,The Ship Who Sang
kept,0.20168067226890757,The Ship Who Sang
forced,0.40963855421686746,The Ship Who Sang
left,0.07551487414187644,The Ship Who Sang
shells,1.103896103896104,The Ship Who Sang
development,0.375,The Ship Who Sang
extricate,4.0,The Ship Who Sang
Base,0.1413427561837456,The Ship Who Sang
installed,1.25,The Ship Who Sang
politely,2.0,The Ship Who Sang
started,0.1020408163265306,The Ship Who Sang
whichever,1000.0,The Ship Who Sang
works,0.08500772797527048,The Ship Who Sang
introduce,0.32727272727272727,The Ship Who Sang
extension,1.3333333333333333,The Ship Who Sang
with,10000.0,The Ship Who Sang
research,0.3125,The Ship Who Sang
unusual,0.19047619047619047,The Ship Who Sang
claws,5.0,The Ship Who Sang
baritone,4.0,The Ship Who Sang
like,0.033846153846153845,The Ship Who Sang
direct,0.08423913043478261,The Ship Who Sang
lived,0.028751123090745734,The Ship Who Sang
Why,0.05,The Ship Who Sang
self-pitying,1000.0,The Ship Who Sang
who,200.0,The Ship Who Sang
Venusians,1000.0,The Ship Who Sang
index,0.1095890410958904,The Ship Who Sang
past,0.025974025974025976,The Ship Who Sang
executed,0.04562737642585551,The Ship Who Sang
tinkering,3.0,The Ship Who Sang
Aj,1000.0,The Ship Who Sang
mechanisms,0.375,The Ship Who Sang
am,0.024752475247524754,The Ship Who Sang
eliminating,1.0625,The Ship Who Sang
playing,0.1003584229390681,The Ship Who Sang
Elvis,0.3870967741935484,The Ship Who Sang
initial,0.25,The Ship Who Sang
In,0.004144218814753419,The Ship Who Sang
microphones,2.0,The Ship Who Sang
sixteenth,4.0,The Ship Who Sang
behind,0.09597523219814241,The Ship Who Sang
company,0.24444444444444444,The Ship Who Sang
For,3000.0,The Ship Who Sang
Nozze,1000.0,The Ship Who Sang
',4000.0,The Ship Who Sang
adventures,0.3333333333333333,The Ship Who Sang
bother,0.4754098360655738,The Ship Who Sang
grinned,0.5,The Ship Who Sang
made,0.13342053629823414,The Ship Who Sang
soprano,2.0,The Ship Who Sang
teachers,0.2222222222222222,The Ship Who Sang
Well,0.04417670682730924,The Ship Who Sang
practicality,0.5,The Ship Who Sang
So,0.026143790849673203,The Ship Who Sang
connections,0.75,The Ship Who Sang
insane,0.25,The Ship Who Sang
body,0.19642857142857142,The Ship Who Sang
Dark,0.21854304635761587,The Ship Who Sang
oral,6.0,The Ship Who Sang
I've,1000.0,The Ship Who Sang
life,0.09523809523809523,The Ship Who Sang
perfect,0.6315789473684211,The Ship Who Sang
mouths,0.2631578947368421,The Ship Who Sang
posed,0.06557377049180328,The Ship Who Sang
authorities,0.4,The Ship Who Sang
to,57000.0,The Ship Who Sang
in,0.08288437629506838,The Ship Who Sang
recently,0.125,The Ship Who Sang
pores,0.26666666666666666,The Ship Who Sang
responses,0.07936507936507936,The Ship Who Sang
nursery,0.6666666666666666,The Ship Who Sang
happy,0.16666666666666666,The Ship Who Sang
panorama,0.1951219512195122,The Ship Who Sang
solution,0.08108108108108107,The Ship Who Sang
When,2000.0,The Ship Who Sang
around,0.038834951456310676,The Ship Who Sang
neural,1.5,The Ship Who Sang
central,0.22580645161290322,The Ship Who Sang
trajectory,0.14285714285714285,The Ship Who Sang
indestructible,1.3333333333333333,The Ship Who Sang
months,0.5,The Ship Who Sang
hideous,2.5,The Ship Who Sang
complete,0.22499999999999998,The Ship Who Sang
directives,200.0,The Ship Who Sang
Robert,0.5,The Ship Who Sang
whatever,0.016483516483516484,The Ship Who Sang
dwarfs,1.5,The Ship Who Sang
Scout,0.6086956521739131,The Ship Who Sang
maintained,0.23076923076923078,The Ship Who Sang
half,0.16216216216216217,The Ship Who Sang
unpleased,1000.0,The Ship Who Sang
substitute,0.5348837209302325,The Ship Who Sang
wheels,0.4166666666666667,The Ship Who Sang
:,1000.0,The Ship Who Sang
Universe,0.053691275167785234,The Ship Who Sang
holding,0.06179196704428424,The Ship Who Sang
match,0.2871287128712871,The Ship Who Sang
content,0.23404255319148937,The Ship Who Sang
any,0.08241758241758242,The Ship Who Sang
them,4000.0,The Ship Who Sang
ask,0.06091370558375634,The Ship Who Sang
``,42000.0,The Ship Who Sang
centuries,0.10416666666666667,The Ship Who Sang
help,0.14285714285714285,The Ship Who Sang
through,0.10191082802547771,The Ship Who Sang
registered,0.07777777777777778,The Ship Who Sang
'',42000.0,The Ship Who Sang
hopefully,0.6666666666666666,The Ship Who Sang
mechanical,0.6666666666666666,The Ship Who Sang
mercifully,1.0,The Ship Who Sang
big,0.3333333333333333,The Ship Who Sang
After,0.048,The Ship Who Sang
citizen,0.3333333333333333,The Ship Who Sang
medium,0.19047619047619047,The Ship Who Sang
ingested,0.012216404886561954,The Ship Who Sang
moment,0.07352941176470588,The Ship Who Sang
every,0.04081632653061224,The Ship Who Sang
importance,0.18181818181818182,The Ship Who Sang
canvas,0.2173913043478261,The Ship Who Sang
massive,0.42857142857142855,The Ship Who Sang
beautiful,0.0625,The Ship Who Sang
committees,0.42857142857142855,The Ship Who Sang
has,0.025283347863993028,The Ship Who Sang
chromatic,1.0,The Ship Who Sang
diverted,2.6666666666666665,The Ship Who Sang
was,0.49210206561360875,The Ship Who Sang
confinement,0.2962962962962963,The Ship Who Sang
develop,0.2288557213930348,The Ship Who Sang
recorded,0.2524271844660194,The Ship Who Sang
well-oriented,1000.0,The Ship Who Sang
years,0.08,The Ship Who Sang
for,14000.0,The Ship Who Sang
sing,1.4193548387096773,The Ship Who Sang
required,0.1254355400696864,The Ship Who Sang
move,0.10280373831775702,The Ship Who Sang
hull,2.5,The Ship Who Sang
sense,0.3218390804597701,The Ship Who Sang
Arts,0.5,The Ship Who Sang
She,16000.0,The Ship Who Sang
weakly,0.8,The Ship Who Sang
been,0.08910891089108912,The Ship Who Sang
barracks,1.7142857142857142,The Ship Who Sang
among,4000.0,The Ship Who Sang
instinctively,0.6666666666666666,The Ship Who Sang
can,0.15406162464985992,The Ship Who Sang
Age,0.06547619047619048,The Ship Who Sang
merely,0.00648508430609598,The Ship Who Sang
Not,0.0033222591362126247,The Ship Who Sang
heads,0.1368421052631579,The Ship Who Sang
looked,0.09855072463768116,The Ship Who Sang
copy,5.25,The Ship Who Sang
warm,0.2,The Ship Who Sang
