w,taza
experience,0.00932642487046632,The Star Dwellers
here,0.1111111111111111,The Star Dwellers
snapping,0.875,The Star Dwellers
Besides,0.024590163934426233,The Star Dwellers
absolutes,1.0,The Star Dwellers
declaration,0.3684210526315789,The Star Dwellers
as,0.09737047643842749,The Star Dwellers
kind,0.09523809523809523,The Star Dwellers
really,0.04597701149425287,The Star Dwellers
admitted,0.08633093525179855,The Star Dwellers
whereas,1000.0,The Star Dwellers
radar,2.6666666666666665,The Star Dwellers
little,0.06965174129353234,The Star Dwellers
Always,0.06722689075630252,The Star Dwellers
fixed,0.10787172011661808,The Star Dwellers
at,0.07804878048780488,The Star Dwellers
Hesperus',1000.0,The Star Dwellers
In,0.004144218814753419,The Star Dwellers
worth,0.4444444444444444,The Star Dwellers
be,0.41379310344827586,The Star Dwellers
convinced,0.20689655172413796,The Star Dwellers
don't,3000.0,The Star Dwellers
him,4000.0,The Star Dwellers
which,3000.0,The Star Dwellers
riot,6.0,The Star Dwellers
periods,0.18309859154929578,The Star Dwellers
because,1000.0,The Star Dwellers
law,0.20454545454545453,The Star Dwellers
speak,0.11290322580645161,The Star Dwellers
),1000.0,The Star Dwellers
since,1000.0,The Star Dwellers
Being,0.017204301075268817,The Star Dwellers
Republics,100.0,The Star Dwellers
practicing,0.03629032258064516,The Star Dwellers
sort,0.09027777777777778,The Star Dwellers
trick,0.8333333333333334,The Star Dwellers
angry,0.2777777777777778,The Star Dwellers
aboard,0.5714285714285714,The Star Dwellers
taught,0.75,The Star Dwellers
computer,10.0,The Star Dwellers
trained,0.08771929824561403,The Star Dwellers
quarters,0.5151515151515151,The Star Dwellers
Soviet,0.6666666666666666,The Star Dwellers
will,0.1,The Star Dwellers
agent,0.35714285714285715,The Star Dwellers
parochial,2.0,The Star Dwellers
short-lived,1.2,The Star Dwellers
but,0.05836575875486382,The Star Dwellers
Coal,6.0,The Star Dwellers
Holies,0.6,The Star Dwellers
doubt,0.14583333333333334,The Star Dwellers
everything,1000.0,The Star Dwellers
powers,0.1065989847715736,The Star Dwellers
eventually,0.16,The Star Dwellers
again,0.10810810810810811,The Star Dwellers
He,0.01309757694826457,The Star Dwellers
part,0.45378151260504207,The Star Dwellers
easy,0.1627906976744186,The Star Dwellers
signed,0.41935483870967744,The Star Dwellers
virulence,2.0,The Star Dwellers
incident,0.3333333333333333,The Star Dwellers
distance,0.08823529411764705,The Star Dwellers
(,1000.0,The Star Dwellers
Your,1000.0,The Star Dwellers
blackness,0.2608695652173913,The Star Dwellers
call,0.2624113475177305,The Star Dwellers
toward,3000.0,The Star Dwellers
lost,0.8524590163934426,The Star Dwellers
might,0.08633093525179855,The Star Dwellers
ocean,0.0625,The Star Dwellers
use,0.184,The Star Dwellers
