w,taza
mind,0.1797752808988764,The Valley
impotence,100.0,The Valley
find,0.22443890274314213,The Valley
rustled,1.0,The Valley
mark,0.3717948717948718,The Valley
mist,0.75,The Valley
by,0.06174957118353345,The Valley
last,0.21428571428571427,The Valley
drunk,0.8571428571428571,The Valley
swirled,100.0,The Valley
them,8000.0,The Valley
dumped,0.24242424242424243,The Valley
stars,0.5263157894736842,The Valley
suddenly,0.08860759493670886,The Valley
nothin,2000.0,The Valley
That,1000.0,The Valley
touch,0.3790322580645162,The Valley
caravan,0.5714285714285714,The Valley
stride,0.23809523809523808,The Valley
that's,1000.0,The Valley
If,1000.0,The Valley
fluttered,10.0,The Valley
revealed,0.52,The Valley
got,0.049786628733997154,The Valley
twisting,0.5666666666666667,The Valley
Yes,0.3,The Valley
horses,3.7058823529411766,The Valley
as,0.03436605050768029,The Valley
figure,0.11484593837535015,The Valley
moon,1.8333333333333335,The Valley
whacked,5.0,The Valley
desire,0.041666666666666664,The Valley
windless,100.0,The Valley
news,0.13725490196078433,The Valley
My,1000.0,The Valley
other,0.02564102564102564,The Valley
mare's,1000.0,The Valley
against,3000.0,The Valley
moved,0.09821428571428571,The Valley
maybe,0.13636363636363638,The Valley
glimmer,3.0,The Valley
strung,0.375,The Valley
away,0.04934541792547835,The Valley
gently,0.26666666666666666,The Valley
flowed,0.05405405405405406,The Valley
same,0.0299625468164794,The Valley
dazzling,12.0,The Valley
mountains,0.7,The Valley
saddle,1.3888888888888888,The Valley
grown,0.06306306306306306,The Valley
trailed,0.35555555555555557,The Valley
and,52000.0,The Valley
son,0.2631578947368421,The Valley
refuse,0.8,The Valley
leavin,2000.0,The Valley
barn,0.2,The Valley
feathers,0.6666666666666666,The Valley
stoop,2.0,The Valley
bitterly,0.5,The Valley
happened,0.16190476190476188,The Valley
untenanted,100.0,The Valley
him,26000.0,The Valley
Beneath,0.36363636363636365,The Valley
Come,0.0508130081300813,The Valley
nod,1.0,The Valley
sudden,0.1,The Valley
treated,0.2222222222222222,The Valley
ranch,0.47058823529411764,The Valley
doesn't,1000.0,The Valley
He's,2000.0,The Valley
The,17000.0,The Valley
gasps,100.0,The Valley
they'll,2000.0,The Valley
bloodless,0.18421052631578946,The Valley
savage,0.5106382978723405,The Valley
light,1.6666666666666667,The Valley
Purvis,4000.0,The Valley
shyly,100.0,The Valley
up,0.11464968152866241,The Valley
Laurel,100.0,The Valley
don't,3000.0,The Valley
brother,0.47368421052631576,The Valley
fiercely,2.0,The Valley
horse's,1000.0,The Valley
warmth,0.5714285714285714,The Valley
When,2000.0,The Valley
life,0.5714285714285714,The Valley
pursuers,100.0,The Valley
distance,0.08823529411764705,The Valley
exit,0.11811023622047244,The Valley
With,1000.0,The Valley
blade,1.2,The Valley
there's,1000.0,The Valley
any,0.03296703296703297,The Valley
even,0.038338658146964855,The Valley
Big,0.5,The Valley
hollow,0.42857142857142855,The Valley
angrily,100.0,The Valley
Help,0.2857142857142857,The Valley
backed,0.11965811965811965,The Valley
freed,0.425531914893617,The Valley
All,0.01639344262295082,The Valley
courage,1.0,The Valley
few,0.014084507042253521,The Valley
created,0.022556390977443608,The Valley
gained,0.11415525114155252,The Valley
themselves,1000.0,The Valley
known,0.21428571428571427,The Valley
door,0.10526315789473684,The Valley
!,6000.0,The Valley
blow,1.288888888888889,The Valley
mile,3.4,The Valley
Joe,2000.0,The Valley
begun,0.06,The Valley
Lester,0.8,The Valley
father,0.1242603550295858,The Valley
first,0.23829787234042554,The Valley
slept,0.2631578947368421,The Valley
voice,0.13333333333333333,The Valley
And,3000.0,The Valley
staccato,0.6666666666666666,The Valley
kind,0.09523809523809523,The Valley
look,0.060669456066945605,The Valley
house,0.07655502392344497,The Valley
much,0.18285714285714286,The Valley
loose,0.16025641025641024,The Valley
make,0.09900990099009901,The Valley
beneath,0.36363636363636365,The Valley
are,0.04351204351204351,The Valley
postures,0.2,The Valley
driftin,1000.0,The Valley
bold,1.25,The Valley
stay,0.5052631578947369,The Valley
men,0.7875,The Valley
break,0.2645502645502646,The Valley
childish,0.6666666666666666,The Valley
slowly,0.35714285714285715,The Valley
child,0.29545454545454547,The Valley
hate,0.3529411764705882,The Valley
desires,0.041666666666666664,The Valley
warm,0.2,The Valley
ever,0.14285714285714285,The Valley
patch,0.17307692307692307,The Valley
stain,0.6666666666666666,The Valley
accustomed,6.0,The Valley
We,2000.0,The Valley
out,0.5056179775280899,The Valley
saw,0.30704697986577184,The Valley
snarled,2.5,The Valley
earth,0.12429378531073447,The Valley
may,0.03550295857988166,The Valley
weary,1.4,The Valley
They'll,1000.0,The Valley
flat,0.37037037037037035,The Valley
?,12000.0,The Valley
