w,taza
downright,1.0,Theodore Parker: Apostasy within Liberalism
Furthermore,1.5,Theodore Parker: Apostasy within Liberalism
!,8000.0,Theodore Parker: Apostasy within Liberalism
encouragement,1.0,Theodore Parker: Apostasy within Liberalism
seem,0.034090909090909095,Theodore Parker: Apostasy within Liberalism
birth,0.023809523809523808,Theodore Parker: Apostasy within Liberalism
excoriate,100.0,Theodore Parker: Apostasy within Liberalism
heaves,2.0,Theodore Parker: Apostasy within Liberalism
clear-cut,0.16129032258064516,Theodore Parker: Apostasy within Liberalism
warrant,1.090909090909091,Theodore Parker: Apostasy within Liberalism
in,0.12432656444260257,Theodore Parker: Apostasy within Liberalism
these,4000.0,Theodore Parker: Apostasy within Liberalism
much,0.13714285714285715,Theodore Parker: Apostasy within Liberalism
republic,100.0,Theodore Parker: Apostasy within Liberalism
tolerant,0.2058823529411765,Theodore Parker: Apostasy within Liberalism
infraction,5.0,Theodore Parker: Apostasy within Liberalism
pale,0.7,Theodore Parker: Apostasy within Liberalism
sigh,1.5,Theodore Parker: Apostasy within Liberalism
shoving,0.5,Theodore Parker: Apostasy within Liberalism
disturbed,0.696969696969697,Theodore Parker: Apostasy within Liberalism
repeatedly,0.5,Theodore Parker: Apostasy within Liberalism
continually,1.0,Theodore Parker: Apostasy within Liberalism
broke,0.2058823529411765,Theodore Parker: Apostasy within Liberalism
forgetting,0.10526315789473684,Theodore Parker: Apostasy within Liberalism
end,0.06498194945848375,Theodore Parker: Apostasy within Liberalism
leisure,2.0,Theodore Parker: Apostasy within Liberalism
leave,0.13333333333333333,Theodore Parker: Apostasy within Liberalism
natural,0.18181818181818182,Theodore Parker: Apostasy within Liberalism
supplied,0.1956521739130435,Theodore Parker: Apostasy within Liberalism
they,11000.0,Theodore Parker: Apostasy within Liberalism
day,0.1846153846153846,Theodore Parker: Apostasy within Liberalism
tears,2.804878048780488,Theodore Parker: Apostasy within Liberalism
clergy,1.0,Theodore Parker: Apostasy within Liberalism
resentment,0.7142857142857143,Theodore Parker: Apostasy within Liberalism
gentleman,0.027777777777777776,Theodore Parker: Apostasy within Liberalism
intellectual,0.5,Theodore Parker: Apostasy within Liberalism
thing,0.07317073170731708,Theodore Parker: Apostasy within Liberalism
shabbily,100.0,Theodore Parker: Apostasy within Liberalism
