w,taza
here,0.037037037037037035,Toward a Concept of National Responsibility
sovereignty,20.0,Toward a Concept of National Responsibility
personifies,0.006476683937823834,Toward a Concept of National Responsibility
lines,0.22818791946308722,Toward a Concept of National Responsibility
vastly,1.0,Toward a Concept of National Responsibility
ideological,4.0,Toward a Concept of National Responsibility
Americans,0.07692307692307693,Toward a Concept of National Responsibility
as,0.09164280135381411,Toward a Concept of National Responsibility
transformed,1.7142857142857142,Toward a Concept of National Responsibility
came,0.08213552361396304,Toward a Concept of National Responsibility
constitutional,6.0,Toward a Concept of National Responsibility
unemployment,1.0,Toward a Concept of National Responsibility
irony,0.8,Toward a Concept of National Responsibility
corpus,0.375,Toward a Concept of National Responsibility
little,0.06965174129353234,Toward a Concept of National Responsibility
Party,0.10344827586206898,Toward a Concept of National Responsibility
at,0.032520325203252036,Toward a Concept of National Responsibility
English,0.05333333333333334,Toward a Concept of National Responsibility
limits,0.3181818181818182,Toward a Concept of National Responsibility
loyalties,2.5,Toward a Concept of National Responsibility
In,0.02486531288852051,Toward a Concept of National Responsibility
always,0.13445378151260504,Toward a Concept of National Responsibility
be,0.19704433497536947,Toward a Concept of National Responsibility
political,0.4666666666666667,Toward a Concept of National Responsibility
socal,1000.0,Toward a Concept of National Responsibility
him,1000.0,Toward a Concept of National Responsibility
particularly,0.4,Toward a Concept of National Responsibility
which,13000.0,Toward a Concept of National Responsibility
confusion,1.4,Toward a Concept of National Responsibility
maximum,1.0,Toward a Concept of National Responsibility
because,1000.0,Toward a Concept of National Responsibility
law,1.227272727272727,Toward a Concept of National Responsibility
control,0.13999999999999999,Toward a Concept of National Responsibility
),10000.0,Toward a Concept of National Responsibility
since,1000.0,Toward a Concept of National Responsibility
paid,0.1473684210526316,Toward a Concept of National Responsibility
sort,0.18055555555555555,Toward a Concept of National Responsibility
form,0.0852575488454707,Toward a Concept of National Responsibility
However,0.04615384615384615,Toward a Concept of National Responsibility
safe,0.04938271604938271,Toward a Concept of National Responsibility
fervors,0.27027027027027023,Toward a Concept of National Responsibility
will,0.02,Toward a Concept of National Responsibility
parochial,2.0,Toward a Concept of National Responsibility
but,0.0324254215304799,Toward a Concept of National Responsibility
characteristic,0.16666666666666666,Toward a Concept of National Responsibility
groups,0.5806451612903225,Toward a Concept of National Responsibility
external,0.4444444444444444,Toward a Concept of National Responsibility
come,0.0508130081300813,Toward a Concept of National Responsibility
transformation,0.4444444444444444,Toward a Concept of National Responsibility
powers,0.1065989847715736,Toward a Concept of National Responsibility
articulation,0.19444444444444442,Toward a Concept of National Responsibility
fascination,2.0,Toward a Concept of National Responsibility
third,0.42105263157894735,Toward a Concept of National Responsibility
conditions,0.6263736263736264,Toward a Concept of National Responsibility
part,0.1512605042016807,Toward a Concept of National Responsibility
accumulating,2.5,Toward a Concept of National Responsibility
complex,0.26666666666666666,Toward a Concept of National Responsibility
commands,0.19402985074626863,Toward a Concept of National Responsibility
navy,2.6666666666666665,Toward a Concept of National Responsibility
(,10000.0,Toward a Concept of National Responsibility
idea,0.16981132075471697,Toward a Concept of National Responsibility
perform,0.01829268292682927,Toward a Concept of National Responsibility
establish,0.11515151515151516,Toward a Concept of National Responsibility
assert,0.7857142857142857,Toward a Concept of National Responsibility
wants,0.07006369426751592,Toward a Concept of National Responsibility
By,0.0137221269296741,Toward a Concept of National Responsibility
motivations,0.058823529411764705,Toward a Concept of National Responsibility
dynamic,0.5714285714285714,Toward a Concept of National Responsibility
seminal,3.0,Toward a Concept of National Responsibility
peoples,0.2909090909090909,Toward a Concept of National Responsibility
legal,0.3103448275862069,Toward a Concept of National Responsibility
Pax,100.0,Toward a Concept of National Responsibility
relief,0.7419354838709677,Toward a Concept of National Responsibility
epitomizes,100.0,Toward a Concept of National Responsibility
internal,0.38888888888888884,Toward a Concept of National Responsibility
made,0.08894702419882276,Toward a Concept of National Responsibility
sovereigns,100.0,Toward a Concept of National Responsibility
contours,0.1090909090909091,Toward a Concept of National Responsibility
planet,0.375,Toward a Concept of National Responsibility
owed,1.0,Toward a Concept of National Responsibility
International,0.19047619047619047,Toward a Concept of National Responsibility
Recognizing,0.10526315789473684,Toward a Concept of National Responsibility
together,0.2,Toward a Concept of National Responsibility
defined,0.20754716981132074,Toward a Concept of National Responsibility
included,0.14285714285714285,Toward a Concept of National Responsibility
nation,0.49586776859504134,Toward a Concept of National Responsibility
nineteenth-century,2000.0,Toward a Concept of National Responsibility
world-wide,0.07194244604316546,Toward a Concept of National Responsibility
spread,0.5538461538461539,Toward a Concept of National Responsibility
liberty,3.0,Toward a Concept of National Responsibility
.,83000.0,Toward a Concept of National Responsibility
above,0.25,Toward a Concept of National Responsibility
been,0.08910891089108912,Toward a Concept of National Responsibility
tenable,1.0,Toward a Concept of National Responsibility
supranationalism,1000.0,Toward a Concept of National Responsibility
off,0.05485232067510549,Toward a Concept of National Responsibility
Revolution,0.6,Toward a Concept of National Responsibility
cultural,0.75,Toward a Concept of National Responsibility
truism,100.0,Toward a Concept of National Responsibility
non-Western,1000.0,Toward a Concept of National Responsibility
describe,0.12844036697247707,Toward a Concept of National Responsibility
friendly,0.375,Toward a Concept of National Responsibility
establishment,0.46153846153846156,Toward a Concept of National Responsibility
power,0.6395939086294415,Toward a Concept of National Responsibility
