w,taza
kept,0.20168067226890757,Tracts published by American Tract Society
left,0.15102974828375287,Tracts published by American Tract Society
Word,1.3333333333333333,Tracts published by American Tract Society
joy,0.25,Tracts published by American Tract Society
sin,0.7647058823529411,Tracts published by American Tract Society
experiment,0.25,Tracts published by American Tract Society
authoritative,0.1891891891891892,Tracts published by American Tract Society
filling,0.13445378151260504,Tracts published by American Tract Society
practical,0.7142857142857143,Tracts published by American Tract Society
night,0.06024096385542168,Tracts published by American Tract Society
works,0.3400309119010819,Tracts published by American Tract Society
wonderful,0.3333333333333333,Tracts published by American Tract Society
greater,0.12807881773399016,Tracts published by American Tract Society
with,13000.0,Tracts published by American Tract Society
doubt,0.14583333333333334,Tracts published by American Tract Society
utterly,0.0851063829787234,Tracts published by American Tract Society
offers,0.125,Tracts published by American Tract Society
like,0.10153846153846154,Tracts published by American Tract Society
written,0.6060606060606061,Tracts published by American Tract Society
spirit,0.06766917293233082,Tracts published by American Tract Society
scientists,1.0,Tracts published by American Tract Society
Why,0.1,Tracts published by American Tract Society
country,0.05921052631578947,Tracts published by American Tract Society
who,1100.0,Tracts published by American Tract Society
past,0.025974025974025976,Tracts published by American Tract Society
weaken,0.6,Tracts published by American Tract Society
stayed,0.2608695652173913,Tracts published by American Tract Society
am,0.07425742574257425,Tracts published by American Tract Society
privileges,0.5,Tracts published by American Tract Society
150,100.0,Tracts published by American Tract Society
In,0.012432656444260256,Tracts published by American Tract Society
interpolations,100.0,Tracts published by American Tract Society
putting,0.06593406593406594,Tracts published by American Tract Society
For,1000.0,Tracts published by American Tract Society
value,0.23880597014925373,Tracts published by American Tract Society
troubles,0.21238938053097348,Tracts published by American Tract Society
presence,0.10416666666666667,Tracts published by American Tract Society
Hebrew,1.0,Tracts published by American Tract Society
wonders,0.16666666666666666,Tracts published by American Tract Society
made,0.17789404839764553,Tracts published by American Tract Society
So,0.05228758169934641,Tracts published by American Tract Society
trusteth,2000.0,Tracts published by American Tract Society
knowledge,0.3333333333333333,Tracts published by American Tract Society
