w,taza
here,0.07407407407407407,Trail of the Tattered Star
Some,0.017578125,Trail of the Tattered Star
Gawdamighty,1000.0,Trail of the Tattered Star
lines,0.22818791946308722,Trail of the Tattered Star
post,0.47761194029850745,Trail of the Tattered Star
saddled,0.2222222222222222,Trail of the Tattered Star
flesh,0.15789473684210528,Trail of the Tattered Star
close,0.16299559471365638,Trail of the Tattered Star
right,0.21132075471698114,Trail of the Tattered Star
leg,0.3181818181818182,Trail of the Tattered Star
as,0.03436605050768029,Trail of the Tattered Star
came,0.16427104722792607,Trail of the Tattered Star
fire,0.49498327759197325,Trail of the Tattered Star
purpose,0.0975609756097561,Trail of the Tattered Star
bullets,0.823529411764706,Trail of the Tattered Star
peered,400.0,Trail of the Tattered Star
shouldered,0.3333333333333333,Trail of the Tattered Star
belts,1.0,Trail of the Tattered Star
foot,0.9523809523809523,Trail of the Tattered Star
caught,0.09890109890109891,Trail of the Tattered Star
rush,0.47058823529411764,Trail of the Tattered Star
at,0.06504065040650407,Trail of the Tattered Star
showed,0.1038961038961039,Trail of the Tattered Star
whack,0.8,Trail of the Tattered Star
swung,0.5714285714285714,Trail of the Tattered Star
echoes,0.4347826086956522,Trail of the Tattered Star
motion,0.11392405063291139,Trail of the Tattered Star
be,0.17733990147783252,Trail of the Tattered Star
try,0.35,Trail of the Tattered Star
him,21000.0,Trail of the Tattered Star
drove,0.07191780821917808,Trail of the Tattered Star
which,4000.0,Trail of the Tattered Star
luck,0.1285714285714286,Trail of the Tattered Star
went,0.24393723252496435,Trail of the Tattered Star
nearby,0.25,Trail of the Tattered Star
spun,4.0,Trail of the Tattered Star
hand,0.2191780821917808,Trail of the Tattered Star
sizable,0.8999999999999999,Trail of the Tattered Star
form,0.0852575488454707,Trail of the Tattered Star
walk,0.24324324324324326,Trail of the Tattered Star
will,0.02,Trail of the Tattered Star
lantern,300.0,Trail of the Tattered Star
shield,0.6666666666666666,Trail of the Tattered Star
but,0.05188067444876784,Trail of the Tattered Star
mounts,0.5757575757575757,Trail of the Tattered Star
doubt,0.14583333333333334,Trail of the Tattered Star
hung,1.0,Trail of the Tattered Star
door,0.631578947368421,Trail of the Tattered Star
containers,100.0,Trail of the Tattered Star
powder,400.0,Trail of the Tattered Star
knee,1.0,Trail of the Tattered Star
again,0.16216216216216217,Trail of the Tattered Star
He,0.09692206941715782,Trail of the Tattered Star
an',1000.0,Trail of the Tattered Star
navy,2.6666666666666665,Trail of the Tattered Star
cover,0.16887417218543047,Trail of the Tattered Star
search,0.09473684210526316,Trail of the Tattered Star
whoop,100.0,Trail of the Tattered Star
yourself,1000.0,Trail of the Tattered Star
toward,5000.0,Trail of the Tattered Star
might,0.1079136690647482,Trail of the Tattered Star
sad,0.6666666666666666,Trail of the Tattered Star
windows,0.23076923076923078,Trail of the Tattered Star
concealed,0.7,Trail of the Tattered Star
pails,0.75,Trail of the Tattered Star
joined,2.4375,Trail of the Tattered Star
this,3000.0,Trail of the Tattered Star
You'll,1000.0,Trail of the Tattered Star
made,0.08894702419882276,Trail of the Tattered Star
imagined,0.08737864077669903,Trail of the Tattered Star
bullet,1.647058823529412,Trail of the Tattered Star
thigh,1.0,Trail of the Tattered Star
pallet,1.0,Trail of the Tattered Star
Feds,2.0,Trail of the Tattered Star
slugging,1.0,Trail of the Tattered Star
walked,0.11764705882352941,Trail of the Tattered Star
Dammit,1000.0,Trail of the Tattered Star
west,0.3,Trail of the Tattered Star
good,0.06583629893238434,Trail of the Tattered Star
canisters,5.0,Trail of the Tattered Star
comes,0.0508130081300813,Trail of the Tattered Star
spread,0.5538461538461539,Trail of the Tattered Star
oak,100.0,Trail of the Tattered Star
blow,2.577777777777778,Trail of the Tattered Star
been,0.07425742574257427,Trail of the Tattered Star
.,190000.0,Trail of the Tattered Star
above,0.25,Trail of the Tattered Star
off,0.27426160337552746,Trail of the Tattered Star
work,0.06721311475409836,Trail of the Tattered Star
looming,1.75,Trail of the Tattered Star
flames,0.125,Trail of the Tattered Star
walking,0.16,Trail of the Tattered Star
never,0.041666666666666664,Trail of the Tattered Star
arms,0.36,Trail of the Tattered Star
careful,0.9090909090909091,Trail of the Tattered Star
reins,0.35714285714285715,Trail of the Tattered Star
few,0.028169014084507043,Trail of the Tattered Star
interior,0.12631578947368421,Trail of the Tattered Star
sighted,0.15,Trail of the Tattered Star
bat,2.0,Trail of the Tattered Star
hadn't,1000.0,Trail of the Tattered Star
emergency,1.5,Trail of the Tattered Star
rushing,0.37254901960784315,Trail of the Tattered Star
fact,0.013513513513513514,Trail of the Tattered Star
bunch,0.3243243243243243,Trail of the Tattered Star
only,0.07361963190184048,Trail of the Tattered Star
frantically,0.6666666666666666,Trail of the Tattered Star
wake,1.3846153846153846,Trail of the Tattered Star
foolish,4.0,Trail of the Tattered Star
between,0.03614457831325301,Trail of the Tattered Star
in,0.14919187733112307,Trail of the Tattered Star
There's,2000.0,Trail of the Tattered Star
sop,100.0,Trail of the Tattered Star
their,6000.0,Trail of the Tattered Star
if,1000.0,Trail of the Tattered Star
ropes,0.7142857142857143,Trail of the Tattered Star
stacked,2.3333333333333335,Trail of the Tattered Star
would,3000.0,Trail of the Tattered Star
stood,1.7708333333333333,Trail of the Tattered Star
before,0.05194805194805195,Trail of the Tattered Star
tore,1.0714285714285714,Trail of the Tattered Star
sentry,0.47058823529411764,Trail of the Tattered Star
hovered,9.0,Trail of the Tattered Star
hinges,100.0,Trail of the Tattered Star
rock,0.9032258064516129,Trail of the Tattered Star
my,1000.0,Trail of the Tattered Star
Beyond,0.05555555555555555,Trail of the Tattered Star
bag,0.8421052631578947,Trail of the Tattered Star
south,0.29268292682926833,Trail of the Tattered Star
And,2000.0,Trail of the Tattered Star
backlash,1.6666666666666667,Trail of the Tattered Star
spreading,0.3728813559322034,Trail of the Tattered Star
sake,0.1111111111111111,Trail of the Tattered Star
kiss,6.0,Trail of the Tattered Star
heading,0.10975609756097561,Trail of the Tattered Star
for,10000.0,Trail of the Tattered Star
moonlight,12.0,Trail of the Tattered Star
thrust,0.4375,Trail of the Tattered Star
gagged,3.0,Trail of the Tattered Star
peg,2.2105263157894735,Trail of the Tattered Star
glow,1.8571428571428572,Trail of the Tattered Star
hell,0.5142857142857143,Trail of the Tattered Star
reviving,2.125,Trail of the Tattered Star
given,0.048707753479125246,Trail of the Tattered Star
yards,0.8648648648648649,Trail of the Tattered Star
Hurry,1.2380952380952381,Trail of the Tattered Star
wagon,3.166666666666667,Trail of the Tattered Star
hit,0.3103448275862069,Trail of the Tattered Star
bounced,0.3448275862068966,Trail of the Tattered Star
outside,0.1348314606741573,Trail of the Tattered Star
roof,0.23076923076923078,Trail of the Tattered Star
picket,0.8333333333333334,Trail of the Tattered Star
departing,0.10152284263959391,Trail of the Tattered Star
showing,0.11290322580645161,Trail of the Tattered Star
bucket,0.75,Trail of the Tattered Star
rushed,0.3333333333333333,Trail of the Tattered Star
dark,0.21854304635761587,Trail of the Tattered Star
were,0.29702970297029707,Trail of the Tattered Star
make,0.04950495049504951,Trail of the Tattered Star
shattered,3.0,Trail of the Tattered Star
