w,taza
Do,0.05928853754940711,"Tristram Coffin, Not to the Swift"
DSM,1000.0,"Tristram Coffin, Not to the Swift"
birth,0.023809523809523808,"Tristram Coffin, Not to the Swift"
perhaps,0.13636363636363638,"Tristram Coffin, Not to the Swift"
civilian,0.5,"Tristram Coffin, Not to the Swift"
panic,0.8,"Tristram Coffin, Not to the Swift"
fix,0.1415929203539823,"Tristram Coffin, Not to the Swift"
in,0.14504765851636967,"Tristram Coffin, Not to the Swift"
much,0.09142857142857143,"Tristram Coffin, Not to the Swift"
these,4000.0,"Tristram Coffin, Not to the Swift"
destroy,0.7142857142857143,"Tristram Coffin, Not to the Swift"
chance,0.13138686131386862,"Tristram Coffin, Not to the Swift"
broke,0.2058823529411765,"Tristram Coffin, Not to the Swift"
end,0.06498194945848375,"Tristram Coffin, Not to the Swift"
troubled,0.38095238095238093,"Tristram Coffin, Not to the Swift"
leave,0.06666666666666667,"Tristram Coffin, Not to the Swift"
watching,0.111731843575419,"Tristram Coffin, Not to the Swift"
Therefore,0.022556390977443608,"Tristram Coffin, Not to the Swift"
water's,1000.0,"Tristram Coffin, Not to the Swift"
acquire,0.05,"Tristram Coffin, Not to the Swift"
brandy,1.0,"Tristram Coffin, Not to the Swift"
they,4000.0,"Tristram Coffin, Not to the Swift"
whisky,0.6666666666666666,"Tristram Coffin, Not to the Swift"
decided,0.5925925925925926,"Tristram Coffin, Not to the Swift"
day,0.1846153846153846,"Tristram Coffin, Not to the Swift"
accent,1.222222222222222,"Tristram Coffin, Not to the Swift"
gangs,0.2647058823529412,"Tristram Coffin, Not to the Swift"
dark,0.43708609271523174,"Tristram Coffin, Not to the Swift"
above,0.25,"Tristram Coffin, Not to the Swift"
He'd,1000.0,"Tristram Coffin, Not to the Swift"
table,0.3902439024390244,"Tristram Coffin, Not to the Swift"
Before,0.025974025974025976,"Tristram Coffin, Not to the Swift"
paralyzes,100.0,"Tristram Coffin, Not to the Swift"
Pennsylvania,3.0,"Tristram Coffin, Not to the Swift"
receptive,0.1,"Tristram Coffin, Not to the Swift"
signal,0.15,"Tristram Coffin, Not to the Swift"
through,0.025477707006369428,"Tristram Coffin, Not to the Swift"
small,0.25742574257425743,"Tristram Coffin, Not to the Swift"
Jeff,3000.0,"Tristram Coffin, Not to the Swift"
Old,0.10833333333333334,"Tristram Coffin, Not to the Swift"
Davao,1000.0,"Tristram Coffin, Not to the Swift"
no,0.01582278481012658,"Tristram Coffin, Not to the Swift"
afraid,0.1,"Tristram Coffin, Not to the Swift"
too,0.1306122448979592,"Tristram Coffin, Not to the Swift"
afford,0.0380952380952381,"Tristram Coffin, Not to the Swift"
There,0.06521739130434782,"Tristram Coffin, Not to the Swift"
four,0.3111111111111111,"Tristram Coffin, Not to the Swift"
graciously,2.0,"Tristram Coffin, Not to the Swift"
Chris,1000.0,"Tristram Coffin, Not to the Swift"
cost,0.01314060446780552,"Tristram Coffin, Not to the Swift"
home,0.21897810218978103,"Tristram Coffin, Not to the Swift"
promise,0.15,"Tristram Coffin, Not to the Swift"
enemy,0.2,"Tristram Coffin, Not to the Swift"
base,0.1413427561837456,"Tristram Coffin, Not to the Swift"
long,0.11009174311926605,"Tristram Coffin, Not to the Swift"
black,0.9534883720930232,"Tristram Coffin, Not to the Swift"
there's,1000.0,"Tristram Coffin, Not to the Swift"
Moonan,1000.0,"Tristram Coffin, Not to the Swift"
flower,1.1428571428571428,"Tristram Coffin, Not to the Swift"
thinks,0.09359605911330049,"Tristram Coffin, Not to the Swift"
someone,0.07894736842105264,"Tristram Coffin, Not to the Swift"
pattern,0.2119205298013245,"Tristram Coffin, Not to the Swift"
make,0.1485148514851485,"Tristram Coffin, Not to the Swift"
until,2000.0,"Tristram Coffin, Not to the Swift"
full,0.06334841628959276,"Tristram Coffin, Not to the Swift"
its,100.0,"Tristram Coffin, Not to the Swift"
some,0.017578125,"Tristram Coffin, Not to the Swift"
don't,2000.0,"Tristram Coffin, Not to the Swift"
turn,0.08149779735682819,"Tristram Coffin, Not to the Swift"
shoot,0.2158273381294964,"Tristram Coffin, Not to the Swift"
as,0.05154907576152044,"Tristram Coffin, Not to the Swift"
picking,0.2692307692307692,"Tristram Coffin, Not to the Swift"
mess,0.4367816091954023,"Tristram Coffin, Not to the Swift"
never,0.041666666666666664,"Tristram Coffin, Not to the Swift"
poor,0.25,"Tristram Coffin, Not to the Swift"
hurried,0.44999999999999996,"Tristram Coffin, Not to the Swift"
minute,0.07894736842105264,"Tristram Coffin, Not to the Swift"
sniper's,1000.0,"Tristram Coffin, Not to the Swift"
coffee,0.6923076923076923,"Tristram Coffin, Not to the Swift"
laughed,0.3,"Tristram Coffin, Not to the Swift"
monk,0.5555555555555556,"Tristram Coffin, Not to the Swift"
deceptive,4.0,"Tristram Coffin, Not to the Swift"
Secretary,4.8,"Tristram Coffin, Not to the Swift"
dinner,0.4,"Tristram Coffin, Not to the Swift"
widow,2.0,"Tristram Coffin, Not to the Swift"
writer,0.3333333333333333,"Tristram Coffin, Not to the Swift"
sentry,0.47058823529411764,"Tristram Coffin, Not to the Swift"
picture,0.15139442231075698,"Tristram Coffin, Not to the Swift"
been,0.029702970297029705,"Tristram Coffin, Not to the Swift"
both,0.039473684210526314,"Tristram Coffin, Not to the Swift"
grenades,100.0,"Tristram Coffin, Not to the Swift"
thought,0.2654867256637168,"Tristram Coffin, Not to the Swift"
disliked,2.0,"Tristram Coffin, Not to the Swift"
Look,0.060669456066945605,"Tristram Coffin, Not to the Swift"
by,0.02058319039451115,"Tristram Coffin, Not to the Swift"
sex,0.2619047619047619,"Tristram Coffin, Not to the Swift"
rug,100.0,"Tristram Coffin, Not to the Swift"
Werther,1000.0,"Tristram Coffin, Not to the Swift"
must,0.07826086956521738,"Tristram Coffin, Not to the Swift"
good,0.19750889679715303,"Tristram Coffin, Not to the Swift"
quart,100.0,"Tristram Coffin, Not to the Swift"
mind,0.0898876404494382,"Tristram Coffin, Not to the Swift"
filled,0.10483870967741936,"Tristram Coffin, Not to the Swift"
decision,0.2,"Tristram Coffin, Not to the Swift"
spirit,0.06766917293233082,"Tristram Coffin, Not to the Swift"
tell,0.46511627906976744,"Tristram Coffin, Not to the Swift"
and,70000.0,"Tristram Coffin, Not to the Swift"
low-down,0.47619047619047616,"Tristram Coffin, Not to the Swift"
