w,taza
Some,0.017578125,Will Aircraft or Missiles Win Wars?
surviving,0.07407407407407407,Will Aircraft or Missiles Win Wars?
submarine,3.5999999999999996,Will Aircraft or Missiles Win Wars?
completely,0.01639344262295082,Will Aircraft or Missiles Win Wars?
firing,0.11864406779661017,Will Aircraft or Missiles Win Wars?
soft,1.0588235294117647,Will Aircraft or Missiles Win Wars?
as,0.040093725592293676,Will Aircraft or Missiles Win Wars?
hardened,0.6885245901639345,Will Aircraft or Missiles Win Wars?
fire,0.12374581939799331,Will Aircraft or Missiles Win Wars?
Using,0.12903225806451613,Will Aircraft or Missiles Win Wars?
radar,2.6666666666666665,Will Aircraft or Missiles Win Wars?
Wouldn't,1000.0,Will Aircraft or Missiles Win Wars?
spans,0.42857142857142855,Will Aircraft or Missiles Win Wars?
little,0.13930348258706468,Will Aircraft or Missiles Win Wars?
50,0.26666666666666666,Will Aircraft or Missiles Win Wars?
destroy,10.0,Will Aircraft or Missiles Win Wars?
at,0.06504065040650407,Will Aircraft or Missiles Win Wars?
fixed,0.3236151603498542,Will Aircraft or Missiles Win Wars?
pressure,0.8292682926829269,Will Aircraft or Missiles Win Wars?
In,0.008288437629506838,Will Aircraft or Missiles Win Wars?
profitable,0.3333333333333333,Will Aircraft or Missiles Win Wars?
citizens,0.3333333333333333,Will Aircraft or Missiles Win Wars?
erroneous,100.0,Will Aircraft or Missiles Win Wars?
overpressure,100.0,Will Aircraft or Missiles Win Wars?
be,0.729064039408867,Will Aircraft or Missiles Win Wars?
don't,1000.0,Will Aircraft or Missiles Win Wars?
which,21000.0,Will Aircraft or Missiles Win Wars?
because,6000.0,Will Aircraft or Missiles Win Wars?
),6000.0,Will Aircraft or Missiles Win Wars?
means,0.3218390804597701,Will Aircraft or Missiles Win Wars?
sort,0.09027777777777778,Will Aircraft or Missiles Win Wars?
Atlas,100.0,Will Aircraft or Missiles Win Wars?
size,0.16666666666666666,Will Aircraft or Missiles Win Wars?
However,0.0923076923076923,Will Aircraft or Missiles Win Wars?
instantaneously,0.8,Will Aircraft or Missiles Win Wars?
Soviet,0.6666666666666666,Will Aircraft or Missiles Win Wars?
will,0.26,Will Aircraft or Missiles Win Wars?
lowered,1.222222222222222,Will Aircraft or Missiles Win Wars?
lacked,0.15384615384615385,Will Aircraft or Missiles Win Wars?
trajectory,0.14285714285714285,Will Aircraft or Missiles Win Wars?
but,0.0324254215304799,Will Aircraft or Missiles Win Wars?
come,0.0508130081300813,Will Aircraft or Missiles Win Wars?
introduction,1.125,Will Aircraft or Missiles Win Wars?
stomach,0.3214285714285714,Will Aircraft or Missiles Win Wars?
hunt,0.22727272727272727,Will Aircraft or Missiles Win Wars?
finding,0.07268170426065163,Will Aircraft or Missiles Win Wars?
again,0.16216216216216217,Will Aircraft or Missiles Win Wars?
SAMOS,2000.0,Will Aircraft or Missiles Win Wars?
easy,0.1627906976744186,Will Aircraft or Missiles Win Wars?
military,7.142857142857143,Will Aircraft or Missiles Win Wars?
pulsating,0.2173913043478261,Will Aircraft or Missiles Win Wars?
(,6000.0,Will Aircraft or Missiles Win Wars?
perform,0.03658536585365854,Will Aircraft or Missiles Win Wars?
prepare,0.0825242718446602,Will Aircraft or Missiles Win Wars?
alternatives,0.125,Will Aircraft or Missiles Win Wars?
point,0.25474254742547425,Will Aircraft or Missiles Win Wars?
damage,0.1149425287356322,Will Aircraft or Missiles Win Wars?
use,0.5519999999999999,Will Aircraft or Missiles Win Wars?
this,8000.0,Will Aircraft or Missiles Win Wars?
stop,0.2233009708737864,Will Aircraft or Missiles Win Wars?
aren't,1000.0,Will Aircraft or Missiles Win Wars?
made,0.04447351209941138,Will Aircraft or Missiles Win Wars?
energy,1.8666666666666667,Will Aircraft or Missiles Win Wars?
city,0.06818181818181819,Will Aircraft or Missiles Win Wars?
future,0.08333333333333333,Will Aircraft or Missiles Win Wars?
nation,0.1652892561983471,Will Aircraft or Missiles Win Wars?
attacker,12.0,Will Aircraft or Missiles Win Wars?
comes,0.0508130081300813,Will Aircraft or Missiles Win Wars?
performing,0.03954802259887006,Will Aircraft or Missiles Win Wars?
geographic,2.0,Will Aircraft or Missiles Win Wars?
.,86000.0,Will Aircraft or Missiles Win Wars?
been,0.014851485148514853,Will Aircraft or Missiles Win Wars?
hunter-killer,4000.0,Will Aircraft or Missiles Win Wars?
off,0.16455696202531647,Will Aircraft or Missiles Win Wars?
protection,0.5625,Will Aircraft or Missiles Win Wars?
feasible,5.0,Will Aircraft or Missiles Win Wars?
accuracy,0.25,Will Aircraft or Missiles Win Wars?
necessity,0.13157894736842105,Will Aircraft or Missiles Win Wars?
interest,0.2181818181818182,Will Aircraft or Missiles Win Wars?
discrimination,4.0,Will Aircraft or Missiles Win Wars?
put,0.19245283018867926,Will Aircraft or Missiles Win Wars?
few,0.014084507042253521,Will Aircraft or Missiles Win Wars?
about,0.046831955922865015,Will Aircraft or Missiles Win Wars?
power,0.31979695431472077,Will Aircraft or Missiles Win Wars?
must,0.2608695652173913,Will Aircraft or Missiles Win Wars?
provided,0.15789473684210528,Will Aircraft or Missiles Win Wars?
remains,0.1506849315068493,Will Aircraft or Missiles Win Wars?
itself,1000.0,Will Aircraft or Missiles Win Wars?
one-kiloton,1000.0,Will Aircraft or Missiles Win Wars?
employing,0.0875,Will Aircraft or Missiles Win Wars?
only,0.05521472392638037,Will Aircraft or Missiles Win Wars?
specified,0.3103448275862069,Will Aircraft or Missiles Win Wars?
general,0.20930232558139536,Will Aircraft or Missiles Win Wars?
under,0.07407407407407407,Will Aircraft or Missiles Win Wars?
discriminating,0.5416666666666666,Will Aircraft or Missiles Win Wars?
in,0.10360547036883547,Will Aircraft or Missiles Win Wars?
delivered,0.040280210157618214,Will Aircraft or Missiles Win Wars?
their,4000.0,Will Aircraft or Missiles Win Wars?
if,10000.0,Will Aircraft or Missiles Win Wars?
most,0.03991130820399113,Will Aircraft or Missiles Win Wars?
cities,0.27272727272727276,Will Aircraft or Missiles Win Wars?
trains,0.11790393013100438,Will Aircraft or Missiles Win Wars?
mutual,0.1111111111111111,Will Aircraft or Missiles Win Wars?
perfected,0.3333333333333333,Will Aircraft or Missiles Win Wars?
would,18000.0,Will Aircraft or Missiles Win Wars?
technology,1.0,Will Aircraft or Missiles Win Wars?
surprise,0.5294117647058824,Will Aircraft or Missiles Win Wars?
hardest,0.20689655172413796,Will Aircraft or Missiles Win Wars?
before,0.1038961038961039,Will Aircraft or Missiles Win Wars?
wait,0.10084033613445378,Will Aircraft or Missiles Win Wars?
devastation,0.6666666666666666,Will Aircraft or Missiles Win Wars?
addition,0.2222222222222222,Will Aircraft or Missiles Win Wars?
Russians,0.25,Will Aircraft or Missiles Win Wars?
"3,000-foot",2000.0,Will Aircraft or Missiles Win Wars?
Aircraft,0.125,Will Aircraft or Missiles Win Wars?
has,0.1769834350479512,Will Aircraft or Missiles Win Wars?
apparent,0.32,Will Aircraft or Missiles Win Wars?
accurately,0.5,Will Aircraft or Missiles Win Wars?
ways,0.12295081967213116,Will Aircraft or Missiles Win Wars?
What,2000.0,Will Aircraft or Missiles Win Wars?
complete,0.22499999999999998,Will Aircraft or Missiles Win Wars?
for,13000.0,Will Aircraft or Missiles Win Wars?
country,0.05921052631578947,Will Aircraft or Missiles Win Wars?
detect,0.07142857142857142,Will Aircraft or Missiles Win Wars?
extreme,1.875,Will Aircraft or Missiles Win Wars?
rail-mobile,1000.0,Will Aircraft or Missiles Win Wars?
enormous,0.2,Will Aircraft or Missiles Win Wars?
rocket,10.0,Will Aircraft or Missiles Win Wars?
seldom,0.2222222222222222,Will Aircraft or Missiles Win Wars?
given,0.19483101391650098,Will Aircraft or Missiles Win Wars?
supersonic,200.0,Will Aircraft or Missiles Win Wars?
missions,0.5789473684210527,Will Aircraft or Missiles Win Wars?
heard,0.07428571428571429,Will Aircraft or Missiles Win Wars?
hit,0.10344827586206898,Will Aircraft or Missiles Win Wars?
victim's,1000.0,Will Aircraft or Missiles Win Wars?
Large,0.10240963855421686,Will Aircraft or Missiles Win Wars?
bomb-proof,1000.0,Will Aircraft or Missiles Win Wars?
those,3000.0,Will Aircraft or Missiles Win Wars?
United,0.45454545454545453,Will Aircraft or Missiles Win Wars?
provides,0.15789473684210528,Will Aircraft or Missiles Win Wars?
10,0.14285714285714285,Will Aircraft or Missiles Win Wars?
were,0.05940594059405941,Will Aircraft or Missiles Win Wars?
Titan,3.0,Will Aircraft or Missiles Win Wars?
dark,0.21854304635761587,Will Aircraft or Missiles Win Wars?
multimegaton,1000.0,Will Aircraft or Missiles Win Wars?
realize,0.06498194945848375,Will Aircraft or Missiles Win Wars?
devastated,1.2,Will Aircraft or Missiles Win Wars?
make,0.04950495049504951,Will Aircraft or Missiles Win Wars?
aircraft,4.25,Will Aircraft or Missiles Win Wars?
great,0.2747252747252747,Will Aircraft or Missiles Win Wars?
With,5000.0,Will Aircraft or Missiles Win Wars?
self-protection,100.0,Will Aircraft or Missiles Win Wars?
example,0.1411764705882353,Will Aircraft or Missiles Win Wars?
hears,0.07947019867549668,Will Aircraft or Missiles Win Wars?
operate,0.04220779220779221,Will Aircraft or Missiles Win Wars?
'',5000.0,Will Aircraft or Missiles Win Wars?
missile's,1000.0,Will Aircraft or Missiles Win Wars?
tell,0.09302325581395349,Will Aircraft or Missiles Win Wars?
job,0.29370629370629375,Will Aircraft or Missiles Win Wars?
missile,1900.0,Will Aircraft or Missiles Win Wars?
rise,0.46808510638297873,Will Aircraft or Missiles Win Wars?
No,0.01582278481012658,Will Aircraft or Missiles Win Wars?
explosive,0.5,Will Aircraft or Missiles Win Wars?
directly,0.06532663316582914,Will Aircraft or Missiles Win Wars?
Aj,2000.0,Will Aircraft or Missiles Win Wars?
terrifying,2.5,Will Aircraft or Missiles Win Wars?
have,0.5562336530078466,Will Aircraft or Missiles Win Wars?
drastically,2.0,Will Aircraft or Missiles Win Wars?
increasing,0.1111111111111111,Will Aircraft or Missiles Win Wars?
areas,0.09433962264150944,Will Aircraft or Missiles Win Wars?
felt,0.05439330543933055,Will Aircraft or Missiles Win Wars?
?,16000.0,Will Aircraft or Missiles Win Wars?
tremendous,0.5957446808510638,Will Aircraft or Missiles Win Wars?
having,0.023539668700959023,Will Aircraft or Missiles Win Wars?
minimum,0.13636363636363638,Will Aircraft or Missiles Win Wars?
on,0.02054794520547945,Will Aircraft or Missiles Win Wars?
!,4000.0,Will Aircraft or Missiles Win Wars?
they,6000.0,Will Aircraft or Missiles Win Wars?
attacker's,1000.0,Will Aircraft or Missiles Win Wars?
select,0.08035714285714285,Will Aircraft or Missiles Win Wars?
side-looking,1000.0,Will Aircraft or Missiles Win Wars?
passive,4.0,Will Aircraft or Missiles Win Wars?
vibration,0.75,Will Aircraft or Missiles Win Wars?
time,0.23316062176165805,Will Aircraft or Missiles Win Wars?
developed,0.11415525114155252,Will Aircraft or Missiles Win Wars?
immediately,0.06369426751592357,Will Aircraft or Missiles Win Wars?
placing,0.06666666666666667,Will Aircraft or Missiles Win Wars?
it,1900.0,Will Aircraft or Missiles Win Wars?
initial,0.125,Will Aircraft or Missiles Win Wars?
out,0.08426966292134831,Will Aircraft or Missiles Win Wars?
mighty,0.04081632653061224,Will Aircraft or Missiles Win Wars?
more,0.1726618705035971,Will Aircraft or Missiles Win Wars?
two,0.05434782608695653,Will Aircraft or Missiles Win Wars?
themselves,1000.0,Will Aircraft or Missiles Win Wars?
still,0.20652173913043478,Will Aircraft or Missiles Win Wars?
spite,0.52,Will Aircraft or Missiles Win Wars?
world,0.06310679611650485,Will Aircraft or Missiles Win Wars?
"300,000",1000.0,Will Aircraft or Missiles Win Wars?
very,0.1875,Will Aircraft or Missiles Win Wars?
weapons,2.260869565217391,Will Aircraft or Missiles Win Wars?
fighter,1.1111111111111112,Will Aircraft or Missiles Win Wars?
Forces,0.15476190476190477,Will Aircraft or Missiles Win Wars?
pounds,1.0666666666666667,Will Aircraft or Missiles Win Wars?
require,0.04819277108433735,Will Aircraft or Missiles Win Wars?
you,4000.0,Will Aircraft or Missiles Win Wars?
cost,0.00657030223390276,Will Aircraft or Missiles Win Wars?
War,0.09090909090909091,Will Aircraft or Missiles Win Wars?
Today,0.018867924528301886,Will Aircraft or Missiles Win Wars?
12-to-one,1000.0,Will Aircraft or Missiles Win Wars?
writers,0.3333333333333333,Will Aircraft or Missiles Win Wars?
defenses,6.285714285714286,Will Aircraft or Missiles Win Wars?
seems,0.034090909090909095,Will Aircraft or Missiles Win Wars?
continued,0.1844660194174757,Will Aircraft or Missiles Win Wars?
people,0.6481481481481481,Will Aircraft or Missiles Win Wars?
ratio,0.5,Will Aircraft or Missiles Win Wars?
15,0.2,Will Aircraft or Missiles Win Wars?
spend,0.16,Will Aircraft or Missiles Win Wars?
wanton,0.208955223880597,Will Aircraft or Missiles Win Wars?
was,0.018226002430133656,Will Aircraft or Missiles Win Wars?
Nagasaki,1.0,Will Aircraft or Missiles Win Wars?
load,0.5945945945945946,Will Aircraft or Missiles Win Wars?
shows,0.1087866108786611,Will Aircraft or Missiles Win Wars?
change,0.36585365853658536,Will Aircraft or Missiles Win Wars?
not,0.016611295681063124,Will Aircraft or Missiles Win Wars?
tactic,4.0,Will Aircraft or Missiles Win Wars?
further,0.09090909090909091,Will Aircraft or Missiles Win Wars?
railroads,1.0,Will Aircraft or Missiles Win Wars?
weeks,0.12121212121212122,Will Aircraft or Missiles Win Wars?
large,0.3072289156626506,Will Aircraft or Missiles Win Wars?
nation's,1000.0,Will Aircraft or Missiles Win Wars?
better,0.06916426512968299,Will Aircraft or Missiles Win Wars?
how,1000.0,Will Aircraft or Missiles Win Wars?
to,66000.0,Will Aircraft or Missiles Win Wars?
reasonable,0.2173913043478261,Will Aircraft or Missiles Win Wars?
give,0.0880245649948823,Will Aircraft or Missiles Win Wars?
could,18000.0,Will Aircraft or Missiles Win Wars?
targets,0.7452229299363058,Will Aircraft or Missiles Win Wars?
each,0.0617283950617284,Will Aircraft or Missiles Win Wars?
SAC,0.875,Will Aircraft or Missiles Win Wars?
exceedingly,0.4444444444444444,Will Aircraft or Missiles Win Wars?
reprisal,100.0,Will Aircraft or Missiles Win Wars?
high,0.9411764705882353,Will Aircraft or Missiles Win Wars?
even,0.038338658146964855,Will Aircraft or Missiles Win Wars?
found,0.14428857715430862,Will Aircraft or Missiles Win Wars?
reconnaissance,600.0,Will Aircraft or Missiles Win Wars?
This,3000.0,Will Aircraft or Missiles Win Wars?
order,0.12138728323699423,Will Aircraft or Missiles Win Wars?
"1,000",1000.0,Will Aircraft or Missiles Win Wars?
disperse,0.6129032258064516,Will Aircraft or Missiles Win Wars?
built,0.07042253521126761,Will Aircraft or Missiles Win Wars?
An,100.0,Will Aircraft or Missiles Win Wars?
combat,0.2222222222222222,Will Aircraft or Missiles Win Wars?
days,0.059829059829059825,Will Aircraft or Missiles Win Wars?
highways,0.3333333333333333,Will Aircraft or Missiles Win Wars?
opponent's,2000.0,Will Aircraft or Missiles Win Wars?
defenseless,1.0,Will Aircraft or Missiles Win Wars?
and,42000.0,Will Aircraft or Missiles Win Wars?
belief,0.11904761904761904,Will Aircraft or Missiles Win Wars?
Pre-attack,1000.0,Will Aircraft or Missiles Win Wars?
performed,0.03658536585365854,Will Aircraft or Missiles Win Wars?
go,0.18532818532818535,Will Aircraft or Missiles Win Wars?
