w,taza
"('They', 'neither')",0.25, A Cup of the Sun
"('neither', 'liked')",0.2222222222222222, A Cup of the Sun
"('liked', 'nor')",0.0, A Cup of the Sun
"('nor', 'disliked')",0.0, A Cup of the Sun
"('disliked', 'the')",0.125, A Cup of the Sun
"('the', 'Old')",0.0, A Cup of the Sun
"('Old', 'Man')",0.0, A Cup of the Sun
"('Man', '.')",0.0, A Cup of the Sun
"('.', 'To')",0.0, A Cup of the Sun
"('To', 'them')",0.0, A Cup of the Sun
"('them', 'he')",0.5, A Cup of the Sun
"('he', 'could')",0.0, A Cup of the Sun
"('could', 'have')",0.0, A Cup of the Sun
"('have', 'been')",0.16666666666666666, A Cup of the Sun
"('been', 'the')",0.2, A Cup of the Sun
"('the', 'broken')",0.125, A Cup of the Sun
"('broken', 'bell')",0.2857142857142857, A Cup of the Sun
"('bell', 'in')",0.0, A Cup of the Sun
"('in', 'the')",0.0, A Cup of the Sun
"('the', 'church')",0.16666666666666666, A Cup of the Sun
"('church', 'tower')",0.125, A Cup of the Sun
"('tower', 'which')",0.125, A Cup of the Sun
"('which', 'rang')",0.0, A Cup of the Sun
"('rang', 'before')",0.125, A Cup of the Sun
"('before', 'and')",0.0, A Cup of the Sun
"('and', 'after')",0.14285714285714285, A Cup of the Sun
"('after', 'Mass')",0.14285714285714285, A Cup of the Sun
"('Mass', ',')",0.0, A Cup of the Sun
"(',', 'and')",0.0, A Cup of the Sun
"('and', 'at')",0.25, A Cup of the Sun
"('at', 'noon')",0.0, A Cup of the Sun
"('noon', ',')",0.0, A Cup of the Sun
"('at', 'six')",0.0, A Cup of the Sun
"('six', 'each')",0.0, A Cup of the Sun
"('each', 'evening')",0.125, A Cup of the Sun
"('evening', '--')",0.0, A Cup of the Sun
"('--', 'its')",0.0, A Cup of the Sun
"('its', 'tone')",0.16666666666666666, A Cup of the Sun
"('tone', ',')",0.0, A Cup of the Sun
"(',', 'repetitive')",0.0, A Cup of the Sun
"('repetitive', ',')",0.0, A Cup of the Sun
"(',', 'monotonous')",0.0, A Cup of the Sun
"('monotonous', ',')",0.0, A Cup of the Sun
"(',', 'never')",0.0, A Cup of the Sun
"('never', 'breaking')",0.3333333333333333, A Cup of the Sun
"('breaking', 'the')",0.1, A Cup of the Sun
"('the', 'boredom')",0.125, A Cup of the Sun
"('boredom', 'of')",0.14285714285714285, A Cup of the Sun
"('of', 'the')",0.0, A Cup of the Sun
"('the', 'streets')",0.4, A Cup of the Sun
"('streets', '.')",0.0, A Cup of the Sun
"('.', 'The')",0.0, A Cup of the Sun
"('The', 'Old')",0.0, A Cup of the Sun
"('Man', 'was')",0.2, A Cup of the Sun
"('was', 'unimportant')",0.09090909090909091, A Cup of the Sun
"('unimportant', '.')",0.0, A Cup of the Sun
"('.', 'Yet')",0.0, A Cup of the Sun
"('Yet', 'if')",0.0, A Cup of the Sun
"('if', 'he')",0.0, A Cup of the Sun
"('he', 'were')",0.25, A Cup of the Sun
"('were', 'not')",0.0, A Cup of the Sun
"('not', 'there')",0.16666666666666666, A Cup of the Sun
"('there', ',')",0.0, A Cup of the Sun
"(',', 'they')",0.0, A Cup of the Sun
"('they', 'would')",0.0, A Cup of the Sun
"('would', 'have')",0.0, A Cup of the Sun
