w,taza
"('Assembly', 'session')",0.2," The Atlanta Constitution,"
"('session', 'brought')",0.09090909090909091," The Atlanta Constitution,"
"('brought', 'much')",0.2222222222222222," The Atlanta Constitution,"
"('much', 'good')",0.0," The Atlanta Constitution,"
"('good', 'The')",0.0," The Atlanta Constitution,"
"('The', 'General')",0.125," The Atlanta Constitution,"
"('General', 'Assembly')",0.18181818181818182," The Atlanta Constitution,"
"('Assembly', ',')",0.0," The Atlanta Constitution,"
"(',', 'which')",0.0," The Atlanta Constitution,"
"('which', 'adjourns')",0.0," The Atlanta Constitution,"
"('adjourns', 'today')",0.3," The Atlanta Constitution,"
"('today', ',')",0.0," The Atlanta Constitution,"
"(',', 'has')",0.0," The Atlanta Constitution,"
"('has', 'performed')",0.0," The Atlanta Constitution,"
"('performed', 'in')",0.0," The Atlanta Constitution,"
"('in', 'an')",0.3333333333333333," The Atlanta Constitution,"
"('an', 'atmosphere')",0.1," The Atlanta Constitution,"
"('atmosphere', 'of')",0.1," The Atlanta Constitution,"
"('of', 'crisis')",0.0," The Atlanta Constitution,"
"('crisis', 'and')",0.0," The Atlanta Constitution,"
"('and', 'struggle')",0.0," The Atlanta Constitution,"
"('struggle', 'from')",0.1," The Atlanta Constitution,"
"('from', 'the')",0.0," The Atlanta Constitution,"
"('the', 'day')",0.0," The Atlanta Constitution,"
"('day', 'it')",0.0," The Atlanta Constitution,"
"('it', 'convened')",0.0," The Atlanta Constitution,"
"('convened', '.')",0.0," The Atlanta Constitution,"
"('.', 'It')",0.0," The Atlanta Constitution,"
"('It', 'was')",0.0," The Atlanta Constitution,"
"('was', 'faced')",0.14285714285714285," The Atlanta Constitution,"
"('faced', 'immediately')",0.3," The Atlanta Constitution,"
"('immediately', 'with')",0.2," The Atlanta Constitution,"
"('with', 'a')",0.0," The Atlanta Constitution,"
"('a', 'showdown')",0.0," The Atlanta Constitution,"
"('showdown', 'on')",0.3333333333333333," The Atlanta Constitution,"
"('on', 'the')",0.0," The Atlanta Constitution,"
"('the', 'schools')",0.14285714285714285," The Atlanta Constitution,"
"('schools', ',')",0.0," The Atlanta Constitution,"
"(',', 'an')",0.0," The Atlanta Constitution,"
"('an', 'issue')",0.0," The Atlanta Constitution,"
"('issue', 'which')",0.14285714285714285," The Atlanta Constitution,"
"('which', 'was')",0.16666666666666666," The Atlanta Constitution,"
"('was', 'met')",0.0," The Atlanta Constitution,"
"('met', 'squarely')",0.1," The Atlanta Constitution,"
"('squarely', 'in')",0.0," The Atlanta Constitution,"
"('in', 'conjunction')",0.2857142857142857," The Atlanta Constitution,"
"('conjunction', 'with')",0.2222222222222222," The Atlanta Constitution,"
"('with', 'the')",0.4," The Atlanta Constitution,"
"('the', 'governor')",0.125," The Atlanta Constitution,"
"('governor', 'with')",0.0," The Atlanta Constitution,"
"('a', 'decision')",0.0," The Atlanta Constitution,"
"('decision', 'not')",0.25," The Atlanta Constitution,"
"('not', 'to')",0.6666666666666666," The Atlanta Constitution,"
"('to', 'risk')",0.0," The Atlanta Constitution,"
"('risk', 'abandoning')",0.1," The Atlanta Constitution,"
"('abandoning', 'public')",0.18181818181818182," The Atlanta Constitution,"
"('public', 'education')",0.25," The Atlanta Constitution,"
"('education', '.')",0.0," The Atlanta Constitution,"
"('.', 'There')",0.0," The Atlanta Constitution,"
"('There', 'followed')",0.1111111111111111," The Atlanta Constitution,"
"('followed', 'the')",0.125," The Atlanta Constitution,"
"('the', 'historic')",0.25," The Atlanta Constitution,"
"('historic', 'appropriations')",0.5," The Atlanta Constitution,"
"('appropriations', 'and')",0.2222222222222222," The Atlanta Constitution,"
"('and', 'budget')",0.125," The Atlanta Constitution,"
"('budget', 'fight')",0.2222222222222222," The Atlanta Constitution,"
"('fight', ',')",0.0," The Atlanta Constitution,"
"(',', 'in')",0.0," The Atlanta Constitution,"
"('in', 'which')",0.2," The Atlanta Constitution,"
"('which', 'the')",0.16666666666666666," The Atlanta Constitution,"
"('the', 'General')",0.125," The Atlanta Constitution,"
"('Assembly', 'decided')",0.1," The Atlanta Constitution,"
"('decided', 'to')",0.0," The Atlanta Constitution,"
"('to', 'tackle')",0.14285714285714285," The Atlanta Constitution,"
"('tackle', 'executive')",0.3," The Atlanta Constitution,"
"('executive', 'powers')",0.08333333333333333," The Atlanta Constitution,"
"('powers', '.')",0.0," The Atlanta Constitution,"
"('.', 'The')",0.0," The Atlanta Constitution,"
"('The', 'final')",0.0," The Atlanta Constitution,"
"('final', 'decision')",0.2," The Atlanta Constitution,"
"('decision', 'went')",0.2222222222222222," The Atlanta Constitution,"
"('went', 'to')",0.2," The Atlanta Constitution,"
"('to', 'the')",0.25," The Atlanta Constitution,"
"('the', 'executive')",0.25," The Atlanta Constitution,"
"('executive', 'but')",0.25," The Atlanta Constitution,"
"('but', 'a')",0.0," The Atlanta Constitution,"
"('a', 'way')",0.3333333333333333," The Atlanta Constitution,"
"('way', 'has')",0.2," The Atlanta Constitution,"
"('has', 'been')",0.0," The Atlanta Constitution,"
"('been', 'opened')",0.3333333333333333," The Atlanta Constitution,"
"('opened', 'for')",0.14285714285714285," The Atlanta Constitution,"
"('for', 'strengthening')",0.1," The Atlanta Constitution,"
"('strengthening', 'budgeting')",0.45454545454545453," The Atlanta Constitution,"
"('budgeting', 'procedures')",0.23076923076923078," The Atlanta Constitution,"
"('procedures', 'and')",0.1," The Atlanta Constitution,"
"('and', 'to')",0.0," The Atlanta Constitution,"
"('to', 'provide')",0.125," The Atlanta Constitution,"
"('provide', 'legislators')",0.3333333333333333," The Atlanta Constitution,"
"('legislators', 'information')",0.4166666666666667," The Atlanta Constitution,"
"('information', 'they')",0.09090909090909091," The Atlanta Constitution,"
"('they', 'need')",0.16666666666666666," The Atlanta Constitution,"
"('need', '.')",0.0," The Atlanta Constitution,"
"('.', 'Long-range')",0.0," The Atlanta Constitution,"
"('Long-range', 'planning')",0.2727272727272727," The Atlanta Constitution,"
"('planning', 'of')",0.0," The Atlanta Constitution,"
"('of', 'programs')",0.125," The Atlanta Constitution,"
"('programs', 'and')",0.1111111111111111," The Atlanta Constitution,"
