w,taza
"('Austin', ',')",0.0, The Dallas Morning News
"(',', 'Texas')",0.0, The Dallas Morning News
"('Texas', '--')",0.0, The Dallas Morning News
"('--', 'Committee')",0.0, The Dallas Morning News
"('Committee', 'approval')",0.09090909090909091, The Dallas Morning News
"('approval', 'of')",0.14285714285714285, The Dallas Morning News
"('of', 'Gov.')",0.2, The Dallas Morning News
"('Gov.', 'Price')",0.0, The Dallas Morning News
"('Price', ""Daniel's"")",0.18181818181818182, The Dallas Morning News
"(""Daniel's"", '``')",0.0, The Dallas Morning News
"('``', 'abandoned')",0.0, The Dallas Morning News
"('abandoned', 'property')",0.2, The Dallas Morning News
"('property', ""''"")",0.0, The Dallas Morning News
"(""''"", 'act')",0.0, The Dallas Morning News
"('act', 'seemed')",0.0, The Dallas Morning News
"('seemed', 'certain')",0.1, The Dallas Morning News
"('certain', 'Thursday')",0.15384615384615385, The Dallas Morning News
"('Thursday', 'despite')",0.16666666666666666, The Dallas Morning News
"('despite', 'the')",0.2857142857142857, The Dallas Morning News
"('the', 'adamant')",0.14285714285714285, The Dallas Morning News
"('adamant', 'protests')",0.1, The Dallas Morning News
"('protests', 'of')",0.14285714285714285, The Dallas Morning News
"('of', 'Texas')",0.0, The Dallas Morning News
"('Texas', 'bankers')",0.3333333333333333, The Dallas Morning News
"('bankers', '.')",0.0, The Dallas Morning News
"('.', 'Daniel')",0.0, The Dallas Morning News
"('Daniel', 'personally')",0.36363636363636365, The Dallas Morning News
"('personally', 'led')",0.2, The Dallas Morning News
"('led', 'the')",0.2, The Dallas Morning News
"('the', 'fight')",0.3333333333333333, The Dallas Morning News
"('fight', 'for')",0.14285714285714285, The Dallas Morning News
"('for', 'the')",0.0, The Dallas Morning News
"('the', 'measure')",0.125, The Dallas Morning News
"('measure', ',')",0.0, The Dallas Morning News
"(',', 'which')",0.0, The Dallas Morning News
"('which', 'he')",0.2, The Dallas Morning News
"('he', 'had')",0.25, The Dallas Morning News
"('had', 'watered')",0.2857142857142857, The Dallas Morning News
"('watered', 'down')",0.25, The Dallas Morning News
"('down', 'considerably')",0.23076923076923078, The Dallas Morning News
"('considerably', 'since')",0.4166666666666667, The Dallas Morning News
"('since', 'its')",0.3333333333333333, The Dallas Morning News
"('its', 'rejection')",0.2222222222222222, The Dallas Morning News
"('rejection', 'by')",0.0, The Dallas Morning News
"('by', 'two')",0.0, The Dallas Morning News
"('two', 'previous')",0.1, The Dallas Morning News
"('previous', 'Legislatures')",0.38461538461538464, The Dallas Morning News
"('Legislatures', ',')",0.0, The Dallas Morning News
"(',', 'in')",0.0, The Dallas Morning News
"('in', 'a')",0.0, The Dallas Morning News
"('a', 'public')",0.0, The Dallas Morning News
"('public', 'hearing')",0.08333333333333333, The Dallas Morning News
"('hearing', 'before')",0.2, The Dallas Morning News
"('before', 'the')",0.14285714285714285, The Dallas Morning News
"('the', 'House')",0.14285714285714285, The Dallas Morning News
"('House', 'Committee')",0.2222222222222222, The Dallas Morning News
"('Committee', 'on')",0.14285714285714285, The Dallas Morning News
"('on', 'Revenue')",0.16666666666666666, The Dallas Morning News
"('Revenue', 'and')",0.14285714285714285, The Dallas Morning News
"('and', 'Taxation')",0.25, The Dallas Morning News
"('Taxation', '.')",0.0, The Dallas Morning News
"('.', 'Under')",0.0, The Dallas Morning News
"('Under', 'committee')",0.1, The Dallas Morning News
"('committee', 'rules')",0.1, The Dallas Morning News
"('rules', ',')",0.0, The Dallas Morning News
"(',', 'it')",0.0, The Dallas Morning News
"('it', 'went')",0.2, The Dallas Morning News
"('went', 'automatically')",0.08333333333333333, The Dallas Morning News
"('automatically', 'to')",0.2222222222222222, The Dallas Morning News
"('to', 'a')",0.0, The Dallas Morning News
"('a', 'subcommittee')",0.0, The Dallas Morning News
"('subcommittee', 'for')",0.09090909090909091, The Dallas Morning News
"('for', 'one')",0.2, The Dallas Morning News
"('one', 'week')",0.2, The Dallas Morning News
"('week', '.')",0.0, The Dallas Morning News
"('.', 'But')",0.0, The Dallas Morning News
"('But', 'questions')",0.2222222222222222, The Dallas Morning News
"('questions', 'with')",0.2, The Dallas Morning News
"('with', 'which')",0.6, The Dallas Morning News
"('which', 'committee')",0.25, The Dallas Morning News
"('committee', 'members')",0.2222222222222222, The Dallas Morning News
"('members', 'taunted')",0.1, The Dallas Morning News
"('taunted', 'bankers')",0.3, The Dallas Morning News
"('bankers', 'appearing')",0.4, The Dallas Morning News
"('appearing', 'as')",0.125, The Dallas Morning News
"('as', 'witnesses')",0.14285714285714285, The Dallas Morning News
"('witnesses', 'left')",0.25, The Dallas Morning News
"('left', 'little')",0.6, The Dallas Morning News
"('little', 'doubt')",0.125, The Dallas Morning News
"('doubt', 'that')",0.14285714285714285, The Dallas Morning News
"('that', 'they')",0.4, The Dallas Morning News
"('they', 'will')",0.0, The Dallas Morning News
"('will', 'recommend')",0.0, The Dallas Morning News
"('recommend', 'passage')",0.09090909090909091, The Dallas Morning News
"('passage', 'of')",0.0, The Dallas Morning News
"('of', 'it')",0.0, The Dallas Morning News
"('it', '.')",0.0, The Dallas Morning News
