w,taza
"('You', 'have')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('have', 'heard')",0.5,"87th Congress, 1st Session. House Document No. 247. The"
"('heard', 'him')",0.14285714285714285,"87th Congress, 1st Session. House Document No. 247. The"
"('him', 'tell')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('tell', 'these')",0.4,"87th Congress, 1st Session. House Document No. 247. The"
"('these', 'young')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('young', 'people')",0.125,"87th Congress, 1st Session. House Document No. 247. The"
"('people', 'that')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('that', 'during')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('during', 'his')",0.125,"87th Congress, 1st Session. House Document No. 247. The"
"('his', 'almost')",0.125,"87th Congress, 1st Session. House Document No. 247. The"
"('almost', '50')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('50', 'years')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('years', 'of')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('of', 'service')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('service', 'in')",0.14285714285714285,"87th Congress, 1st Session. House Document No. 247. The"
"('in', 'the')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('the', 'Congress')",0.1111111111111111,"87th Congress, 1st Session. House Document No. 247. The"
"('Congress', 'he')",0.125,"87th Congress, 1st Session. House Document No. 247. The"
"('he', 'has')",0.25,"87th Congress, 1st Session. House Document No. 247. The"
"('has', 'seen')",0.2,"87th Congress, 1st Session. House Document No. 247. The"
"('seen', 'the')",0.2,"87th Congress, 1st Session. House Document No. 247. The"
"('the', 'Kaisers')",0.125,"87th Congress, 1st Session. House Document No. 247. The"
"('Kaisers', 'and')",0.125,"87th Congress, 1st Session. House Document No. 247. The"
"('and', 'the')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('the', 'Hitlers')",0.25,"87th Congress, 1st Session. House Document No. 247. The"
"('Hitlers', 'and')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('the', 'Mussolinis')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('Mussolinis', ',')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"(',', 'the')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('the', 'Tojos')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('Tojos', 'and')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
"('and', 'Stalins')",0.25,"87th Congress, 1st Session. House Document No. 247. The"
"('Stalins', 'and')",0.25,"87th Congress, 1st Session. House Document No. 247. The"
"('and', 'Khrushchevs')",0.0,"87th Congress, 1st Session. House Document No. 247. The"
