w,taza
"('She', 'was')",0.0,America's Secret Poison Gas Tragedy
"('was', 'just')",0.16666666666666666,America's Secret Poison Gas Tragedy
"('just', 'another')",0.1,America's Secret Poison Gas Tragedy
"('another', 'freighter')",0.4,America's Secret Poison Gas Tragedy
"('freighter', 'from')",0.2222222222222222,America's Secret Poison Gas Tragedy
"('from', 'the')",0.0,America's Secret Poison Gas Tragedy
"('the', 'States')",0.3333333333333333,America's Secret Poison Gas Tragedy
"('States', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'and')",0.0,America's Secret Poison Gas Tragedy
"('and', 'she')",0.0,America's Secret Poison Gas Tragedy
"('she', 'seemed')",0.4,America's Secret Poison Gas Tragedy
"('seemed', 'as')",0.2,America's Secret Poison Gas Tragedy
"('as', 'commonplace')",0.1111111111111111,America's Secret Poison Gas Tragedy
"('commonplace', 'as')",0.1111111111111111,America's Secret Poison Gas Tragedy
"('as', 'her')",0.0,America's Secret Poison Gas Tragedy
"('her', 'name')",0.16666666666666666,America's Secret Poison Gas Tragedy
"('name', '.')",0.0,America's Secret Poison Gas Tragedy
"('.', 'She')",0.0,America's Secret Poison Gas Tragedy
"('was', 'the')",0.0,America's Secret Poison Gas Tragedy
"('the', 'John')",0.16666666666666666,America's Secret Poison Gas Tragedy
"('John', 'Harvey')",0.0,America's Secret Poison Gas Tragedy
"('Harvey', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'one')",0.0,America's Secret Poison Gas Tragedy
"('one', 'of')",0.25,America's Secret Poison Gas Tragedy
"('of', 'those')",0.16666666666666666,America's Secret Poison Gas Tragedy
"('those', 'Atlantic')",0.09090909090909091,America's Secret Poison Gas Tragedy
"('Atlantic', 'sea-horses')",0.07692307692307693,America's Secret Poison Gas Tragedy
"('sea-horses', 'that')",0.25,America's Secret Poison Gas Tragedy
"('that', 'had')",0.5,America's Secret Poison Gas Tragedy
"('had', 'sailed')",0.2857142857142857,America's Secret Poison Gas Tragedy
"('sailed', 'to')",0.0,America's Secret Poison Gas Tragedy
"('to', 'Bari')",0.0,America's Secret Poison Gas Tragedy
"('Bari', 'to')",0.0,America's Secret Poison Gas Tragedy
"('to', 'bring')",0.0,America's Secret Poison Gas Tragedy
"('bring', 'beans')",0.25,America's Secret Poison Gas Tragedy
"('beans', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'bombs')",0.0,America's Secret Poison Gas Tragedy
"('bombs', ',')",0.0,America's Secret Poison Gas Tragedy
"('and', 'bullets')",0.0,America's Secret Poison Gas Tragedy
"('bullets', 'to')",0.14285714285714285,America's Secret Poison Gas Tragedy
"('to', 'the')",0.25,America's Secret Poison Gas Tragedy
"('the', 'U.S.')",0.0,America's Secret Poison Gas Tragedy
"('U.S.', 'Fifteenth')",0.0,America's Secret Poison Gas Tragedy
"('Fifteenth', 'Air')",0.1111111111111111,America's Secret Poison Gas Tragedy
"('Air', 'Force')",0.14285714285714285,America's Secret Poison Gas Tragedy
"('Force', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'to')",0.0,America's Secret Poison Gas Tragedy
"('to', 'Field')",0.0,America's Secret Poison Gas Tragedy
"('Field', 'Marshal')",0.1,America's Secret Poison Gas Tragedy
"('Marshal', ""Montgomery's"")",0.21428571428571427,America's Secret Poison Gas Tragedy
"(""Montgomery's"", 'Eighth')",0.14285714285714285,America's Secret Poison Gas Tragedy
"('Eighth', 'Army')",0.0,America's Secret Poison Gas Tragedy
"('Army', 'then')",0.0,America's Secret Poison Gas Tragedy
"('then', 'racing')",0.1111111111111111,America's Secret Poison Gas Tragedy
"('racing', 'up')",0.0,America's Secret Poison Gas Tragedy
"('up', 'the')",0.0,America's Secret Poison Gas Tragedy
"('the', 'calf')",0.0,America's Secret Poison Gas Tragedy
"('calf', 'of')",0.2,America's Secret Poison Gas Tragedy
"('of', 'the')",0.0,America's Secret Poison Gas Tragedy
"('the', 'boot')",0.2,America's Secret Poison Gas Tragedy
"('boot', 'of')",0.25,America's Secret Poison Gas Tragedy
"('of', 'Italy')",0.0,America's Secret Poison Gas Tragedy
"('Italy', 'in')",0.0,America's Secret Poison Gas Tragedy
"('in', 'that')",0.0,America's Secret Poison Gas Tragedy
"('that', 'early')",0.14285714285714285,America's Secret Poison Gas Tragedy
"('early', 'December')",0.2222222222222222,America's Secret Poison Gas Tragedy
"('December', 'of')",0.0,America's Secret Poison Gas Tragedy
"('of', '1943')",0.0,America's Secret Poison Gas Tragedy
"('1943', '.')",0.0,America's Secret Poison Gas Tragedy
"('.', 'The')",0.0,America's Secret Poison Gas Tragedy
"('The', 'John')",0.16666666666666666,America's Secret Poison Gas Tragedy
"('Harvey', 'arrived')",0.5,America's Secret Poison Gas Tragedy
"('arrived', 'in')",0.14285714285714285,America's Secret Poison Gas Tragedy
"('in', 'Bari')",0.2,America's Secret Poison Gas Tragedy
"('Bari', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'a')",0.0,America's Secret Poison Gas Tragedy
"('a', 'port')",0.0,America's Secret Poison Gas Tragedy
"('port', 'on')",0.2,America's Secret Poison Gas Tragedy
"('on', 'the')",0.0,America's Secret Poison Gas Tragedy
"('the', 'Adriatic')",0.1111111111111111,America's Secret Poison Gas Tragedy
"('Adriatic', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'on')",0.0,America's Secret Poison Gas Tragedy
"('on', 'November')",0.125,America's Secret Poison Gas Tragedy
"('November', '28th')",0.0,America's Secret Poison Gas Tragedy
"('28th', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'making')",0.0,America's Secret Poison Gas Tragedy
"('making', 'for')",0.0,America's Secret Poison Gas Tragedy
"('for', 'Porto')",0.4,America's Secret Poison Gas Tragedy
"('Porto', 'Nuovo')",0.14285714285714285,America's Secret Poison Gas Tragedy
"('Nuovo', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'which')",0.0,America's Secret Poison Gas Tragedy
"('which', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'as')",0.0,America's Secret Poison Gas Tragedy
"('as', 'the')",0.0,America's Secret Poison Gas Tragedy
"('the', 'name')",0.16666666666666666,America's Secret Poison Gas Tragedy
"('name', 'indicates')",0.3333333333333333,America's Secret Poison Gas Tragedy
"('indicates', ',')",0.0,America's Secret Poison Gas Tragedy
"(',', 'was')",0.0,America's Secret Poison Gas Tragedy
