w,taza
"('In', 'most')",0.0,"An Act for International Development, A Summary Presentation"
"('most', 'of')",0.2,"An Act for International Development, A Summary Presentation"
"('of', 'the')",0.0,"An Act for International Development, A Summary Presentation"
"('the', 'less')",0.2,"An Act for International Development, A Summary Presentation"
"('less', 'developed')",0.2857142857142857,"An Act for International Development, A Summary Presentation"
"('developed', 'countries')",0.15384615384615385,"An Act for International Development, A Summary Presentation"
"('countries', ',')",0.0,"An Act for International Development, A Summary Presentation"
"(',', 'however')",0.0,"An Act for International Development, A Summary Presentation"
"('however', ',')",0.0,"An Act for International Development, A Summary Presentation"
"(',', 'such')",0.0,"An Act for International Development, A Summary Presentation"
"('such', 'programing')",0.0,"An Act for International Development, A Summary Presentation"
"('programing', 'is')",0.1111111111111111,"An Act for International Development, A Summary Presentation"
"('is', 'at')",0.0,"An Act for International Development, A Summary Presentation"
"('at', 'best')",0.2,"An Act for International Development, A Summary Presentation"
"('best', 'inadequate')",0.2,"An Act for International Development, A Summary Presentation"
"('inadequate', 'and')",0.375,"An Act for International Development, A Summary Presentation"
"('and', 'at')",0.25,"An Act for International Development, A Summary Presentation"
"('at', 'worst')",0.16666666666666666,"An Act for International Development, A Summary Presentation"
"('worst', 'nonexistent')",0.3333333333333333,"An Act for International Development, A Summary Presentation"
"('nonexistent', '.')",0.0,"An Act for International Development, A Summary Presentation"
"('.', 'Only')",0.0,"An Act for International Development, A Summary Presentation"
"('Only', 'a')",0.0,"An Act for International Development, A Summary Presentation"
"('a', 'very')",0.0,"An Act for International Development, A Summary Presentation"
"('very', 'few')",0.16666666666666666,"An Act for International Development, A Summary Presentation"
"('few', 'of')",0.25,"An Act for International Development, A Summary Presentation"
"('the', 'more')",0.16666666666666666,"An Act for International Development, A Summary Presentation"
"('more', 'advanced')",0.1111111111111111,"An Act for International Development, A Summary Presentation"
"('advanced', 'ones')",0.25,"An Act for International Development, A Summary Presentation"
"('ones', ',')",0.0,"An Act for International Development, A Summary Presentation"
"('such', 'as')",0.2,"An Act for International Development, A Summary Presentation"
"('as', 'India')",0.16666666666666666,"An Act for International Development, A Summary Presentation"
"('India', 'and')",0.6,"An Act for International Development, A Summary Presentation"
"('and', 'Pakistan')",0.25,"An Act for International Development, A Summary Presentation"
"('Pakistan', ',')",0.0,"An Act for International Development, A Summary Presentation"
"(',', 'have')",0.0,"An Act for International Development, A Summary Presentation"
"('have', 'developed')",0.25,"An Act for International Development, A Summary Presentation"
"('developed', 'systematic')",0.07692307692307693,"An Act for International Development, A Summary Presentation"
"('systematic', 'techniques')",0.4166666666666667,"An Act for International Development, A Summary Presentation"
"('techniques', 'of')",0.0,"An Act for International Development, A Summary Presentation"
"('of', 'programing')",0.1111111111111111,"An Act for International Development, A Summary Presentation"
"('programing', '.')",0.0,"An Act for International Development, A Summary Presentation"
"('.', 'Others')",0.0,"An Act for International Development, A Summary Presentation"
"('Others', 'have')",0.25,"An Act for International Development, A Summary Presentation"
"('have', 'so-called')",0.2,"An Act for International Development, A Summary Presentation"
"('so-called', 'development')",0.3076923076923077,"An Act for International Development, A Summary Presentation"
"('development', 'plans')",0.2727272727272727,"An Act for International Development, A Summary Presentation"
"('plans', ',')",0.0,"An Act for International Development, A Summary Presentation"
"(',', 'but')",0.0,"An Act for International Development, A Summary Presentation"
"('but', 'some')",0.0,"An Act for International Development, A Summary Presentation"
"('some', 'of')",0.2,"An Act for International Development, A Summary Presentation"
"('of', 'these')",0.0,"An Act for International Development, A Summary Presentation"
"('these', 'are')",0.16666666666666666,"An Act for International Development, A Summary Presentation"
"('are', 'little')",0.16666666666666666,"An Act for International Development, A Summary Presentation"
"('little', 'more')",0.14285714285714285,"An Act for International Development, A Summary Presentation"
"('more', 'than')",0.0,"An Act for International Development, A Summary Presentation"
"('than', 'lists')",0.14285714285714285,"An Act for International Development, A Summary Presentation"
"('lists', 'of')",0.0,"An Act for International Development, A Summary Presentation"
"('of', 'projects')",0.1111111111111111,"An Act for International Development, A Summary Presentation"
"('projects', 'collected')",0.4,"An Act for International Development, A Summary Presentation"
"('collected', 'from')",0.1111111111111111,"An Act for International Development, A Summary Presentation"
"('from', 'various')",0.2222222222222222,"An Act for International Development, A Summary Presentation"
