w,taza
"('It', 'is')",0.0,Chicago Daily Tribune
"('is', 'not')",0.0,Chicago Daily Tribune
"('not', 'news')",0.16666666666666666,Chicago Daily Tribune
"('news', 'that')",0.0,Chicago Daily Tribune
"('that', 'Nathan')",0.6,Chicago Daily Tribune
"('Nathan', 'Milstein')",0.2,Chicago Daily Tribune
"('Milstein', 'is')",0.2857142857142857,Chicago Daily Tribune
"('is', 'a')",0.0,Chicago Daily Tribune
"('a', 'wizard')",0.16666666666666666,Chicago Daily Tribune
"('wizard', 'of')",0.0,Chicago Daily Tribune
"('of', 'the')",0.0,Chicago Daily Tribune
"('the', 'violin')",0.0,Chicago Daily Tribune
"('violin', '.')",0.0,Chicago Daily Tribune
"('.', 'Certainly')",0.0,Chicago Daily Tribune
"('Certainly', 'not')",0.2,Chicago Daily Tribune
"('not', 'in')",0.25,Chicago Daily Tribune
"('in', 'Orchestra')",0.0,Chicago Daily Tribune
"('Orchestra', 'Hall')",0.1,Chicago Daily Tribune
"('Hall', 'where')",0.0,Chicago Daily Tribune
"('where', 'he')",0.5,Chicago Daily Tribune
"('he', 'has')",0.25,Chicago Daily Tribune
"('has', 'played')",0.125,Chicago Daily Tribune
"('played', 'countless')",0.16666666666666666,Chicago Daily Tribune
"('countless', 'recitals')",0.45454545454545453,Chicago Daily Tribune
"('recitals', ',')",0.0,Chicago Daily Tribune
"(',', 'and')",0.0,Chicago Daily Tribune
"('and', 'where')",0.0,Chicago Daily Tribune
"('where', 'Thursday')",0.2,Chicago Daily Tribune
"('Thursday', 'night')",0.08333333333333333,Chicago Daily Tribune
"('night', 'he')",0.16666666666666666,Chicago Daily Tribune
"('he', 'celebrated')",0.1111111111111111,Chicago Daily Tribune
"('celebrated', 'his')",0.0,Chicago Daily Tribune
"('his', '20th')",0.16666666666666666,Chicago Daily Tribune
"('20th', 'season')",0.0,Chicago Daily Tribune
"('season', 'with')",0.0,Chicago Daily Tribune
"('with', 'the')",0.4,Chicago Daily Tribune
"('the', 'Chicago')",0.1111111111111111,Chicago Daily Tribune
"('Chicago', 'Symphony')",0.16666666666666666,Chicago Daily Tribune
"('Symphony', 'Orchestra')",0.07142857142857142,Chicago Daily Tribune
"('Orchestra', ',')",0.0,Chicago Daily Tribune
"(',', 'playing')",0.0,Chicago Daily Tribune
"('playing', 'the')",0.0,Chicago Daily Tribune
"('the', 'Brahms')",0.125,Chicago Daily Tribune
"('Brahms', 'Concerto')",0.08333333333333333,Chicago Daily Tribune
"('Concerto', 'with')",0.1,Chicago Daily Tribune
"('with', 'his')",0.4,Chicago Daily Tribune
"('his', 'own')",0.0,Chicago Daily Tribune
"('own', 'slashing')",0.1111111111111111,Chicago Daily Tribune
"('slashing', ',')",0.0,Chicago Daily Tribune
"(',', 'demon-ridden')",0.0,Chicago Daily Tribune
"('demon-ridden', 'cadenza')",0.2727272727272727,Chicago Daily Tribune
"('cadenza', 'melting')",0.18181818181818182,Chicago Daily Tribune
"('melting', 'into')",0.375,Chicago Daily Tribune
"('into', 'the')",0.16666666666666666,Chicago Daily Tribune
"('the', 'high')",0.2,Chicago Daily Tribune
"('high', ',')",0.0,Chicago Daily Tribune
"(',', 'pale')",0.0,Chicago Daily Tribune
"('pale', ',')",0.0,Chicago Daily Tribune
"(',', 'pure')",0.0,Chicago Daily Tribune
"('pure', 'and')",0.0,Chicago Daily Tribune
"('and', 'lovely')",0.0,Chicago Daily Tribune
"('lovely', 'song')",0.125,Chicago Daily Tribune
"('song', 'with')",0.0,Chicago Daily Tribune
"('with', 'which')",0.6,Chicago Daily Tribune
"('which', 'a')",0.0,Chicago Daily Tribune
"('a', 'violinist')",0.0,Chicago Daily Tribune
"('violinist', 'unlocks')",0.4,Chicago Daily Tribune
"('unlocks', 'the')",0.0,Chicago Daily Tribune
"('the', 'heart')",0.6,Chicago Daily Tribune
