w,taza
"('The', 'achievement')",0.2,Christian Ethics & the Sit-In
"('achievement', 'of')",0.0,Christian Ethics & the Sit-In
"('of', 'the')",0.0,Christian Ethics & the Sit-In
"('the', 'desegregation')",0.18181818181818182,Christian Ethics & the Sit-In
"('desegregation', 'of')",0.09090909090909091,Christian Ethics & the Sit-In
"('of', 'certain')",0.0,Christian Ethics & the Sit-In
"('certain', 'lunch')",0.2,Christian Ethics & the Sit-In
"('lunch', 'counters')",0.3,Christian Ethics & the Sit-In
"('counters', 'not')",0.375,Christian Ethics & the Sit-In
"('not', 'only')",0.4,Christian Ethics & the Sit-In
"('only', 'by')",0.2,Christian Ethics & the Sit-In
"('by', 'wise')",0.0,Christian Ethics & the Sit-In
"('wise', 'action')",0.1111111111111111,Christian Ethics & the Sit-In
"('action', 'by')",0.0,Christian Ethics & the Sit-In
"('by', 'local')",0.0,Christian Ethics & the Sit-In
"('local', 'community')",0.2,Christian Ethics & the Sit-In
"('community', 'leaders')",0.0,Christian Ethics & the Sit-In
"('leaders', 'but')",0.0,Christian Ethics & the Sit-In
"('but', 'by')",0.25,Christian Ethics & the Sit-In
"('by', 'voluntary')",0.1,Christian Ethics & the Sit-In
"('voluntary', 'action')",0.36363636363636365,Christian Ethics & the Sit-In
"('action', 'following')",0.3,Christian Ethics & the Sit-In
"('following', 'consultation')",0.3333333333333333,Christian Ethics & the Sit-In
"('consultation', 'between')",0.16666666666666666,Christian Ethics & the Sit-In
"('between', 'Attorney')",0.3333333333333333,Christian Ethics & the Sit-In
"('Attorney', 'General')",0.3,Christian Ethics & the Sit-In
"('General', 'Rogers')",0.2,Christian Ethics & the Sit-In
"('Rogers', 'and')",0.0,Christian Ethics & the Sit-In
"('and', 'the')",0.0,Christian Ethics & the Sit-In
"('the', 'heads')",0.3333333333333333,Christian Ethics & the Sit-In
"('heads', 'of')",0.0,Christian Ethics & the Sit-In
"('certain', 'national')",0.4444444444444444,Christian Ethics & the Sit-In
"('national', 'chain')",0.375,Christian Ethics & the Sit-In
"('chain', 'stores')",0.0,Christian Ethics & the Sit-In
"('stores', 'should')",0.2222222222222222,Christian Ethics & the Sit-In
"('should', ',')",0.0,Christian Ethics & the Sit-In
"(',', 'of')",0.0,Christian Ethics & the Sit-In
