w,taza
"('One', 'hundred')",0.2857142857142857,Christian Unity in England
"('hundred', 'years')",0.2222222222222222,Christian Unity in England
"('years', 'ago')",0.14285714285714285,Christian Unity in England
"('ago', 'there')",0.0,Christian Unity in England
"('there', 'existed')",0.25,Christian Unity in England
"('existed', 'in')",0.14285714285714285,Christian Unity in England
"('in', 'England')",0.14285714285714285,Christian Unity in England
"('England', 'the')",0.0,Christian Unity in England
"('the', 'Association')",0.1,Christian Unity in England
"('Association', 'for')",0.1,Christian Unity in England
"('for', 'the')",0.0,Christian Unity in England
"('the', 'Promotion')",0.1111111111111111,Christian Unity in England
"('Promotion', 'of')",0.125,Christian Unity in England
"('of', 'the')",0.0,Christian Unity in England
"('the', 'Unity')",0.14285714285714285,Christian Unity in England
"('Unity', 'of')",0.0,Christian Unity in England
"('of', 'Christendom')",0.08333333333333333,Christian Unity in England
"('Christendom', '.')",0.0,Christian Unity in England
"('.', 'Representing')",0.0,Christian Unity in England
"('Representing', 'as')",0.1,Christian Unity in England
"('as', 'it')",0.0,Christian Unity in England
"('it', 'did')",0.3333333333333333,Christian Unity in England
"('did', 'the')",0.0,Christian Unity in England
"('the', 'efforts')",0.2857142857142857,Christian Unity in England
"('efforts', 'of')",0.3333333333333333,Christian Unity in England
"('of', 'only')",0.2,Christian Unity in England
"('only', 'unauthorized')",0.15384615384615385,Christian Unity in England
"('unauthorized', 'individuals')",0.35714285714285715,Christian Unity in England
"('individuals', 'of')",0.0,Christian Unity in England
"('the', 'Roman')",0.0,Christian Unity in England
"('Roman', 'and')",0.3333333333333333,Christian Unity in England
"('and', 'Anglican')",0.25,Christian Unity in England
"('Anglican', 'Churches')",0.07692307692307693,Christian Unity in England
"('Churches', ',')",0.0,Christian Unity in England
"(',', 'and')",0.0,Christian Unity in England
"('and', 'urging')",0.14285714285714285,Christian Unity in England
"('urging', 'a')",0.0,Christian Unity in England
"('a', 'communion')",0.0,Christian Unity in England
"('communion', 'of')",0.14285714285714285,Christian Unity in England
"('of', 'prayer')",0.0,Christian Unity in England
"('prayer', 'unacceptable')",0.2727272727272727,Christian Unity in England
"('unacceptable', 'to')",0.1,Christian Unity in England
"('to', 'Rome')",0.2,Christian Unity in England
"('Rome', ',')",0.0,Christian Unity in England
"(',', 'this')",0.0,Christian Unity in England
"('this', 'association')",0.375,Christian Unity in England
"('association', 'produced')",0.16666666666666666,Christian Unity in England
"('produced', 'little')",0.1,Christian Unity in England
"('little', 'fruit')",0.2857142857142857,Christian Unity in England
"('fruit', ',')",0.0,Christian Unity in England
"('and', ',')",0.0,Christian Unity in England
"(',', 'in')",0.0,Christian Unity in England
"('in', 'fact')",0.0,Christian Unity in England
"('fact', ',')",0.0,Christian Unity in England
"(',', 'was')",0.0,Christian Unity in England
"('was', 'condemned')",0.0,Christian Unity in England
"('condemned', 'by')",0.0,Christian Unity in England
"('by', 'the')",0.0,Christian Unity in England
"('the', 'Holy')",0.0,Christian Unity in England
"('Holy', 'Office')",0.0,Christian Unity in England
"('Office', 'in')",0.16666666666666666,Christian Unity in England
"('in', '1864')",0.0,Christian Unity in England
"('1864', '.')",0.0,Christian Unity in England
"('.', 'Now')",0.0,Christian Unity in England
"('Now', 'again')",0.0,Christian Unity in England
"('again', 'in')",0.5,Christian Unity in England
"('in', '1961')",0.0,Christian Unity in England
"('1961', ',')",0.0,Christian Unity in England
"('England', ',')",0.0,Christian Unity in England
"(',', 'there')",0.0,Christian Unity in England
"('there', 'is')",0.0,Christian Unity in England
"('is', 'perhaps')",0.14285714285714285,Christian Unity in England
"('perhaps', 'nothing')",0.09090909090909091,Christian Unity in England
"('nothing', 'in')",0.3333333333333333,Christian Unity in England
"('in', 'the')",0.0,Christian Unity in England
"('the', 'religious')",0.1,Christian Unity in England
"('religious', 'sphere')",0.3,Christian Unity in England
