w,taza
"('Thirty-three', 'Scotty')",0.18181818181818182,"Christopher Davis, First Family."
"('Scotty', 'did')",0.0,"Christopher Davis, First Family."
"('did', 'not')",0.0,"Christopher Davis, First Family."
"('not', 'go')",0.25,"Christopher Davis, First Family."
"('go', 'back')",0.0,"Christopher Davis, First Family."
"('back', 'to')",0.0,"Christopher Davis, First Family."
"('to', 'school')",0.16666666666666666,"Christopher Davis, First Family."
"('school', '.')",0.0,"Christopher Davis, First Family."
"('.', 'His')",0.0,"Christopher Davis, First Family."
"('His', 'parents')",0.1111111111111111,"Christopher Davis, First Family."
"('parents', 'talked')",0.3,"Christopher Davis, First Family."
"('talked', 'seriously')",0.16666666666666666,"Christopher Davis, First Family."
"('seriously', 'and')",0.0,"Christopher Davis, First Family."
"('and', 'lengthily')",0.1,"Christopher Davis, First Family."
"('lengthily', 'to')",0.1111111111111111,"Christopher Davis, First Family."
"('to', 'their')",0.16666666666666666,"Christopher Davis, First Family."
"('their', 'own')",0.0,"Christopher Davis, First Family."
"('own', 'doctor')",0.14285714285714285,"Christopher Davis, First Family."
"('doctor', 'and')",0.14285714285714285,"Christopher Davis, First Family."
"('and', 'to')",0.0,"Christopher Davis, First Family."
"('to', 'a')",0.0,"Christopher Davis, First Family."
"('a', 'specialist')",0.125,"Christopher Davis, First Family."
"('specialist', 'at')",0.25,"Christopher Davis, First Family."
"('at', 'the')",0.25,"Christopher Davis, First Family."
"('the', 'University')",0.2,"Christopher Davis, First Family."
"('University', 'Hospital')",0.21428571428571427,"Christopher Davis, First Family."
"('Hospital', '--')",0.0,"Christopher Davis, First Family."
"('--', 'Mr.')",0.0,"Christopher Davis, First Family."
"('Mr.', 'McKinley')",0.1,"Christopher Davis, First Family."
"('McKinley', 'was')",0.0,"Christopher Davis, First Family."
"('was', 'entitled')",0.0,"Christopher Davis, First Family."
"('entitled', 'to')",0.14285714285714285,"Christopher Davis, First Family."
"('a', 'discount')",0.0,"Christopher Davis, First Family."
"('discount', 'for')",0.1,"Christopher Davis, First Family."
"('for', 'members')",0.14285714285714285,"Christopher Davis, First Family."
"('members', 'of')",0.0,"Christopher Davis, First Family."
"('of', 'his')",0.0,"Christopher Davis, First Family."
"('his', 'family')",0.125,"Christopher Davis, First Family."
"('family', '--')",0.0,"Christopher Davis, First Family."
"('--', 'and')",0.0,"Christopher Davis, First Family."
"('and', 'it')",0.0,"Christopher Davis, First Family."
"('it', 'was')",0.0,"Christopher Davis, First Family."
"('was', 'decided')",0.0,"Christopher Davis, First Family."
"('decided', 'it')",0.2,"Christopher Davis, First Family."
"('it', 'would')",0.0,"Christopher Davis, First Family."
"('would', 'be')",0.0,"Christopher Davis, First Family."
"('be', 'best')",0.5,"Christopher Davis, First Family."
"('best', 'for')",0.0,"Christopher Davis, First Family."
"('for', 'him')",0.0,"Christopher Davis, First Family."
"('him', 'to')",0.0,"Christopher Davis, First Family."
"('to', 'take')",0.2,"Christopher Davis, First Family."
"('take', 'the')",0.4,"Christopher Davis, First Family."
"('the', 'remainder')",0.1111111111111111,"Christopher Davis, First Family."
"('remainder', 'of')",0.0,"Christopher Davis, First Family."
"('of', 'the')",0.0,"Christopher Davis, First Family."
"('the', 'term')",0.4,"Christopher Davis, First Family."
"('term', 'off')",0.0,"Christopher Davis, First Family."
"('off', ',')",0.0,"Christopher Davis, First Family."
"(',', 'spend')",0.0,"Christopher Davis, First Family."
"('spend', 'a')",0.0,"Christopher Davis, First Family."
"('a', 'lot')",0.0,"Christopher Davis, First Family."
"('lot', 'of')",0.25,"Christopher Davis, First Family."
"('of', 'time')",0.0,"Christopher Davis, First Family."
"('time', 'in')",0.2,"Christopher Davis, First Family."
"('in', 'bed')",0.0,"Christopher Davis, First Family."
"('bed', 'and')",0.2,"Christopher Davis, First Family."
"('and', ',')",0.0,"Christopher Davis, First Family."
"(',', 'for')",0.0,"Christopher Davis, First Family."
