w,taza
"('He', 'put')",0.0,Deadlier Than the Male.
"('put', 'in')",0.0,Deadlier Than the Male.
"('in', 'a')",0.0,Deadlier Than the Male.
"('a', 'call')",0.3333333333333333,Deadlier Than the Male.
"('call', 'to')",0.0,Deadlier Than the Male.
"('to', 'Cunningham')",0.0,Deadlier Than the Male.
"('Cunningham', 'from')",0.09090909090909091,Deadlier Than the Male.
"('from', 'his')",0.0,Deadlier Than the Male.
"('his', 'hotel')",0.14285714285714285,Deadlier Than the Male.
"('hotel', 'room')",0.14285714285714285,Deadlier Than the Male.
"('room', '.')",0.0,Deadlier Than the Male.
"('.', 'The')",0.0,Deadlier Than the Male.
"('The', 'maid')",0.0,Deadlier Than the Male.
"('maid', 'answered')",0.2222222222222222,Deadlier Than the Male.
"('answered', 'and')",0.42857142857142855,Deadlier Than the Male.
"('and', 'he')",0.0,Deadlier Than the Male.
"('he', 'decided')",0.2,Deadlier Than the Male.
"('decided', 'Nancy')",0.125,Deadlier Than the Male.
"('Nancy', 'must')",0.0,Deadlier Than the Male.
"('must', 'be')",0.0,Deadlier Than the Male.
"('be', 'at')",0.0,Deadlier Than the Male.
"('at', 'work')",0.0,Deadlier Than the Male.
"('work', '.')",0.0,Deadlier Than the Male.
"('.', 'Jeb')",0.0,Deadlier Than the Male.
"('Jeb', 'cautioned')",0.09090909090909091,Deadlier Than the Male.
"('cautioned', 'him')",0.09090909090909091,Deadlier Than the Male.
"('him', 'not')",0.0,Deadlier Than the Male.
"('not', 'to')",0.6666666666666666,Deadlier Than the Male.
"('to', 'be')",0.0,Deadlier Than the Male.
"('be', 'too')",0.0,Deadlier Than the Male.
"('too', 'hopeful')",0.125,Deadlier Than the Male.
"('hopeful', 'and')",0.0,Deadlier Than the Male.
"('and', 'then')",0.16666666666666666,Deadlier Than the Male.
"('then', ',')",0.0,Deadlier Than the Male.
"(',', 'ignoring')",0.0,Deadlier Than the Male.
"('ignoring', 'his')",0.14285714285714285,Deadlier Than the Male.
"('his', 'own')",0.0,Deadlier Than the Male.
"('own', 'advice')",0.0,Deadlier Than the Male.
"('advice', ',')",0.0,Deadlier Than the Male.
"(',', 'said')",0.0,Deadlier Than the Male.
"('said', 'excitedly')",0.2,Deadlier Than the Male.
"('excitedly', ',')",0.0,Deadlier Than the Male.
"(',', '``')",0.0,Deadlier Than the Male.
"('``', 'But')",0.0,Deadlier Than the Male.
"('But', 'it')",0.25,Deadlier Than the Male.
"('it', 'does')",0.0,Deadlier Than the Male.
"('does', 'sound')",0.5,Deadlier Than the Male.
"('sound', 'good')",0.3333333333333333,Deadlier Than the Male.
"('good', '.')",0.0,Deadlier Than the Male.
"('.', 'A')",0.0,Deadlier Than the Male.
"('A', 'woman')",0.0,Deadlier Than the Male.
"('woman', 'named')",0.42857142857142855,Deadlier Than the Male.
"('named', 'Lisa')",0.125,Deadlier Than the Male.
"('Lisa', 'who')",0.0,Deadlier Than the Male.
"('who', 'tells')",0.0,Deadlier Than the Male.
"('tells', 'nobody')",0.0,Deadlier Than the Male.
"('nobody', 'anything')",0.2,Deadlier Than the Male.
"('anything', 'about')",0.2,Deadlier Than the Male.
"('about', 'herself')",0.0,Deadlier Than the Male.
"('herself', '.')",0.0,Deadlier Than the Male.
"('.', 'That')",0.0,Deadlier Than the Male.
"('That', 'courtyard')",0.2,Deadlier Than the Male.
"('courtyard', 'picture')",0.36363636363636365,Deadlier Than the Male.
"('picture', 'with')",0.2222222222222222,Deadlier Than the Male.
"('with', 'the')",0.4,Deadlier Than the Male.
"('the', 'same')",0.16666666666666666,Deadlier Than the Male.
