w,taza
"('I', 'was')",0.0,Dirty Dig Inn
"('was', 'slowly')",0.3333333333333333,Dirty Dig Inn
"('slowly', 'swimming')",0.2222222222222222,Dirty Dig Inn
"('swimming', 'down')",0.25,Dirty Dig Inn
"('down', 'to')",0.2,Dirty Dig Inn
"('to', 'the')",0.25,Dirty Dig Inn
"('the', 'bottom')",0.16666666666666666,Dirty Dig Inn
"('bottom', 'of')",0.2,Dirty Dig Inn
"('of', 'the')",0.0,Dirty Dig Inn
"('the', 'sea')",0.2,Dirty Dig Inn
"('sea', '.')",0.0,Dirty Dig Inn
"('.', 'She')",0.0,Dirty Dig Inn
"('She', 'made')",0.16666666666666666,Dirty Dig Inn
"('made', 'me')",0.5,Dirty Dig Inn
"('me', 'welcome')",0.3333333333333333,Dirty Dig Inn
"('welcome', '.')",0.0,Dirty Dig Inn
"('.', 'Her')",0.0,Dirty Dig Inn
"('Her', 'dark')",0.16666666666666666,Dirty Dig Inn
"('dark', 'cool')",0.0,Dirty Dig Inn
"('cool', 'caresses')",0.14285714285714285,Dirty Dig Inn
"('caresses', 'were')",0.3333333333333333,Dirty Dig Inn
"('were', 'sweeter')",0.6,Dirty Dig Inn
"('sweeter', 'than')",0.125,Dirty Dig Inn
"('than', 'any')",0.4,Dirty Dig Inn
"('any', ""woman's"")",0.25,Dirty Dig Inn
"(""woman's"", ';')",0.0,Dirty Dig Inn
"(';', ';')",1.0,Dirty Dig Inn
"(';', 'the')",0.0,Dirty Dig Inn
"('the', 'many')",0.0,Dirty Dig Inn
"('many', 'little')",0.0,Dirty Dig Inn
"('little', 'tricks')",0.25,Dirty Dig Inn
"('tricks', 'she')",0.125,Dirty Dig Inn
"('she', 'knew')",0.16666666666666666,Dirty Dig Inn
"('knew', 'made')",0.14285714285714285,Dirty Dig Inn
"('made', 'her')",0.16666666666666666,Dirty Dig Inn
"('her', 'embrace')",0.2857142857142857,Dirty Dig Inn
"('embrace', 'the')",0.125,Dirty Dig Inn
"('the', 'ultimate')",0.25,Dirty Dig Inn
"('ultimate', 'one')",0.1111111111111111,Dirty Dig Inn
"('one', '--')",0.0,Dirty Dig Inn
"('--', 'the')",0.0,Dirty Dig Inn
"('the', 'ever')",0.2,Dirty Dig Inn
"('ever', 'more')",0.4,Dirty Dig Inn
"('more', 'fantastic')",0.0,Dirty Dig Inn
"('fantastic', 'pressures')",0.09090909090909091,Dirty Dig Inn
"('pressures', 'deeper')",0.5,Dirty Dig Inn
"('deeper', 'in')",0.0,Dirty Dig Inn
"('in', 'her')",0.0,Dirty Dig Inn
"('her', 'body')",0.0,Dirty Dig Inn
"('body', 'squeezed')",0.1111111111111111,Dirty Dig Inn
"('squeezed', 'not')",0.0,Dirty Dig Inn
"('not', 'me')",0.0,Dirty Dig Inn
"('me', 'but')",0.0,Dirty Dig Inn
"('but', 'the')",0.2,Dirty Dig Inn
"('the', 'air')",0.0,Dirty Dig Inn
"('air', 'I')",0.0,Dirty Dig Inn
